sl.no.,correct,QuestionLink,section type,optA,optB,optC,optD,category,usedFor,lang,source
1,b,https://i.imgur.com/hTt3ggh.png,genral_science,A,B,C,D,5.1,SSC_GD,Hindi,JEN
2,c,https://i.imgur.com/AKL4NtI.png,genral_science,A,B,C,D,5.1,SSC_GD,Hindi,JEN
3,d,https://i.imgur.com/BdUjBT8.png,genral_science,A,B,C,D,5.1,SSC_GD,Hindi,JEN
4,a,https://i.imgur.com/S13nUWv.png,genral_science,A,B,C,D,5.1,SSC_GD,Hindi,JEN
5,c,https://i.imgur.com/PDUvlmh.png,genral_science,A,B,C,D,5.1,SSC_GD,Hindi,JEN
6,a,https://i.imgur.com/2FuF3Xv.png,genral_science,A,B,C,D,5.1,SSC_GD,Hindi,JEN
7,b,https://i.imgur.com/uR8x4Qf.png,genral_science,A,B,C,D,5.1,SSC_GD,Hindi,JEN
8,c,https://i.imgur.com/lhe1vim.png,genral_science,A,B,C,D,5.1,SSC_GD,Hindi,JEN
9,a,https://i.imgur.com/Las95d5.png,genral_science,A,B,C,D,5.1,SSC_GD,Hindi,JEN
12,a,https://i.imgur.com/DC1LNsk.png,genral_science,A,B,C,D,5.1,SSC_GD,Hindi,JEN
13,b,https://i.imgur.com/zPJv18w.png,genral_science,A,B,C,D,5.1,SSC_GD,Hindi,JEN
14,c,https://i.imgur.com/ssNO6uw.png,genral_science,A,B,C,D,5.1,SSC_GD,Hindi,JEN
15,d,https://i.imgur.com/0Onqxia.png,genral_science,A,B,C,D,5.1,SSC_GD,Hindi,JEN
16,c,https://i.imgur.com/AZRCGQk.png,genral_science,A,B,C,D,5.1,SSC_GD,Hindi,JEN
17,a,https://i.imgur.com/DhaGI5w.png,genral_science,A,B,C,D,5.1,SSC_GD,Hindi,JEN
18,c,https://i.imgur.com/zOUCSsJ.png,genral_science,A,B,C,D,5.1,SSC_GD,Hindi,JEN
19,b,https://i.imgur.com/N8h3PlT.png,genral_science,A,B,C,D,5.1,SSC_GD,Hindi,JEN
20,b,https://i.imgur.com/E8H4Sb5.png,genral_science,A,B,C,D,5.1,SSC_GD,Hindi,JEN
21,c,https://i.imgur.com/WTyqztt.png,genral_science,A,B,C,D,5.1,SSC_GD,Hindi,JEN
22,a,https://i.imgur.com/eu4Z24o.png,genral_science,A,B,C,D,5.1,SSC_GD,Hindi,JEN
23,b,https://i.imgur.com/gAZYqZi.png,genral_science,A,B,C,D,5.1,SSC_GD,Hindi,JEN
24,c,https://i.imgur.com/umFFOt4.png,genral_science,A,B,C,D,5.1,SSC_GD,Hindi,JEN
25,c,https://i.imgur.com/avCQ0yr.png,genral_science,A,B,C,D,5.1,SSC_GD,Hindi,JEN
27,a,https://i.imgur.com/nZF6efc.png,genral_science,A,B,C,D,5.1,SSC_GD,Hindi,JEN
28,d,https://i.imgur.com/wMTvp2n.png,genral_science,A,B,C,D,5.1,SSC_GD,Hindi,JEN
29,c,https://i.imgur.com/365YmW9.png,genral_science,A,B,C,D,5.1,SSC_GD,Hindi,JEN
30,a,https://i.imgur.com/bOkf2T3.png,genral_science,A,B,C,D,5.1,SSC_GD,Hindi,JEN
31,c,https://i.imgur.com/FCPLp6z.png,genral_science,A,B,C,D,5.1,SSC_GD,Hindi,JEN
32,a,https://i.imgur.com/s99bEw9.png,genral_science,A,B,C,D,5.1,SSC_GD,Hindi,JEN
33,a,https://i.imgur.com/ewyyiWW.png,genral_science,A,B,C,D,5.1,SSC_GD,Hindi,JEN
35,d,https://i.imgur.com/u234TMP.png,genral_science,A,B,C,D,5.1,SSC_GD,Hindi,JEN
36,a,https://i.imgur.com/6EaC5EC.png,genral_science,A,B,C,D,5.1,SSC_GD,Hindi,JEN
37,a,https://i.imgur.com/wARblsr.png,genral_science,A,B,C,D,5.1,SSC_GD,Hindi,JEN
38,c,https://i.imgur.com/bVqIEia.png,genral_science,A,B,C,D,5.1,SSC_GD,Hindi,JEN
39,b,https://i.imgur.com/ZSNpDHg.png,genral_science,A,B,C,D,5.1,SSC_GD,Hindi,JEN
40,c,https://i.imgur.com/97603LD.png,genral_science,A,B,C,D,5.1,SSC_GD,Hindi,JEN
41,c,https://i.imgur.com/p0Wgpnz.png,genral_science,A,B,C,D,5.1,SSC_GD,Hindi,JEN
42,c,https://i.imgur.com/qRLjl3k.png,genral_science,A,B,C,D,5.1,SSC_GD,Hindi,JEN
43,a,https://i.imgur.com/ZurMskI.png,genral_science,A,B,C,D,5.1,SSC_GD,Hindi,JEN
44,a,https://i.imgur.com/Fe5NbOd.png,genral_science,A,B,C,D,5.1,SSC_GD,Hindi,JEN
45,a,https://i.imgur.com/8ol1m19.png,genral_science,A,B,C,D,5.1,SSC_GD,Hindi,JEN
46,a,https://i.imgur.com/wb1lZKr.png,genral_science,A,B,C,D,5.1,SSC_GD,Hindi,JEN
47,b,https://i.imgur.com/mS2XaTv.png,genral_science,A,B,C,D,5.1,SSC_GD,Hindi,JEN
48,b,https://i.imgur.com/kp11VAK.png,genral_science,A,B,C,D,5.1,SSC_GD,Hindi,JEN
49,d,https://i.imgur.com/bZNR7nn.png,genral_science,A,B,C,D,5.1,SSC_GD,Hindi,JEN
50,c,https://i.imgur.com/489e4WJ.png,genral_science,A,B,C,D,5.1,SSC_GD,Hindi,JEN
