sl.no,correct,QuestionLink,section_type,optA,optB,optC,optD,category,usedFor,lang,source,name
1,a,https://i.imgur.com/qhyI29A.png,jeePhysics11,A,B,C,D,1.1,jee,Hindi,arihant,Units Measurement And Dimensions
2,b,https://i.imgur.com/6V8QdZg.png,jeePhysics11,A,B,C,D,1.1,jee,Hindi,arihant,Units Measurement And Dimensions
3,c,https://i.imgur.com/7XnRPR2.png,jeePhysics11,A,B,C,D,1.1,jee,Hindi,arihant,Units Measurement And Dimensions
4,b,https://i.imgur.com/K3Y8Qoj.png,jeePhysics11,A,B,C,D,1.1,jee,Hindi,arihant,Units Measurement And Dimensions
5,a,https://i.imgur.com/fPwcxfC.png,jeePhysics11,A,B,C,D,1.1,jee,Hindi,arihant,Units Measurement And Dimensions
1,d,https://i.imgur.com/pPIq9mt.png,jeePhysics11,A,B,C,D,1.1,jee,Hindi,arihant,Units Measurement And Dimensions
2,c,https://i.imgur.com/qGqkzPf.png,jeePhysics11,A,B,C,D,1.1,jee,Hindi,arihant,Units Measurement And Dimensions
3,c,https://i.imgur.com/zTQuAEh.png,jeePhysics11,A,B,C,D,1.1,jee,Hindi,arihant,Units Measurement And Dimensions
4,b,https://i.imgur.com/KecE1DW.png,jeePhysics11,A,B,C,D,1.1,jee,Hindi,arihant,Units Measurement And Dimensions
5,d,https://i.imgur.com/P3dPZvA.png,jeePhysics11,A,B,C,D,1.1,jee,Hindi,arihant,Units Measurement And Dimensions
6,b,https://i.imgur.com/8OH9yEF.png,jeePhysics11,A,B,C,D,1.1,jee,Hindi,arihant,Units Measurement And Dimensions
7,b,https://i.imgur.com/QNy9Otm.png,jeePhysics11,A,B,C,D,1.1,jee,Hindi,arihant,Units Measurement And Dimensions
8,a,https://i.imgur.com/5LKOpvz.png,jeePhysics11,A,B,C,D,1.1,jee,Hindi,arihant,Units Measurement And Dimensions
9,a,https://i.imgur.com/oXFmnrT.png,jeePhysics11,A,B,C,D,1.1,jee,Hindi,arihant,Units Measurement And Dimensions
10,d,https://i.imgur.com/OEIF4bE.png,jeePhysics11,A,B,C,D,1.1,jee,Hindi,arihant,Units Measurement And Dimensions
11,b,https://i.imgur.com/rNaQFek.png,jeePhysics11,A,B,C,D,1.1,jee,Hindi,arihant,Units Measurement And Dimensions
12,c,https://i.imgur.com/b1xjsVp.png,jeePhysics11,A,B,C,D,1.1,jee,Hindi,arihant,Units Measurement And Dimensions
13,a,https://i.imgur.com/0vWvGZ2.png,jeePhysics11,A,B,C,D,1.1,jee,Hindi,arihant,Units Measurement And Dimensions
14,c,https://i.imgur.com/dCp0jXp.png,jeePhysics11,A,B,C,D,1.1,jee,Hindi,arihant,Units Measurement And Dimensions
15,c,https://i.imgur.com/0TH7sG3.png,jeePhysics11,A,B,C,D,1.1,jee,Hindi,arihant,Units Measurement And Dimensions
16,a,https://i.imgur.com/qp4VXZ6.png,jeePhysics11,A,B,C,D,1.1,jee,Hindi,arihant,Units Measurement And Dimensions
17,b,https://i.imgur.com/anbfEpZ.png,jeePhysics11,A,B,C,D,1.1,jee,Hindi,arihant,Units Measurement And Dimensions
18,d,https://i.imgur.com/lsmMZN5.png,jeePhysics11,A,B,C,D,1.1,jee,Hindi,arihant,Units Measurement And Dimensions
19,c,https://i.imgur.com/WhT93zI.png,jeePhysics11,A,B,C,D,1.1,jee,Hindi,arihant,Units Measurement And Dimensions
20,d,https://i.imgur.com/job353W.png,jeePhysics11,A,B,C,D,1.1,jee,Hindi,arihant,Units Measurement And Dimensions
21,a,https://i.imgur.com/C8r9CTX.png,jeePhysics11,A,B,C,D,1.1,jee,Hindi,arihant,Units Measurement And Dimensions
22,a,https://i.imgur.com/s6atLw4.png,jeePhysics11,A,B,C,D,1.1,jee,Hindi,arihant,Units Measurement And Dimensions
23,c,https://i.imgur.com/mWdtklW.png,jeePhysics11,A,B,C,D,1.1,jee,Hindi,arihant,Units Measurement And Dimensions
24,a,https://i.imgur.com/ZC6CNYG.png,jeePhysics11,A,B,C,D,1.1,jee,Hindi,arihant,Units Measurement And Dimensions
25,a,https://i.imgur.com/WjcSthG.png,jeePhysics11,A,B,C,D,1.1,jee,Hindi,arihant,Units Measurement And Dimensions
26,c,https://i.imgur.com/dZ2qw4k.png,jeePhysics11,A,B,C,D,1.1,jee,Hindi,arihant,Units Measurement And Dimensions
27,d,https://i.imgur.com/wYVfvS5.png,jeePhysics11,A,B,C,D,1.1,jee,Hindi,arihant,Units Measurement And Dimensions
28,d,https://i.imgur.com/1iJoBUr.png,jeePhysics11,A,B,C,D,1.1,jee,Hindi,arihant,Units Measurement And Dimensions
29,a,https://i.imgur.com/Bkb6xfx.png,jeePhysics11,A,B,C,D,1.1,jee,Hindi,arihant,Units Measurement And Dimensions
30,b,https://i.imgur.com/5pj9j0F.png,jeePhysics11,A,B,C,D,1.1,jee,Hindi,arihant,Units Measurement And Dimensions
31,b,https://i.imgur.com/fatag8q.png,jeePhysics11,A,B,C,D,1.1,jee,Hindi,arihant,Units Measurement And Dimensions
32,a,https://i.imgur.com/eoWuh9f.png,jeePhysics11,A,B,C,D,1.1,jee,Hindi,arihant,Units Measurement And Dimensions
33,c,https://i.imgur.com/SrZdQ49.png,jeePhysics11,A,B,C,D,1.1,jee,Hindi,arihant,Units Measurement And Dimensions
34,c,https://i.imgur.com/73mMgvR.png,jeePhysics11,A,B,C,D,1.1,jee,Hindi,arihant,Units Measurement And Dimensions
35,a,https://i.imgur.com/oIeyp5i.png,jeePhysics11,A,B,C,D,1.1,jee,Hindi,arihant,Units Measurement And Dimensions
