sl.no,correct,QuestionLink,section_type,optA,optB,optC,optD,category,usedFor,lang,source,name
1,d,https://i.imgur.com/Iykfsdt.png,jeePhysics11,A,B,C,D,2.1,jee,Hindi,arihant,Vector Analysis
2,b,https://i.imgur.com/thn4HUB.png,jeePhysics11,A,B,C,D,2.1,jee,Hindi,arihant,Vector Analysis
3,c,https://i.imgur.com/a2VQ0Xk.png,jeePhysics11,A,B,C,D,2.1,jee,Hindi,arihant,Vector Analysis
4,d,https://i.imgur.com/gnm8nwi.png,jeePhysics11,A,B,C,D,2.1,jee,Hindi,arihant,Vector Analysis
5,a,https://i.imgur.com/wUngmbJ.png,jeePhysics11,A,B,C,D,2.1,jee,Hindi,arihant,Vector Analysis
6,b,https://i.imgur.com/ulaB8lA.png,jeePhysics11,A,B,C,D,2.1,jee,Hindi,arihant,Vector Analysis
7,b,https://i.imgur.com/UC0OjiT.png,jeePhysics11,A,B,C,D,2.1,jee,Hindi,arihant,Vector Analysis
1,c,https://i.imgur.com/IzUezbs.png,jeePhysics11,A,B,C,D,2.1,jee,Hindi,arihant,Vector Analysis
2,b,https://i.imgur.com/byCIwRy.png,jeePhysics11,A,B,C,D,2.1,jee,Hindi,arihant,Vector Analysis
3,d,https://i.imgur.com/IGGCiGK.png,jeePhysics11,A,B,C,D,2.1,jee,Hindi,arihant,Vector Analysis
4,b,https://i.imgur.com/C7g30nS.png,jeePhysics11,A,B,C,D,2.1,jee,Hindi,arihant,Vector Analysis
5,b,https://i.imgur.com/jSXdbp2.png,jeePhysics11,A,B,C,D,2.1,jee,Hindi,arihant,Vector Analysis
6,b,https://i.imgur.com/oktQsjf.png,jeePhysics11,A,B,C,D,2.1,jee,Hindi,arihant,Vector Analysis
7,b,https://i.imgur.com/ikCz5NC.png,jeePhysics11,A,B,C,D,2.1,jee,Hindi,arihant,Vector Analysis
8,b,https://i.imgur.com/WiUXirj.png,jeePhysics11,A,B,C,D,2.1,jee,Hindi,arihant,Vector Analysis
9,a,https://i.imgur.com/5ki9sVC.png,jeePhysics11,A,B,C,D,2.1,jee,Hindi,arihant,Vector Analysis
10,a,https://i.imgur.com/PJfMuVu.png,jeePhysics11,A,B,C,D,2.1,jee,Hindi,arihant,Vector Analysis
11,a,https://i.imgur.com/uDTKun5.png,jeePhysics11,A,B,C,D,2.1,jee,Hindi,arihant,Vector Analysis
12,c,https://i.imgur.com/USyObuP.png,jeePhysics11,A,B,C,D,2.1,jee,Hindi,arihant,Vector Analysis
13,b,https://i.imgur.com/auZlgg4.png,jeePhysics11,A,B,C,D,2.1,jee,Hindi,arihant,Vector Analysis
14,d,https://i.imgur.com/jTis2pY.png,jeePhysics11,A,B,C,D,2.1,jee,Hindi,arihant,Vector Analysis
15,a,https://i.imgur.com/XaGR3NC.png,jeePhysics11,A,B,C,D,2.1,jee,Hindi,arihant,Vector Analysis
16,b,https://i.imgur.com/n6Eq32m.png,jeePhysics11,A,B,C,D,2.1,jee,Hindi,arihant,Vector Analysis
17,d,https://i.imgur.com/xJBoivn.png,jeePhysics11,A,B,C,D,2.1,jee,Hindi,arihant,Vector Analysis
18,b,https://i.imgur.com/scZoTRn.png,jeePhysics11,A,B,C,D,2.1,jee,Hindi,arihant,Vector Analysis
19,a,https://i.imgur.com/uySuQss.png,jeePhysics11,A,B,C,D,2.1,jee,Hindi,arihant,Vector Analysis
20,c,https://i.imgur.com/mpklhZj.png,jeePhysics11,A,B,C,D,2.1,jee,Hindi,arihant,Vector Analysis
21,c,https://i.imgur.com/a2zgrXG.png,jeePhysics11,A,B,C,D,2.1,jee,Hindi,arihant,Vector Analysis
22,b,https://i.imgur.com/GXPcdPr.png,jeePhysics11,A,B,C,D,2.1,jee,Hindi,arihant,Vector Analysis
23,c,https://i.imgur.com/boR7Bq4.png,jeePhysics11,A,B,C,D,2.1,jee,Hindi,arihant,Vector Analysis
24,c,https://i.imgur.com/rr1OaEQ.png,jeePhysics11,A,B,C,D,2.1,jee,Hindi,arihant,Vector Analysis
25,a,https://i.imgur.com/b2AK0Ap.png,jeePhysics11,A,B,C,D,2.1,jee,Hindi,arihant,Vector Analysis
26,b,https://i.imgur.com/g7CGgwn.png,jeePhysics11,A,B,C,D,2.1,jee,Hindi,arihant,Vector Analysis
27,a,https://i.imgur.com/VhcMEoa.png,jeePhysics11,A,B,C,D,2.1,jee,Hindi,arihant,Vector Analysis
28,a,https://i.imgur.com/X3OSapq.png,jeePhysics11,A,B,C,D,2.1,jee,Hindi,arihant,Vector Analysis
29,a,https://i.imgur.com/NTvEZfy.png,jeePhysics11,A,B,C,D,2.1,jee,Hindi,arihant,Vector Analysis
30,d,https://i.imgur.com/vqT3Ehk.png,jeePhysics11,A,B,C,D,2.1,jee,Hindi,arihant,Vector Analysis
31,c,https://i.imgur.com/abcDWN7.png,jeePhysics11,A,B,C,D,2.1,jee,Hindi,arihant,Vector Analysis
32,a,https://i.imgur.com/5jpnGt2.png,jeePhysics11,A,B,C,D,2.1,jee,Hindi,arihant,Vector Analysis
33,b,https://i.imgur.com/RmknbRy.png,jeePhysics11,A,B,C,D,2.1,jee,Hindi,arihant,Vector Analysis
34,a,https://i.imgur.com/4mNUr0l.png,jeePhysics11,A,B,C,D,2.1,jee,Hindi,arihant,Vector Analysis
36,d,https://i.imgur.com/6dVvjrB.png,jeePhysics11,A,B,C,D,2.1,jee,Hindi,arihant,Vector Analysis
37,b,https://i.imgur.com/F9JqhGX.png,jeePhysics11,A,B,C,D,2.1,jee,Hindi,arihant,Vector Analysis
38,a,https://i.imgur.com/VyuVkRS.png,jeePhysics11,A,B,C,D,2.1,jee,Hindi,arihant,Vector Analysis
39,a,https://i.imgur.com/C8thsgV.png,jeePhysics11,A,B,C,D,2.1,jee,Hindi,arihant,Vector Analysis
40,b,https://i.imgur.com/qyILXCB.png,jeePhysics11,A,B,C,D,2.1,jee,Hindi,arihant,Vector Analysis
41,a,https://i.imgur.com/s4Jc4IC.png,jeePhysics11,A,B,C,D,2.1,jee,Hindi,arihant,Vector Analysis
42,a,https://i.imgur.com/O3j2q2h.png,jeePhysics11,A,B,C,D,2.1,jee,Hindi,arihant,Vector Analysis
43,d,https://i.imgur.com/T8sfrMC.png,jeePhysics11,A,B,C,D,2.1,jee,Hindi,arihant,Vector Analysis
