sl.no,correct,QuestionLink,section_type,optA,optB,optC,optD,category,usedFor,lang,source
2,c,https://i.imgur.com/dPLmxVL.png,GK,A,B,C,D,1.1,april,Hindi,JEN
3,c,https://i.imgur.com/GmtHl6r.png,GK,A,B,C,D,1.1,april,Hindi,JEN
4,c,https://i.imgur.com/HrQjFot.png,GK,A,B,C,D,1.1,april,Hindi,JEN
6,d,https://i.imgur.com/P5idnUQ.png,GK,A,B,C,D,1.1,april,Hindi,JEN
7,a,https://i.imgur.com/sZ81jOX.png,GK,A,B,C,D,1.1,april,Hindi,JEN
8,d,https://i.imgur.com/MNeGw97.png,GK,A,B,C,D,1.1,april,Hindi,JEN
9,a,https://i.imgur.com/Wl3SGAE.png,GK,A,B,C,D,1.1,april,Hindi,JEN
10,d,https://i.imgur.com/S0PVUfi.png,GK,A,B,C,D,1.1,april,Hindi,JEN
11,b,https://i.imgur.com/P748RNq.png,GK,A,B,C,D,1.1,april,Hindi,JEN
12,a,https://i.imgur.com/mc5ImXJ.png,GK,A,B,C,D,1.1,april,Hindi,JEN
13,c,https://i.imgur.com/dyKBkGe.png,GK,A,B,C,D,1.1,april,Hindi,JEN
14,a,https://i.imgur.com/iK98GzX.png,GK,A,B,C,D,1.1,april,Hindi,JEN
15,b,https://i.imgur.com/AUOkjvU.png,GK,A,B,C,D,1.1,april,Hindi,JEN
16,a,https://i.imgur.com/TXrgPW9.png,GK,A,B,C,D,1.1,april,Hindi,JEN
17,a,https://i.imgur.com/qqJHnDQ.png,GK,A,B,C,D,1.1,april,Hindi,JEN
19,c,https://i.imgur.com/4BczhlH.png,GK,A,B,C,D,1.1,april,Hindi,JEN
20,d,https://i.imgur.com/q7OujAL.png,GK,A,B,C,D,1.1,april,Hindi,JEN
21,b,https://i.imgur.com/E2fwrdi.png,GK,A,B,C,D,1.1,april,Hindi,JEN
22,c,https://i.imgur.com/b2D5xLD.png,GK,A,B,C,D,1.1,april,Hindi,JEN
23,c,https://i.imgur.com/HpLyUlg.png,GK,A,B,C,D,1.1,april,Hindi,JEN
24,b,https://i.imgur.com/dFpu87W.png,GK,A,B,C,D,1.1,april,Hindi,JEN
25,d,https://i.imgur.com/l8YilkM.png,GK,A,B,C,D,1.1,april,Hindi,JEN
26,d,https://i.imgur.com/qD9QCmb.png,GK,A,B,C,D,1.1,april,Hindi,JEN
27,d,https://i.imgur.com/S0ZJs8o.png,GK,A,B,C,D,1.1,april,Hindi,JEN
28,b,https://i.imgur.com/opgQ6ca.png,GK,A,B,C,D,1.1,april,Hindi,JEN
29,b,https://i.imgur.com/Z3WRGnc.png,GK,A,B,C,D,1.1,april,Hindi,JEN
30,c,https://i.imgur.com/w4FGDMA.png,GK,A,B,C,D,1.1,april,Hindi,JEN
31,c,https://i.imgur.com/CWOHZ8n.png,GK,A,B,C,D,1.1,april,Hindi,JEN
32,b,https://i.imgur.com/e3py063.png,GK,A,B,C,D,1.1,april,Hindi,JEN
33,b,https://i.imgur.com/R5DOJ8p.png,GK,A,B,C,D,1.1,april,Hindi,JEN
34,a,https://i.imgur.com/aAtBSuN.png,GK,A,B,C,D,1.1,april,Hindi,JEN
35,c,https://i.imgur.com/xR36pdw.png,GK,A,B,C,D,1.1,april,Hindi,JEN
36,d,https://i.imgur.com/WUuDEo7.png,GK,A,B,C,D,1.1,april,Hindi,JEN
38,c,https://i.imgur.com/Gjn5p3M.png,GK,A,B,C,D,1.1,april,Hindi,JEN
39,a,https://i.imgur.com/3NhJtwZ.png,GK,A,B,C,D,1.1,april,Hindi,JEN
40,d,https://i.imgur.com/IwF6iVZ.png,GK,A,B,C,D,1.1,april,Hindi,JEN
41,a,https://i.imgur.com/aCFCLFi.png,GK,A,B,C,D,1.1,april,Hindi,JEN
42,c,https://i.imgur.com/b9nC84b.png,GK,A,B,C,D,1.1,april,Hindi,JEN
44,d,https://i.imgur.com/j6wrjJJ.png,GK,A,B,C,D,1.1,april,Hindi,JEN
45,d,https://i.imgur.com/RDe2AI7.png,GK,A,B,C,D,1.1,april,Hindi,JEN
46,d,https://i.imgur.com/rjn2c1o.png,GK,A,B,C,D,1.1,april,Hindi,JEN
47,b,https://i.imgur.com/y8OY8AQ.png,GK,A,B,C,D,1.1,april,Hindi,JEN
48,c,https://i.imgur.com/H8va9Va.png,GK,A,B,C,D,1.1,april,Hindi,JEN
50,d,https://i.imgur.com/pV31j5V.png,GK,A,B,C,D,1.1,april,Hindi,JEN
51,c,https://i.imgur.com/uAPxBoi.png,GK,A,B,C,D,1.1,april,Hindi,JEN
52,d,https://i.imgur.com/NoWgJAJ.png,GK,A,B,C,D,1.1,april,Hindi,JEN
53,d,https://i.imgur.com/snDrlEM.png,GK,A,B,C,D,1.1,april,Hindi,JEN
54,a,https://i.imgur.com/EGQvGrg.png,GK,A,B,C,D,1.1,april,Hindi,JEN
56,c,https://i.imgur.com/LQ0xpXC.png,GK,A,B,C,D,1.1,april,Hindi,JEN
57,d,https://i.imgur.com/xf9wrkL.png,GK,A,B,C,D,1.1,april,Hindi,JEN
58,b,https://i.imgur.com/qaJqbhp.png,GK,A,B,C,D,1.1,april,Hindi,JEN
59,c,https://i.imgur.com/6aZCCT5.png,GK,A,B,C,D,1.1,april,Hindi,JEN
60,a,https://i.imgur.com/bNRUJAG.png,GK,A,B,C,D,1.1,april,Hindi,JEN
61,d,https://i.imgur.com/ME7zrBI.png,GK,A,B,C,D,1.1,april,Hindi,JEN
62,a,https://i.imgur.com/3oDiNZZ.png,GK,A,B,C,D,1.1,april,Hindi,JEN
63,a,https://i.imgur.com/wrHgTKt.png,GK,A,B,C,D,1.1,april,Hindi,JEN
64,b,https://i.imgur.com/eNVpL4v.png,GK,A,B,C,D,1.1,april,Hindi,JEN
66,b,https://i.imgur.com/Vo906s5.png,GK,A,B,C,D,1.1,april,Hindi,JEN
67,c,https://i.imgur.com/uus58Q3.png,GK,A,B,C,D,1.1,april,Hindi,JEN
68,d,https://i.imgur.com/SR8TlmI.png,GK,A,B,C,D,1.1,april,Hindi,JEN
69,d,https://i.imgur.com/Pnu4PO0.png,GK,A,B,C,D,1.1,april,Hindi,JEN
70,c,https://i.imgur.com/7fLaUU9.png,GK,A,B,C,D,1.1,april,Hindi,JEN
71,b,https://i.imgur.com/U4Wl6zq.png,GK,A,B,C,D,1.1,april,Hindi,JEN
72,d,https://i.imgur.com/XGlO1hG.png,GK,A,B,C,D,1.1,april,Hindi,JEN
73,d,https://i.imgur.com/7mSzcoY.png,GK,A,B,C,D,1.1,april,Hindi,JEN
74,c,https://i.imgur.com/eeLjwQj.png,GK,A,B,C,D,1.1,april,Hindi,JEN
75,c,https://i.imgur.com/oMYwhmy.png,GK,A,B,C,D,1.1,april,Hindi,JEN
76,a,https://i.imgur.com/K4R96Do.png,GK,A,B,C,D,1.1,april,Hindi,JEN
77,d,https://i.imgur.com/jiFcHMg.png,GK,A,B,C,D,1.1,april,Hindi,JEN
79,c,https://i.imgur.com/UgkAKC4.png,GK,A,B,C,D,1.1,april,Hindi,JEN
80,c,https://i.imgur.com/J9rIqAC.png,GK,A,B,C,D,1.1,april,Hindi,JEN
81,c,https://i.imgur.com/cyqLRYv.png,GK,A,B,C,D,1.1,april,Hindi,JEN
82,d,https://i.imgur.com/4S4qp8v.png,GK,A,B,C,D,1.1,april,Hindi,JEN
83,b,https://i.imgur.com/hIWkvcv.png,GK,A,B,C,D,1.1,april,Hindi,JEN
85,c,https://i.imgur.com/C0jsAQI.png,GK,A,B,C,D,1.1,april,Hindi,JEN
86,b,https://i.imgur.com/hb1r68l.png,GK,A,B,C,D,1.1,april,Hindi,JEN
87,c,https://i.imgur.com/TkSmDGT.png,GK,A,B,C,D,1.1,april,Hindi,JEN
88,a,https://i.imgur.com/ZtMj5iE.png,GK,A,B,C,D,1.1,april,Hindi,JEN
89,d,https://i.imgur.com/xoBcBdV.png,GK,A,B,C,D,1.1,april,Hindi,JEN
91,c,https://i.imgur.com/GmJ82OS.png,GK,A,B,C,D,1.1,april,Hindi,JEN
92,a,https://i.imgur.com/fnC8Izx.png,GK,A,B,C,D,1.1,april,Hindi,JEN
93,c,https://i.imgur.com/ASi9A5h.png,GK,A,B,C,D,1.1,april,Hindi,JEN
94,d,https://i.imgur.com/ulNf7mF.png,GK,A,B,C,D,1.1,april,Hindi,JEN
95,d,https://i.imgur.com/0K9sZS1.png,GK,A,B,C,D,1.1,april,Hindi,JEN
96,c,https://i.imgur.com/cAMuqUe.png,GK,A,B,C,D,1.1,april,Hindi,JEN
97,a,https://i.imgur.com/A4bjItt.png,GK,A,B,C,D,1.1,april,Hindi,JEN
98,d,https://i.imgur.com/4clAU4N.png,GK,A,B,C,D,1.1,april,Hindi,JEN
99,d,https://i.imgur.com/uQGYHvb.png,GK,A,B,C,D,1.1,april,Hindi,JEN
100,b,https://i.imgur.com/mJlbHyl.png,GK,A,B,C,D,1.1,april,Hindi,JEN
101,a,https://i.imgur.com/bFoLuUy.png,GK,A,B,C,D,1.1,april,Hindi,JEN
103,a,https://i.imgur.com/nT3N2A3.png,GK,A,B,C,D,1.1,april,Hindi,JEN
104,d,https://i.imgur.com/ky81V2T.png,GK,A,B,C,D,1.1,april,Hindi,JEN
105,b,https://i.imgur.com/t4s3LGm.png,GK,A,B,C,D,1.1,april,Hindi,JEN
106,b,https://i.imgur.com/75YUBHO.png,GK,A,B,C,D,1.1,april,Hindi,JEN
107,d,https://i.imgur.com/GaRZvLo.png,GK,A,B,C,D,1.1,april,Hindi,JEN
108,b,https://i.imgur.com/7hyORUO.png,GK,A,B,C,D,1.1,april,Hindi,JEN
109,b,https://i.imgur.com/JjMyLuO.png,GK,A,B,C,D,1.1,april,Hindi,JEN
110,b,https://i.imgur.com/pEhMPYl.png,GK,A,B,C,D,1.1,april,Hindi,JEN
111,d,https://i.imgur.com/1dubpwG.png,GK,A,B,C,D,1.1,april,Hindi,JEN
112,d,https://i.imgur.com/Ls8p0yF.png,GK,A,B,C,D,1.1,april,Hindi,JEN
113,a,https://i.imgur.com/Sk79jQ1.png,GK,A,B,C,D,1.1,april,Hindi,JEN
115,d,https://i.imgur.com/67scVCG.png,GK,A,B,C,D,1.1,april,Hindi,JEN
116,b,https://i.imgur.com/dZ2O5gi.png,GK,A,B,C,D,1.1,april,Hindi,JEN
117,a,https://i.imgur.com/elJMFYp.png,GK,A,B,C,D,1.1,april,Hindi,JEN
118,b,https://i.imgur.com/SEiNyDL.png,GK,A,B,C,D,1.1,april,Hindi,JEN
119,d,https://i.imgur.com/S9PcABe.png,GK,A,B,C,D,1.1,april,Hindi,JEN
120,d,https://i.imgur.com/YF31fnk.png,GK,A,B,C,D,1.1,april,Hindi,JEN
121,c,https://i.imgur.com/cHWo0QB.png,GK,A,B,C,D,1.1,april,Hindi,JEN
122,d,https://i.imgur.com/QddcNxF.png,GK,A,B,C,D,1.1,april,Hindi,JEN
123,c,https://i.imgur.com/x9NJSUC.png,GK,A,B,C,D,1.1,april,Hindi,JEN
124,b,https://i.imgur.com/t4sqjzi.png,GK,A,B,C,D,1.1,april,Hindi,JEN
125,b,https://i.imgur.com/pqImYa6.png,GK,A,B,C,D,1.1,april,Hindi,JEN
126,d,https://i.imgur.com/8EyrHtc.png,GK,A,B,C,D,1.1,april,Hindi,JEN
128,b,https://i.imgur.com/XPLCBIV.png,GK,A,B,C,D,1.1,april,Hindi,JEN
129,a,https://i.imgur.com/cluCxza.png,GK,A,B,C,D,1.1,april,Hindi,JEN
130,d,https://i.imgur.com/3JuJMC3.png,GK,A,B,C,D,1.1,april,Hindi,JEN
131,c,https://i.imgur.com/Rz1o18y.png,GK,A,B,C,D,1.1,april,Hindi,JEN
