sl.no.,correct,QuestionLink,section type,optA,optB,optC,optD,category,usedFor,lang,source
1,a,https://i.imgur.com/Yl1ZEL4.png,Maths,A,B,C,D,12.1,SSC,Bi,rk_yadav
2,c,https://i.imgur.com/tJmXp8o.png,Maths,A,B,C,D,12.1,SSC,Bi,rk_yadav
3,b,https://i.imgur.com/Sr03RkT.png,Maths,A,B,C,D,12.1,SSC,Bi,rk_yadav
4,c,https://i.imgur.com/YojmD9H.png,Maths,A,B,C,D,12.1,SSC,Bi,rk_yadav
5,b,https://i.imgur.com/VVpWjIs.png,Maths,A,B,C,D,12.1,SSC,Bi,rk_yadav
7,a,https://i.imgur.com/pWTGpyl.png,Maths,A,B,C,D,12.1,SSC,Bi,rk_yadav
8,d,https://i.imgur.com/dOusd0I.png,Maths,A,B,C,D,12.1,SSC,Bi,rk_yadav
9,d,https://i.imgur.com/iflwRFW.png,Maths,A,B,C,D,12.1,SSC,Bi,rk_yadav
10,b,https://i.imgur.com/fxoLPTz.png,Maths,A,B,C,D,12.1,SSC,Bi,rk_yadav
12,d,https://i.imgur.com/XayhKvn.png,Maths,A,B,C,D,12.1,SSC,Bi,rk_yadav
13,d,https://i.imgur.com/dLLRpvl.png,Maths,A,B,C,D,12.1,SSC,Bi,rk_yadav
14,c,https://i.imgur.com/UbppAAa.png,Maths,A,B,C,D,12.1,SSC,Bi,rk_yadav
16,b,https://i.imgur.com/G0kFguY.png,Maths,A,B,C,D,12.1,SSC,Bi,rk_yadav
17,d,https://i.imgur.com/r0ziWRE.png,Maths,A,B,C,D,12.1,SSC,Bi,rk_yadav
18,b,https://i.imgur.com/s47avoP.png,Maths,A,B,C,D,12.1,SSC,Bi,rk_yadav
19,b,https://i.imgur.com/0Pzkjro.png,Maths,A,B,C,D,12.1,SSC,Bi,rk_yadav
20,d,https://i.imgur.com/kOiYBcX.png,Maths,A,B,C,D,12.1,SSC,Bi,rk_yadav
21,d,https://i.imgur.com/a1pBkjz.png,Maths,A,B,C,D,12.1,SSC,Bi,rk_yadav
22,c,https://i.imgur.com/sWvfmlp.png,Maths,A,B,C,D,12.1,SSC,Bi,rk_yadav
23,c,https://i.imgur.com/nVmPM9P.png,Maths,A,B,C,D,12.1,SSC,Bi,rk_yadav
24,c,https://i.imgur.com/QtyGE6s.png,Maths,A,B,C,D,12.1,SSC,Bi,rk_yadav
25,c,https://i.imgur.com/DnoDSxO.png,Maths,A,B,C,D,12.1,SSC,Bi,rk_yadav
27,d,https://i.imgur.com/7KdHWTy.png,Maths,A,B,C,D,12.1,SSC,Bi,rk_yadav
28,a,https://i.imgur.com/OAp7dzr.png,Maths,A,B,C,D,12.1,SSC,Bi,rk_yadav
29,c,https://i.imgur.com/7NxsH4P.png,Maths,A,B,C,D,12.1,SSC,Bi,rk_yadav
30,d,https://i.imgur.com/CgBKdWt.png,Maths,A,B,C,D,12.1,SSC,Bi,rk_yadav
32,c,https://i.imgur.com/qYsHalZ.png,Maths,A,B,C,D,12.1,SSC,Bi,rk_yadav
33,d,https://i.imgur.com/bR8rAaL.png,Maths,A,B,C,D,12.1,SSC,Bi,rk_yadav
35,b,https://i.imgur.com/qdDAudE.png,Maths,A,B,C,D,12.1,SSC,Bi,rk_yadav
36,b,https://i.imgur.com/N8Mh8ld.png,Maths,A,B,C,D,12.1,SSC,Bi,rk_yadav
37,a,https://i.imgur.com/gj5Wsli.png,Maths,A,B,C,D,12.1,SSC,Bi,rk_yadav
38,b,https://i.imgur.com/FXpTMfS.png,Maths,A,B,C,D,12.1,SSC,Bi,rk_yadav
40,b,https://i.imgur.com/0KZzGhu.png,Maths,A,B,C,D,12.1,SSC,Bi,rk_yadav
41,a,https://i.imgur.com/qlO6Lhp.png,Maths,A,B,C,D,12.1,SSC,Bi,rk_yadav
42,b,https://i.imgur.com/h0eC44D.png,Maths,A,B,C,D,12.1,SSC,Bi,rk_yadav
44,a,https://i.imgur.com/Y6bys54.png,Maths,A,B,C,D,12.1,SSC,Bi,rk_yadav
45,c,https://i.imgur.com/9Tep2dy.png,Maths,A,B,C,D,12.1,SSC,Bi,rk_yadav
46,c,https://i.imgur.com/SYKsA1v.png,Maths,A,B,C,D,12.1,SSC,Bi,rk_yadav
47,a,https://i.imgur.com/5JgmFVS.png,Maths,A,B,C,D,12.1,SSC,Bi,rk_yadav
49,a,https://i.imgur.com/Fd6fXE2.png,Maths,A,B,C,D,12.1,SSC,Bi,rk_yadav
50,c,https://i.imgur.com/hea1fph.png,Maths,A,B,C,D,12.1,SSC,Bi,rk_yadav
51,b,https://i.imgur.com/4bqXIWg.png,Maths,A,B,C,D,12.1,SSC,Bi,rk_yadav
52,b,https://i.imgur.com/kOVH1o9.png,Maths,A,B,C,D,12.1,SSC,Bi,rk_yadav
54,c,https://i.imgur.com/C0kCD8Q.png,Maths,A,B,C,D,12.1,SSC,Bi,rk_yadav
55,b,https://i.imgur.com/yoGnkq2.png,Maths,A,B,C,D,12.1,SSC,Bi,rk_yadav
56,a,https://i.imgur.com/76za5w1.png,Maths,A,B,C,D,12.1,SSC,Bi,rk_yadav
58,c,https://i.imgur.com/bmjMZ2d.png,Maths,A,B,C,D,12.1,SSC,Bi,rk_yadav
59,b,https://i.imgur.com/X6PJyL1.png,Maths,A,B,C,D,12.1,SSC,Bi,rk_yadav
60,c,https://i.imgur.com/8EpQmpg.png,Maths,A,B,C,D,12.1,SSC,Bi,rk_yadav
62,c,https://i.imgur.com/5E0sfkE.png,Maths,A,B,C,D,12.1,SSC,Bi,rk_yadav
63,a,https://i.imgur.com/UjM4ASe.png,Maths,A,B,C,D,12.1,SSC,Bi,rk_yadav
64,a,https://i.imgur.com/XizoBJn.png,Maths,A,B,C,D,12.1,SSC,Bi,rk_yadav
65,d,https://i.imgur.com/GF69V0g.png,Maths,A,B,C,D,12.1,SSC,Bi,rk_yadav
67,c,https://i.imgur.com/KRaGEFX.png,Maths,A,B,C,D,12.1,SSC,Bi,rk_yadav
68,b,https://i.imgur.com/Ol6Oh4M.png,Maths,A,B,C,D,12.1,SSC,Bi,rk_yadav
69,a,https://i.imgur.com/wYV753i.png,Maths,A,B,C,D,12.1,SSC,Bi,rk_yadav
70,a,https://i.imgur.com/96HbjgT.png,Maths,A,B,C,D,12.1,SSC,Bi,rk_yadav
71,b,https://i.imgur.com/XjiYl87.png,Maths,A,B,C,D,12.1,SSC,Bi,rk_yadav
72,b,https://i.imgur.com/mMUxOQo.png,Maths,A,B,C,D,12.1,SSC,Bi,rk_yadav
73,b,https://i.imgur.com/8Sx53dB.png,Maths,A,B,C,D,12.1,SSC,Bi,rk_yadav
74,b,https://i.imgur.com/pBhzMWP.png,Maths,A,B,C,D,12.1,SSC,Bi,rk_yadav
76,c,https://i.imgur.com/VVzcIkN.png,Maths,A,B,C,D,12.1,SSC,Bi,rk_yadav
77,b,https://i.imgur.com/cnLV4BL.png,Maths,A,B,C,D,12.1,SSC,Bi,rk_yadav
78,c,https://i.imgur.com/4vczUkX.png,Maths,A,B,C,D,12.1,SSC,Bi,rk_yadav
79,c,https://i.imgur.com/QPJCeDj.png,Maths,A,B,C,D,12.1,SSC,Bi,rk_yadav
80,c,https://i.imgur.com/J8rmKiJ.png,Maths,A,B,C,D,12.1,SSC,Bi,rk_yadav
81,c,https://i.imgur.com/QamUzjl.png,Maths,A,B,C,D,12.1,SSC,Bi,rk_yadav
82,a,https://i.imgur.com/4tp588U.png,Maths,A,B,C,D,12.1,SSC,Bi,rk_yadav
84,b,https://i.imgur.com/rwNb0tU.png,Maths,A,B,C,D,12.1,SSC,Bi,rk_yadav
85,b,https://i.imgur.com/dhS72MN.png,Maths,A,B,C,D,12.1,SSC,Bi,rk_yadav
86,d,https://i.imgur.com/kbNoVX5.png,Maths,A,B,C,D,12.1,SSC,Bi,rk_yadav
88,d,https://i.imgur.com/P3by3MS.png,Maths,A,B,C,D,12.1,SSC,Bi,rk_yadav
89,c,https://i.imgur.com/9tvvhxS.png,Maths,A,B,C,D,12.1,SSC,Bi,rk_yadav
90,d,https://i.imgur.com/dQVsW0L.png,Maths,A,B,C,D,12.1,SSC,Bi,rk_yadav
91,b,https://i.imgur.com/gfnZGit.png,Maths,A,B,C,D,12.1,SSC,Bi,rk_yadav
93,b,https://i.imgur.com/GINthkp.png,Maths,A,B,C,D,12.1,SSC,Bi,rk_yadav
94,a,https://i.imgur.com/NbErqzs.png,Maths,A,B,C,D,12.1,SSC,Bi,rk_yadav
95,d,https://i.imgur.com/N1V6VoZ.png,Maths,A,B,C,D,12.1,SSC,Bi,rk_yadav
96,b,https://i.imgur.com/qrl0QfT.png,Maths,A,B,C,D,12.1,SSC,Bi,rk_yadav
98,d,https://i.imgur.com/8GAXlGV.png,Maths,A,B,C,D,12.1,SSC,Bi,rk_yadav
99,a,https://i.imgur.com/bzJ8y8a.png,Maths,A,B,C,D,12.1,SSC,Bi,rk_yadav
100,a,https://i.imgur.com/tYs0s9w.png,Maths,A,B,C,D,12.1,SSC,Bi,rk_yadav
102,d,https://i.imgur.com/JNQdeLV.png,Maths,A,B,C,D,12.1,SSC,Bi,rk_yadav
103,c,https://i.imgur.com/YpcUyOa.png,Maths,A,B,C,D,12.1,SSC,Bi,rk_yadav
104,b,https://i.imgur.com/tEkkayq.png,Maths,A,B,C,D,12.1,SSC,Bi,rk_yadav
106,c,https://i.imgur.com/uMPsuGm.png,Maths,A,B,C,D,12.1,SSC,Bi,rk_yadav
107,d,https://i.imgur.com/AbQjUCB.png,Maths,A,B,C,D,12.1,SSC,Bi,rk_yadav
108,a,https://i.imgur.com/8QEgw9z.png,Maths,A,B,C,D,12.1,SSC,Bi,rk_yadav
109,c,https://i.imgur.com/RhL7zC6.png,Maths,A,B,C,D,12.1,SSC,Bi,rk_yadav
110,c,https://i.imgur.com/D5vnIZa.png,Maths,A,B,C,D,12.1,SSC,Bi,rk_yadav
111,d,https://i.imgur.com/eR0itf0.png,Maths,A,B,C,D,12.1,SSC,Bi,rk_yadav
112,d,https://i.imgur.com/cVcJvZl.png,Maths,A,B,C,D,12.1,SSC,Bi,rk_yadav
113,c,https://i.imgur.com/947VVtG.png,Maths,A,B,C,D,12.1,SSC,Bi,rk_yadav
114,d,https://i.imgur.com/RyRtbWn.png,Maths,A,B,C,D,12.1,SSC,Bi,rk_yadav
115,a,https://i.imgur.com/puaQXHO.png,Maths,A,B,C,D,12.1,SSC,Bi,rk_yadav
116,d,https://i.imgur.com/V4hgIwh.png,Maths,A,B,C,D,12.1,SSC,Bi,rk_yadav
117,c,https://i.imgur.com/2okS7t2.png,Maths,A,B,C,D,12.1,SSC,Bi,rk_yadav
119,c,https://i.imgur.com/DGi5lls.png,Maths,A,B,C,D,12.1,SSC,Bi,rk_yadav
120,b,https://i.imgur.com/xtlUhGd.png,Maths,A,B,C,D,12.1,SSC,Bi,rk_yadav
121,d,https://i.imgur.com/r8Dx6Ed.png,Maths,A,B,C,D,12.1,SSC,Bi,rk_yadav
122,d,https://i.imgur.com/oKWCe2e.png,Maths,A,B,C,D,12.1,SSC,Bi,rk_yadav
124,b,https://i.imgur.com/4Npls5C.png,Maths,A,B,C,D,12.1,SSC,Bi,rk_yadav
125,b,https://i.imgur.com/qm4Y0ti.png,Maths,A,B,C,D,12.1,SSC,Bi,rk_yadav
126,d,https://i.imgur.com/XbJuxY1.png,Maths,A,B,C,D,12.1,SSC,Bi,rk_yadav
127,c,https://i.imgur.com/CrxAVdn.png,Maths,A,B,C,D,12.1,SSC,Bi,rk_yadav
128,c,https://i.imgur.com/i33Xmt2.png,Maths,A,B,C,D,12.1,SSC,Bi,rk_yadav
129,a,https://i.imgur.com/hPpW78Z.png,Maths,A,B,C,D,12.1,SSC,Bi,rk_yadav
130,d,https://i.imgur.com/KOwLoMP.png,Maths,A,B,C,D,12.1,SSC,Bi,rk_yadav
132,c,https://i.imgur.com/XI47aug.png,Maths,A,B,C,D,12.1,SSC,Bi,rk_yadav
133,c,https://i.imgur.com/2jYweS3.png,Maths,A,B,C,D,12.1,SSC,Bi,rk_yadav
134,c,https://i.imgur.com/asXkpPH.png,Maths,A,B,C,D,12.1,SSC,Bi,rk_yadav
136,a,https://i.imgur.com/cuLzLW0.png,Maths,A,B,C,D,12.1,SSC,Bi,rk_yadav
137,c,https://i.imgur.com/Kx5Yrd7.png,Maths,A,B,C,D,12.1,SSC,Bi,rk_yadav
138,b,https://i.imgur.com/ohSCmUI.png,Maths,A,B,C,D,12.1,SSC,Bi,rk_yadav
140,d,https://i.imgur.com/zHIRprV.png,Maths,A,B,C,D,12.1,SSC,Bi,rk_yadav
