s.no,correct,QuestionLink,section_type,optA,optB,optC,optD,category,usedFor,lang,source
1,d,https://i.imgur.com/5qdYDX2.png,Maths,A,B,C,D,23.1,rk_yadav,Bi,JEN
2,c,https://i.imgur.com/RhzxWHM.png,Maths,A,B,C,D,23.1,rk_yadav,Bi,JEN
3,d,https://i.imgur.com/V4uFw4t.png,Maths,A,B,C,D,23.1,rk_yadav,Bi,JEN
4,a,https://i.imgur.com/R4yoeWW.png,Maths,A,B,C,D,23.1,rk_yadav,Bi,JEN
5,b,https://i.imgur.com/S72UeXI.png,Maths,A,B,C,D,23.1,rk_yadav,Bi,JEN
7,d,https://i.imgur.com/oJpjttb.png,Maths,A,B,C,D,23.1,rk_yadav,Bi,JEN
8,a,https://i.imgur.com/RzVc4IC.png,Maths,A,B,C,D,23.1,rk_yadav,Bi,JEN
9,d,https://i.imgur.com/uHwk4fE.png,Maths,A,B,C,D,23.1,rk_yadav,Bi,JEN
10,a,https://i.imgur.com/i1gOF5t.png,Maths,A,B,C,D,23.1,rk_yadav,Bi,JEN
12,c,https://i.imgur.com/BuI0BNo.png,Maths,A,B,C,D,23.1,rk_yadav,Bi,JEN
13,d,https://i.imgur.com/hG3CfB6.png,Maths,A,B,C,D,23.1,rk_yadav,Bi,JEN
14,c,https://i.imgur.com/DMC3FGN.png,Maths,A,B,C,D,23.1,rk_yadav,Bi,JEN
15,b,https://i.imgur.com/mJPo7iL.png,Maths,A,B,C,D,23.1,rk_yadav,Bi,JEN
16,d,https://i.imgur.com/lveShrf.png,Maths,A,B,C,D,23.1,rk_yadav,Bi,JEN
18,b,https://i.imgur.com/37vkua1.png,Maths,A,B,C,D,23.1,rk_yadav,Bi,JEN
19,a,https://i.imgur.com/oSiwL8j.png,Maths,A,B,C,D,23.1,rk_yadav,Bi,JEN
20,c,https://i.imgur.com/7O4gllG.png,Maths,A,B,C,D,23.1,rk_yadav,Bi,JEN
21,d,https://i.imgur.com/2QAuguT.png,Maths,A,B,C,D,23.1,rk_yadav,Bi,JEN
23,d,https://i.imgur.com/l0ewhHu.png,Maths,A,B,C,D,23.1,rk_yadav,Bi,JEN
24,b,https://i.imgur.com/iY1UZ5j.png,Maths,A,B,C,D,23.1,rk_yadav,Bi,JEN
25,c,https://i.imgur.com/UjREd6u.png,Maths,A,B,C,D,23.1,rk_yadav,Bi,JEN
27,b,https://i.imgur.com/RAH9tdg.png,Maths,A,B,C,D,23.1,rk_yadav,Bi,JEN
28,d,https://i.imgur.com/WvrenrL.png,Maths,A,B,C,D,23.1,rk_yadav,Bi,JEN
29,c,https://i.imgur.com/nuKh9lj.png,Maths,A,B,C,D,23.1,rk_yadav,Bi,JEN
30,a,https://i.imgur.com/HzdIDib.png,Maths,A,B,C,D,23.1,rk_yadav,Bi,JEN
