sl.no.,correct,QuestionLink,section type,optA,optB,optC,optD,category,usedFor,lang,source
1,c,https://i.imgur.com/Bs9eV54.png,Maths,A,B,C,D,22.1,SSC,Bi,rk_yadav
2,b,https://i.imgur.com/vq5nSUA.png,Maths,A,B,C,D,22.1,SSC,Bi,rk_yadav
3,b,https://i.imgur.com/lKeScY1.png,Maths,A,B,C,D,22.1,SSC,Bi,rk_yadav
4,c,https://i.imgur.com/Gk1F0dc.png,Maths,A,B,C,D,22.1,SSC,Bi,rk_yadav
5,c,https://i.imgur.com/JR6Bxoq.png,Maths,A,B,C,D,22.1,SSC,Bi,rk_yadav
6,d,https://i.imgur.com/6Y88fhS.png,Maths,A,B,C,D,22.1,SSC,Bi,rk_yadav
7,c,https://i.imgur.com/8r4d1CE.png,Maths,A,B,C,D,22.1,SSC,Bi,rk_yadav
8,d,https://i.imgur.com/ithP1qX.png,Maths,A,B,C,D,22.1,SSC,Bi,rk_yadav
9,b,https://i.imgur.com/8adNUyj.png,Maths,A,B,C,D,22.1,SSC,Bi,rk_yadav
10,b,https://i.imgur.com/uV97y7g.png,Maths,A,B,C,D,22.1,SSC,Bi,rk_yadav
11,b,https://i.imgur.com/FpXW1O5.png,Maths,A,B,C,D,22.1,SSC,Bi,rk_yadav
12,a,https://i.imgur.com/8Vnp56r.png,Maths,A,B,C,D,22.1,SSC,Bi,rk_yadav
13,b,https://i.imgur.com/Fl8mRb3.png,Maths,A,B,C,D,22.1,SSC,Bi,rk_yadav
14,c,https://i.imgur.com/aa8hRpY.png,Maths,A,B,C,D,22.1,SSC,Bi,rk_yadav
15,c,https://i.imgur.com/wc8825M.png,Maths,A,B,C,D,22.1,SSC,Bi,rk_yadav
16,c,https://i.imgur.com/g8xaAZD.png,Maths,A,B,C,D,22.1,SSC,Bi,rk_yadav
17,b,https://i.imgur.com/OWCYlM5.png,Maths,A,B,C,D,22.1,SSC,Bi,rk_yadav
19,a,https://i.imgur.com/9yYTjQW.png,Maths,A,B,C,D,22.1,SSC,Bi,rk_yadav
20,a,https://i.imgur.com/dtlNqVV.png,Maths,A,B,C,D,22.1,SSC,Bi,rk_yadav
21,c,https://i.imgur.com/OV4QfXo.png,Maths,A,B,C,D,22.1,SSC,Bi,rk_yadav
22,d,https://i.imgur.com/BlcjFy9.png,Maths,A,B,C,D,22.1,SSC,Bi,rk_yadav
23,a,https://i.imgur.com/tP1ukAO.png,Maths,A,B,C,D,22.1,SSC,Bi,rk_yadav
24,b,https://i.imgur.com/25RNYsr.png,Maths,A,B,C,D,22.1,SSC,Bi,rk_yadav
25,d,https://i.imgur.com/VA5R4hT.png,Maths,A,B,C,D,22.1,SSC,Bi,rk_yadav
26,b,https://i.imgur.com/xKfJAei.png,Maths,A,B,C,D,22.1,SSC,Bi,rk_yadav
28,a,https://i.imgur.com/ztSNhAJ.png,Maths,A,B,C,D,22.1,SSC,Bi,rk_yadav
29,a,https://i.imgur.com/jgbUOPj.png,Maths,A,B,C,D,22.1,SSC,Bi,rk_yadav
30,a,https://i.imgur.com/BFZXpBG.png,Maths,A,B,C,D,22.1,SSC,Bi,rk_yadav
31,d,https://i.imgur.com/rjquUYC.png,Maths,A,B,C,D,22.1,SSC,Bi,rk_yadav
32,a,https://i.imgur.com/9Tne3w3.png,Maths,A,B,C,D,22.1,SSC,Bi,rk_yadav
34,b,https://i.imgur.com/CbQqteW.png,Maths,A,B,C,D,22.1,SSC,Bi,rk_yadav
35,c,https://i.imgur.com/ttiTe46.png,Maths,A,B,C,D,22.1,SSC,Bi,rk_yadav
36,a,https://i.imgur.com/6GbMTA1.png,Maths,A,B,C,D,22.1,SSC,Bi,rk_yadav
37,d,https://i.imgur.com/7Amikk1.png,Maths,A,B,C,D,22.1,SSC,Bi,rk_yadav
38,b,https://i.imgur.com/H15a2VG.png,Maths,A,B,C,D,22.1,SSC,Bi,rk_yadav
39,d,https://i.imgur.com/HrvJeDe.png,Maths,A,B,C,D,22.1,SSC,Bi,rk_yadav
40,c,https://i.imgur.com/7TnB4L7.png,Maths,A,B,C,D,22.1,SSC,Bi,rk_yadav
41,c,https://i.imgur.com/zwNUy7x.png,Maths,A,B,C,D,22.1,SSC,Bi,rk_yadav
42,b,https://i.imgur.com/Va6tYLX.png,Maths,A,B,C,D,22.1,SSC,Bi,rk_yadav
43,c,https://i.imgur.com/WgTtocn.png,Maths,A,B,C,D,22.1,SSC,Bi,rk_yadav
44,a,https://i.imgur.com/3YQtVsr.png,Maths,A,B,C,D,22.1,SSC,Bi,rk_yadav
45,d,https://i.imgur.com/erk21ik.png,Maths,A,B,C,D,22.1,SSC,Bi,rk_yadav
47,a,https://i.imgur.com/2tBK0Md.png,Maths,A,B,C,D,22.1,SSC,Bi,rk_yadav
48,d,https://i.imgur.com/KzzrNyY.png,Maths,A,B,C,D,22.1,SSC,Bi,rk_yadav
49,c,https://i.imgur.com/R8lSFq1.png,Maths,A,B,C,D,22.1,SSC,Bi,rk_yadav
50,b,https://i.imgur.com/vGhFFNG.png,Maths,A,B,C,D,22.1,SSC,Bi,rk_yadav
51,d,https://i.imgur.com/a71uvMQ.png,Maths,A,B,C,D,22.1,SSC,Bi,rk_yadav
52,a,https://i.imgur.com/5T8lwCH.png,Maths,A,B,C,D,22.1,SSC,Bi,rk_yadav
54,b,https://i.imgur.com/nievyjV.png,Maths,A,B,C,D,22.1,SSC,Bi,rk_yadav
55,d,https://i.imgur.com/lnCSTuB.png,Maths,A,B,C,D,22.1,SSC,Bi,rk_yadav
56,c,https://i.imgur.com/xnnQXhw.png,Maths,A,B,C,D,22.1,SSC,Bi,rk_yadav
57,a,https://i.imgur.com/ETV2iL0.png,Maths,A,B,C,D,22.1,SSC,Bi,rk_yadav
58,d,https://i.imgur.com/iJhrqyN.png,Maths,A,B,C,D,22.1,SSC,Bi,rk_yadav
59,a,https://i.imgur.com/E67hxyS.png,Maths,A,B,C,D,22.1,SSC,Bi,rk_yadav
60,a,https://i.imgur.com/xAD5iYm.png,Maths,A,B,C,D,22.1,SSC,Bi,rk_yadav
61,d,https://i.imgur.com/etXAnp1.png,Maths,A,B,C,D,22.1,SSC,Bi,rk_yadav
63,d,https://i.imgur.com/hYq1wUY.png,Maths,A,B,C,D,22.1,SSC,Bi,rk_yadav
64,d,https://i.imgur.com/MtEuiwJ.png,Maths,A,B,C,D,22.1,SSC,Bi,rk_yadav
65,a,https://i.imgur.com/27LcCqx.png,Maths,A,B,C,D,22.1,SSC,Bi,rk_yadav
66,d,https://i.imgur.com/CIf4Zuw.png,Maths,A,B,C,D,22.1,SSC,Bi,rk_yadav
67,a,https://i.imgur.com/bQDGL2X.png,Maths,A,B,C,D,22.1,SSC,Bi,rk_yadav
68,d,https://i.imgur.com/fke3uD0.png,Maths,A,B,C,D,22.1,SSC,Bi,rk_yadav
70,c,https://i.imgur.com/sXBSB2s.png,Maths,A,B,C,D,22.1,SSC,Bi,rk_yadav
71,c,https://i.imgur.com/0AH7c3x.png,Maths,A,B,C,D,22.1,SSC,Bi,rk_yadav
72,c,https://i.imgur.com/g70iyO4.png,Maths,A,B,C,D,22.1,SSC,Bi,rk_yadav
73,d,https://i.imgur.com/0G8aFsF.png,Maths,A,B,C,D,22.1,SSC,Bi,rk_yadav
75,b,https://i.imgur.com/P6HH4WK.png,Maths,A,B,C,D,22.1,SSC,Bi,rk_yadav
76,b,https://i.imgur.com/QhfqbE3.png,Maths,A,B,C,D,22.1,SSC,Bi,rk_yadav
77,a,https://i.imgur.com/QN5Bnru.png,Maths,A,B,C,D,22.1,SSC,Bi,rk_yadav
78,b,https://i.imgur.com/c3BMqUI.png,Maths,A,B,C,D,22.1,SSC,Bi,rk_yadav
79,c,https://i.imgur.com/Uc0RZkE.png,Maths,A,B,C,D,22.1,SSC,Bi,rk_yadav
80,c,https://i.imgur.com/G3yxVPg.png,Maths,A,B,C,D,22.1,SSC,Bi,rk_yadav
81,a,https://i.imgur.com/zTEsAMs.png,Maths,A,B,C,D,22.1,SSC,Bi,rk_yadav
82,a,https://i.imgur.com/dyVsU8R.png,Maths,A,B,C,D,22.1,SSC,Bi,rk_yadav
83,b,https://i.imgur.com/89N2Nbb.png,Maths,A,B,C,D,22.1,SSC,Bi,rk_yadav
85,d,https://i.imgur.com/XNzf4tw.png,Maths,A,B,C,D,22.1,SSC,Bi,rk_yadav
86,a,https://i.imgur.com/TaGe49P.png,Maths,A,B,C,D,22.1,SSC,Bi,rk_yadav
87,b,https://i.imgur.com/8lnILVZ.png,Maths,A,B,C,D,22.1,SSC,Bi,rk_yadav
88,d,https://i.imgur.com/m4LLkXK.png,Maths,A,B,C,D,22.1,SSC,Bi,rk_yadav
89,d,https://i.imgur.com/G2qhBUf.png,Maths,A,B,C,D,22.1,SSC,Bi,rk_yadav
90,b,https://i.imgur.com/kUZ5QUD.png,Maths,A,B,C,D,22.1,SSC,Bi,rk_yadav
92,b,https://i.imgur.com/ngH7p1u.png,Maths,A,B,C,D,22.1,SSC,Bi,rk_yadav
93,c,https://i.imgur.com/ZWlRoqN.png,Maths,A,B,C,D,22.1,SSC,Bi,rk_yadav
94,d,https://i.imgur.com/GmKWv1X.png,Maths,A,B,C,D,22.1,SSC,Bi,rk_yadav
95,c,https://i.imgur.com/UVWa6au.png,Maths,A,B,C,D,22.1,SSC,Bi,rk_yadav
96,b,https://i.imgur.com/0232ad1.png,Maths,A,B,C,D,22.1,SSC,Bi,rk_yadav
97,b,https://i.imgur.com/L0awrUJ.png,Maths,A,B,C,D,22.1,SSC,Bi,rk_yadav
98,a,https://i.imgur.com/H4aMmuJ.png,Maths,A,B,C,D,22.1,SSC,Bi,rk_yadav
99,c,https://i.imgur.com/HFlPSsD.png,Maths,A,B,C,D,22.1,SSC,Bi,rk_yadav
100,c,https://i.imgur.com/1DIM2bI.png,Maths,A,B,C,D,22.1,SSC,Bi,rk_yadav
101,d,https://i.imgur.com/kkkWLKg.png,Maths,A,B,C,D,22.1,SSC,Bi,rk_yadav
102,a,https://i.imgur.com/cdQDkJS.png,Maths,A,B,C,D,22.1,SSC,Bi,rk_yadav
103,d,https://i.imgur.com/15BJ9kF.png,Maths,A,B,C,D,22.1,SSC,Bi,rk_yadav
104,b,https://i.imgur.com/hPNdiPA.png,Maths,A,B,C,D,22.1,SSC,Bi,rk_yadav
