num,correct,QuestionLink,sectionType,lang,optionA,optionB,optionC,optionD,source,usedFor,category
1,2,https://i.imgur.com/PeppOf4.png,jeeChemistry11,English,A,B,C,D,JITO,IITJEE11,1.1
2,1,https://i.imgur.com/O2zcyHv.png,jeeChemistry11,English,A,B,C,D,JITO,IITJEE11,1.1
3,1,https://i.imgur.com/4KoHnRz.png,jeeChemistry11,English,A,B,C,D,JITO,IITJEE11,1.1
4,4,https://i.imgur.com/bt1MblQ.png,jeeChemistry11,English,A,B,C,D,JITO,IITJEE11,1.1
5,3,https://i.imgur.com/7ojekKj.png,jeeChemistry11,English,A,B,C,D,JITO,IITJEE11,1.1
6,4,https://i.imgur.com/g7h70j0.png,jeeChemistry11,English,A,B,C,D,JITO,IITJEE11,1.1
7,3,https://i.imgur.com/RJajq7h.png,jeeChemistry11,English,A,B,C,D,JITO,IITJEE11,1.1
8,2,https://i.imgur.com/Y9Ec9pG.png,jeeChemistry11,English,A,B,C,D,JITO,IITJEE11,1.1
9,3,https://i.imgur.com/UbggSDk.png,jeeChemistry11,English,A,B,C,D,JITO,IITJEE11,1.1
10,1,https://i.imgur.com/U4XnEHM.png,jeeChemistry11,English,A,B,C,D,JITO,IITJEE11,1.1
11,1,https://i.imgur.com/rfPydwT.png,jeeChemistry11,English,A,B,C,D,JITO,IITJEE11,1.1
12,3,https://i.imgur.com/yZ1o4Ua.png,jeeChemistry11,English,A,B,C,D,JITO,IITJEE11,1.1
13,3,https://i.imgur.com/Rcye0vP.png,jeeChemistry11,English,A,B,C,D,JITO,IITJEE11,1.1
14,4,https://i.imgur.com/vy784f4.png,jeeChemistry11,English,A,B,C,D,JITO,IITJEE11,1.1
15,2,https://i.imgur.com/TvZYEwR.png,jeeChemistry11,English,A,B,C,D,JITO,IITJEE11,1.1
16,1,https://i.imgur.com/UFDhFLI.png,jeeChemistry11,English,A,B,C,D,JITO,IITJEE11,1.1
17,2,https://i.imgur.com/vLNvN2o.png,jeeChemistry11,English,A,B,C,D,JITO,IITJEE11,1.1
18,3,https://i.imgur.com/eITQV4v.png,jeeChemistry11,English,A,B,C,D,JITO,IITJEE11,1.1
19,3,https://i.imgur.com/AaOVGJc.png,jeeChemistry11,English,A,B,C,D,JITO,IITJEE11,1.1
20,3,https://i.imgur.com/hyUMqY4.png,jeeChemistry11,English,A,B,C,D,JITO,IITJEE11,1.1
21,4,https://i.imgur.com/s64CN34.png,jeeChemistry11,English,A,B,C,D,JITO,IITJEE11,1.1
22,2,https://i.imgur.com/yg6veoE.png,jeeChemistry11,English,A,B,C,D,JITO,IITJEE11,1.1
23,2,https://i.imgur.com/POIheWc.png,jeeChemistry11,English,A,B,C,D,JITO,IITJEE11,1.1
24,1,https://i.imgur.com/K956K8Z.png,jeeChemistry11,English,A,B,C,D,JITO,IITJEE11,1.1
25,2,https://i.imgur.com/yuxMYNn.png,jeeChemistry11,English,A,B,C,D,JITO,IITJEE11,1.1
26,1,https://i.imgur.com/tw1ePrX.png,jeeChemistry11,English,A,B,C,D,JITO,IITJEE11,1.1
27,1,https://i.imgur.com/T4BqV2d.png,jeeChemistry11,English,A,B,C,D,JITO,IITJEE11,1.1
28,1,https://i.imgur.com/QixtSd0.png,jeeChemistry11,English,A,B,C,D,JITO,IITJEE11,1.1
29,1,https://i.imgur.com/NA8lL8C.png,jeeChemistry11,English,A,B,C,D,JITO,IITJEE11,1.1
30,3,https://i.imgur.com/0eQgLE7.png,jeeChemistry11,English,A,B,C,D,JITO,IITJEE11,1.1
31,2,https://i.imgur.com/XZ52I4c.png,jeeChemistry11,English,A,B,C,D,JITO,IITJEE11,1.1
32,2,https://i.imgur.com/4gYzWiW.png,jeeChemistry11,English,A,B,C,D,JITO,IITJEE11,1.1
33,3,https://i.imgur.com/21pFYoO.png,jeeChemistry11,English,A,B,C,D,JITO,IITJEE11,1.1
34,3,https://i.imgur.com/UvhdWAn.png,jeeChemistry11,English,A,B,C,D,JITO,IITJEE11,1.1
35,1,https://i.imgur.com/IHbA2cB.png,jeeChemistry11,English,A,B,C,D,JITO,IITJEE11,1.1
36,3,https://i.imgur.com/oR2EsKA.png,jeeChemistry11,English,A,B,C,D,JITO,IITJEE11,1.1
37,2,https://i.imgur.com/toE0xlV.png,jeeChemistry11,English,A,B,C,D,JITO,IITJEE11,1.1
38,3,https://i.imgur.com/wzzOgaH.png,jeeChemistry11,English,A,B,C,D,JITO,IITJEE11,1.1
39,3,https://i.imgur.com/fuVHfTv.png,jeeChemistry11,English,A,B,C,D,JITO,IITJEE11,1.1
40,2,https://i.imgur.com/Tiptx60.png,jeeChemistry11,English,A,B,C,D,JITO,IITJEE11,1.1
41,4,https://i.imgur.com/rK97UJW.png,jeeChemistry11,English,A,B,C,D,JITO,IITJEE11,1.1
42,4,https://i.imgur.com/b3KCd8x.png,jeeChemistry11,English,A,B,C,D,JITO,IITJEE11,1.1
43,2,https://i.imgur.com/q9UPyo5.png,jeeChemistry11,English,A,B,C,D,JITO,IITJEE11,1.1
44,2,https://i.imgur.com/Fy4cLFB.png,jeeChemistry11,English,A,B,C,D,JITO,IITJEE11,1.1
45,2,https://i.imgur.com/AwybY5M.png,jeeChemistry11,English,A,B,C,D,JITO,IITJEE11,1.1
