num,correct,QuestionLink,category,sectionType,lang,optionA,optionB,optionC,optionD,source,usedFor
1,3,https://i.imgur.com/a7ayRj8.png,1.1,jeeMaths11,English,A,B,C,D,JITO,IITJEE11
2,2,https://i.imgur.com/u5wF3l4.png,1.1,jeeMaths11,English,A,B,C,D,JITO,IITJEE11
3,2,https://i.imgur.com/VywMuNy.png,1.1,jeeMaths11,English,A,B,C,D,JITO,IITJEE11
4,1,https://i.imgur.com/UH5KZ3X.png,1.1,jeeMaths11,English,A,B,C,D,JITO,IITJEE11
5,2,https://i.imgur.com/Z2QGVKd.png,1.1,jeeMaths11,English,A,B,C,D,JITO,IITJEE11
6,2,https://i.imgur.com/2sBa5s1.png,1.1,jeeMaths11,English,A,B,C,D,JITO,IITJEE11
7,3,https://i.imgur.com/tD43bAe.png,1.1,jeeMaths11,English,A,B,C,D,JITO,IITJEE11
8,2,https://i.imgur.com/F1gVDoJ.png,1.1,jeeMaths11,English,A,B,C,D,JITO,IITJEE11
9,4,https://i.imgur.com/hqF5aXn.png,1.1,jeeMaths11,English,A,B,C,D,JITO,IITJEE11
10,4,https://i.imgur.com/FWFDWgf.png,1.1,jeeMaths11,English,A,B,C,D,JITO,IITJEE11
11,3,https://i.imgur.com/EuXm3Kp.png,1.1,jeeMaths11,English,A,B,C,D,JITO,IITJEE11
12,4,https://i.imgur.com/P8IIwAh.png,1.1,jeeMaths11,English,A,B,C,D,JITO,IITJEE11
13,2,https://i.imgur.com/Ak0BnUK.png,1.1,jeeMaths11,English,A,B,C,D,JITO,IITJEE11
14,1,https://i.imgur.com/jKrrQsH.png,1.1,jeeMaths11,English,A,B,C,D,JITO,IITJEE11
15,1,https://i.imgur.com/0XarFPq.png,1.1,jeeMaths11,English,A,B,C,D,JITO,IITJEE11
16,3,https://i.imgur.com/lvi8tyh.png,1.1,jeeMaths11,English,A,B,C,D,JITO,IITJEE11
17,2,https://i.imgur.com/QaRGqzT.png,1.1,jeeMaths11,English,A,B,C,D,JITO,IITJEE11
18,3,https://i.imgur.com/htPkicQ.png,1.1,jeeMaths11,English,A,B,C,D,JITO,IITJEE11
19,1,https://i.imgur.com/8MzDqUv.png,1.1,jeeMaths11,English,A,B,C,D,JITO,IITJEE11
20,1,https://i.imgur.com/kMDh81v.png,1.1,jeeMaths11,English,A,B,C,D,JITO,IITJEE11
21,4,https://i.imgur.com/iwoog4a.png,1.1,jeeMaths11,English,A,B,C,D,JITO,IITJEE11
22,2,https://i.imgur.com/cU4Bl86.png,1.1,jeeMaths11,English,A,B,C,D,JITO,IITJEE11
23,3,https://i.imgur.com/ZWlTRnd.png,1.1,jeeMaths11,English,A,B,C,D,JITO,IITJEE11
24,1,https://i.imgur.com/1HFGtz7.png,1.1,jeeMaths11,English,A,B,C,D,JITO,IITJEE11
25,3,https://i.imgur.com/xaEUs0S.png,1.1,jeeMaths11,English,A,B,C,D,JITO,IITJEE11
26,1,https://i.imgur.com/ze7lo5u.png,1.1,jeeMaths11,English,A,B,C,D,JITO,IITJEE11
27,3,https://i.imgur.com/8oNArHh.png,1.1,jeeMaths11,English,A,B,C,D,JITO,IITJEE11
28,1,https://i.imgur.com/QTmtFrn.png,1.1,jeeMaths11,English,A,B,C,D,JITO,IITJEE11
29,1,https://i.imgur.com/TUhCA1o.png,1.1,jeeMaths11,English,A,B,C,D,JITO,IITJEE11
30,1,https://i.imgur.com/HFLrEYW.png,1.1,jeeMaths11,English,A,B,C,D,JITO,IITJEE11
