num,ans,oldLink,newLink,,,,,,,,,,,,,,,,,
1,2,https://i.imgur.com/bjbvqeZ.png,https://i.imgur.com/zS7ihV3.png,,,,,,,,,,,,,,,,,4
2,3,https://i.imgur.com/lCxrQuY.png,https://i.imgur.com/QwFS4l4.png,,,,,,,,,,,,,,,,,
3,1,https://i.imgur.com/BtN3eNo.png,https://i.imgur.com/PwIsnyI.png,,,,,,,,,,,,,,,,,
4,4,https://i.imgur.com/cjkNHMg.png,https://i.imgur.com/7cmLNhO.png,,,,,,,,,,,,,,,,,
5,3,https://i.imgur.com/ljrUUZM.png,https://i.imgur.com/WxPRZ9J.png,,,,,,,,,,,,,,,,,
6,4,https://i.imgur.com/6HHOuvp.png,https://i.imgur.com/Sk144DW.png,,,,,,,,,,,,,,,,,
7,1,https://i.imgur.com/0bmDxZK.png,https://i.imgur.com/2RMopH2.png,,,,,,,,,,,,,,,,,
8,4,https://i.imgur.com/n0s6ES2.png,https://i.imgur.com/Z346SW2.png,,,,,,,,,,,,,,,,,
9,2,https://i.imgur.com/c4jBRDJ.png,https://i.imgur.com/o7CLZMH.png,,,,,,,,,,,,,,,,,
10,2,https://i.imgur.com/lxGnJFc.png,https://i.imgur.com/7PFoYPZ.png,,,,,,,,,,,,,,,,,
11,4,https://i.imgur.com/2ViAazA.png,https://i.imgur.com/c0hla3I.png,,,,,,,,,,,,,,,,,
12,4,https://i.imgur.com/kw1iG1M.png,https://i.imgur.com/JhLsHwG.png,,,,,,,,,,,,,,,,,
13,3,https://i.imgur.com/NZHPXP0.png,https://i.imgur.com/RKTfhn8.png,,,,,,,,,,,,,,,,,
14,2,https://i.imgur.com/SQw69xF.png,https://i.imgur.com/fN9h6Pd.png,,,,,,,,,,,,,,,,,
15,3,https://i.imgur.com/ODazigN.png,https://i.imgur.com/5jAWxNl.png,,,,,,,,,,,,,,,,,
16,3,https://i.imgur.com/l62VxQ8.png,https://i.imgur.com/5ZW3LfA.png,,,,,,,,,,,,,,,,,
17,1,https://i.imgur.com/3qkxCYz.png,https://i.imgur.com/HsoElt8.png,,,,,,,,,,,,,,,,,
18,3,https://i.imgur.com/BJQnlzJ.png,https://i.imgur.com/Upv0ms7.png,,,,,,,,,,,,,,,,,
19,1,https://i.imgur.com/4FmLo0B.png,https://i.imgur.com/hfdvAPq.png,,,,,,,,,,,,,,,,,
20,4,https://i.imgur.com/PxFuuH4.png,https://i.imgur.com/Y2ebmQh.png,,,,,,,,,,,,,,,,,
21,2,https://i.imgur.com/q3MU176.png,https://i.imgur.com/I5JiPZ3.png,,,,,,,,,,,,,,,,,
22,4,https://i.imgur.com/hc7yik1.png,https://i.imgur.com/E27HxFP.png,,,,,,,,,,,,,,,,,
23,4,https://i.imgur.com/0g8BKaC.png,https://i.imgur.com/BWKtuxR.png,,,,,,,,,,,,,,,,,
24,3,https://i.imgur.com/8jje8El.png,https://i.imgur.com/s3Q68Bg.png,,,,,,,,,,,,,,,,,
25,1,https://i.imgur.com/TSirNSv.png,https://i.imgur.com/Wb0If9a.png,,,,,,,,,,,,,,,,,
26,1,https://i.imgur.com/2ks0i1b.png,https://i.imgur.com/OMSM9lH.png,,,,,,,,,,,,,,,,,
27,2,https://i.imgur.com/YWEoi8R.png,https://i.imgur.com/kyIosCq.png,,,,,,,,,,,,,,,,,
28,3,https://i.imgur.com/RU3H0Xp.png,https://i.imgur.com/MwFtUSk.png,,,,,,,,,,,,,,,,,
29,2,https://i.imgur.com/KYDoxlz.png,https://i.imgur.com/oNezJPC.png,,,,,,,,,,,,,,,,,
30,2,https://i.imgur.com/qrQnwaE.png,https://i.imgur.com/fEaNIre.png,,,,,,,,,,,,,,,,,
31,1,https://i.imgur.com/S3Xs59x.png,https://i.imgur.com/SZWau7Q.png,,,,,,,,,,,,,,,,,
32,3,https://i.imgur.com/YoeRN1H.png,https://i.imgur.com/wb2Qd3o.png,,,,,,,,,,,,,,,,,
33,3,https://i.imgur.com/u96s5LB.png,https://i.imgur.com/kTCZGzb.png,,,,,,,,,,,,,,,,,
34,4,https://i.imgur.com/Zqx1dQp.png,https://i.imgur.com/RwWxjPz.png,,,,,,,,,,,,,,,,,
35,3,https://i.imgur.com/qjdIoCB.png,https://i.imgur.com/GUxrCXn.png,,,,,,,,,,,,,,,,,
36,2,https://i.imgur.com/DX7aSWm.png,https://i.imgur.com/riRJZ3P.png,,,,,,,,,,,,,,,,,
37,2,https://i.imgur.com/srmouGP.png,https://i.imgur.com/sTiTLya.png,,,,,,,,,,,,,,,,,
38,2,https://i.imgur.com/yL5Byeb.png,https://i.imgur.com/iqqP9bN.png,,,,,,,,,,,,,,,,,
39,2,https://i.imgur.com/2YVj0GK.png,https://i.imgur.com/BM7uh3Y.png,,,,,,,,,,,,,,,,,
40,4,https://i.imgur.com/3wI9zi1.png,https://i.imgur.com/78y6vai.png,,,,,,,,,,,,,,,,,
41,3,https://i.imgur.com/I7FazLT.png,https://i.imgur.com/jhxXDWA.png,,,,,,,,,,,,,,,,,
42,4,https://i.imgur.com/drJIMIb.png,https://i.imgur.com/gYCqdRZ.png,,,,,,,,,,,,,,,,,
43,2,https://i.imgur.com/qpTXCD5.png,https://i.imgur.com/EFy9UrH.png,,,,,,,,,,,,,,,,,
44,1,https://i.imgur.com/BzIrLd8.png,https://i.imgur.com/xU2bqwX.png,,,,,,,,,,,,,,,,,
45,2,https://i.imgur.com/PAoNEiK.png,https://i.imgur.com/gFhIxX6.png,,,,,,,,,,,,,,,,,
46,2,https://i.imgur.com/ZxFjWlS.png,https://i.imgur.com/NyDdFCA.png,,,,,,,,,,,,,,,,,
47,4,https://i.imgur.com/x0BlARH.png,https://i.imgur.com/6ERrPOb.png,,,,,,,,,,,,,,,,,
48,3,https://i.imgur.com/PpLVd6t.png,https://i.imgur.com/VpnsuUu.png,,,,,,,,,,,,,,,,,
49,4,https://i.imgur.com/WfngOfa.png,https://i.imgur.com/m9pCKUt.png,,,,,,,,,,,,,,,,,
50,4,https://i.imgur.com/K5gWS0i.png,https://i.imgur.com/1puxY8P.png,,,,,,,,,,,,,,,,,
51,2,https://i.imgur.com/Ji0xwk9.png,https://i.imgur.com/wCHj3bR.png,,,,,,,,,,,,,,,,,
52,2,https://i.imgur.com/fl8F6GY.png,https://i.imgur.com/AQQGqPI.png,,,,,,,,,,,,,,,,,
53,3,https://i.imgur.com/yJlAE5q.png,https://i.imgur.com/8Hl1R70.png,,,,,,,,,,,,,,,,,
54,4,https://i.imgur.com/l08mzYN.png,https://i.imgur.com/06vuOBq.png,,,,,,,,,,,,,,,,,
55,4,https://i.imgur.com/R0vJ46Z.png,https://i.imgur.com/jZt2YJj.png,,,,,,,,,,,,,,,,,
56,1,https://i.imgur.com/ZKHZTPJ.png,https://i.imgur.com/EQV9T60.png,,,,,,,,,,,,,,,,,
57,4,https://i.imgur.com/YVPPvNo.png,https://i.imgur.com/8fYeAId.png,,,,,,,,,,,,,,,,,
58,4,https://i.imgur.com/Vt2OVj0.png,https://i.imgur.com/Ke6jUi7.png,,,,,,,,,,,,,,,,,
59,2,https://i.imgur.com/fiK9EwL.png,https://i.imgur.com/TRMCrMz.png,,,,,,,,,,,,,,,,,
60,2,https://i.imgur.com/kPoWsc1.png,https://i.imgur.com/UUk1R5W.png,,,,,,,,,,,,,,,,,
61,4,https://i.imgur.com/utxHhp2.png,https://i.imgur.com/YJxjhEs.png,,,,,,,,,,,,,,,,,
62,2,https://i.imgur.com/eJAyCGk.png,https://i.imgur.com/3y7HwXY.png,,,,,,,,,,,,,,,,,
63,4,https://i.imgur.com/4836ZtD.png,https://i.imgur.com/GiEQ36E.png,,,,,,,,,,,,,,,,,
64,4,https://i.imgur.com/KW9ofni.png,https://i.imgur.com/HZxgnfe.png,,,,,,,,,,,,,,,,,
65,4,https://i.imgur.com/B4AIuqX.png,https://i.imgur.com/H7eYvaE.png,,,,,,,,,,,,,,,,,
66,1,https://i.imgur.com/syoHDSC.png,https://i.imgur.com/gl1N19m.png,,,,,,,,,,,,,,,,,
67,1,https://i.imgur.com/Bp11GlG.png,https://i.imgur.com/IXehOdy.png,,,,,,,,,,,,,,,,,
68,3,https://i.imgur.com/agAN9k9.png,https://i.imgur.com/a1LrQt3.png,,,,,,,,,,,,,,,,,
69,3,https://i.imgur.com/duhxWLU.png,https://i.imgur.com/ttxENTr.png,,,,,,,,,,,,,,,,,
70,4,https://i.imgur.com/ePryM7S.png,https://i.imgur.com/KNNlLJZ.png,,,,,,,,,,,,,,,,,
71,1,https://i.imgur.com/8N6uabJ.png,https://i.imgur.com/I8piwnX.png,,,,,,,,,,,,,,,,,
72,1,https://i.imgur.com/cVMub0X.png,https://i.imgur.com/DuJAbCM.png,,,,,,,,,,,,,,,,,
73,4,https://i.imgur.com/k5xlH5d.png,https://i.imgur.com/TaxtiKI.png,,,,,,,,,,,,,,,,,
74,3,https://i.imgur.com/8lxRQYa.png,https://i.imgur.com/ljXlLuo.png,,,,,,,,,,,,,,,,,
75,4,https://i.imgur.com/mZpmFPT.png,https://i.imgur.com/zXw2zwI.png,,,,,,,,,,,,,,,,,
76,3,https://i.imgur.com/ochW1oc.png,https://i.imgur.com/CqjMZDV.png,,,,,,,,,,,,,,,,,
77,3,https://i.imgur.com/uhI1tAL.png,https://i.imgur.com/gRVD6Z4.png,,,,,,,,,,,,,,,,,
78,1,https://i.imgur.com/L8z1A1x.png,https://i.imgur.com/6zEhdVk.png,,,,,,,,,,,,,,,,,
79,3,https://i.imgur.com/qOqP9CW.png,https://i.imgur.com/P0amxPj.png,,,,,,,,,,,,,,,,,
80,3,https://i.imgur.com/srmY9wn.png,https://i.imgur.com/XMnA2g6.png,,,,,,,,,,,,,,,,,
81,3,https://i.imgur.com/3NxX4C3.png,https://i.imgur.com/nvHfEdS.png,,,,,,,,,,,,,,,,,
82,3,https://i.imgur.com/6zBSgPH.png,https://i.imgur.com/6UWhpx8.png,,,,,,,,,,,,,,,,,
83,1,https://i.imgur.com/cThgagM.png,https://i.imgur.com/kppouiA.png,,,,,,,,,,,,,,,,,
84,3,https://i.imgur.com/WhKAh2M.png,https://i.imgur.com/vjeAagX.png,,,,,,,,,,,,,,,,,
85,3,https://i.imgur.com/yDBPjJW.png,https://i.imgur.com/KJCRV1v.png,,,,,,,,,,,,,,,,,
86,2,https://i.imgur.com/qPWVza8.png,https://i.imgur.com/uoPuihl.png,,,,,,,,,,,,,,,,,
87,4,https://i.imgur.com/LbCc4dV.png,https://i.imgur.com/mMGZN9e.png,,,,,,,,,,,,,,,,,
88,1,https://i.imgur.com/WiemVGd.png,https://i.imgur.com/dLEhkup.png,,,,,,,,,,,,,,,,,
89,3,https://i.imgur.com/EybWrxU.png,https://i.imgur.com/zzueqCa.png,,,,,,,,,,,,,,,,,
90,3,https://i.imgur.com/pSHuFdv.png,https://i.imgur.com/FPUdEbu.png,,,,,,,,,,,,,,,,,
91,2,https://i.imgur.com/mamaAvF.png,https://i.imgur.com/13Rmyin.png,,,,,,,,,,,,,,,,,
92,3,https://i.imgur.com/mPeJ7sQ.png,https://i.imgur.com/kpW1XqY.png,,,,,,,,,,,,,,,,,
93,3,https://i.imgur.com/S7WKBSh.png,https://i.imgur.com/DF00f2c.png,,,,,,,,,,,,,,,,,
94,3,https://i.imgur.com/NzvXA8C.png,https://i.imgur.com/jqyHf0A.png,,,,,,,,,,,,,,,,,
95,3,https://i.imgur.com/d5Rcc9o.png,https://i.imgur.com/ETRiqhM.png,,,,,,,,,,,,,,,,,
96,1,https://i.imgur.com/h6q04ly.png,https://i.imgur.com/ckzjXPi.png,,,,,,,,,,,,,,,,,
97,3,https://i.imgur.com/3rkRfwN.png,https://i.imgur.com/HPrA8io.png,,,,,,,,,,,,,,,,,
98,3,https://i.imgur.com/nT7lCOr.png,https://i.imgur.com/6SQpYNg.png,,,,,,,,,,,,,,,,,
99,2,https://i.imgur.com/iBj9VYu.png,https://i.imgur.com/lrGTwfE.png,,,,,,,,,,,,,,,,,
100,2,https://i.imgur.com/045welW.png,https://i.imgur.com/eMh0gzR.png,,,,,,,,,,,,,,,,,
