num,correct,QuestionLink,sectionType,lang,optionA,optionB,optionC,optionD,source,usedFor,category
1,3,https://i.imgur.com/yZ4wo7H.png,jeePhysics10,English,A,B,C,D,JITO,IITJEE10,1.1
2,2,https://i.imgur.com/hMWHLPK.png,jeePhysics10,English,A,B,C,D,JITO,IITJEE10,1.1
3,3,https://i.imgur.com/ueoQjLr.png,jeePhysics10,English,A,B,C,D,JITO,IITJEE10,1.1
4,4,https://i.imgur.com/FfasM3v.png,jeePhysics10,English,A,B,C,D,JITO,IITJEE10,1.1
5,1,https://i.imgur.com/C3BwWd9.png,jeePhysics10,English,A,B,C,D,JITO,IITJEE10,1.1
6,3,https://i.imgur.com/7AEk7uT.png,jeePhysics10,English,A,B,C,D,JITO,IITJEE10,1.1
7,2,https://i.imgur.com/4Sr4nEA.png,jeePhysics10,English,A,B,C,D,JITO,IITJEE10,1.1
8,4,https://i.imgur.com/JV9z32o.png,jeePhysics10,English,A,B,C,D,JITO,IITJEE10,1.1
9,3,https://i.imgur.com/63FVm5W.png,jeePhysics10,English,A,B,C,D,JITO,IITJEE10,1.1
10,3,https://i.imgur.com/GhoPu3t.png,jeePhysics10,English,A,B,C,D,JITO,IITJEE10,1.1
11,2,https://i.imgur.com/2yfxjS8.png,jeePhysics10,English,A,B,C,D,JITO,IITJEE10,1.1
12,2,https://i.imgur.com/Cncppor.png,jeePhysics10,English,A,B,C,D,JITO,IITJEE10,1.1
13,4,https://i.imgur.com/zydjSOb.png,jeePhysics10,English,A,B,C,D,JITO,IITJEE10,1.1
14,2,https://i.imgur.com/zQMEOz9.png,jeePhysics10,English,A,B,C,D,JITO,IITJEE10,1.1
15,4,https://i.imgur.com/IP7zuAf.png,jeePhysics10,English,A,B,C,D,JITO,IITJEE10,1.1
16,4,https://i.imgur.com/yrx3DUZ.png,jeePhysics10,English,A,B,C,D,JITO,IITJEE10,1.1
17,3,https://i.imgur.com/zCRRZe3.png,jeePhysics10,English,A,B,C,D,JITO,IITJEE10,1.1
18,2,https://i.imgur.com/CnHWuF7.png,jeePhysics10,English,A,B,C,D,JITO,IITJEE10,1.1
19,2,https://i.imgur.com/d7AqK8c.png,jeePhysics10,English,A,B,C,D,JITO,IITJEE10,1.1
20,3,https://i.imgur.com/EOOWM1p.png,jeePhysics10,English,A,B,C,D,JITO,IITJEE10,1.1
21,3,https://i.imgur.com/f0fxPYS.png,jeePhysics10,English,A,B,C,D,JITO,IITJEE10,1.1
22,4,https://i.imgur.com/vhNSbt2.png,jeePhysics10,English,A,B,C,D,JITO,IITJEE10,1.1
23,4,https://i.imgur.com/7rRBBu4.png,jeePhysics10,English,A,B,C,D,JITO,IITJEE10,1.1
24,4,https://i.imgur.com/5Fcv05x.png,jeePhysics10,English,A,B,C,D,JITO,IITJEE10,1.1
25,3,https://i.imgur.com/Pi9OpEr.png,jeePhysics10,English,A,B,C,D,JITO,IITJEE10,1.1
26,4,https://i.imgur.com/WtDh3xq.png,jeePhysics10,English,A,B,C,D,JITO,IITJEE10,1.1
27,2,https://i.imgur.com/84gWBZo.png,jeePhysics10,English,A,B,C,D,JITO,IITJEE10,1.1
28,1,https://i.imgur.com/Xfst2R2.png,jeePhysics10,English,A,B,C,D,JITO,IITJEE10,1.1
29,3,https://i.imgur.com/uhK5Gvm.png,jeePhysics10,English,A,B,C,D,JITO,IITJEE10,1.1
30,3,https://i.imgur.com/32Vaeb5.png,jeePhysics10,English,A,B,C,D,JITO,IITJEE10,1.1
31,2,https://i.imgur.com/QhJ9x1s.png,jeePhysics10,English,A,B,C,D,JITO,IITJEE10,1.1
32,2,https://i.imgur.com/uZk22ZT.png,jeePhysics10,English,A,B,C,D,JITO,IITJEE10,1.1
33,1,https://i.imgur.com/ZfjeoVe.png,jeePhysics10,English,A,B,C,D,JITO,IITJEE10,1.1
34,3,https://i.imgur.com/ROGLncg.png,jeePhysics10,English,A,B,C,D,JITO,IITJEE10,1.1
35,2,https://i.imgur.com/o3fDgnp.png,jeePhysics10,English,A,B,C,D,JITO,IITJEE10,1.1
36,1,https://i.imgur.com/ORhm6pQ.png,jeePhysics10,English,A,B,C,D,JITO,IITJEE10,1.1
37,2,https://i.imgur.com/4B2mRYU.png,jeePhysics10,English,A,B,C,D,JITO,IITJEE10,1.1
38,1,https://i.imgur.com/Qg7R9QG.png,jeePhysics10,English,A,B,C,D,JITO,IITJEE10,1.1
