num,correct,QuestionLink,lang,optionA,optionB,optionC,optionD,source,usedFor,category,sectionType
1,4,https://i.imgur.com/ak7EACN.png,English,A,B,C,D,JITO,IITJEE11,1.1,jeePhysics11
2,1,https://i.imgur.com/sjKJW0O.png,English,A,B,C,D,JITO,IITJEE11,1.1,jeePhysics11
3,2,https://i.imgur.com/jHNpqJl.png,English,A,B,C,D,JITO,IITJEE11,1.1,jeePhysics11
4,2,https://i.imgur.com/EALP1JS.png,English,A,B,C,D,JITO,IITJEE11,1.1,jeePhysics11
5,3,https://i.imgur.com/yA0XFjM.png,English,A,B,C,D,JITO,IITJEE11,1.1,jeePhysics11
6,4,https://i.imgur.com/0wWppeM.png,English,A,B,C,D,JITO,IITJEE11,1.1,jeePhysics11
7,3,https://i.imgur.com/GDOO4ZG.png,English,A,B,C,D,JITO,IITJEE11,1.1,jeePhysics11
8,1,https://i.imgur.com/Fy2VAvh.png,English,A,B,C,D,JITO,IITJEE11,1.1,jeePhysics11
9,1,https://i.imgur.com/t1wZnCu.png,English,A,B,C,D,JITO,IITJEE11,1.1,jeePhysics11
10,2,https://i.imgur.com/XmJakiv.png,English,A,B,C,D,JITO,IITJEE11,1.1,jeePhysics11
11,3,https://i.imgur.com/D9HEGVX.png,English,A,B,C,D,JITO,IITJEE11,1.1,jeePhysics11
12,2,https://i.imgur.com/5pfFlk4.png,English,A,B,C,D,JITO,IITJEE11,1.1,jeePhysics11
13,2,https://i.imgur.com/zSw6Hkd.png,English,A,B,C,D,JITO,IITJEE11,1.1,jeePhysics11
14,2,https://i.imgur.com/tM1YaaT.png,English,A,B,C,D,JITO,IITJEE11,1.1,jeePhysics11
15,4,https://i.imgur.com/y1vSdPO.png,English,A,B,C,D,JITO,IITJEE11,1.1,jeePhysics11
16,4,https://i.imgur.com/pPVG7SE.png,English,A,B,C,D,JITO,IITJEE11,1.1,jeePhysics11
17,2,https://i.imgur.com/HvLMzGq.png,English,A,B,C,D,JITO,IITJEE11,1.1,jeePhysics11
18,2,https://i.imgur.com/eraATzw.png,English,A,B,C,D,JITO,IITJEE11,1.1,jeePhysics11
19,3,https://i.imgur.com/ZZ9x67U.png,English,A,B,C,D,JITO,IITJEE11,1.1,jeePhysics11
20,4,https://i.imgur.com/6irh8Pm.png,English,A,B,C,D,JITO,IITJEE11,1.1,jeePhysics11
21,4,https://i.imgur.com/tQSoLok.png,English,A,B,C,D,JITO,IITJEE11,1.1,jeePhysics11
22,3,https://i.imgur.com/acEjb1u.png,English,A,B,C,D,JITO,IITJEE11,1.1,jeePhysics11
23,3,https://i.imgur.com/RmahOcJ.png,English,A,B,C,D,JITO,IITJEE11,1.1,jeePhysics11
24,4,https://i.imgur.com/X1RYAw1.png,English,A,B,C,D,JITO,IITJEE11,1.1,jeePhysics11
25,2,https://i.imgur.com/ADlSiYX.png,English,A,B,C,D,JITO,IITJEE11,1.1,jeePhysics11
26,4,https://i.imgur.com/oZNk0KW.png,English,A,B,C,D,JITO,IITJEE11,1.1,jeePhysics11
27,1,https://i.imgur.com/eM4vPeJ.png,English,A,B,C,D,JITO,IITJEE11,1.1,jeePhysics11
28,2,https://i.imgur.com/nPasY43.png,English,A,B,C,D,JITO,IITJEE11,1.1,jeePhysics11
29,3,https://i.imgur.com/UrkXXUC.png,English,A,B,C,D,JITO,IITJEE11,1.1,jeePhysics11
30,2,https://i.imgur.com/ft6atcd.png,English,A,B,C,D,JITO,IITJEE11,1.1,jeePhysics11
31,4,https://i.imgur.com/usf0zUP.png,English,A,B,C,D,JITO,IITJEE11,1.1,jeePhysics11
32,3,https://i.imgur.com/a7jShq6.png,English,A,B,C,D,JITO,IITJEE11,1.1,jeePhysics11
33,2,https://i.imgur.com/wDRfwuc.png,English,A,B,C,D,JITO,IITJEE11,1.1,jeePhysics11
