num,correct,QuestionLink3,QuestionLink,category,sectionType,lang,optionA,optionB,optionC,optionD,source,usedFor
1,b,https://imgur.com/L0RMLfA,https://imgur.com/L0RMLfA.png,1.1,jeePhysics12,English,A,B,C,D,JITO,IITJEE12
2,a,https://imgur.com/P5ZWOSu,https://imgur.com/P5ZWOSu.png,1.1,jeePhysics12,English,A,B,C,D,JITO,IITJEE12
3,b,https://imgur.com/puSWJyt,https://imgur.com/puSWJyt.png,1.1,jeePhysics12,English,A,B,C,D,JITO,IITJEE12
4,c,https://imgur.com/XL3NqvZ,https://imgur.com/XL3NqvZ.png,1.1,jeePhysics12,English,A,B,C,D,JITO,IITJEE12
5,d,https://imgur.com/Kvwran3,https://imgur.com/Kvwran3.png,1.1,jeePhysics12,English,A,B,C,D,JITO,IITJEE12
6,c,https://imgur.com/mtPFz6v,https://imgur.com/mtPFz6v.png,1.1,jeePhysics12,English,A,B,C,D,JITO,IITJEE12
7,d,https://imgur.com/ocwQ5jX,https://imgur.com/ocwQ5jX.png,1.1,jeePhysics12,English,A,B,C,D,JITO,IITJEE12
8,b,https://imgur.com/wwE4hGC,https://imgur.com/wwE4hGC.png,1.1,jeePhysics12,English,A,B,C,D,JITO,IITJEE12
9,b,https://imgur.com/Dp0hQhj,https://imgur.com/Dp0hQhj.png,1.1,jeePhysics12,English,A,B,C,D,JITO,IITJEE12
10,a,https://imgur.com/UWKmvlf,https://imgur.com/UWKmvlf.png,1.1,jeePhysics12,English,A,B,C,D,JITO,IITJEE12
11,a,https://imgur.com/mYPrKW4,https://imgur.com/mYPrKW4.png,1.1,jeePhysics12,English,A,B,C,D,JITO,IITJEE12
12,b,https://imgur.com/YJsbtdS,https://imgur.com/YJsbtdS.png,1.1,jeePhysics12,English,A,B,C,D,JITO,IITJEE12
13,a,https://imgur.com/W1qYI5u,https://imgur.com/W1qYI5u.png,1.1,jeePhysics12,English,A,B,C,D,JITO,IITJEE12
14,a,https://imgur.com/rmOpsBe,https://imgur.com/rmOpsBe.png,1.1,jeePhysics12,English,A,B,C,D,JITO,IITJEE12
15,d,https://imgur.com/Gsc2QVR,https://imgur.com/Gsc2QVR.png,1.1,jeePhysics12,English,A,B,C,D,JITO,IITJEE12
16,a,https://imgur.com/BY5jCrm,https://imgur.com/BY5jCrm.png,1.1,jeePhysics12,English,A,B,C,D,JITO,IITJEE12
17,b,https://imgur.com/V7tNHjc,https://imgur.com/V7tNHjc.png,1.1,jeePhysics12,English,A,B,C,D,JITO,IITJEE12
18,d,https://imgur.com/PkArS3H,https://imgur.com/PkArS3H.png,1.1,jeePhysics12,English,A,B,C,D,JITO,IITJEE12
19,a,https://imgur.com/kzrfSO6,https://imgur.com/kzrfSO6.png,1.1,jeePhysics12,English,A,B,C,D,JITO,IITJEE12
20,d,https://imgur.com/dAMe33q,https://imgur.com/dAMe33q.png,1.1,jeePhysics12,English,A,B,C,D,JITO,IITJEE12
21,c,https://imgur.com/rIRS1Jp,https://imgur.com/rIRS1Jp.png,1.1,jeePhysics12,English,A,B,C,D,JITO,IITJEE12
22,a,https://imgur.com/yeBMnyL,https://imgur.com/yeBMnyL.png,1.1,jeePhysics12,English,A,B,C,D,JITO,IITJEE12
23,b,https://imgur.com/hCnwls9,https://imgur.com/hCnwls9.png,1.1,jeePhysics12,English,A,B,C,D,JITO,IITJEE12
24,a,https://imgur.com/J1vU9yw,https://imgur.com/J1vU9yw.png,1.1,jeePhysics12,English,A,B,C,D,JITO,IITJEE12
25,a,https://imgur.com/ZZLxv3V,https://imgur.com/ZZLxv3V.png,1.1,jeePhysics12,English,A,B,C,D,JITO,IITJEE12
26,d,https://imgur.com/T0Jfbee,https://imgur.com/T0Jfbee.png,1.1,jeePhysics12,English,A,B,C,D,JITO,IITJEE12
27,b,https://imgur.com/DACJy2X,https://imgur.com/DACJy2X.png,1.1,jeePhysics12,English,A,B,C,D,JITO,IITJEE12
28,b,https://imgur.com/m52LNZV,https://imgur.com/m52LNZV.png,1.1,jeePhysics12,English,A,B,C,D,JITO,IITJEE12
29,a,https://imgur.com/03WEeKP,https://imgur.com/03WEeKP.png,1.1,jeePhysics12,English,A,B,C,D,JITO,IITJEE12
30,a,https://imgur.com/PYwcUev,https://imgur.com/PYwcUev.png,1.1,jeePhysics12,English,A,B,C,D,JITO,IITJEE12
1,a,https://imgur.com/KxJnnVQ,https://imgur.com/KxJnnVQ.png,1.1,jeePhysics12,English,A,B,C,D,JITO,IITJEE12
2,b,https://imgur.com/v8LGI0e,https://imgur.com/v8LGI0e.png,1.1,jeePhysics12,English,A,B,C,D,JITO,IITJEE12
3,c,https://imgur.com/RPIfDyB,https://imgur.com/RPIfDyB.png,1.1,jeePhysics12,English,A,B,C,D,JITO,IITJEE12
4,a,https://imgur.com/hY7o3nX,https://imgur.com/hY7o3nX.png,1.1,jeePhysics12,English,A,B,C,D,JITO,IITJEE12
5,c,https://imgur.com/9ykp5Vj,https://imgur.com/9ykp5Vj.png,1.1,jeePhysics12,English,A,B,C,D,JITO,IITJEE12
6,d,https://imgur.com/qRu82hm,https://imgur.com/qRu82hm.png,1.1,jeePhysics12,English,A,B,C,D,JITO,IITJEE12
7,a,https://imgur.com/h69C2MM,https://imgur.com/h69C2MM.png,1.1,jeePhysics12,English,A,B,C,D,JITO,IITJEE12
8,b,https://imgur.com/k9bwILm,https://imgur.com/k9bwILm.png,1.1,jeePhysics12,English,A,B,C,D,JITO,IITJEE12
