QuestionLink,correct,category,optionA,optionB,optionC,optionD
https://i.imgur.com/qsRiQJx.png,a,2.1,A,B,C,D
https://i.imgur.com/al6o8z7.png,c,2.1,A,B,C,D
https://i.imgur.com/bkzOmyP.png,a,2.1,A,B,C,D
https://i.imgur.com/5uRsSbl.png,b,2.1,A,B,C,D
https://i.imgur.com/TvZUFRg.png,b,2.1,A,B,C,D
https://i.imgur.com/68Rxv3l.png,d,2.1,A,B,C,D
https://i.imgur.com/0q2yugy.png,a,2.1,A,B,C,D
https://i.imgur.com/aevMTOJ.png,a,2.1,A,B,C,D
https://i.imgur.com/ZBIDx71.png,b,2.1,A,B,C,D
https://i.imgur.com/NQIwqiZ.png,b,2.1,A,B,C,D
https://i.imgur.com/wLk82dr.png,a,7.1,A,B,C,D
https://i.imgur.com/syU32j1.png,a,7.1,A,B,C,D
https://i.imgur.com/mt0UcDl.png,d,7.1,A,B,C,D
https://i.imgur.com/XwAwYEv.png,d,7.1,A,B,C,D
https://i.imgur.com/DRbn0gI.png,a,7.1,A,B,C,D
https://i.imgur.com/aqBvKBg.png,c,7.1,A,B,C,D
https://i.imgur.com/5KVG0nI.png,d,7.1,A,B,C,D
https://i.imgur.com/7TkHyYD.png,c,16.1,A,B,C,D
https://i.imgur.com/LiENFT5.png,d,4.1,A,B,C,D
https://i.imgur.com/5iP1Zeg.png,d,4.1,A,B,C,D
https://i.imgur.com/XfV4Zz3.png,c,5.1,A,B,C,D
https://i.imgur.com/kaBIQ2z.png,b,5.1,A,B,C,D
https://i.imgur.com/VOBB8Nq.png,c,5.1,A,B,C,D
https://i.imgur.com/49Bkdy2.png,c,2.9,A,B,C,D
https://i.imgur.com/W1016G0.png,b,17.1,A,B,C,D
https://i.imgur.com/UognYJy.png,d,17.1,A,B,C,D
https://i.imgur.com/5WInD3a.png,c,17.1,A,B,C,D
https://i.imgur.com/TneR7S9.png,d,17.1,A,B,C,D
https://i.imgur.com/RHG0yRS.png,d,1.4,A,B,C,D
https://i.imgur.com/0vbRJr2.png,a,15.1,A,B,C,D
https://i.imgur.com/xZ3UwMz.png,d,2.9,A,B,C,D
https://i.imgur.com/z5ZrtG7.png,c,2.9,A,B,C,D
https://i.imgur.com/5LiSbYI.png,a,9.1,A,B,C,D
https://i.imgur.com/fdUHOI8.png,c,11.1,A,B,C,D
https://i.imgur.com/dsmx3ZE.png,c,22.1,A,B,C,D
https://i.imgur.com/CoNe1Wa.png,b,4.1,A,B,C,D
https://i.imgur.com/fALyiF7.png,a,20.1,A,B,C,D
https://i.imgur.com/GAWVzVp.png,c,4.1,A,B,C,D
https://i.imgur.com/nqa2dc2.png,d,16.1,A,B,C,D
https://i.imgur.com/nI5MNOx.png,b,17.1,A,B,C,D
https://i.imgur.com/Ct21FkI.png,d,4.1,A,B,C,D
https://i.imgur.com/c7UGi1m.png,d,19.1,A,B,C,D
https://i.imgur.com/WF5No4u.png,d,1.1,A,B,C,D
https://i.imgur.com/dqTeJve.png,c,19.1,A,B,C,D
https://i.imgur.com/mXfwjvt.png,a,1.1,A,B,C,D
https://i.imgur.com/piUHs1U.png,d,1.3,A,B,C,D
https://i.imgur.com/izYO2yn.png,a,3.3,A,B,C,D
https://i.imgur.com/3vzh0r5.png,b,1.4,A,B,C,D
https://i.imgur.com/nLzETQS.png,b,1.1,A,B,C,D
https://i.imgur.com/5463tpQ.png,c,5.1,A,B,C,D
