QuestionLink,category,correct,optionA,optionB,optionC,optionD
https://i.imgur.com/iFuwkji.png,2.1,a,A,B,C,D
https://i.imgur.com/uoWQED6.png,2.1,c,A,B,C,D
https://i.imgur.com/0yCrf9j.png,2.1,a,A,B,C,D
https://i.imgur.com/efnZ73i.png,2.1,d,A,B,C,D
https://i.imgur.com/XNS9vmy.png,2.1,a,A,B,C,D
https://i.imgur.com/9G9G6nN.png,2.1,c,A,B,C,D
https://i.imgur.com/7ErvRMj.png,2.1,a,A,B,C,D
https://i.imgur.com/FYssNMc.png,2.1,d,A,B,C,D
https://i.imgur.com/M1mqx6K.png,2.1,b,A,B,C,D
https://i.imgur.com/Xdji6qb.png,2.1,b,A,B,C,D
https://i.imgur.com/4xJvkmu.png,7.1,a,A,B,C,D
https://i.imgur.com/xKnz2A4.png,7.1,b,A,B,C,D
https://i.imgur.com/OA6tja7.png,7.1,a,A,B,C,D
https://i.imgur.com/rAXNpJb.png,7.1,c,A,B,C,D
https://i.imgur.com/J9uoOnQ.png,7.1,b,A,B,C,D
https://i.imgur.com/YNugp2q.png,7.1,b,A,B,C,D
https://i.imgur.com/BwjB9HD.png,7.1,d,A,B,C,D
https://i.imgur.com/CsL8ac6.png,7.1,c,A,B,C,D
https://i.imgur.com/Krs86nI.png,7.1,c,A,B,C,D
https://i.imgur.com/KwjRDqS.png,9.1,c,A,B,C,D
https://i.imgur.com/T73AZln.png,5.1,b,A,B,C,D
https://i.imgur.com/DAUdXPm.png,5.1,a,A,B,C,D
https://i.imgur.com/mHfXxMl.png,5.1,b,A,B,C,D
https://i.imgur.com/8OfR4YY.png,5.1,b,A,B,C,D
https://i.imgur.com/zNyryAR.png,15.1,b,A,B,C,D
https://i.imgur.com/JU4cQOg.png,9.1,a,A,B,C,D
https://i.imgur.com/m72PNKE.png,5.1,a,A,B,C,D
https://i.imgur.com/H2rMIFu.png,5.1,b,A,B,C,D
https://i.imgur.com/RYucKWC.png,5.1,d,A,B,C,D
https://i.imgur.com/t3CItFX.png,5.1,b,A,B,C,D
https://i.imgur.com/6Lyryx5.png,10.1,a,A,B,C,D
https://i.imgur.com/not8jtS.png,20.1,b,A,B,C,D
https://i.imgur.com/0XW54MT.png,1.5,b,A,B,C,D
https://i.imgur.com/95w9CE0.png,22.1,b,A,B,C,D
https://i.imgur.com/uXWV1Pz.png,10.1,d,A,B,C,D
https://i.imgur.com/g4fCaEU.png,1.2,b,A,B,C,D
https://i.imgur.com/maI5aXU.png,18.1,b,A,B,C,D
https://i.imgur.com/QNHvBoR.png,19.1,d,A,B,C,D
https://i.imgur.com/9ClbLOU.png,14.1,b,A,B,C,D
https://i.imgur.com/QsWge5n.png,1.3,d,A,B,C,D
https://i.imgur.com/AR4ZrPJ.png,1.4,c,A,B,C,D
https://i.imgur.com/qaaQ2y1.png,3.4,a,A,B,C,D
https://i.imgur.com/isQOfms.png,13.1,c,A,B,C,D
https://i.imgur.com/H2uo8Th.png,16.1,c,A,B,C,D
https://i.imgur.com/MUlLM8t.png,3.3,a,A,B,C,D
https://i.imgur.com/IbXW1d5.png,1.4,c,A,B,C,D
https://i.imgur.com/AhaxtE2.png,3.3,a,A,B,C,D
https://i.imgur.com/KFSv5QV.png,17.1,b,A,B,C,D
https://i.imgur.com/oCmDEab.png,1.3,a,A,B,C,D
https://i.imgur.com/AmGHesE.png,5.1,b,A,B,C,D
