QuestionLinik,category,correct, optionA,optionB,optionC,optionD
https://i.imgur.com/YhmUkWV.png,2.1,c,A,B,C,D
https://i.imgur.com/8eGcyp9.png,2.1,c,A,B,C,D
https://i.imgur.com/8DtycHW.png,2.1,a,A,B,C,D
https://i.imgur.com/qty3PAw.png,2.1,c,A,B,C,D
https://i.imgur.com/jPZSGVV.png,2.1,b,A,B,C,D
https://i.imgur.com/As3wMnG.png,2.1,a,A,B,C,D
https://i.imgur.com/7DZqi72.png,2.1,a,A,B,C,D
https://i.imgur.com/WcjYp9b.png,2.1,a,A,B,C,D
https://i.imgur.com/8Atlinb.png,2.1,c,A,B,C,D
https://i.imgur.com/tK3XYCw.png,2.1,*,A,B,C,D
https://i.imgur.com/bDHt84X.png,7.1,b,A,B,C,D
https://i.imgur.com/qY52BTp.png,7.1,b,A,B,C,D
https://i.imgur.com/8DYIssR.png,7.1,a,A,B,C,D
https://i.imgur.com/RJaBM33.png,7.1,d,A,B,C,D
https://i.imgur.com/NP0sc3Z.png,7.1,a,A,B,C,D
https://i.imgur.com/C2qipkA.png,7.1,b,A,B,C,D
https://i.imgur.com/g9BaZON.png,7.1,d,A,B,C,D
https://i.imgur.com/GOycgxj.png,7.1,c,A,B,C,D
https://i.imgur.com/ocIRY1X.png,7.1,c,A,B,C,D
https://i.imgur.com/wNvnQjX.png,9.1,c,A,B,C,D
https://i.imgur.com/7MtBqXs.png,5.1,b,A,B,C,D
https://i.imgur.com/UIyKXib.png,5.1,a,A,B,C,D
https://i.imgur.com/hzRpVqx.png,5.1,d,A,B,C,D
https://i.imgur.com/IoygvaJ.png,5.1,c,A,B,C,D
https://i.imgur.com/3VeqxHz.png,24.1,d,A,B,C,D
https://i.imgur.com/0qYkj9Y.png,9.1,c,A,B,C,D
https://i.imgur.com/j3LxwBS.png,5.1,a,A,B,C,D
https://i.imgur.com/DQ4svN4.png,5.1,a,A,B,C,D
https://i.imgur.com/ITODgpH.png,5.1,b,A,B,C,D
https://i.imgur.com/tP0XGSG.png,14.1,a,A,B,C,D
https://i.imgur.com/m8fKgHh.png,10.1,a,A,B,C,D
https://i.imgur.com/9M6XTDg.png,20.1,b,A,B,C,D
https://i.imgur.com/JQSEWZk.png,19.1,a,A,B,C,D
https://i.imgur.com/DzNQkof.png,19.1,b,A,B,C,D
https://i.imgur.com/vGzwZpR.png,22.1,b,A,B,C,D
https://i.imgur.com/h6PoL8Y.png,1.2,b,A,B,C,D
https://i.imgur.com/aTAYDyN.png,10.1,d,A,B,C,D
https://i.imgur.com/AqYTvDF.png,15.1,c,A,B,C,D
https://i.imgur.com/wgLFfQU.png,22.1,b,A,B,C,D
https://i.imgur.com/q3sBNfx.png,1.3,a,A,B,C,D
https://i.imgur.com/F592zof.png,1.4,d,A,B,C,D
https://i.imgur.com/P99XuaA.png,3.4,c,A,B,C,D
https://i.imgur.com/2H4v4CW.png,13.1,d,A,B,C,D
https://i.imgur.com/eABClb3.png,16.1,c,A,B,C,D
https://i.imgur.com/uoupU0v.png,13.1,*,A,B,C,D
https://i.imgur.com/8p0pnRY.png,1.1,d,A,B,C,D
https://i.imgur.com/uCSHVU7.png,5.1,b,A,B,C,D
https://i.imgur.com/Y8QXHwu.png,3.3,b,A,B,C,D
https://i.imgur.com/PX91lPl.png,1.5,b,A,B,C,D
https://i.imgur.com/qhCoca5.png,5.1,c,A,B,C,D
