Category,Answer,QuestionLink,optionA,optionB,optionC,optionD
2.1,B,https://i.imgur.com/KEzqrt0.png,A,B,C,D
2.1,B,https://i.imgur.com/6bEwF66.png,A,B,C,D
2.1,B,https://i.imgur.com/JI1kS1W.png,A,B,C,D
2.1,C,https://i.imgur.com/Zv0TmhL.png,A,B,C,D
2.1,B,https://i.imgur.com/xePU2GQ.png,A,B,C,D
7.1,B,https://i.imgur.com/TR7aFfu.png,A,B,C,D
7.1,D,https://i.imgur.com/uGPRwHB.png,A,B,C,D
7.1,C,https://i.imgur.com/DmwqieQ.png,A,B,C,D
16.1,D,https://i.imgur.com/B0ovkzB.png,A,B,C,D
17.1,C,https://i.imgur.com/UHYFLOK.png,A,B,C,D
22.1,D,https://i.imgur.com/ALXtqhq.png,A,B,C,D
5.1,C,https://i.imgur.com/6NQ9k8k.png,A,B,C,D
19.1,D,https://i.imgur.com/isgeFax.png,A,B,C,D
16.1,A,https://i.imgur.com/IrsLFqi.png,A,B,C,D
24.1,B,https://i.imgur.com/iXmugq9.png,A,B,C,D
24.1,D,https://i.imgur.com/fFBvRMi.png,A,B,C,D
24.1,D,https://i.imgur.com/J1T1HIu.png,A,B,C,D
10.1,D,https://i.imgur.com/s4MtBBU.png,A,B,C,D
5.1,D,https://i.imgur.com/sPMMgKn.png,A,B,C,D
5.1,C,https://i.imgur.com/sXXqv5q.png,A,B,C,D
4.1,D,https://i.imgur.com/op4dhWs.png,A,B,C,D
3.4,C,https://i.imgur.com/aIdGz6D.png,A,B,C,D
1.3,C,https://i.imgur.com/UmFCxLL.png,A,B,C,D
1.4,C,https://i.imgur.com/GPy8fW8.png,A,B,C,D
1.1,B,https://i.imgur.com/v6450iU.png,A,B,C,D
