QuestionLink,Correct,Category,optionA,optionB,optionC,optionD
https://i.imgur.com/KwQLAEz.png,D,22.1,A,B,C,D
https://i.imgur.com/6vds9dJ.png,B,22.1,A,B,C,D
https://i.imgur.com/IphxDIS.png,C,22.1,A,B,C,D
https://i.imgur.com/YpgHJPN.png,D,22.1,A,B,C,D
https://i.imgur.com/Ffc5PkD.png,B,22.1,A,B,C,D
https://i.imgur.com/wkrBWob.png,C,22.1,A,B,C,D
https://i.imgur.com/7zcOpO9.png,D,22.1,A,B,C,D
https://i.imgur.com/9jFqRMF.png,A,22.1,A,B,C,D
https://i.imgur.com/9BR9h7J.png,B,22.1,A,B,C,D
https://i.imgur.com/1cLjr4t.png,C,22.1,A,B,C,D
https://i.imgur.com/FE6KxfX.png,B,22.1,A,B,C,D
https://i.imgur.com/q6xkJ8K.png,A,22.1,A,B,C,D
https://i.imgur.com/ROwLGd4.png,B,22.1,A,B,C,D
https://i.imgur.com/i3wuTb9.png,C,22.1,A,B,C,D
https://i.imgur.com/9EW7gTV.png,C,22.1,A,B,C,D
https://i.imgur.com/NjWdGdl.png,A,22.1,A,B,C,D
