sl.no,correct,QuestionLink,direction,concepts,explanation,section_type,optA,optB,optC,optD,category,usedFor,lang,source,name
1,1,https://i.imgur.com/xSBAFXM.png,,1,https://i.imgur.com/zf4B2uB.png,Maths,A,B,C,D,32.1,ssc,Bi,Kiran Maths,Algebra
2,4,https://i.imgur.com/LGlFhLS.png,,2,https://i.imgur.com/BMQcfCI.png,Maths,A,B,C,D,32.1,ssc,Bi,Kiran Maths,Algebra
3,1,https://i.imgur.com/kcA1ODT.png,,3,https://i.imgur.com/4UaBOZL.png,Maths,A,B,C,D,32.1,ssc,Bi,Kiran Maths,Algebra
4,4,https://i.imgur.com/rtxFO3B.png,,"2,4",https://i.imgur.com/0uyvq31.png,Maths,A,B,C,D,32.1,ssc,Bi,Kiran Maths,Algebra
5,1,https://i.imgur.com/Ie792un.png,,5,https://i.imgur.com/7E7OAy4.png,Maths,A,B,C,D,32.1,ssc,Bi,Kiran Maths,Algebra
6,1,https://i.imgur.com/thKd9zW.png,,6,https://i.imgur.com/C3ggTgT.png,Maths,A,B,C,D,32.1,ssc,Bi,Kiran Maths,Algebra
7,2,https://i.imgur.com/mUoTH0G.png,,6,https://i.imgur.com/AM7wKbn.png,Maths,A,B,C,D,32.1,ssc,Bi,Kiran Maths,Algebra
8,1,https://i.imgur.com/SIP7Fsy.png,,"6,2",https://i.imgur.com/bOffgXQ.png,Maths,A,B,C,D,32.1,ssc,Bi,Kiran Maths,Algebra
9,3,https://i.imgur.com/RUCfglQ.png,,"6,7",https://i.imgur.com/cFDNnCV.png,Maths,A,B,C,D,32.1,ssc,Bi,Kiran Maths,Algebra
10,4,https://i.imgur.com/giGMscT.png,,"6,7",https://i.imgur.com/nXIVxzg.png,Maths,A,B,C,D,32.1,ssc,Bi,Kiran Maths,Algebra
11,3,https://i.imgur.com/y0fnzP1.png,,"6,7",https://i.imgur.com/St4asru.png,Maths,A,B,C,D,32.1,ssc,Bi,Kiran Maths,Algebra
12,1,https://i.imgur.com/UQegLgw.png,,6,https://i.imgur.com/d34TvmS.png,Maths,A,B,C,D,32.1,ssc,Bi,Kiran Maths,Algebra
13,1,https://i.imgur.com/iwt9Q1S.png,,8,https://i.imgur.com/tcOqBkD.png,Maths,A,B,C,D,32.1,ssc,Bi,Kiran Maths,Algebra
14,3,https://i.imgur.com/2xVjnCI.png,,49,https://i.imgur.com/SwCuA1K.png,Maths,A,B,C,D,32.1,ssc,Bi,Kiran Maths,Algebra
15,4,https://i.imgur.com/oC0QdDQ.png,,5,https://i.imgur.com/Ul7tL1s.png,Maths,A,B,C,D,32.1,ssc,Bi,Kiran Maths,Algebra
16,2,https://i.imgur.com/aifzjai.png,,6,https://i.imgur.com/wEzMIHd.png,Maths,A,B,C,D,32.1,ssc,Bi,Kiran Maths,Algebra
17,2,https://i.imgur.com/TKQVjv3.png,,6,https://i.imgur.com/USGANis.png,Maths,A,B,C,D,32.1,ssc,Bi,Kiran Maths,Algebra
18,3,https://i.imgur.com/Zfp3s07.png,,49,https://i.imgur.com/dt3HZ5r.png,Maths,A,B,C,D,32.1,ssc,Bi,Kiran Maths,Algebra
19,4,https://i.imgur.com/3VXHgaa.png,,49,https://i.imgur.com/EDJkzgN.png,Maths,A,B,C,D,32.1,ssc,Bi,Kiran Maths,Algebra
20,4,https://i.imgur.com/CDnwiPH.png,,49,https://i.imgur.com/6WEJHGh.png,Maths,A,B,C,D,32.1,ssc,Bi,Kiran Maths,Algebra
21,4,https://i.imgur.com/NvT5WmF.png,,9,https://i.imgur.com/CB0pAhe.png,Maths,A,B,C,D,32.1,ssc,Bi,Kiran Maths,Algebra
22,2,https://i.imgur.com/UwMJeQV.png,,10,https://i.imgur.com/K7S3ydd.png,Maths,A,B,C,D,32.1,ssc,Bi,Kiran Maths,Algebra
23,2,https://i.imgur.com/MlKbbM3.png,,11,https://i.imgur.com/IbZVO1x.png,Maths,A,B,C,D,32.1,ssc,Bi,Kiran Maths,Algebra
24,2,https://i.imgur.com/DocY3t6.png,,49,https://i.imgur.com/vX28Xwz.png,Maths,A,B,C,D,32.1,ssc,Bi,Kiran Maths,Algebra
25,2,https://i.imgur.com/zCsvFTV.png,,"6,12",https://i.imgur.com/xttf18K.png,Maths,A,B,C,D,32.1,ssc,Bi,Kiran Maths,Algebra
26,3,https://i.imgur.com/vCyE00x.png,,5,https://i.imgur.com/Yglt6Ap.png,Maths,A,B,C,D,32.1,ssc,Bi,Kiran Maths,Algebra
27,2,https://i.imgur.com/DWsLWfs.png,,12,https://i.imgur.com/xV9ztaB.png,Maths,A,B,C,D,32.1,ssc,Bi,Kiran Maths,Algebra
28,1,https://i.imgur.com/9Q1Xqdz.png,,6,https://i.imgur.com/pt67Zc3.png,Maths,A,B,C,D,32.1,ssc,Bi,Kiran Maths,Algebra
29,2,https://i.imgur.com/ZuYp6p6.png,,"6,7",https://i.imgur.com/1wce82s.png,Maths,A,B,C,D,32.1,ssc,Bi,Kiran Maths,Algebra
30,4,https://i.imgur.com/kxPrUbi.png,,"6,7,13",https://i.imgur.com/eAoHbLd.png,Maths,A,B,C,D,32.1,ssc,Bi,Kiran Maths,Algebra
31,2,https://i.imgur.com/Ys0b4mz.png,,14,https://i.imgur.com/yzg2HTv.png,Maths,A,B,C,D,32.1,ssc,Bi,Kiran Maths,Algebra
32,2,https://i.imgur.com/5IZP5WR.png,,"6,15",https://i.imgur.com/8msVxuW.png,Maths,A,B,C,D,32.1,ssc,Bi,Kiran Maths,Algebra
