sl.no,correct,QuestionLink,direction,concepts,explanation,section_type,optA,optB,optC,optD,category,usedFor,lang,source,name
1,3,https://i.imgur.com/fJsG0W9.png,,1,https://i.imgur.com/qdfr3V7.png,Maths,A,B,C,D,4.1,ssc,Bi,Kiran Maths,Average
2,2,https://i.imgur.com/hONaWKG.png,,1,https://i.imgur.com/93J1eJJ.png,Maths,A,B,C,D,4.1,ssc,Bi,Kiran Maths,Average
3,2,https://i.imgur.com/5epMSHA.png,,2(a),https://i.imgur.com/B1Gkskx.png,Maths,A,B,C,D,4.1,ssc,Bi,Kiran Maths,Average
4,3,https://i.imgur.com/MZssQS1.png,,2(a),https://i.imgur.com/CwFqfoF.png,Maths,A,B,C,D,4.1,ssc,Bi,Kiran Maths,Average
5,2,https://i.imgur.com/ONBg2IC.png,,1,https://i.imgur.com/CiEuo0a.png,Maths,A,B,C,D,4.1,ssc,Bi,Kiran Maths,Average
7,2,https://i.imgur.com/8K2CLmd.png,,1,https://i.imgur.com/tDX24Jh.png,Maths,A,B,C,D,4.1,ssc,Bi,Kiran Maths,Average
8,2,https://i.imgur.com/VgtaDCu.png,,1,https://i.imgur.com/yhhKYdP.png,Maths,A,B,C,D,4.1,ssc,Bi,Kiran Maths,Average
9,1,https://i.imgur.com/gvt1if1.png,,1,https://i.imgur.com/Ky3aGuf.png,Maths,A,B,C,D,4.1,ssc,Bi,Kiran Maths,Average
10,1,https://i.imgur.com/n7yBVZP.png,,2(a),https://i.imgur.com/UOJc1z4.png,Maths,A,B,C,D,4.1,ssc,Bi,Kiran Maths,Average
11,2,https://i.imgur.com/CFvbWyD.png,,1,https://i.imgur.com/LXWY2ED.png,Maths,A,B,C,D,4.1,ssc,Bi,Kiran Maths,Average
12,1,https://i.imgur.com/vqz9lEV.png,,1,https://i.imgur.com/oDHa14E.png,Maths,A,B,C,D,4.1,ssc,Bi,Kiran Maths,Average
13,2,https://i.imgur.com/aCyzDsd.png,,1,https://i.imgur.com/oEThSUm.png,Maths,A,B,C,D,4.1,ssc,Bi,Kiran Maths,Average
14,3,https://i.imgur.com/i3SyXSO.png,,1,https://i.imgur.com/F60jvSu.png,Maths,A,B,C,D,4.1,ssc,Bi,Kiran Maths,Average
15,3,https://i.imgur.com/pMpgr3n.png,,1,https://i.imgur.com/v3t3KPt.png,Maths,A,B,C,D,4.1,ssc,Bi,Kiran Maths,Average
17,2,https://i.imgur.com/9MyCXuY.png,,1,https://i.imgur.com/qT1m2OT.png,Maths,A,B,C,D,4.1,ssc,Bi,Kiran Maths,Average
18,3,https://i.imgur.com/NcyIPNg.png,,1,https://i.imgur.com/anQf2O7.png,Maths,A,B,C,D,4.1,ssc,Bi,Kiran Maths,Average
19,3,https://i.imgur.com/KrmuKsT.png,,1,https://i.imgur.com/3VIbRuz.png,Maths,A,B,C,D,4.1,ssc,Bi,Kiran Maths,Average
20,2,https://i.imgur.com/KcLcowS.png,,1,https://i.imgur.com/v2uWOcH.png,Maths,A,B,C,D,4.1,ssc,Bi,Kiran Maths,Average
21,4,https://i.imgur.com/2BghkmH.png,,2(a),https://i.imgur.com/SoXdSTp.png,Maths,A,B,C,D,4.1,ssc,Bi,Kiran Maths,Average
22,2,https://i.imgur.com/bfIyw0e.png,,1,https://i.imgur.com/5Im32Xu.png,Maths,A,B,C,D,4.1,ssc,Bi,Kiran Maths,Average
