sl.no,correct,QuestionLink,direction,concepts,explanation,section_type,optA,optB,optC,optD,category,usedFor,lang,source,name
1,2,https://i.imgur.com/0EEhhGA.png,,1,https://i.imgur.com/mUdgTKe.png,Maths,A,B,C,D,24.1,ssc,Bi,Kiran Maths,Compound Interest
2,3,https://i.imgur.com/zZ7PnNA.png,,1,https://i.imgur.com/wEgjVAd.png,Maths,A,B,C,D,24.1,ssc,Bi,Kiran Maths,Compound Interest
3,3,https://i.imgur.com/CLiaEAA.png,,2,https://i.imgur.com/mrdle50.png,Maths,A,B,C,D,24.1,ssc,Bi,Kiran Maths,Compound Interest
4,2,https://i.imgur.com/Y4aC7Aj.png,,3,https://i.imgur.com/wlgIYdW.png,Maths,A,B,C,D,24.1,ssc,Bi,Kiran Maths,Compound Interest
5,3,https://i.imgur.com/Hwsm4RG.png,,1,https://i.imgur.com/LxnLkG7.png,Maths,A,B,C,D,24.1,ssc,Bi,Kiran Maths,Compound Interest
6,2,https://i.imgur.com/vkln0aS.png,,4,https://i.imgur.com/EXIiGXF.png,Maths,A,B,C,D,24.1,ssc,Bi,Kiran Maths,Compound Interest
7,1,https://i.imgur.com/AUVWRlJ.png,,4,https://i.imgur.com/q3Ucuq4.png,Maths,A,B,C,D,24.1,ssc,Bi,Kiran Maths,Compound Interest
8,1,https://i.imgur.com/HzP8Y9B.png,,3,https://i.imgur.com/a8Bk0hB.png,Maths,A,B,C,D,24.1,ssc,Bi,Kiran Maths,Compound Interest
9,3,https://i.imgur.com/jilYoOF.png,,1,https://i.imgur.com/8QsNkaA.png,Maths,A,B,C,D,24.1,ssc,Bi,Kiran Maths,Compound Interest
10,1,https://i.imgur.com/KVSvWS5.png,,1,https://i.imgur.com/9xxvy6P.png,Maths,A,B,C,D,24.1,ssc,Bi,Kiran Maths,Compound Interest
11,3,https://i.imgur.com/1ap5SjY.png,,3,https://i.imgur.com/Eegwadq.png,Maths,A,B,C,D,24.1,ssc,Bi,Kiran Maths,Compound Interest
12,1,https://i.imgur.com/E928TwP.png,,3,https://i.imgur.com/0DmbKIv.png,Maths,A,B,C,D,24.1,ssc,Bi,Kiran Maths,Compound Interest
13,3,https://i.imgur.com/FP8BfOl.png,,3,https://i.imgur.com/8VHbc7D.png,Maths,A,B,C,D,24.1,ssc,Bi,Kiran Maths,Compound Interest
14,3,https://i.imgur.com/mXXSvhK.png,,3,https://i.imgur.com/gHJa0eA.png,Maths,A,B,C,D,24.1,ssc,Bi,Kiran Maths,Compound Interest
15,1,https://i.imgur.com/TJvvQH9.png,,1,https://i.imgur.com/0EwNq9F.png,Maths,A,B,C,D,24.1,ssc,Bi,Kiran Maths,Compound Interest
16,4,https://i.imgur.com/6fowLTy.png,,1,https://i.imgur.com/bXoPBuH.png,Maths,A,B,C,D,24.1,ssc,Bi,Kiran Maths,Compound Interest
17,2,https://i.imgur.com/5QscpP4.png,,1,https://i.imgur.com/VSPHngR.png,Maths,A,B,C,D,24.1,ssc,Bi,Kiran Maths,Compound Interest
19,1,https://i.imgur.com/TiRUMMb.png,,1,https://i.imgur.com/qZ9jeNz.png,Maths,A,B,C,D,24.1,ssc,Bi,Kiran Maths,Compound Interest
20,3,https://i.imgur.com/qeT0X31.png,,3,https://i.imgur.com/tQ0pK9X.png,Maths,A,B,C,D,24.1,ssc,Bi,Kiran Maths,Compound Interest
21,1,https://i.imgur.com/KXNXwWu.png,,1,https://i.imgur.com/f1WcawS.png,Maths,A,B,C,D,24.1,ssc,Bi,Kiran Maths,Compound Interest
22,3,https://i.imgur.com/8Bzigrt.png,,3,https://i.imgur.com/bxUeZe3.png,Maths,A,B,C,D,24.1,ssc,Bi,Kiran Maths,Compound Interest
23,3,https://i.imgur.com/3AQKrOn.png,,1,https://i.imgur.com/Yp68k5u.png,Maths,A,B,C,D,24.1,ssc,Bi,Kiran Maths,Compound Interest
24,1,https://i.imgur.com/1gqLuXt.png,,1,https://i.imgur.com/vOHQE21.png,Maths,A,B,C,D,24.1,ssc,Bi,Kiran Maths,Compound Interest
25,2,https://i.imgur.com/cHnc4gs.png,,"5,1",https://i.imgur.com/Swhibjo.png,Maths,A,B,C,D,24.1,ssc,Bi,Kiran Maths,Compound Interest
26,2,https://i.imgur.com/xn2okmp.png,,1,https://i.imgur.com/KCrzwZc.png,Maths,A,B,C,D,24.1,ssc,Bi,Kiran Maths,Compound Interest
27,3,https://i.imgur.com/nLgrlsG.png,,3,https://i.imgur.com/EmWSefy.png,Maths,A,B,C,D,24.1,ssc,Bi,Kiran Maths,Compound Interest
28,4,https://i.imgur.com/iIyJDrW.png,,1,https://i.imgur.com/zpN9r3e.png,Maths,A,B,C,D,24.1,ssc,Bi,Kiran Maths,Compound Interest
1,2,https://i.imgur.com/Agztf5A.png,,1,https://i.imgur.com/akjbqAH.png,Maths,A,B,C,D,24.1,ssc,Bi,Kiran Maths,Compound Interest
