sl.no,correct,QuestionLink,direction,concepts,explanation,section_type,optA,optB,optC,optD,category,usedFor,lang,source,name
1,3,https://i.imgur.com/N06kzha.png,,3,https://i.imgur.com/aBVgjLy.png,Maths,A,B,C,D,18.1,ssc,Bi,Kiran Maths,Surds & Indices
2,1,https://i.imgur.com/SNA9Pgm.png,,3,https://i.imgur.com/HcQYPK2.png,Maths,A,B,C,D,18.1,ssc,Bi,Kiran Maths,Surds & Indices
3,2,https://i.imgur.com/LuO0qjD.png,,2,https://i.imgur.com/faYLGIX.png,Maths,A,B,C,D,18.1,ssc,Bi,Kiran Maths,Surds & Indices
5,1,https://i.imgur.com/VuILcOJ.png,,3,https://i.imgur.com/3TZtkSg.png,Maths,A,B,C,D,18.1,ssc,Bi,Kiran Maths,Surds & Indices
6,3,https://i.imgur.com/l4N0j7K.png,,4,https://i.imgur.com/xEgurVP.png,Maths,A,B,C,D,18.1,ssc,Bi,Kiran Maths,Surds & Indices
8,2,https://i.imgur.com/3h5jimn.png,,"2,3",https://i.imgur.com/ObZ0nIY.png,Maths,A,B,C,D,18.1,ssc,Bi,Kiran Maths,Surds & Indices
10,1,https://i.imgur.com/d5dfyZO.png,,"2, 3",https://i.imgur.com/Mmw9pr7.png,Maths,A,B,C,D,18.1,ssc,Bi,Kiran Maths,Surds & Indices
12,4,https://i.imgur.com/vMLFSWQ.png,,6,https://i.imgur.com/El8Tfdi.png,Maths,A,B,C,D,18.1,ssc,Bi,Kiran Maths,Surds & Indices
13,2,https://i.imgur.com/Pg59RwY.png,,6,https://i.imgur.com/9nbut5P.png,Maths,A,B,C,D,18.1,ssc,Bi,Kiran Maths,Surds & Indices
14,2,https://i.imgur.com/uQ0ZSlu.png,,"2, 3",https://i.imgur.com/zN52Q59.png,Maths,A,B,C,D,18.1,ssc,Bi,Kiran Maths,Surds & Indices
15,3,https://i.imgur.com/RW8Z3IU.png,,5,https://i.imgur.com/b3CpoxQ.png,Maths,A,B,C,D,18.1,ssc,Bi,Kiran Maths,Surds & Indices
16,2,https://i.imgur.com/xSIuJcY.png,,7,https://i.imgur.com/UcpbDxi.png,Maths,A,B,C,D,18.1,ssc,Bi,Kiran Maths,Surds & Indices
17,1,https://i.imgur.com/fSr6RBV.png,,6,https://i.imgur.com/yoTkj3C.png,Maths,A,B,C,D,18.1,ssc,Bi,Kiran Maths,Surds & Indices
18,1,https://i.imgur.com/4k7GBEM.png,,4,https://i.imgur.com/rpjNsf3.png,Maths,A,B,C,D,18.1,ssc,Bi,Kiran Maths,Surds & Indices
19,3,https://i.imgur.com/ffeUSm8.png,,4,https://i.imgur.com/g1Gwyp3.png,Maths,A,B,C,D,18.1,ssc,Bi,Kiran Maths,Surds & Indices
20,3,https://i.imgur.com/WtSjWst.png,,"2, 3",https://i.imgur.com/HG9cSwp.png,Maths,A,B,C,D,18.1,ssc,Bi,Kiran Maths,Surds & Indices
21,1,https://i.imgur.com/jMqst8y.png,,1,https://i.imgur.com/QaFfiGx.png,Maths,A,B,C,D,18.1,ssc,Bi,Kiran Maths,Surds & Indices
22,4,https://i.imgur.com/C6QzXjY.png,,"1, 2",https://i.imgur.com/0WleHeG.png,Maths,A,B,C,D,18.1,ssc,Bi,Kiran Maths,Surds & Indices
23,3,https://i.imgur.com/trDpQA9.png,,8,https://i.imgur.com/xVvKXgV.png,Maths,A,B,C,D,18.1,ssc,Bi,Kiran Maths,Surds & Indices
24,2,https://i.imgur.com/xI60oWp.png,,"2,3",https://i.imgur.com/HYX5Vy9.png,Maths,A,B,C,D,18.1,ssc,Bi,Kiran Maths,Surds & Indices
25,1,https://i.imgur.com/seMaUPP.png,,"2, 3",https://i.imgur.com/MybmsPx.png,Maths,A,B,C,D,18.1,ssc,Bi,Kiran Maths,Surds & Indices
26,4,https://i.imgur.com/bjbYBeT.png,,10,https://i.imgur.com/Umj5IyG.png,Maths,A,B,C,D,18.1,ssc,Bi,Kiran Maths,Surds & Indices
