sl.no,correct,QuestionLink,direction,concepts,explanation,section_type,optA,optB,optC,optD,category,usedFor,lang,source,name
1,1,https://i.imgur.com/4vFBqbR.png,,2,https://i.imgur.com/fbYWuGq.png,Maths,A,B,C,D,9.1,ssc,Bi,Kiran Maths,Number System
2,4,https://i.imgur.com/m4ElgfG.png,,2,https://i.imgur.com/ueFc8Wu.png,Maths,A,B,C,D,9.1,ssc,Bi,Kiran Maths,Number System
3,2,https://i.imgur.com/iUB88KQ.png,,"3, 10",https://i.imgur.com/JvcnTOt.png,Maths,A,B,C,D,9.1,ssc,Bi,Kiran Maths,Number System
4,4,https://i.imgur.com/TQzmDcC.png,,1,https://i.imgur.com/7cDDxSr.png,Maths,A,B,C,D,9.1,ssc,Bi,Kiran Maths,Number System
5,4,https://i.imgur.com/JU2hjBr.png,,2,https://i.imgur.com/p3ciouG.png,Maths,A,B,C,D,9.1,ssc,Bi,Kiran Maths,Number System
6,2,https://i.imgur.com/WUVw2Xd.png,,4,https://i.imgur.com/DJ8JvV4.png,Maths,A,B,C,D,9.1,ssc,Bi,Kiran Maths,Number System
1,2,https://i.imgur.com/xaGlDvY.png,,1,https://i.imgur.com/ZSCE79Z.png,Maths,A,B,C,D,9.1,ssc,Bi,Kiran Maths,Number System
2,2,https://i.imgur.com/TyKtQor.png,,1,https://i.imgur.com/k3WMNG9.png,Maths,A,B,C,D,9.1,ssc,Bi,Kiran Maths,Number System
3,3,https://i.imgur.com/JbpKDbw.png,,1,https://i.imgur.com/DaOKpgw.png,Maths,A,B,C,D,9.1,ssc,Bi,Kiran Maths,Number System
4,2,https://i.imgur.com/zdnvXuU.png,,1,https://i.imgur.com/2LkSRW4.png,Maths,A,B,C,D,9.1,ssc,Bi,Kiran Maths,Number System
5,4,https://i.imgur.com/pDrk0ZV.png,,1,https://i.imgur.com/44JXoeX.png,Maths,A,B,C,D,9.1,ssc,Bi,Kiran Maths,Number System
6,1,https://i.imgur.com/cww1KyC.png,,5,https://i.imgur.com/m7rPRL2.png,Maths,A,B,C,D,9.1,ssc,Bi,Kiran Maths,Number System
7,4,https://i.imgur.com/2iu8nNy.png,,1,https://i.imgur.com/VnZHn2P.png,Maths,A,B,C,D,9.1,ssc,Bi,Kiran Maths,Number System
8,4,https://i.imgur.com/XKha03g.png,,1,https://i.imgur.com/esK9Z2b.png,Maths,A,B,C,D,9.1,ssc,Bi,Kiran Maths,Number System
9,4,https://i.imgur.com/m9Pjft1.png,,1,https://i.imgur.com/kGmM98U.png,Maths,A,B,C,D,9.1,ssc,Bi,Kiran Maths,Number System
