sl.no,correct,QuestionLink,direction,concepts,explanation,section_type,optA,optB,optC,optD,category,usedFor,lang,source,name
1,3,https://i.imgur.com/tgX9ZZj.png,,2,https://i.imgur.com/SO07d9b.png,Maths,A,B,C,D,11.1,ssc,Bi,Kiran Maths,Pipe And Cistern
2,3,https://i.imgur.com/pN2Runk.png,,4,https://i.imgur.com/DzPfIUr.png,Maths,A,B,C,D,11.1,ssc,Bi,Kiran Maths,Pipe And Cistern
3,4,https://i.imgur.com/2ytHve2.png,,5,https://i.imgur.com/ltFc6tv.png,Maths,A,B,C,D,11.1,ssc,Bi,Kiran Maths,Pipe And Cistern
5,4,https://i.imgur.com/o9ZUTiw.png,,7,https://i.imgur.com/idgkSrh.png,Maths,A,B,C,D,11.1,ssc,Bi,Kiran Maths,Pipe And Cistern
6,3,https://i.imgur.com/v35KvVI.png,,2,https://i.imgur.com/LxEBXW8.png,Maths,A,B,C,D,11.1,ssc,Bi,Kiran Maths,Pipe And Cistern
7,3,https://i.imgur.com/Gaej6rv.png,,2,https://i.imgur.com/T5x56VW.png,Maths,A,B,C,D,11.1,ssc,Bi,Kiran Maths,Pipe And Cistern
8,2,https://i.imgur.com/fAhNl8r.png,,"6,2",https://i.imgur.com/6OiR51f.png,Maths,A,B,C,D,11.1,ssc,Bi,Kiran Maths,Pipe And Cistern
9,1,https://i.imgur.com/SeqIBt4.png,,7,https://i.imgur.com/yncgrXU.png,Maths,A,B,C,D,11.1,ssc,Bi,Kiran Maths,Pipe And Cistern
10,3,https://i.imgur.com/BnfGZxZ.png,,2,https://i.imgur.com/jyhwtAw.png,Maths,A,B,C,D,11.1,ssc,Bi,Kiran Maths,Pipe And Cistern
11,2,https://i.imgur.com/swYpxQI.png,,3,https://i.imgur.com/GmCekcf.png,Maths,A,B,C,D,11.1,ssc,Bi,Kiran Maths,Pipe And Cistern
12,4,https://i.imgur.com/4sGJ8ZL.png,,2,https://i.imgur.com/LgY9QqL.png,Maths,A,B,C,D,11.1,ssc,Bi,Kiran Maths,Pipe And Cistern
13,1,https://i.imgur.com/egFtDhY.png,,6,https://i.imgur.com/FhHRxZb.png,Maths,A,B,C,D,11.1,ssc,Bi,Kiran Maths,Pipe And Cistern
14,2,https://i.imgur.com/v2opGmD.png,,7,https://i.imgur.com/FFr4NgK.png,Maths,A,B,C,D,11.1,ssc,Bi,Kiran Maths,Pipe And Cistern
15,2,https://i.imgur.com/YNu3s1d.png,,2,https://i.imgur.com/BrmhNv7.png,Maths,A,B,C,D,11.1,ssc,Bi,Kiran Maths,Pipe And Cistern
16,4,https://i.imgur.com/888TVtv.png,,2,https://i.imgur.com/86v7mhA.png,Maths,A,B,C,D,11.1,ssc,Bi,Kiran Maths,Pipe And Cistern
17,1,https://i.imgur.com/YcVABXa.png,,4,https://i.imgur.com/Go87Adk.png,Maths,A,B,C,D,11.1,ssc,Bi,Kiran Maths,Pipe And Cistern
1,3,https://i.imgur.com/BCyFXSV.png,,8,https://i.imgur.com/KRT4Br8.png,Maths,A,B,C,D,11.1,ssc,Bi,Kiran Maths,Pipe And Cistern
2,2,https://i.imgur.com/D476ZQn.png,,4,https://i.imgur.com/X1J7J4j.png,Maths,A,B,C,D,11.1,ssc,Bi,Kiran Maths,Pipe And Cistern
3,3,https://i.imgur.com/fWrGMjc.png,,8,https://i.imgur.com/d3X5sk9.png,Maths,A,B,C,D,11.1,ssc,Bi,Kiran Maths,Pipe And Cistern
4,1,https://i.imgur.com/928EZ05.png,,4,https://i.imgur.com/bNmPwrW.png,Maths,A,B,C,D,11.1,ssc,Bi,Kiran Maths,Pipe And Cistern
5,3,https://i.imgur.com/W56kX8U.png,,2,https://i.imgur.com/Kf0XGYc.png,Maths,A,B,C,D,11.1,ssc,Bi,Kiran Maths,Pipe And Cistern
6,2,https://i.imgur.com/A0tP5bm.png,,"2,6",https://i.imgur.com/uL162TI.png,Maths,A,B,C,D,11.1,ssc,Bi,Kiran Maths,Pipe And Cistern
