sl.no,correct,QuestionLink,direction,concepts,explanation,section_type,optA,optB,optC,optD,category,usedFor,lang,source,name
1,2,https://i.imgur.com/GLjZ2CN.png,,2,https://i.imgur.com/4IF1trk.png,Maths,A,B,C,D,13.1,ssc,Bi,Kiran Maths,Ratio
2,3,https://i.imgur.com/tljR4JF.png,,2,https://i.imgur.com/NHQ16sH.png,Maths,A,B,C,D,13.1,ssc,Bi,Kiran Maths,Ratio
3,1,https://i.imgur.com/20eIkZ2.png,,1,https://i.imgur.com/XFIvdEL.png,Maths,A,B,C,D,13.1,ssc,Bi,Kiran Maths,Ratio
4,3,https://i.imgur.com/PwnEjzI.png,,5,https://i.imgur.com/2cT8TKH.png,Maths,A,B,C,D,13.1,ssc,Bi,Kiran Maths,Ratio
5,2,https://i.imgur.com/AVBoCwM.png,,2,https://i.imgur.com/c2CZzJq.png,Maths,A,B,C,D,13.1,ssc,Bi,Kiran Maths,Ratio
6,2,https://i.imgur.com/BrQbrH4.png,,1,https://i.imgur.com/c3MncSZ.png,Maths,A,B,C,D,13.1,ssc,Bi,Kiran Maths,Ratio
7,3,https://i.imgur.com/kSUyyrW.png,,2,https://i.imgur.com/vDAWeES.png,Maths,A,B,C,D,13.1,ssc,Bi,Kiran Maths,Ratio
8,2,https://i.imgur.com/fdSofjs.png,,2,https://i.imgur.com/ZIRTPLO.png,Maths,A,B,C,D,13.1,ssc,Bi,Kiran Maths,Ratio
9,3,https://i.imgur.com/xw2Yt7M.png,,2,https://i.imgur.com/woVSEEH.png,Maths,A,B,C,D,13.1,ssc,Bi,Kiran Maths,Ratio
10,3,https://i.imgur.com/pe7WStb.png,,2,https://i.imgur.com/GeLMyZH.png,Maths,A,B,C,D,13.1,ssc,Bi,Kiran Maths,Ratio
11,4,https://i.imgur.com/6MDD5pl.png,,6,https://i.imgur.com/9562K0Z.png,Maths,A,B,C,D,13.1,ssc,Bi,Kiran Maths,Ratio
12,3,https://i.imgur.com/ec8gXPV.png,,2,https://i.imgur.com/5CMkzcz.png,Maths,A,B,C,D,13.1,ssc,Bi,Kiran Maths,Ratio
13,3,https://i.imgur.com/yk3Y17z.png,,6,https://i.imgur.com/mbtbm0r.png,Maths,A,B,C,D,13.1,ssc,Bi,Kiran Maths,Ratio
