sl.no,correct,QuestionLink,direction,concepts,explanation,section_type,optA,optB,optC,optD,category,usedFor,lang,source,name
2,4,https://i.imgur.com/dk7LxTq.png,,1,https://i.imgur.com/kNEuGGg.png,Maths,A,B,C,D,14.1,ssc,Bi,Kiran Maths,Simple Interest
3,4,https://i.imgur.com/RvFvZGn.png,,1,https://i.imgur.com/4uXV2v4.png,Maths,A,B,C,D,14.1,ssc,Bi,Kiran Maths,Simple Interest
4,1,https://i.imgur.com/PJnCG3b.png,,1,https://i.imgur.com/0esET1B.png,Maths,A,B,C,D,14.1,ssc,Bi,Kiran Maths,Simple Interest
5,3,https://i.imgur.com/AxU4Oq1.png,,"1,2",https://i.imgur.com/XUc9TwE.png,Maths,A,B,C,D,14.1,ssc,Bi,Kiran Maths,Simple Interest
6,3,https://i.imgur.com/lpceLIJ.png,,1,https://i.imgur.com/L5ETe86.png,Maths,A,B,C,D,14.1,ssc,Bi,Kiran Maths,Simple Interest
7,1,https://i.imgur.com/BMLCLe9.png,,1,https://i.imgur.com/fMqWaAt.png,Maths,A,B,C,D,14.1,ssc,Bi,Kiran Maths,Simple Interest
8,1,https://i.imgur.com/nb8ct4k.png,,1,https://i.imgur.com/xdsXiw4.png,Maths,A,B,C,D,14.1,ssc,Bi,Kiran Maths,Simple Interest
9,2,https://i.imgur.com/7HbIog3.png,,1,https://i.imgur.com/rtn8OqK.png,Maths,A,B,C,D,14.1,ssc,Bi,Kiran Maths,Simple Interest
11,3,https://i.imgur.com/jcHJT70.png,,1,https://i.imgur.com/DCc6HWI.png,Maths,A,B,C,D,14.1,ssc,Bi,Kiran Maths,Simple Interest
12,4,https://i.imgur.com/7YXn8VO.png,,1,https://i.imgur.com/YptkfPE.png,Maths,A,B,C,D,14.1,ssc,Bi,Kiran Maths,Simple Interest
14,1,https://i.imgur.com/VvklOWP.png,,1,https://i.imgur.com/cwMtkbV.png,Maths,A,B,C,D,14.1,ssc,Bi,Kiran Maths,Simple Interest
15,3,https://i.imgur.com/gPIEPQ2.png,,1,https://i.imgur.com/b5Sbdn0.png,Maths,A,B,C,D,14.1,ssc,Bi,Kiran Maths,Simple Interest
16,4,https://i.imgur.com/QlL1QrP.png,,1,https://i.imgur.com/qOqwJWB.png,Maths,A,B,C,D,14.1,ssc,Bi,Kiran Maths,Simple Interest
17,2,https://i.imgur.com/0xJ0BGI.png,,1,https://i.imgur.com/A791FKb.png,Maths,A,B,C,D,14.1,ssc,Bi,Kiran Maths,Simple Interest
18,1,https://i.imgur.com/yXeLavd.png,,"1,3",https://i.imgur.com/khBYVlq.png,Maths,A,B,C,D,14.1,ssc,Bi,Kiran Maths,Simple Interest
19,1,https://i.imgur.com/3l1nUTT.png,,"1,3",https://i.imgur.com/ey3dyA0.png,Maths,A,B,C,D,14.1,ssc,Bi,Kiran Maths,Simple Interest
20,1,https://i.imgur.com/YarFE0Q.png,,1,https://i.imgur.com/3P9dCKj.png,Maths,A,B,C,D,14.1,ssc,Bi,Kiran Maths,Simple Interest
22,2,https://i.imgur.com/tSJ4wDq.png,,1,https://i.imgur.com/i3DnBFr.png,Maths,A,B,C,D,14.1,ssc,Bi,Kiran Maths,Simple Interest
23,3,https://i.imgur.com/0nvkpbe.png,,"1,3",https://i.imgur.com/heiRA7F.png,Maths,A,B,C,D,14.1,ssc,Bi,Kiran Maths,Simple Interest
24,4,https://i.imgur.com/ulk95zS.png,,"1,3",https://i.imgur.com/x6c5k1g.png,Maths,A,B,C,D,14.1,ssc,Bi,Kiran Maths,Simple Interest
25,4,https://i.imgur.com/I5DnWBH.png,,1,https://i.imgur.com/SuuXBjz.png,Maths,A,B,C,D,14.1,ssc,Bi,Kiran Maths,Simple Interest
2,3,https://i.imgur.com/oUtksnt.png,,"1,3",https://i.imgur.com/lFFBkPQ.png,Maths,A,B,C,D,14.1,ssc,Bi,Kiran Maths,Simple Interest
3,4,https://i.imgur.com/PHHZDUI.png,,"1,3",https://i.imgur.com/B9TZyku.png,Maths,A,B,C,D,14.1,ssc,Bi,Kiran Maths,Simple Interest
4,2,https://i.imgur.com/lXyryMA.png,,"1,3",https://i.imgur.com/4nLDA8E.png,Maths,A,B,C,D,14.1,ssc,Bi,Kiran Maths,Simple Interest
5,1,https://i.imgur.com/xJXcaSD.png,,1,https://i.imgur.com/VS0KRiy.png,Maths,A,B,C,D,14.1,ssc,Bi,Kiran Maths,Simple Interest
6,4,https://i.imgur.com/k2DrUmS.png,,1,https://i.imgur.com/2m9TopB.png,Maths,A,B,C,D,14.1,ssc,Bi,Kiran Maths,Simple Interest
7,2,https://i.imgur.com/t1PY2zC.png,,1,https://i.imgur.com/iaZJ3y0.png,Maths,A,B,C,D,14.1,ssc,Bi,Kiran Maths,Simple Interest
1,3,https://i.imgur.com/kvmohVQ.png,,"1,3",https://i.imgur.com/pjOdN1K.png,Maths,A,B,C,D,14.1,ssc,Bi,Kiran Maths,Simple Interest
2,1,https://i.imgur.com/AOMGFbD.png,,"1,3",https://i.imgur.com/87mH91c.png,Maths,A,B,C,D,14.1,ssc,Bi,Kiran Maths,Simple Interest
3,3,https://i.imgur.com/oZaGNc2.png,,"1,3",https://i.imgur.com/bipJuYY.png,Maths,A,B,C,D,14.1,ssc,Bi,Kiran Maths,Simple Interest
4,3,https://i.imgur.com/P6oVTar.png,,"1,3",https://i.imgur.com/8JdfcFF.png,Maths,A,B,C,D,14.1,ssc,Bi,Kiran Maths,Simple Interest
5,4,https://i.imgur.com/DQ9AqHg.png,,"1,3",https://i.imgur.com/nNkaIu4.png,Maths,A,B,C,D,14.1,ssc,Bi,Kiran Maths,Simple Interest
6,2,https://i.imgur.com/xF677Qx.png,,"1,3",https://i.imgur.com/pPagu5i.png,Maths,A,B,C,D,14.1,ssc,Bi,Kiran Maths,Simple Interest
7,2,https://i.imgur.com/YcP6SwN.png,,"1,3",https://i.imgur.com/VcyF61T.png,Maths,A,B,C,D,14.1,ssc,Bi,Kiran Maths,Simple Interest
8,1,https://i.imgur.com/3WkFJNM.png,,1,https://i.imgur.com/gMpLwto.png,Maths,A,B,C,D,14.1,ssc,Bi,Kiran Maths,Simple Interest
9,1,https://i.imgur.com/NsqdMPO.png,,"1,3",https://i.imgur.com/pNwislR.png,Maths,A,B,C,D,14.1,ssc,Bi,Kiran Maths,Simple Interest
1,4,https://i.imgur.com/rnjQj7o.png,,1,https://i.imgur.com/FoxLsn9.png,Maths,A,B,C,D,14.1,ssc,Bi,Kiran Maths,Simple Interest
2,1,https://i.imgur.com/NVCuNmo.png,,1,https://i.imgur.com/tKV0VoT.png,Maths,A,B,C,D,14.1,ssc,Bi,Kiran Maths,Simple Interest
