sl.no,correct,QuestionLink,direction,concepts,explanation,section_type,optA,optB,optC,optD,category,usedFor,lang,source,name
1,2,https://i.imgur.com/Mg61Kao.png,,1,https://i.imgur.com/JlcMeCU.png,Maths,A,B,C,D,16.1,ssc,Bi,Kiran Maths,Speed & Distance
2,4,https://i.imgur.com/YbrPOtE.png,,1,https://i.imgur.com/MJpCRcG.png,Maths,A,B,C,D,16.1,ssc,Bi,Kiran Maths,Speed & Distance
3,2,https://i.imgur.com/zMJUth4.png,,3,https://i.imgur.com/MLTPfB8.png,Maths,A,B,C,D,16.1,ssc,Bi,Kiran Maths,Speed & Distance
4,3,https://i.imgur.com/BK6R8O8.png,,1,https://i.imgur.com/hagcd7W.png,Maths,A,B,C,D,16.1,ssc,Bi,Kiran Maths,Speed & Distance
5,3,https://i.imgur.com/TQ7h1du.png,,1,https://i.imgur.com/Tq72t7x.png,Maths,A,B,C,D,16.1,ssc,Bi,Kiran Maths,Speed & Distance
6,2,https://i.imgur.com/XgC6OXB.png,,1,https://i.imgur.com/zM8VjrY.png,Maths,A,B,C,D,16.1,ssc,Bi,Kiran Maths,Speed & Distance
7,2,https://i.imgur.com/2TT730o.png,,1,https://i.imgur.com/gZOtr5l.png,Maths,A,B,C,D,16.1,ssc,Bi,Kiran Maths,Speed & Distance
8,1,https://i.imgur.com/rQJdRii.png,,1,https://i.imgur.com/DJ9z5LT.png,Maths,A,B,C,D,16.1,ssc,Bi,Kiran Maths,Speed & Distance
9,2,https://i.imgur.com/qLQoiH1.png,,1,https://i.imgur.com/gwdZteI.png,Maths,A,B,C,D,16.1,ssc,Bi,Kiran Maths,Speed & Distance
10,1,https://i.imgur.com/ctijM1Q.png,,1,https://i.imgur.com/c3PkSlu.png,Maths,A,B,C,D,16.1,ssc,Bi,Kiran Maths,Speed & Distance
11,3,https://i.imgur.com/QfB6bVL.png,,1,https://i.imgur.com/O5yuw9u.png,Maths,A,B,C,D,16.1,ssc,Bi,Kiran Maths,Speed & Distance
12,4,https://i.imgur.com/1lxb20w.png,,1,https://i.imgur.com/NkugulQ.png,Maths,A,B,C,D,16.1,ssc,Bi,Kiran Maths,Speed & Distance
13,2,https://i.imgur.com/hy5fTVs.png,,1,https://i.imgur.com/dCD5vMI.png,Maths,A,B,C,D,16.1,ssc,Bi,Kiran Maths,Speed & Distance
14,3,https://i.imgur.com/7O341zm.png,,1,https://i.imgur.com/ag5HcSL.png,Maths,A,B,C,D,16.1,ssc,Bi,Kiran Maths,Speed & Distance
15,4,https://i.imgur.com/MdiZyYr.png,,1,https://i.imgur.com/uYK9fU6.png,Maths,A,B,C,D,16.1,ssc,Bi,Kiran Maths,Speed & Distance
16,3,https://i.imgur.com/y5WfpXo.png,,1,https://i.imgur.com/xNorhAG.png,Maths,A,B,C,D,16.1,ssc,Bi,Kiran Maths,Speed & Distance
17,2,https://i.imgur.com/Kg75G17.png,,1,https://i.imgur.com/Ldwm13T.png,Maths,A,B,C,D,16.1,ssc,Bi,Kiran Maths,Speed & Distance
18,2,https://i.imgur.com/VGQdoIW.png,,1,https://i.imgur.com/bi2i57M.png,Maths,A,B,C,D,16.1,ssc,Bi,Kiran Maths,Speed & Distance
19,3,https://i.imgur.com/BdufyJQ.png,,3,https://i.imgur.com/O5ATP5J.png,Maths,A,B,C,D,16.1,ssc,Bi,Kiran Maths,Speed & Distance
20,1,https://i.imgur.com/JhXoJ3u.png,,4,https://i.imgur.com/gwBtssu.png,Maths,A,B,C,D,16.1,ssc,Bi,Kiran Maths,Speed & Distance
21,2,https://i.imgur.com/chV3r5J.png,,1,https://i.imgur.com/waRocyn.png,Maths,A,B,C,D,16.1,ssc,Bi,Kiran Maths,Speed & Distance
22,3,https://i.imgur.com/vNbcekf.png,,1,https://i.imgur.com/LguEF6U.png,Maths,A,B,C,D,16.1,ssc,Bi,Kiran Maths,Speed & Distance
24,4,https://i.imgur.com/9kqf7Lo.png,,1,https://i.imgur.com/MBvZh4A.png,Maths,A,B,C,D,16.1,ssc,Bi,Kiran Maths,Speed & Distance
1,3,https://i.imgur.com/xH8I3AC.png,,"1,2,5",https://i.imgur.com/kI3ONR9.png,Maths,A,B,C,D,16.1,ssc,Bi,Kiran Maths,Speed & Distance
2,3,https://i.imgur.com/YBmpTx3.png,,"1,5",https://i.imgur.com/RCPkBAK.png,Maths,A,B,C,D,16.1,ssc,Bi,Kiran Maths,Speed & Distance
3,2,https://i.imgur.com/aMKslzu.png,,"1,5",https://i.imgur.com/1xF3e83.png,Maths,A,B,C,D,16.1,ssc,Bi,Kiran Maths,Speed & Distance
4,4,https://i.imgur.com/nIH0H6h.png,,"1,5",https://i.imgur.com/Tt33uks.png,Maths,A,B,C,D,16.1,ssc,Bi,Kiran Maths,Speed & Distance
5,4,https://i.imgur.com/MQUX5qB.png,,"1,5",https://i.imgur.com/jBSWTvE.png,Maths,A,B,C,D,16.1,ssc,Bi,Kiran Maths,Speed & Distance
6,4,https://i.imgur.com/tpfmyMq.png,,"1,5",https://i.imgur.com/bAhDeFv.png,Maths,A,B,C,D,16.1,ssc,Bi,Kiran Maths,Speed & Distance
7,1,https://i.imgur.com/ceQKiBS.png,,"1,5",https://i.imgur.com/2rbboLH.png,Maths,A,B,C,D,16.1,ssc,Bi,Kiran Maths,Speed & Distance
8,2,https://i.imgur.com/1YhVyuT.png,,"1,5",https://i.imgur.com/U71266c.png,Maths,A,B,C,D,16.1,ssc,Bi,Kiran Maths,Speed & Distance
10,1,https://i.imgur.com/ErKYf8p.png,,"1,2,5",https://i.imgur.com/I9vyJQb.png,Maths,A,B,C,D,16.1,ssc,Bi,Kiran Maths,Speed & Distance
11,4,https://i.imgur.com/JN7jLQ6.png,,"1,2,5",https://i.imgur.com/99ZUUY8.png,Maths,A,B,C,D,16.1,ssc,Bi,Kiran Maths,Speed & Distance
12,1,https://i.imgur.com/CRt0O1G.png,,"1,2,5",https://i.imgur.com/fPwbTeW.png,Maths,A,B,C,D,16.1,ssc,Bi,Kiran Maths,Speed & Distance
13,2,https://i.imgur.com/y3UaBAY.png,,"1,2,5",https://i.imgur.com/RBUDN9N.png,Maths,A,B,C,D,16.1,ssc,Bi,Kiran Maths,Speed & Distance
1,3,https://i.imgur.com/fAqe7wb.png,,"1,2,6",https://i.imgur.com/RCaO3uB.png,Maths,A,B,C,D,16.1,ssc,Bi,Kiran Maths,Speed & Distance
2,2,https://i.imgur.com/FkMjLf4.png,,"1,3,6",https://i.imgur.com/lfXQz0a.png,Maths,A,B,C,D,16.1,ssc,Bi,Kiran Maths,Speed & Distance
3,1,https://i.imgur.com/eEBQW8f.png,,"1,6",https://i.imgur.com/VEMX7my.png,Maths,A,B,C,D,16.1,ssc,Bi,Kiran Maths,Speed & Distance
4,1,https://i.imgur.com/mWPz5xB.png,,"1,2,6",https://i.imgur.com/12JCCRq.png,Maths,A,B,C,D,16.1,ssc,Bi,Kiran Maths,Speed & Distance
5,2,https://i.imgur.com/3lonc0R.png,,"1,2,6",https://i.imgur.com/vsvqRt4.png,Maths,A,B,C,D,16.1,ssc,Bi,Kiran Maths,Speed & Distance
6,4,https://i.imgur.com/7GUMNOG.png,,"1,2,6",https://i.imgur.com/PSQ2xFQ.png,Maths,A,B,C,D,16.1,ssc,Bi,Kiran Maths,Speed & Distance
7,4,https://i.imgur.com/DPOPpZi.png,,"1,3,6",https://i.imgur.com/An2EJhy.png,Maths,A,B,C,D,16.1,ssc,Bi,Kiran Maths,Speed & Distance
1,2,https://i.imgur.com/82N8FMa.png,,"1,7",https://i.imgur.com/vanNmMU.png,Maths,A,B,C,D,16.1,ssc,Bi,Kiran Maths,Speed & Distance
2,3,https://i.imgur.com/QTY59bn.png,,"1,7",https://i.imgur.com/qjKjjCF.png,Maths,A,B,C,D,16.1,ssc,Bi,Kiran Maths,Speed & Distance
3,2,https://i.imgur.com/zBt37Mm.png,,"1,5,7",https://i.imgur.com/7nPN4I7.png,Maths,A,B,C,D,16.1,ssc,Bi,Kiran Maths,Speed & Distance
4,3,https://i.imgur.com/D3b7g6n.png,,"1,5,7",https://i.imgur.com/1aEjT07.png,Maths,A,B,C,D,16.1,ssc,Bi,Kiran Maths,Speed & Distance
5,2,https://i.imgur.com/ZbJAgf5.png,,"1,5,7",https://i.imgur.com/uLp2VKf.png,Maths,A,B,C,D,16.1,ssc,Bi,Kiran Maths,Speed & Distance
6,4,https://i.imgur.com/Woascip.png,,"1,6",https://i.imgur.com/coPu0XE.png,Maths,A,B,C,D,16.1,ssc,Bi,Kiran Maths,Speed & Distance
7,3,https://i.imgur.com/Sb9FFIC.png,,"1,7",https://i.imgur.com/7uhVehZ.png,Maths,A,B,C,D,16.1,ssc,Bi,Kiran Maths,Speed & Distance
8,3,https://i.imgur.com/zzBzQS0.png,,"1,6,7",https://i.imgur.com/Tku7wvq.png,Maths,A,B,C,D,16.1,ssc,Bi,Kiran Maths,Speed & Distance
9,1,https://i.imgur.com/RbNsQVD.png,,"1,5,7",https://i.imgur.com/yn4WDYf.png,Maths,A,B,C,D,16.1,ssc,Bi,Kiran Maths,Speed & Distance
10,3,https://i.imgur.com/SKWq6NV.png,,"1,7",https://i.imgur.com/CiSbeXA.png,Maths,A,B,C,D,16.1,ssc,Bi,Kiran Maths,Speed & Distance
12,1,https://i.imgur.com/NiUaScf.png,,"1,6,7",https://i.imgur.com/WmI1aS1.png,Maths,A,B,C,D,16.1,ssc,Bi,Kiran Maths,Speed & Distance
13,2,https://i.imgur.com/2VU0Qux.png,,"1,5,7",https://i.imgur.com/5sXuVrS.png,Maths,A,B,C,D,16.1,ssc,Bi,Kiran Maths,Speed & Distance
14,2,https://i.imgur.com/Mvm501R.png,,"1,5,7",https://i.imgur.com/0wCgn1J.png,Maths,A,B,C,D,16.1,ssc,Bi,Kiran Maths,Speed & Distance
