sl.no,correct,QuestionLink,direction,concepts,explanation,section_type,optA,optB,optC,optD,category,usedFor,lang,source,name
1,3,https://i.imgur.com/GrlizEM.png,,1,https://i.imgur.com/M6pzQOX.png,Maths,A,B,C,D,19.1,ssc,Bi,Kiran Maths,Time And Work
2,2,https://i.imgur.com/Mr3Pihn.png,,1,https://i.imgur.com/UYME4ex.png,Maths,A,B,C,D,19.1,ssc,Bi,Kiran Maths,Time And Work
3,1,https://i.imgur.com/nzOxi5y.png,,1,https://i.imgur.com/gYyAyVL.png,Maths,A,B,C,D,19.1,ssc,Bi,Kiran Maths,Time And Work
4,3,https://i.imgur.com/aGmNBej.png,,1,https://i.imgur.com/6IXLcKt.png,Maths,A,B,C,D,19.1,ssc,Bi,Kiran Maths,Time And Work
5,2,https://i.imgur.com/qza9H3f.png,,1,https://i.imgur.com/tAOr3TB.png,Maths,A,B,C,D,19.1,ssc,Bi,Kiran Maths,Time And Work
6,2,https://i.imgur.com/c3C0rpl.png,,1,https://i.imgur.com/C2jfx61.png,Maths,A,B,C,D,19.1,ssc,Bi,Kiran Maths,Time And Work
7,3,https://i.imgur.com/y3lTBc7.png,,1,https://i.imgur.com/omY0G0g.png,Maths,A,B,C,D,19.1,ssc,Bi,Kiran Maths,Time And Work
8,4,https://i.imgur.com/Obe38Bv.png,,1,https://i.imgur.com/0LsDHQ6.png,Maths,A,B,C,D,19.1,ssc,Bi,Kiran Maths,Time And Work
9,2,https://i.imgur.com/XzwfwFo.png,,1,https://i.imgur.com/sMw5MN9.png,Maths,A,B,C,D,19.1,ssc,Bi,Kiran Maths,Time And Work
10,1,https://i.imgur.com/hN8Zp21.png,,1,https://i.imgur.com/ab3myjv.png,Maths,A,B,C,D,19.1,ssc,Bi,Kiran Maths,Time And Work
11,4,https://i.imgur.com/UMeoAtS.png,,1,https://i.imgur.com/GbMdLFv.png,Maths,A,B,C,D,19.1,ssc,Bi,Kiran Maths,Time And Work
12,2,https://i.imgur.com/8FvDEHR.png,,1,https://i.imgur.com/j8TrB88.png,Maths,A,B,C,D,19.1,ssc,Bi,Kiran Maths,Time And Work
13,1,https://i.imgur.com/Cr1FbdR.png,,1,https://i.imgur.com/W8wO2Tt.png,Maths,A,B,C,D,19.1,ssc,Bi,Kiran Maths,Time And Work
14,2,https://i.imgur.com/B4nCCBA.png,,1,https://i.imgur.com/KorWUBK.png,Maths,A,B,C,D,19.1,ssc,Bi,Kiran Maths,Time And Work
15,3,https://i.imgur.com/ZrKQ9S5.png,,1,https://i.imgur.com/wakiTaj.png,Maths,A,B,C,D,19.1,ssc,Bi,Kiran Maths,Time And Work
16,2,https://i.imgur.com/1U6m7h0.png,,1,https://i.imgur.com/Ol1RDFw.png,Maths,A,B,C,D,19.1,ssc,Bi,Kiran Maths,Time And Work
18,3,https://i.imgur.com/5HCkiEv.png,,1,https://i.imgur.com/xlqgb3R.png,Maths,A,B,C,D,19.1,ssc,Bi,Kiran Maths,Time And Work
19,4,https://i.imgur.com/RC2cagn.png,,1,https://i.imgur.com/LGWzuLI.png,Maths,A,B,C,D,19.1,ssc,Bi,Kiran Maths,Time And Work
20,3,https://i.imgur.com/fD38TFj.png,,1,https://i.imgur.com/NQXIJvS.png,Maths,A,B,C,D,19.1,ssc,Bi,Kiran Maths,Time And Work
21,4,https://i.imgur.com/RY52jk2.png,,1,https://i.imgur.com/6RhlMzk.png,Maths,A,B,C,D,19.1,ssc,Bi,Kiran Maths,Time And Work
23,3,https://i.imgur.com/mjNdnDU.png,,1,https://i.imgur.com/GuIdSrH.png,Maths,A,B,C,D,19.1,ssc,Bi,Kiran Maths,Time And Work
24,2,https://i.imgur.com/9cQL2bR.png,,1,https://i.imgur.com/OkksBaV.png,Maths,A,B,C,D,19.1,ssc,Bi,Kiran Maths,Time And Work
25,4,https://i.imgur.com/JSmdx5J.png,,1,https://i.imgur.com/lCLo0ZK.png,Maths,A,B,C,D,19.1,ssc,Bi,Kiran Maths,Time And Work
26,1,https://i.imgur.com/Ln2KTwo.png,,1,https://i.imgur.com/87VAsNf.png,Maths,A,B,C,D,19.1,ssc,Bi,Kiran Maths,Time And Work
27,1,https://i.imgur.com/EzHuu4G.png,,1,https://i.imgur.com/NWKFEme.png,Maths,A,B,C,D,19.1,ssc,Bi,Kiran Maths,Time And Work
28,3,https://i.imgur.com/pHNK1HG.png,,1,https://i.imgur.com/iiqChQ7.png,Maths,A,B,C,D,19.1,ssc,Bi,Kiran Maths,Time And Work
29,3,https://i.imgur.com/V7jNzNV.png,,1,https://i.imgur.com/rwghlHs.png,Maths,A,B,C,D,19.1,ssc,Bi,Kiran Maths,Time And Work
30,4,https://i.imgur.com/Jrlk02P.png,,1,https://i.imgur.com/NEaRWfa.png,Maths,A,B,C,D,19.1,ssc,Bi,Kiran Maths,Time And Work
31,1,https://i.imgur.com/1VIgSVC.png,,1,https://i.imgur.com/3psVjqE.png,Maths,A,B,C,D,19.1,ssc,Bi,Kiran Maths,Time And Work
32,4,https://i.imgur.com/7TMOojB.png,,1,https://i.imgur.com/DEJp2Fq.png,Maths,A,B,C,D,19.1,ssc,Bi,Kiran Maths,Time And Work
33,4,https://i.imgur.com/3wk9wqJ.png,,1,https://i.imgur.com/8dXWyPV.png,Maths,A,B,C,D,19.1,ssc,Bi,Kiran Maths,Time And Work
34,2,https://i.imgur.com/gthInGj.png,,1,https://i.imgur.com/6yj1tqV.png,Maths,A,B,C,D,19.1,ssc,Bi,Kiran Maths,Time And Work
35,2,https://i.imgur.com/MJjEWCB.png,,1,https://i.imgur.com/HhgWahJ.png,Maths,A,B,C,D,19.1,ssc,Bi,Kiran Maths,Time And Work
36,4,https://i.imgur.com/ZAhzIIb.png,,1,https://i.imgur.com/aEJRPCa.png,Maths,A,B,C,D,19.1,ssc,Bi,Kiran Maths,Time And Work
37,2,https://i.imgur.com/Ps4Mh7q.png,,1,https://i.imgur.com/JIkE3q5.png,Maths,A,B,C,D,19.1,ssc,Bi,Kiran Maths,Time And Work
39,1,https://i.imgur.com/NSH54yT.png,,1,https://i.imgur.com/IkWCEkF.png,Maths,A,B,C,D,19.1,ssc,Bi,Kiran Maths,Time And Work
40,3,https://i.imgur.com/J1fQT8z.png,,1,https://i.imgur.com/p7qQMGD.png,Maths,A,B,C,D,19.1,ssc,Bi,Kiran Maths,Time And Work
41,4,https://i.imgur.com/kDIZ2Gj.png,,1,https://i.imgur.com/aVTHmqN.png,Maths,A,B,C,D,19.1,ssc,Bi,Kiran Maths,Time And Work
43,2,https://i.imgur.com/9JzGHQI.png,,1,https://i.imgur.com/e3cYtbF.png,Maths,A,B,C,D,19.1,ssc,Bi,Kiran Maths,Time And Work
44,1,https://i.imgur.com/hpDDKck.png,,1,https://i.imgur.com/PNobMOC.png,Maths,A,B,C,D,19.1,ssc,Bi,Kiran Maths,Time And Work
45,2,https://i.imgur.com/f7gDdxQ.png,,1,https://i.imgur.com/HYEUMMz.png,Maths,A,B,C,D,19.1,ssc,Bi,Kiran Maths,Time And Work
46,2,https://i.imgur.com/svZ5EKa.png,,1,https://i.imgur.com/wHhVdqr.png,Maths,A,B,C,D,19.1,ssc,Bi,Kiran Maths,Time And Work
47,2,https://i.imgur.com/62iy6bc.png,,1,https://i.imgur.com/Yy6rqAM.png,Maths,A,B,C,D,19.1,ssc,Bi,Kiran Maths,Time And Work
48,3,https://i.imgur.com/iwUm8CL.png,,1,https://i.imgur.com/n6YMcCM.png,Maths,A,B,C,D,19.1,ssc,Bi,Kiran Maths,Time And Work
49,2,https://i.imgur.com/FxP4n2v.png,,1,https://i.imgur.com/KhyL3Oc.png,Maths,A,B,C,D,19.1,ssc,Bi,Kiran Maths,Time And Work
50,3,https://i.imgur.com/ZGgr97y.png,,1,https://i.imgur.com/RbfqzKx.png,Maths,A,B,C,D,19.1,ssc,Bi,Kiran Maths,Time And Work
51,3,https://i.imgur.com/CSqlrtB.png,,1,https://i.imgur.com/cH3kHNS.png,Maths,A,B,C,D,19.1,ssc,Bi,Kiran Maths,Time And Work
52,3,https://i.imgur.com/COIykGS.png,,1,https://i.imgur.com/YZiyRz7.png,Maths,A,B,C,D,19.1,ssc,Bi,Kiran Maths,Time And Work
53,4,https://i.imgur.com/Yl3q9r6.png,,1,https://i.imgur.com/f5gBcp9.png,Maths,A,B,C,D,19.1,ssc,Bi,Kiran Maths,Time And Work
54,2,https://i.imgur.com/VgzzSPv.png,,1,https://i.imgur.com/cfCbw2d.png,Maths,A,B,C,D,19.1,ssc,Bi,Kiran Maths,Time And Work
1,4,https://i.imgur.com/rqfySLD.png,,1,https://i.imgur.com/duRsLZR.png,Maths,A,B,C,D,19.1,ssc,Bi,Kiran Maths,Time And Work
2,3,https://i.imgur.com/IsYJ0Rn.png,,1,https://i.imgur.com/K5bdsdo.png,Maths,A,B,C,D,19.1,ssc,Bi,Kiran Maths,Time And Work
3,3,https://i.imgur.com/LTHB61J.png,,1,https://i.imgur.com/E5X3riI.png,Maths,A,B,C,D,19.1,ssc,Bi,Kiran Maths,Time And Work
4,3,https://i.imgur.com/E8K0nHH.png,,1,https://i.imgur.com/a3ykB32.png,Maths,A,B,C,D,19.1,ssc,Bi,Kiran Maths,Time And Work
5,1,https://i.imgur.com/ckavfsq.png,,1,https://i.imgur.com/Wvq2fuI.png,Maths,A,B,C,D,19.1,ssc,Bi,Kiran Maths,Time And Work
6,4,https://i.imgur.com/EofA0gM.png,,1,https://i.imgur.com/vPIT1xn.png,Maths,A,B,C,D,19.1,ssc,Bi,Kiran Maths,Time And Work
7,1,https://i.imgur.com/Y7JQxCl.png,,1,https://i.imgur.com/cJ5730M.png,Maths,A,B,C,D,19.1,ssc,Bi,Kiran Maths,Time And Work
8,4,https://i.imgur.com/QFKS9CF.png,,1,https://i.imgur.com/3lbFKPb.png,Maths,A,B,C,D,19.1,ssc,Bi,Kiran Maths,Time And Work
9,2,https://i.imgur.com/dkpNjxB.png,,1,https://i.imgur.com/H4qUHIR.png,Maths,A,B,C,D,19.1,ssc,Bi,Kiran Maths,Time And Work
10,1,https://i.imgur.com/looUjnz.png,,1,https://i.imgur.com/XDe15NJ.png,Maths,A,B,C,D,19.1,ssc,Bi,Kiran Maths,Time And Work
11,1,https://i.imgur.com/bJNm7Ki.png,,1,https://i.imgur.com/Yv9DcL9.png,Maths,A,B,C,D,19.1,ssc,Bi,Kiran Maths,Time And Work
12,3,https://i.imgur.com/8z1TNEs.png,,1,https://i.imgur.com/pVwePef.png,Maths,A,B,C,D,19.1,ssc,Bi,Kiran Maths,Time And Work
13,1,https://i.imgur.com/8PV0MtN.png,,1,https://i.imgur.com/mpYQyxD.png,Maths,A,B,C,D,19.1,ssc,Bi,Kiran Maths,Time And Work
14,2,https://i.imgur.com/ls7c5rs.png,,1,https://i.imgur.com/rGbe6tB.png,Maths,A,B,C,D,19.1,ssc,Bi,Kiran Maths,Time And Work
15,4,https://i.imgur.com/vnKQxjN.png,,1,https://i.imgur.com/YFb2Zoy.png,Maths,A,B,C,D,19.1,ssc,Bi,Kiran Maths,Time And Work
16,2,https://i.imgur.com/sf9LAXl.png,,1,https://i.imgur.com/KzkEL2S.png,Maths,A,B,C,D,19.1,ssc,Bi,Kiran Maths,Time And Work
17,4,https://i.imgur.com/zYxDzU4.png,,1,https://i.imgur.com/a2QTUeK.png,Maths,A,B,C,D,19.1,ssc,Bi,Kiran Maths,Time And Work
18,3,https://i.imgur.com/NXh0QC2.png,,1,https://i.imgur.com/2nhpEgV.png,Maths,A,B,C,D,19.1,ssc,Bi,Kiran Maths,Time And Work
19,3,https://i.imgur.com/MiPML7m.png,,1,https://i.imgur.com/EqVQzA1.png,Maths,A,B,C,D,19.1,ssc,Bi,Kiran Maths,Time And Work
