QuestionLink,correct,category,optionA,optionB,optionC,optionD
https://i.imgur.com/H5zLE79.png,C,1.2,A,B,C,D
https://i.imgur.com/ThVLfhT.png,B,1.2,A,B,C,D
https://i.imgur.com/06Gvb3a.png,C,1.2,A,B,C,D
https://i.imgur.com/cIb1Zd9.png,C,1.2,A,B,C,D
https://i.imgur.com/pK3iQQq.png,A,1.2,A,B,C,D
https://i.imgur.com/M01xAbM.png,B,1.2,A,B,C,D
https://i.imgur.com/quSj1cY.png,B,1.2,A,B,C,D
https://i.imgur.com/lTBousY.png,C,1.2,A,B,C,D
https://i.imgur.com/cZ0ufxT.png,C,1.2,A,B,C,D
https://i.imgur.com/ECADlN7.png,B,1.2,A,B,C,D
https://i.imgur.com/6W3CZCZ.png,D,1.2,A,B,C,D
https://i.imgur.com/GArV6px.png,C,1.2,A,B,C,D
https://i.imgur.com/WQwm00L.png,A,1.2,A,B,C,D
https://i.imgur.com/00Nt896.png,A,1.2,A,B,C,D
https://i.imgur.com/jXLQoZV.png,A,1.2,A,B,C,D
https://i.imgur.com/nadRTKb.png,D,1.2,A,B,C,D
https://i.imgur.com/RH16XlS.png,C,1.2,A,B,C,D
https://i.imgur.com/AbuLtHQ.png,B,1.2,A,B,C,D
https://i.imgur.com/mhV3iTa.png,C,1.2,A,B,C,D
https://i.imgur.com/6ZiOxaR.png,C,1.2,A,B,C,D
https://i.imgur.com/X0Stzx0.png,D,1.2,A,B,C,D
https://i.imgur.com/R2S0G4b.png,A,1.2,A,B,C,D
https://i.imgur.com/SdJQoEd.png,D,1.2,A,B,C,D
https://i.imgur.com/Cv7sZMP.png,D,1.2,A,B,C,D
https://i.imgur.com/NosG1st.png,A,1.2,A,B,C,D
https://i.imgur.com/tORVdC6.png,A,1.2,A,B,C,D
https://i.imgur.com/cirbuVN.png,C,1.2,A,B,C,D
https://i.imgur.com/0JboSq9.png,D,1.2,A,B,C,D
https://i.imgur.com/2v8hrWD.png,B,1.2,A,B,C,D
https://i.imgur.com/j7rqq3n.png,B,1.2,A,B,C,D
https://i.imgur.com/IobZoTq.png,A,1.2,A,B,C,D
https://i.imgur.com/L8LYqWw.png,A,1.2,A,B,C,D
https://i.imgur.com/HUqXGzS.png,D,1.2,A,B,C,D
https://i.imgur.com/Gx7FxpC.png,D,1.2,A,B,C,D
https://i.imgur.com/aZYL35q.png,C,1.2,A,B,C,D
https://i.imgur.com/edhgVt4.png,D,1.2,A,B,C,D
https://i.imgur.com/rmK69C8.png,D,1.2,A,B,C,D
https://i.imgur.com/3hPwvx6.png,D,1.2,A,B,C,D
https://i.imgur.com/QBQZ0G3.png,C,1.2,A,B,C,D
https://i.imgur.com/4dDtlDc.png,C,1.2,A,B,C,D
https://i.imgur.com/3UzxSQ6.png,B,1.2,A,B,C,D
https://i.imgur.com/9pyBhi8.png,D,1.2,A,B,C,D
https://i.imgur.com/Zx3PvBj.png,D,1.2,A,B,C,D
https://i.imgur.com/NoM2DW6.png,B,1.2,A,B,C,D
https://i.imgur.com/5hdUYtg.png,A,1.2,A,B,C,D
https://i.imgur.com/7qIHjsV.png,A,1.2,A,B,C,D
https://i.imgur.com/26M7T3k.png,C,1.2,A,B,C,D
https://i.imgur.com/8dPnU2m.png,B,1.2,A,B,C,D
https://i.imgur.com/zE4klS1.png,C,1.2,A,B,C,D
https://i.imgur.com/X6LtkU6.png,C,1.2,A,B,C,D
https://i.imgur.com/ee37Kuk.png,B,1.2,A,B,C,D
https://i.imgur.com/PhvA4Vp.png,C,1.2,A,B,C,D
https://i.imgur.com/Wlste5u.png,A,1.2,A,B,C,D
https://i.imgur.com/vLu9K0Q.png,B,1.2,A,B,C,D
https://i.imgur.com/YERkVax.png,C,1.2,A,B,C,D
https://i.imgur.com/YgEPSfY.png,D,1.2,A,B,C,D
https://i.imgur.com/YGrrDaT.png,C,1.2,A,B,C,D
https://i.imgur.com/waPdXKn.png,A,1.2,A,B,C,D
https://i.imgur.com/rMpSzV2.png,C,1.2,A,B,C,D
https://i.imgur.com/BDwzGDV.png,D,1.2,A,B,C,D
https://i.imgur.com/XXqPkeJ.png,B,1.2,A,B,C,D
https://i.imgur.com/1MIvX8q.png,C,1.2,A,B,C,D
https://i.imgur.com/Q8aUIIG.png,D,1.2,A,B,C,D
https://i.imgur.com/AKGwTHH.png,D,1.2,A,B,C,D
