,Category,Correct,OptionA,OptionB,OptionC,OptionD,Questions
0,5.1,d,108,112,118,120, http://sscportal.in/sites/default/files/ssc-cgl-2017-exam-paper-held-on-08-aug-2017-shift-2-reasoning-q-id-116img.jpg  
1,5.1,c,2,7,14,28, http://sscportal.in/sites/default/files/ssc-cgl-2017-exam-paper-held-on-08-aug-2017-shift-3-reasoning-img216.jpg   
2,5.1,b,53,56,59,66, http://sscportal.in/sites/default/files/ssc-cgl-2017-exam-paper-held-on-09-aug-2017-shift-1-reasoning-q-id-16img.jpg  
3,5.1,b,189,227,277,339, http://sscportal.in/sites/default/files/ssc-cgl-2017-exam-paper-held-on-09-aug-2017-shift-2-reasoning-q-id-116-img.jpg  
4,5.1,a,1,2,3,4, http://sscportal.in/sites/default/files/ssc-cgl-2017-exam-paper-held-on-10-aug-2017-shift-1-reasoning-q-id-16-img_0.jpg  
5,5.1,a,4,6,8,16, http://sscportal.in/sites/default/files/ssc-cgl-2017-exam-paper-held-on-10-aug-2017-shift-2-reasoning-q-id-116-img.jpg  
6,5.1,a,35,42,45,95, http://sscportal.in/sites/default/files/ssc-cgl-2017-exam-paper-held-on-10-aug-2017-shift-3-reasoning-question-216-img.jpg  
7,5.1,c,33,34,36,37, http://sscportal.in/sites/default/files/ssc-cgl-2017-exam-paper-held-on-11-aug-2017-shift-1-reasoning-q-id-16-img.jpg  
8,5.1,b,14,15,17,19, http://sscportal.in/sites/default/files/ssc-cgl-2017-exam-paper-held-on-11-aug-2017-shift-2-reasoning-q-id-116-img.jpg  
9,5.1,c,112,144,156,186, http://sscportal.in/sites/default/files/ssc-cgl-2017-exam-paper-held-on-11-aug-2017-shift-3-reasoning-q-id-216-img.jpg  
10,5.1,c,216,1024,1296,2024, http://sscportal.in/sites/default/files/ssc-cgl-2017-exam-paper-held-on-12-aug-2017-shift-1-reasoning-q-id-16img.jpg  
11,5.1,b,3,4,8,14, http://sscportal.in/sites/default/files/ssc-cgl-2017-exam-paper-held-on-12-aug-2017-shift-2-reasoning-q-id-116-img.jpg  
12,5.1,b,2,4,6,8, http://sscportal.in/sites/default/files/ssc-cgl-2017-exam-paper-held-on-12-aug-2017-shift-3-reasoning-q-id-216-img.jpg  
13,5.1,c,143,169,455,545, http://sscportal.in/community/sites/default/files/SSC-CGL-Tier-1-Exam-Paper-2016-9-Sep-2016-Morning-Shift-Reasoning-Q-16.jpeg  
14,5.1,d,120,360,100,240, http://sscportal.in/community/sites/default/files/SSC-CGL-Tier-1-Online-Exam-Paper-2016-held-on-6-September-2016-Q16.jpeg  
15,5.1,c,3,9,1,7, http://sscportal.in/community/sites/default/files/SSC-CGL-Tier-1-Exam-Paper-2016-3-Sep-2016-Evening-Shift-Reasoning-Q16.jpg  
16,5.1,c,4,3,2,1, http://sscportal.in/community/sites/default/files/SSC-CGL-Tier-1-Exam-Paper-2016-3-Sep-2016-Morning-Shift-Reasoning-Q16.jpg  
17,5.1,b,30,35,20,25, http://sscportal.in/community/sites/default/files/SSC-CGL-Tier-1-Exam-Paper-2016-1-Sep-2016-Morning-Shift-Reasoning-Q16.jpeg  
18,5.1,d,1,4,9,25, http://sscportal.in/community/sites/default/files/SSC-CGL-Tier-1-Exam-Paper-2016-31-Aug-2016-Morning-Shift-Reasoning-Q16.jpg 
19,5.1,b,45,65,70,80, http://sscportal.in/community/sites/default/files/SSC-CGL-Tier-1-Exam-Paper-2016-29-Aug-2016-Evening-Shift-Reasoning-Q16.jpeg  
