Questions,optionA,optionB,optionC,optionD,Correct,category
"A, B, C, D, E, F, G तथा H एक गोल मेज के चारो तरफ केन्द्र की ओर मुँह करके बैठे हैं | H, B के बाएं चौथा है तथा F के दायें दूसरा है | A, C के बाएं तीसरा है जो F का पड़ोसी नहीं है | G, A के बाएं दूसरा है | D, E दायें दूसरा है |     F के एकदम दायें कौन बैठा है?",H,A,G,E,b,20.1
"A, B, C, D, E, F, G तथा H एक गोल मेज के चारो तरफ केन्द्र की ओर मुँह करके बैठे हैं | H, B के बाएं चौथा है तथा F के दायें दूसरा है | A, C के बाएं तीसरा है जो F का पड़ोसी नहीं है | G, A के बाएं दूसरा है | D, E दायें दूसरा है |     A के बाएं तीसरा कौन बैठा है?",C,F,B,G,c,20.1
"A, B, C, D, E, F, G तथा H एक गोल मेज के चारो तरफ केन्द्र की ओर मुँह करके बैठे हैं | H, B के बाएं चौथा है तथा F के दायें दूसरा है | A, C के बाएं तीसरा है जो F का पड़ोसी नहीं है | G, A के बाएं दूसरा है | D, E दायें दूसरा है |     नीचे दिये गये किस युग्म में पहला व्यक्ति दूसरे व्यक्ति के एकदम बाएं बैठा है |",EH,DB,CE,AF,b,20.1
"A, B, C, D, E, F, G तथा H एक गोल मेज के चारो तरफ केन्द्र की ओर मुँह करके बैठे हैं | H, B के बाएं चौथा है तथा F के दायें दूसरा है | A, C के बाएं तीसरा है जो F का पड़ोसी नहीं है | G, A के बाएं दूसरा है | D, E दायें दूसरा है |       नीचे दिये गये युग्मों में से कौनसा युग्म E का पड़ोसी है?",DH,HC,CA,इनमे से कोई नहीं,b,20.1
"A, B, C, D, E, F, G तथा H एक गोल मेज के चारो तरफ केन्द्र की ओर मुँह करके बैठे हैं | H, B के बाएं चौथा है तथा F के दायें दूसरा है | A, C के बाएं तीसरा है जो F का पड़ोसी नहीं है | G, A के बाएं दूसरा है | D, E दायें दूसरा है |       H के एकदम दायें कौन है?",E,C,H,F,a,20.1
"A, B, C, D, E, F, G, H तथा K एक गोल मेज के चारो तरफ केन्द्र की ओर मुँह करके बैठे हैं | B, G के बाएं चौथा है जो C के दायें दूसरा है | F, C के दायें चौथा है तथा K के बाएं दूसरा है | A, K के दायें चौथा है | D, ना तो K का पड़ोसी है और ना ही B का | H, E के दायें तीसरा है |           D के दायें चौथा कौन है?",K,H,E,B,d,20.1
"A, B, C, D, E, F, G, H तथा K एक गोल मेज के चारो तरफ केन्द्र की ओर मुँह करके बैठे हैं | B, G के बाएं चौथा है जो C के दायें दूसरा है | F, C के दायें चौथा है तथा K के बाएं दूसरा है | A, K के दायें चौथा है | D, ना तो K का पड़ोसी है और ना ही B का | H, E के दायें तीसरा है |          नीचे दिये किस संयोजन में तीसरा व्यक्ति, पहले तथा दूसरे व्यक्ति के बीच में बैठा है?",EKB,CHB,AGC,FGD,d,20.1
"A, B, C, D, E, F, G, H तथा K एक गोल मेज के चारो तरफ केन्द्र की ओर मुँह करके बैठे हैं | B, G के बाएं चौथा है जो C के दायें दूसरा है | F, C के दायें चौथा है तथा K के बाएं दूसरा है | A, K के दायें चौथा है | D, ना तो K का पड़ोसी है और ना ही B का | H, E के दायें तीसरा है |         H के दायें तीसरा कौन है?
",A,D,G,F,c,20.1
"A, B, C, D, E, F, G, H तथा K एक गोल मेज के चारो तरफ केन्द्र की ओर मुँह करके बैठे हैं | B, G के बाएं चौथा है जो C के दायें दूसरा है | F, C के दायें चौथा है तथा K के बाएं दूसरा है | A, K के दायें चौथा है | D, ना तो K का पड़ोसी है और ना ही B का | H, E के दायें तीसरा है |          E के बाएं चौथा कौन है?
",A,C,G,K,a,20.1
"A, B, C, D, E, F, G, H तथा K एक गोल मेज के चारो तरफ केन्द्र की ओर मुँह करके बैठे हैं | B, G के बाएं चौथा है जो C के दायें दूसरा है | F, C के दायें चौथा है तथा K के बाएं दूसरा है | A, K के दायें चौथा है | D, ना तो K का पड़ोसी है और ना ही B का | H, E के दायें तीसरा है |          K के दायें दूसरा कौन है?",C,H,F,E,b,20.1
