,cat_num,cat_name,Question,optA,optB,optC,optD,optE,correct
0,2.3,Adjective,Find the error. (Adjective),Sachin Tendulkar scored,less runs in,this series than,in the previous one.,No error,B
1,2.3,Adjective,Find the error. (Adjective),"At present, India’s",fielding is,superior than,Pakistan’s.,No error,C
2,2.3,Adjective,Find the error. (Adjective),The first two chapters,have been finished,while the three last,chapters have to be finished.,No error,C
3,2.3,Adjective,Find the error. (Adjective),"Now-a-days,",there are,much more criminals,than policemen.,No error,C
4,2.3,Adjective,Find the error. (Adjective),"Where I come from,",the most teachers have,"to teach at two schools,",in order to earn enough.,No error,B
5,2.3,Adjective,Find the error. (Adjective),Serena is much the most,intelligent girl of,her class but she is,not too much beautiful.,No error,D
6,2.3,Adjective,Find the error. (Adjective),Each of the two girls,is ready to accept that,Maria is taller and wiser,than any other student of the class.,No error,E
7,2.3,Adjective,Find the error. (Adjective),All the salaries are being paid,"much later now,",it is something,to do with the computer.,No error,E
8,2.3,Adjective,Find the error. (Adjective),Rohan was,a so big man,that he could not,sit in this chair.,No error,B
9,2.3,Adjective,Find the error. (Adjective),Rehan is the youngest,and more intelligent,of,my two sons.,No error,A
10,2.3,Adjective,Find the error. (Adjective),Rodger and Rafael are,two brothers.,The later is a,very intelligent boy.,No error,C
11,2.3,Adjective,Find the error. (Adjective),There are,no less than,five assistants,in the office.,No error,B
12,2.3,Adjective,Find the error. (Adjective),Little water,that was,in the pot,evaporated.,No error,A
13,2.3,Adjective,Find the error. (Adjective),When I entered,"the class room, I found",that only few students,were present in the class.,No error,C
14,2.3,Adjective,Find the error. (Adjective),The whole India,mourned the sad,and sudden demise,of Lal Bahadur Shastri.,No error,A
15,2.3,Adjective,Find the error. (Adjective),Vishal is elder to,his brother,Virat by,six years.,No error,E
16,2.3,Adjective,Find the error. (Adjective),Cricketer in him,could not resist,itself as soon as,a bat came into sight.,No error,A
17,2.3,Adjective,Find the error. (Adjective),Living in a dark room,is more preferable to,being imprisoned,in a sunny palace.,No error,B
18,2.3,Adjective,Find the error. (Adjective),Read Sawan’s series,for it keeps you,apace with the,last trends of examinations.,No error,D
