,cat_num,cat_name,Question,optA,optB,optC,optD,correct,Direction
0,1.1,Antonym,Rancid,Sweet,Stale,Fresh,Sour,C,Select the antonym.
1,1.1,Antonym,Always,Never,Sometimes,Anytime,Seldom,A,Select the antonym.
2,1.1,Antonym,Provide,Ignore,Defy,Deceive,Deny,D,Select the antonym.
3,1.1,Antonym,Adept,Ignorance,Inept,Lacuna,Inexperience,C,Select the antonym.
4,1.1,Antonym,Servile,Defiant,Fawning,Sycophantic,Psychotic,A,Select the antonym.
5,1.1,Antonym,Famous,Well-known,Unknown,Unfamiliar,Notorious,D,Select the antonym.
6,1.1,Antonym,Controversial,Uncertain,Dubious,Undisputed,Questionable,C,Select the antonym.
7,1.1,Antonym,Nourish,Starve,Foster,Sustain,Strengthen,A,Select the antonym.
8,1.1,Antonym,Alight,Disembark,Embark,Embalm,Align,B,Select the antonym.
9,1.1,Antonym,Virtue,Fault,Vice,Anger,Ill-temper,B,Select the antonym.
10,1.1,Antonym,Flexible,Blunt,Rigid,Gentle,Rough,B,Select the antonym.
11,1.1,Antonym,Obscure,Clear,Gloomy,Unpleasant,Dark,A,Select the antonym.
12,1.1,Antonym,Barbarous,Ancient,Civilized,Gentle,Savage,B,Select the antonym.
13,1.1,Antonym,Heighten,Widen,Decrease,Strengthen,Dissolve,B,Select the antonym.
14,1.1,Antonym,Dubious,Shady,Delirious,Laconic,Certain,D,Select the antonym.
16,1.1,Antonym,Humane,Unkind,Living being,Person,Man,A,Select the antonym.
17,1.1,Antonym,Miserable,Solitary,Happy,Active,Laudable,B,Select the antonym.
19,1.1,Antonym,Dissent,Discord,Disagreement,Unacceptable,Agreement,D,Select the antonym.
20,1.1,Antonym,Group,Singular,Individual,Alone,Solitary,B,Select the antonym.
21,1.1,Antonym,Persuade,Promote,Pervade,Dissolve,Dissuade,D,Select the antonym.
22,1.1,Antonym,Outrageous,Justifiable,Lusty,Jolly,Wicked,A,Select the antonym.
23,1.1,Antonym,Efficacious,Productive,Ineffective,Improper,Urgent,B,Select the antonym.
24,1.1,Antonym,Debacle,Success,Response,Acceptance,Agreement,A,Select the antonym.
25,1.1,Antonym,Abusive,Laudatory,Profuse,Effusive,Noble,A,Select the antonym.
26,1.1,Antonym,Amorphous,Amoral,Definite,Perfect,Irregular,B,Select the antonym.
27,1.1,Antonym,Unitary,Single,Triple,Multiple,Double,C,Select the antonym.
28,1.1,Antonym,Adulteration,Purification,Normalization,Rejuvenation,Consternation,A,Select the antonym.
29,1.1,Antonym,Exonerate,Exculpate,Discharge,Possible,Potential,C,Select the antonym.
30,1.1,Antonym,Cordial,Unfriendly,Sweet,Cold,Frigid,A,Select the antonym.
31,1.1,Antonym,Exploit,Expose,Utilise,Victimise,Pamper,D,Select the antonym.
32,1.1,Antonym,Acrimonious,Devious,Gental,Callous,Benevolent,B,Select the antonym.
33,1.1,Antonym,Contemporary,Ancient,Contemptuous,New,Conventional,A,Select the antonym.
34,1.1,Antonym,Dwindle,Diminish,Shrink,Increase,Decrease,C,Select the antonym.
35,1.1,Antonym,Dormant,Inactive,Dorsal,Domestic,Active,D,Select the antonym.
36,1.1,Antonym,Tranquility,Quiet,Serenity,Peace,Disturbance,D,Select the antonym.
37,1.1,Antonym,Grating,Musical,Unmusical,Hoarse,Strident,A,Select the antonym.
38,1.1,Antonym,Capricious,Fanciful,Reasonable,Intolerant,Indifferent,B,Select the antonym.
39,1.1,Antonym,Lassitude,Pleasure,Lustrous,Lethargy,Enthusiasm,D,Select the antonym.
40,1.1,Antonym,Retrench,Revamp,Belie,Deviate,Recruit,D,Select the antonym.
41,1.1,Antonym,Aggravate,Depreciate,Extinguish,Subsidise,Alleviate,D,Select the antonym.
42,1.1,Antonym,Indelible,Decorous,Surprising,Concerted,Temporary,D,Select the antonym.
43,1.1,Antonym,Amateur,Apprentices,Novice,Professional,lover,C,Select the antonym.
44,1.1,Antonym,Overt,Culvert,Open,Complete,Hidden,D,Select the antonym.
45,1.1,Antonym,Diffidence,Sharpness,Self-assurance,Expansiveness,Shyness,B,Select the antonym.
46,1.1,Antonym,Lunacy,Sanity,Stupidity,Sensibility,Insanity,A,Select the antonym.
47,1.1,Antonym,Obtuse,Sharp-witted,Transparent,Timid,Blunt,A,Select the antonym.
48,1.1,Antonym,Inadvertently,Secretly,Accidentally,Completely,Deliberately,D,Select the antonym.
49,1.1,Antonym,Cordial,Fast,Heartfelt,Friendly,Hostile,D,Select the antonym.
50,1.1,Antonym,Instinctive,Innate,Rational,Inherent,Inborn,B,Select the antonym.
51,1.1,Antonym,Venial,Minor,Pardonable,Unpardonable,Clean,C,Select the antonym.
52,1.1,Antonym,Accolade,Decorate,Permeate,Blame,Reticent,C,Select the antonym.
53,1.1,Antonym,Ambiguous,Simple,Easy,Plain,Clear,D,Select the antonym.
54,1.1,Antonym,Wary,Thrifty,Rash,Conscientious,Daring,B,Select the antonym.
55,1.1,Antonym,Obstruct,Clear,Block,Instruct,Prevent,A,Select the antonym.
56,1.1,Antonym,Encouraged,Neglected,Feared,Discouraged,Disowned,C,Select the antonym.
57,1.1,Antonym,Knack,Disgusting,Skill,Enmity,Inability,D,Select the antonym.
58,1.1,Antonym,Altruistic,Selfish,Cruel,Unkind,Evil,A,Select the antonym.
59,1.1,Antonym,Inhale,Insert,Extricate,Hate,Exhale,D,Select the antonym.
60,1.1,Antonym,Impetuous,Agitated,Impulsive,Cautious,Reckless,C,Select the antonym.
61,1.1,Antonym,Approached,Retreated,Reached,Arrived,Reproached,A,Select the antonym.
62,1.1,Antonym,Culmination,Completion,Climax,Conclusion,Beginning,D,Select the antonym.
63,1.1,Antonym,Include,Embrace,Embody,Eliminate,Enclose,C,Select the antonym.
64,1.1,Antonym,Unpredictable,Pliable,Reliable,Possible,Potential,B,Select the antonym.
65,1.1,Antonym,Philanthropic,Self centred,Benevolent,Benign,Unsparing,A,Select the antonym.
66,1.1,Antonym,Opulent,Poor,Sumptuous,Dropping,Wealthy,A,Select the antonym.
67,1.1,Antonym,Recede,Advance,Retrograde,Retreat,Withdraw,A,Select the antonym.
68,1.1,Antonym,Perpetual,Intermittent,Frequent,Continuous,Rare,A,Select the antonym.
69,1.1,Antonym,Unruly,Uneven,Undue,Orderly,Dirty,C,Select the antonym.
71,1.1,Antonym,Spirited,Animated,Excited,Lively,Dull,D,Select the antonym.
72,1.1,Antonym,Forthright,Blunt,Tricky,Candid,Plainspoken,B,Select the antonym.
73,1.1,Antonym,Antagonism,Cordiality,Animosity,Hostility,Enmity,A,Select the antonym.
74,1.1,Antonym,Vanity,Humanity,Humility,Pretension,Arrogance,B,Select the antonym.
75,1.1,Antonym,Harbinger,Counselor,Ascetic,Miser,Follower,D,Select the antonym.
76,1.1,Antonym,Expeditious,Obscure,Barren,Leisurely,Speedy,C,Select the antonym.
77,1.1,Antonym,Postponed,Adjourned,Advanced,Accredited,Abdicated,B,Select the antonym.
78,1.1,Antonym,Faded,Consistent,Spirited,Happy,Bright,D,Select the antonym.
79,1.1,Antonym,Heterogeneous,Hilarious,Illustrious,Homogeneous,Industrious,C,Select the antonym.
80,1.1,Antonym,Gregarious,Delight,Unsociable,Social,Stern,B,Select the antonym.
81,1.1,Antonym,Taciturn,Talkative,Yielding,Tactful,Foolish,A,Select the antonym.
82,1.1,Antonym,Archaic,Updated,Antediluvian,Modern,Obsolete,C,Select the antonym.
83,1.1,Antonym,Inadvertent,Advertise,Pretend,Indifferent,Deliberate,D,Select the antonym.
84,1.1,Antonym,Verbose,Bogus,Brief,Written,Rubbish,B,Select the antonym.
85,1.1,Antonym,Cultivated,Crude,Genteel,Suave,Refined,A,Select the antonym.
86,1.1,Antonym,Impertinent,Insolent,Impudent,Cheeky,Courteous,D,Select the antonym.
87,1.1,Antonym,Divulge,Disseminate,Dissemble,Publicize,Transmit,B,Select the antonym.
88,1.1,Antonym,Appreciation,Aspersion,Admiration,Commendation,Compliment,A,Select the antonym.
89,1.1,Antonym,Supple,Pliant,Pliable,Rigid,Flexible,C,Select the antonym.
90,1.1,Antonym,Amenable,Acquiescent,Distrustful,Inattentive,Unwilling,D,Select the antonym.
91,1.1,Antonym,Conspicuous,Blatant,Definite,Obvious,Obscure,D,Select the antonym.
92,1.1,Antonym,Reproof,Approbation,Apposition,Condemnation,Appropriation,A,Select the antonym.
93,1.1,Antonym,Niggard,Avaricious,Extravagant,Generous,Miserly,C,Select the antonym.
94,1.1,Antonym,Exotic,Conventional,Poor,Inexpensive,Indigenous,D,Select the antonym.
95,1.1,Antonym,Taciturn,Silent,Talkative,Immense,Judge,B,Select the antonym.
96,1.1,Antonym,Artisan,Skilled sculptor,Learned person,Ignorant villager,Unskilled labour,D,Select the antonym.
97,1.1,Antonym,Amicable,Friendly,Haughty,Unpleasant,Hostile,D,Select the antonym.
98,1.1,Antonym,Mitigate,Aggravate,Allay,Alleviate,Abate,A,Select the antonym.
99,1.1,Antonym,Aversion,Awareness,Hatred,Liking,Avoidance,C,Select the antonym.
100,1.1,Antonym,Disparage,Compliment,Convince,Comfort,Connect,A,Select the antonym.
101,1.1,Antonym,Garrulous,Quiet,Exaggerated,Gruesome,Creative,A,Select the antonym.
102,1.1,Antonym,Augment,Increase,Defend,Supplement,Decrease,D,Select the antonym.
103,1.1,Antonym,Amateurish,Seasoned,Trained,Skilled,Professional,D,Select the antonym.
104,1.1,Antonym,Ignominious,Valuable,Desirable,Honourable,Clever,C,Select the antonym.
105,1.1,Antonym,Impeccable,Faulty,Tedious,Flashy,Boring,A,Select the antonym.
106,1.1,Antonym,Amalgamate,Separate,Combine,Assimilate,Integrate,A,Select the antonym.
107,1.1,Antonym,Zenith,Climax,Crisis,Acme,Nadir,D,Select the antonym.
108,1.1,Antonym,Influx,Reflex,Deflection,Effluent,Exodus,D,Select the antonym.
109,1.1,Antonym,Orderly,"Se, otoc",Colic,Democratic,Chaotic,D,Select the antonym.
110,1.1,Antonym,Resourcefulness,Scarcity,Stupidity,Incompetence,Bankruptcy,A,Select the antonym.
111,1.1,Antonym,Evolve,Withdraw,Withhold,Suspend,Stop,B,Select the antonym.
112,1.1,Antonym,Antiquated,Renewed,Unique,Modern,Renovated,C,Select the antonym.
113,1.1,Antonym,Pathetic,Comic,Ridiculous,Dramatic,Trivial,C,Select the antonym.
114,1.1,Antonym,Fastidious,Ugly,Shabby,Shallow,Discourteous,B,Select the antonym.
115,1.1,Antonym,Precedence,Subordination,Seclusion,Succession,Supersession,A,Select the antonym.
116,1.1,Antonym,Misdemeanour,Adventure,Cowardice,Humility,Courtesy,D,Select the antonym.
117,1.1,Antonym,Nibble,Swallow,Munch,Devour,Consume,C,Select the antonym.
118,1.1,Antonym,Jeopardy,Pleasure,Stability,Safety,Comfort,C,Select the antonym.
119,1.1,Antonym,Hindrance,Assistance,Authorization,Approval,Approbation,A,Select the antonym.
120,1.1,Antonym,Vague,Unclear,Definite,Cloudy,Ambiguous,B,Select the antonym.
121,1.1,Antonym,Perfect,Imperfect,Ugly,Defect,Complete,A,Select the antonym.
122,1.1,Antonym,Deficit,Explicit,Implicit,Surplus,Superfluous,C,Select the antonym.
123,1.1,Antonym,Bane,Profit,Disadvantage,Boon,None of the above,C,Select the antonym.
