,cat_num,cat_name,Question,optA,optB,optC,optD,optE,correct
0,2.4,Articles,Find the error (Article),Number of intelligent students,is good but none,of the students are,obliged to their teachers.,No error,A
1,2.4,Articles,Find the error (Article),The higher you go,the cooler you will feel,because it,is natural phenomenon.,No error,D
2,2.4,Articles,Find the error (Article),Shilesh is the tallest,and the best student,of his class,so we call him carefully.,No error,B
3,2.4,Articles,Find the error (Article),Whenever Mr. Fernandes finds,"a student, a teacher",comes in him and he,starts helping him.,No error,B
4,2.4,Articles,Find the error (Article),It is the signature of Shakti,not known to me,so I can say,nothing about him.,No error,A
5,2.4,Articles,Find the error (Article),Ganga is one of the,longest rivers that,originate from,the Himalayas.,No error,A
6,2.4,Articles,Find the error (Article),Sheryl said that,she was employee of,the gas company and,had come to read the meter.,No error,B
7,2.4,Articles,Find the error (Article),I can’t remember the exact,"date of storm,",but I know it was a Sunday,because everybody was at temple.,No error,B
8,2.4,Articles,Find the error (Article),Day after day passed,"without the news,",and we began,to loose hope.,No error,B
9,2.4,Articles,Find the error (Article),"Professor Sharma, a man who",discovered the new drug that,"everyone is talking about,",refused to give a press conference.,No error,A
10,2.4,Articles,Find the error (Article),Leave your coats in,"the cloakroom,",don’t bring them,into theatre.,No error,D
11,2.4,Articles,Find the error (Article),I hit my thumb,with a hammer,when I was,hanging the picture.,No error,E
12,2.4,Articles,Find the error (Article),One of my friends,advised me to take,"a taxi, another said that",there was quite good bus-service.,No error,D
13,2.4,Articles,Find the error (Article),"At Haridwar, the first",thing that hits the eye,is the presence of,the Ganga.,No error,E
14,2.4,Articles,Find the error (Article),Never have I seen,such girl in my life,because she is too,beautiful to be described.,No error,B
15,2.4,Articles,Find the error (Article),Last night I bought,"a pen, an inkpot, a pencil",and a soap,from a stationery store.,No error,C
16,2.4,Articles,Find the error (Article),Rohan’s uncle lived on,ground floor,of an old house,on the river Ganges.,No error,B
17,2.4,Articles,Find the error (Article),He got the piece of,information from one,of the students but I,could not believe in it. ,No error,A
18,2.4,Articles,Find the error (Article),"It being nice day, they",decided to go for a walk,when a number of,girls were reading.,No error,A
19,2.4,Articles,Find the error (Article),Shekhar boasts of having,good knowledge of economics,but all know how good,he is at economics.,No error,B
20,2.4,Articles,Find the error (Article),When Sara went to,"the college the other day,",she could not attend the class,because the teacher was absent.,No error,B
21,2.4,Articles,Find the error (Article),Anand is the friend,of Ajay’s but,he is leading a miserable,life these days.,No error,A
22,2.4,Articles,Find the error (Article),On sundays my father,stays in the bed,"till ten o’clock,",reading sunday paper.,No error,D
23,2.4,Articles,Find the error (Article),The escaping prisoner camped,in wood but he didn’t light a fire,because smoke rising from the wood,might attract attention.,No error,B
24,2.4,Articles,Find the error (Article),In a history of Indian,"rulers, Harsvardhan’s regime of",a few years is,one of the best periods.,No error,A
25,2.4,Articles,Find the error (Article),They cannot ,speak the German,and Japanese,languages.,No error,C
26,2.4,Articles,Find the error (Article),The father,wants me,to go,into business.,No error,A
27,2.4,Articles,Find the error (Article),India is,one of hottest,countries,in the world.,No error,B
28,2.4,Articles,Find the error (Article),We shall,never forget,immortal,Bhagat Singh.,No error,C
29,2.4,Articles,Find the error (Article),An one-eyed man,is standing,outside,my house.,No error,A
30,2.4,Articles,Find the error (Article),Have,you,got,headache ?,No error,D
31,2.4,Articles,Find the error (Article),I had,a sandwich,and apple,for lunch.,No error,C
32,2.4,Articles,Find the error (Article),This morning,I brought,newspaper and,a magazine.,No error,C
33,2.4,Articles,Find the error (Article),Did Stewart,get job,he applied,for ?,No error,B
34,2.4,Articles,Find the error (Article),He had,very nice,lunch with,our friends.,No error,B
35,2.4,Articles,Find the error (Article),There are,the few,boys present,in the class.,No error,B
36,2.4,Articles,Find the error (Article),Urdu,is,a difficult,language.,No error,E
37,2.4,Articles,Find the error (Article),The French,is,a difficult,language.,No error,A
38,2.4,Articles,Find the error (Article),Vishakha tried,to exercise,a undue influence,upon time.,No error,C
39,2.4,Articles,Find the error (Article),It has,to be kept,at an,uniform temperature.,No error,C
40,2.4,Articles,Find the error (Article),A black ,and a white cow,is grazing,in the field.,No error,B
41,2.4,Articles,Find the error (Article),This is,a red,and a blue,pen.,No error,C
42,2.4,Articles,Find the error (Article),She reads,at an H.E. School,and her brother reads,in European school.,No error,D
43,2.4,Articles,Find the error (Article),I was invited,to dinner,given to welcome,the new chairman.,No error,B
44,2.4,Articles,Find the error (Article),I have not,been to,the cinema,for ages.,No error,E
45,2.4,Articles,Find the error (Article),Who was,the first man,to set the foot,on the moon ?,No error,C
46,2.4,Articles,Find the error (Article),Krishna of,the Mahabharata,is an ideal,personality.,No error,C
47,2.4,Articles,Find the error (Article),Harder,"you work,",the more,you will be paid.,No error,A
48,2.4,Articles,Find the error (Article),When we,are seriously ill,we go,to the hospital.,No error,D
49,2.4,Articles,Find the error (Article),Chairs,in the corner,of his hall,are broken.,No error,A
50,2.4,Articles,Find the error (Article),Tell Vinay that,he cannot behave,way he likes,in this college.,No error,C
51,2.4,Articles,Find the error (Article),Last week Sadanand,had made,request to me,to take him to Bangalore.,No error,C
52,2.4,Articles,Find the error (Article),How you eat,is as an important,as what,you eat.,No error,B
53,2.4,Articles,Find the error (Article),If I were you,I would never,write such,strong worded letter.,No error,C
54,2.4,Articles,Find the error (Article),They didn’t talk much,because they didn’t want to,wake up the,other people in house.,No error,D
55,2.4,Articles,Find the error (Article),The industrialist neglected,to file his income tax,and therefore he had,to pay fine.,No error,D
56,2.4,Articles,Find the error (Article),He wept bitterly,on hearing news,of his failure,in the examination.,No error,B
57,2.4,Articles,Find the error (Article),While I was travelling,"in a train,",piece of luggage fell on my head.,No error,Noopt,C
58,2.4,Articles,Find the error (Article),There was great difference,of opinion between,the members of the Board.,No error,Noopt,A
59,2.4,Articles,Find the error (Article),The brass,is not a,very expensive metal.,No error,Noopt,A
60,2.4,Articles,Find the error (Article),You cannot judge the merit,of a boy in moment,because it always takes a long,span of time to deliver conclusion.,No error,B
61,2.4,Articles,Find the error (Article),If he does not,submit his explanation in,next one week,all of us will be jailed.,No error,C
