,cat_num,cat_name,Question,optA,optB,optC,optD,correct,Direction
0,2.14,Common Errors,The other day my sister told me,that she will be moving,to her new apartment very soon.,No error,,B,Find the common error.
1,2.14,Common Errors,Tony is giving me a lift.,He’s coming to,call for me at ten.,No error,,C,Find the common error.
2,2.14,Common Errors,Each of the students participating,in the drawing competition,have to bring his own materials.,No error,,C,Find the common error.
3,2.14,Common Errors,Raj surprised everyone,when he created an unbreakable record,of one and a half centuries.,No error,,C,Find the common error.
4,2.14,Common Errors,Do not write him of,as I feel he still has the fire,smouldering in him.,No error,,A,Find the common error.
5,2.14,Common Errors,The poor man saves the money,but then he began to worry,that thieves might take it away.,No error,,A,Find the common error.
6,2.14,Common Errors,He adviced me,to join,the computer course later in the year.,No error,,A,Find the common error.
7,2.14,Common Errors,Some of our latest canon,that have come out of the production,line have a very long range.,No error,,A,Find the common error.
8,2.14,Common Errors,Susan said that she shall,try to attempt the task,to the best of her ability.,No error,,A,Find the common error.
9,2.14,Common Errors,He couldn’t but help,shed tears at the plight of the villagers,rendered homeless by a devastating cyclone.,No error,,A,Find the common error.
10,2.14,Common Errors,Most of the members at the meeting felt,that the group appointed to investigate the case,were not competent to do the job efficiently.,No error,,C,Find the common error.
11,2.14,Common Errors,Neither the size,nor the colour of the gloves,were right.,No error,,C,Find the common error.
12,2.14,Common Errors,It was only when they met him,they found he has a childish simplicity,about him. ,No error,,B,Find the common error.
13,2.14,Common Errors,I now realise that public speaking,requires as much courage,and confidence as to dance.,No error,,C,Find the common error.
14,2.14,Common Errors,The children which are assembled,in the hall are ones,chosen for the field trip.,No error,,A,Find the common error.
15,2.14,Common Errors,It is to certify that he has won,the essay writing competition organised,by the Department of Arts and Culture.,No error,,A,Find the common error.
16,2.14,Common Errors,Neither of the sisters,are sensible enough,to carry out the plan.,No error,,B,Find the common error.
17,2.14,Common Errors,Give your answers,in your own words,as far as practical.,No error,,D,Find the common error.
18,2.14,Common Errors,Tired I was I had to,keep on working till,the wee hours of the morning.,No error,,A,Find the common error.
19,2.14,Common Errors,The suggestion given by him,"is as bad, if not worst",than the one suggested by you. ,No error,,C,Find the common error.
20,2.14,Common Errors,The tree,is losing,its leaves.,No error,,D,Find the common error.
21,2.14,Common Errors,"The beautiful, young girl",jumped in the river,in a state of depression.,No error,,B,Find the common error.
22,2.14,Common Errors,This is not,a worth reading book,so don’t read it.,No error,,B,Find the common error.
23,2.14,Common Errors,"Prisoners, especially long term convict",have to suffer most,from emotional starvation.,No error,,A,Find the common error.
24,2.14,Common Errors,It is now,five years since,I visit Delhi. ,No error,,C,Find the common error.
25,2.14,Common Errors,I felt privileged,to recite a poem in an honour of my teacher,at a recent school function.,No error,,B,Find the common error.
26,2.14,Common Errors,I am not sure,if,he will come.,No error,,B,Find the common error.
27,2.14,Common Errors,When no individual is,responsible there are no,sense of responsibility.,No error,,B,Find the common error.
28,2.14,Common Errors,Africa is the second largest continent,and it contain about one fifth,of all the land in the world. ,No error,,B,Find the common error.
29,2.14,Common Errors,He neither talks too much,nor he causes any trouble,during the lesson.,No error,,B,Find the common error.
30,2.14,Common Errors,I have visited Mumbai two years ago,and I am planning to visit again,in the near future.,No error,,A,Find the common error.
31,2.14,Common Errors,The hurrying crowds,of people past,each other amazed him. ,No error,,B,Find the common error.
32,2.14,Common Errors,She has married,a young tall,Australian accountant.,No error,,B,Find the common error.
33,2.14,Common Errors,My friends said,me that he was,unable to come. ,No error,,B,Find the common error.
34,2.14,Common Errors,For testing,"the new microphone,",I tried to record my voice.,No error,,A,Find the common error.
35,2.14,Common Errors,I enjoy jogging,and I enjoy,playing the piano.,No error,,B,Find the common error.
36,2.14,Common Errors,I saw,two deers,in the woods.,No error,,B,Find the common error.
37,2.14,Common Errors,They decided,to consult,a marriage guidance counselor.,No error,,D,Find the common error.
38,2.14,Common Errors,People have,different ideas about,what makes a good holiday.,No error,,D,Find the common error.
39,2.14,Common Errors,Many a man,have come to India from Bangladesh,to live here permanently.,No error,,B,Find the common error.
40,2.14,Common Errors,Our football team,comprises of,eleven skilled players,No error,,B,Find the common error.
41,2.14,Common Errors,Knowledge and wisdom makes,an individual truly complete,and self-assured.,No error,,A,Find the common error.
42,2.14,Common Errors,One of the boys,who always give the correct answer,is Samuel. ,No error,,D,Find the common error.
43,2.14,Common Errors,It is hightime,we renovate,our old house.,No error,,B,Find the common error.
44,2.14,Common Errors,Headmaster,has instructed,the teachers to follow the rules of the school.,No error,,A,Find the common error.
45,2.14,Common Errors,The first inning,to travel match,was very sensational.,No error,,A,Find the common error.
46,2.14,Common Errors,How long it take ,to travel from Chennai to Trichy,by train ? ,No error,,A,Find the common error.
47,2.14,Common Errors,One should respect,the religions of others,as much as his own.,No error,,C,Find the common error.
48,2.14,Common Errors,On a holiday,I prefer reading story books,than visiting my friends.,No error,,C,Find the common error.
49,2.14,Common Errors,We had,hardly reached the,platform than the train came in.,No error,,C,Find the common error.
50,2.14,Common Errors,I was,laying down,when the door bell rang.,No error,,B,Find the common error.
51,2.14,Common Errors,I told the teacher,that the homework set for the day,was much too heavy for us to complete.,No error,,D,Find the common error.
52,2.14,Common Errors,"Someone, they don’t know","who, knocked at",their door in midnight.,No error,,C,Find the common error.
