,cat_num,cat_name,Question,optA,optB,optC,optD,optE,correct
0,3.3,Conjunction,Find the error. (Conjunction),The bank will decide,unless Ashok is,eligible for a loan,based on his monthly salary.,No error,B
1,3.3,Conjunction,Find the error. (Conjunction),Every year this IT company,conducts training programmes,for employees so,they learn new skills.,No error,C
2,3.3,Conjunction,Find the error. (Conjunction),The reason,for my prolonged,absence from the class,was because I was ill.,No error,D
3,3.3,Conjunction,Find the error. (Conjunction),The novel has neither,an interesting,"plot, nor any",interesting character.,No error,E
4,3.3,Conjunction,Find the error. (Conjunction),No sooner did he see,the traffic policeman,he wore seat belt.,No error,Noopt,C
5,3.3,Conjunction,Find the error. (Conjunction),We were so late,than the meeting,was almost over,when we arrived.,No error,B
6,3.3,Conjunction,Find the error. (Conjunction),A member shall be required,to pay interest at such rate,as is fixed by the committee.,No error,Noopt,C
7,3.3,Conjunction,Find the error. (Conjunction),"The assurances, unfortunately,","remained on paper,",as neither the centre or the state initiated steps,for the development of the backward region.,No error,C
8,3.3,Conjunction,Find the error. (Conjunction),India is a land of,great political leaders,who ruled the country effectively,and also by protecting its national interest.,No error,D
9,3.3,Conjunction,Find the error. (Conjunction),Recovery campaigns should be mounted,"not only to recover the dues,",yet to continue awareness among borrowers,about the necessity of timely repayment.,No error,C
10,3.3,Conjunction,Find the error. (Conjunction),In view of the financial crisis,the company does not have,any choice unless,to close down the factory.,No error,C
11,3.3,Conjunction,Find the error. (Conjunction),After graduating from college,having an engineering degree,he received a job offer,from a reputed American firm.,No error,B
12,3.3,Conjunction,Find the error. (Conjunction),He said,that he wanted a room,and that his luggage would follow.,No error,Noopt,D
13,3.3,Conjunction,Find the error. (Conjunction),As soon as my sister was ill,I went to the hospital,on alternate day.,No error,Noopt,A
14,3.3,Conjunction,Find the error. (Conjunction),She told her son,to wait in the car,until she does not,return from the shop.,No error,C
15,3.3,Conjunction,Find the error. (Conjunction),Mr. Chatterjee has come down,with the flu,but he would have,joined us today.,No error,C
16,3.3,Conjunction,Find the error. (Conjunction),There is a growing demand,for a law requiring employers,to provide workers with paid leave,so as to care for sick children.,No error,E
17,3.3,Conjunction,Find the error. (Conjunction),No sooner had the hockey match started,when it began,to rain.,No error,Noopt,B
18,3.3,Conjunction,Find the error. (Conjunction),Unless you do not give,the keys of the safe,you will be shot.,No error,Noopt,A
19,3.3,Conjunction,Find the error. (Conjunction),After the tsunami,they didn’t know,weather they,would be able to rebuild.,No error,C
20,3.3,Conjunction,Find the error. (Conjunction),We all are indebted to him,for holding not only high moral values,but also rendering dedicated service,for the betterment of human race.,No error,B
21,3.3,Conjunction,Find the error. (Conjunction),No sooner did he get,up from bed,then he was sent,to the dairy.,No error,C
22,3.3,Conjunction,Find the error. (Conjunction),He did,nothing else,than play.,No error,Noopt,C
23,3.3,Conjunction,Find the error. (Conjunction),Both the boys,came late in the hall,and sat besides me.,No error,Noopt,C
24,3.3,Conjunction,Find the error. (Conjunction),You must either tell me,the whole story or at least,the first half of it.,No error,Noopt,A
25,3.3,Conjunction,Find the error. (Conjunction),Not only the judges acquitted,him of all the charges,"levelled against him, but",also commended all his actions.,No error,A
26,3.3,Conjunction,Find the error. (Conjunction),No sooner did,"Prashant enter the class,",his class teacher scolded him,for reaching late.,No error,B
27,3.3,Conjunction,Find the error. (Conjunction),Sunita closed the,window grill provided that,her child might,not fall down.,No error,B
28,3.3,Conjunction,Find the error. (Conjunction),The factory failed,to supply the goods,on time and so,the order was cancelled.,No error,C
29,3.3,Conjunction,Find the error. (Conjunction),Hardly did,Suman enter the class his,class teacher scolded him,for reaching late.,No error,B
30,3.3,Conjunction,Find the error. (Conjunction),One cannot withdraw,all one’s money,unless one does not,gives advance notice.,No error,C
31,3.3,Conjunction,Find the error. (Conjunction),No sooner did,Meena reach,the station then,it started raining.,No error,C
32,3.3,Conjunction,Find the error. (Conjunction),Unless we do not,"control our appetite,",we will not be,in control of our passions and emotions.,No error,A
33,3.3,Conjunction,Find the error. (Conjunction),In the circumstance,the manager has,no option,except to resign.,No error,D
34,3.3,Conjunction,Find the error. (Conjunction),Beside the chairman ,all the committee members,were present,at the shareholders’ meeting.,No error,A
35,3.3,Conjunction,Find the error. (Conjunction),It is nothing else,than his stupidity,which stands in the ,way of his progress.,No error,B
36,3.3,Conjunction,Find the error. (Conjunction),He started,early because,he might,not get late.,No error,B
37,3.3,Conjunction,Find the error. (Conjunction),He has been paid,less as he worked,for only one hour,and a half.,No error,B
38,3.3,Conjunction,Find the error. (Conjunction),This is the spot,when he met,with an accident,last year.,No error,B
39,3.3,Conjunction,Find the error. (Conjunction),Modern critics are agreed,that Browning is as great,if not a greater poet,than Tennyson.,No error,B
40,3.3,Conjunction,Find the error. (Conjunction),I cannot allow you to,go out of the class,unless the teacher comes,and gives me some instructions.,No error,E
41,3.3,Conjunction,Find the error. (Conjunction),Either Rohan,or the Sharma twins,must accept,their responsibility.,No error,D
42,3.3,Conjunction,Find the error. (Conjunction),He will not,do the work,except I,give the orders.,No error,C
43,3.3,Conjunction,Find the error. (Conjunction),At that time,I did not know,if snow,was falling.,No error,C
44,3.3,Conjunction,Find the error. (Conjunction),We are,not sure,if he,is coming.,No error,C
45,3.3,Conjunction,Find the error. (Conjunction),It is true that he has been appointed,assistant engineer in this,company but actually,he does not want to join.,No error,C
46,3.3,Conjunction,Find the error. (Conjunction),A morning walk is,not only good for the body,but also,for the mind.,No error,B
47,3.3,Conjunction,Find the error. (Conjunction),He said that if,he were elected president and,that if funds were available,he would create a national theatre.,No error,C
48,3.3,Conjunction,Find the error. (Conjunction),"In spite of heavy odds,",he was chosen,to be a captain,unanimously.,No error,C
49,3.3,Conjunction,Find the error. (Conjunction),Indira Gandhi was,not only famous in India,but also,throughout the world.,No error,B
50,3.3,Conjunction,Find the error. (Conjunction),Success and failure,will not affect the one,who is interested in,one’s work as a duty.,No error,A
51,3.3,Conjunction,Find the error. (Conjunction),He had scarcely,recovered from,fever that,he caught cold.,No error,C
52,3.3,Conjunction,Find the error. (Conjunction),No sooner the bell rang,than,the boys ran,into their classes.,No error,A
53,3.3,Conjunction,Find the error. (Conjunction),Hardly had I reached,home than the twenty four,hour curfew was,clamped in the city.,No error,B
54,3.3,Conjunction,Find the error. (Conjunction),I requested him,to lend me some,money and he,refused to do so.,No error,C
55,3.3,Conjunction,Find the error. (Conjunction),How could ,I hear such words,from any other man,but him.,No error,D
56,3.3,Conjunction,Find the error. (Conjunction),Up to the time,the last vote was recorded,it was difficult to decide whether victory lay with,Conservatives or Liberals.,No error,D
57,3.3,Conjunction,Find the error. (Conjunction),He is,the fastest,runner and,he came last.,No error,C
58,3.3,Conjunction,Find the error. (Conjunction),He is a good student,but I have much,pleasure in,recommending his case.,No error,B
59,3.3,Conjunction,Find the error. (Conjunction),Though everyone,speaks ill of you,but I shall,stand by you.,No error,C
60,3.3,Conjunction,Find the error. (Conjunction),The prime meridian,which passes through,Greenwich in England is the,same the Greenwich meridian.,No error,D
61,3.3,Conjunction,Find the error. (Conjunction),I doubt that,there is a better,singer that Bill,in our locality.,No error,A
62,3.3,Conjunction,Find the error. (Conjunction),The invigilator asked,him that why,he had not,brought his call letter.,No error,B
63,3.3,Conjunction,Find the error. (Conjunction),This is the time,of the year,when the birds,come to eat the crops.,No error,E
64,3.3,Conjunction,Find the error. (Conjunction),He has been going,to office for a year,now and he cannot,understand its working.,No error,C
