,cat_num,cat_name,Question,optA,optB,optC,optD,optE,correct
0,3.1,Narration,Find the error. (Narration),My elder brother,asked me,that what I was doing.,No error,Noopt,C
1,3.1,Narration,Find the error. (Narration),The teacher told to,the students that,they must attend school regularly.,No error,Noopt,A
2,3.1,Narration,Find the error. (Narration),Her mother did not reply,when I asked her,why was she weeping.,No error,Noopt,C
3,3.1,Narration,Find the error. (Narration),The teacher told that,I should improve,my hand-writing and spelling.,No error,Noopt,A
4,3.1,Narration,Find the error. (Narration),Henry asked his wife,what had she prepared,for dinner that night.,No error,Noopt,B
5,3.1,Narration,Find the error. (Narration),In his speech,the finance minister stated,that the new tax law will be,"applicable from April 1, 2010.",No error,C
6,3.1,Narration,Find the error. (Narration),The superstar reveal that,he had been turning,the controversial security measures into,a public relations opportunity.,No error,A
7,3.1,Narration,Find the error. (Narration),A major computer security firm urged,the social networking site to set up,an early-warning system after hundreds of users were,hit by a new wave of virus attacks.,No error,E
8,3.1,Narration,Find the error. (Narration),He was afraid that his parents,would not allow him to,make the film so he does,not tell them about it.,No error,C
9,3.1,Narration,Find the error. (Narration),He has refused,not to take,the promotion although,he is eligible.,No error,B
10,3.1,Narration,Find the error. (Narration),Jaya said that,she prefers a white shirt,to coloured one,on any festive occasion.,No error,B
11,3.1,Narration,Find the error. (Narration),You can imagine how,annoyed I was,when I learnt that,the match has been postponed.,No error,D
12,3.1,Narration,Find the error. (Narration),The survey found,that most of the employees,has a positive view,of the company.,No error,C
13,3.1,Narration,Find the error. (Narration),He was convinced,that he,loss the account,because of bad luck.,No error,C
14,3.1,Narration,Find the error. (Narration),He asked the same question,that why he was not selected,and everyone responded saying,that he had failed.,No error,B
15,3.1,Narration,Find the error. (Narration),I heard to my surprise,that the present I send,him was not,to his taste.,No error,B
16,3.1,Narration,Find the error. (Narration),She does not understand,that how one can be employed,as stenographer,without the necessary qualifications.,No error,B
17,3.1,Narration,Find the error. (Narration),Dhananjay could not,decide as to which,article he should,buy from the shop.,No error,E
18,3.1,Narration,Find the error. (Narration),I requested my,daughter to remain there,till I come back,from the shop.,No error,C
19,3.1,Narration,Find the error. (Narration),She asked me,if I can,live entirely,on my own.,No error,B
20,3.1,Narration,Find the error. (Narration),The lady said that,she should be away,from home tomorrow as Rashmi’s,friend had come to visit Mumbai.,No error,C
21,3.1,Narration,Find the error. (Narration),What a person does,as a social worker should,be the same as what,he does as an individual.,No error,E
22,3.1,Narration,Find the error. (Narration),We fail to understand,why do most eudcated people lose,their temper even,without any apparent reason.,No error,B
23,3.1,Narration,Find the error. (Narration),I told him,rest for a while,as he has been working,without break since morning.,No error,C
24,3.1,Narration,Find the error. (Narration),She said to her father,that she cannot,study without,books and pens.,No error,B
25,3.1,Narration,Find the error. (Narration),We asked them,why did they want to,enter into a business with which,they were less familiar.,No error,B
26,3.1,Narration,Find the error. (Narration),Why is it that,you don’t understand,even when it is explained,to you again and again ?,No error,E
27,3.1,Narration,Find the error. (Narration),The question is,so complicated that,it cannot be,solved immediately.,No error,E
28,3.1,Narration,Find the error. (Narration),He told me that he couldn’t buy,the paintings which he wants,very much because he hadn’t enough money.,No error,Noopt,B
29,3.1,Narration,Find the error. (Narration),Charles asked me,would you go to the movies,with him.,No error,Noopt,B
30,3.1,Narration,Find the error. (Narration),Prakash told me,that Mihir expect,every friend to meet him,once a week.,No error,B
31,3.1,Narration,Find the error. (Narration),Immediately after boarding the bus,Ajit asked the conductor,that if he knew,where the museum was.,No error,C
32,3.1,Narration,Find the error. (Narration),They asked me,why I have not,taken their permission,before leaving the house.,No error,B
33,3.1,Narration,Find the error. (Narration),In a fit of anger,he told his superior,that he will go on leave,for the same day.,No error,C
34,3.1,Narration,Find the error. (Narration),He came very close to me,and asked me that if,I would lend,him some money.,No error,B
35,3.1,Narration,Find the error. (Narration),Even after requesting,"him, he did not",tell us that how,he solved the problem.,No error,C
36,3.1,Narration,Find the error. (Narration),Troy was taken by Greeks,this formed the basis of a story,which has become famous.,No error,Noopt,C
37,3.1,Narration,Find the error. (Narration),The long-awaited moment at last came,and we set out for the station,as merry a band of children as I have ever seen before or since.,No error,Noopt,C
38,3.1,Narration,Find the error. (Narration),The villager told us,where was the temple,and even led,us to the spot. ,No error,B
39,3.1,Narration,Find the error. (Narration),In spite of workload yesterday,Mukesh manages to play,it cool and continued,with his work as usual.,No error,B
40,3.1,Narration,Find the error. (Narration),The father told his son,that he was a lazy boy,and that he has done,his work very badly. ,No error,C
41,3.1,Narration,Find the error. (Narration),Sunil could succeed,in catching the ball,before it reaches,the boundary line.,No error,C
42,3.1,Narration,Find the error. (Narration),Mritunjay asked the dealer,what the price,of that bicycle was and whether,it is really made in Germany.,No error,D
43,3.1,Narration,Find the error. (Narration),They talked for a while,and then they will,continue to play game,by evening.,No error,B
44,3.1,Narration,Find the error. (Narration),The ten-member committee were,of the view that the present service conditions,of the employee of this company,are quite good and hardworking.,No error,D
45,3.1,Narration,Find the error. (Narration),I told him bluntly,that he is a lazy fellow,and that he had done,his work very badly.,No error,B
46,3.1,Narration,Find the error. (Narration),The chairman,asked from me,what I was,doing in the cabin.,No error,B
47,3.1,Narration,Find the error. (Narration),He received timely support,from his elder brother,who has been working abroad,for the last six years.,No error,C
48,3.1,Narration,Find the error. (Narration),One of the security men,rushed forward and asked,me that if I,had anything objectaionable.,No error,C
49,3.1,Narration,Find the error. (Narration),If I were you,I will not attend,the function.,No error,Noopt,B
50,3.1,Narration,Find the error. (Narration),The Prime Minister announced,that the taxes will be,increased from the,beginning of next year.,No error,B
51,3.1,Narration,Find the error. (Narration),The meteorological department,predicted that the rain and thunderstorm may,continue throughout today.,No error,Noopt,B
52,3.1,Narration,Find the error. (Narration),As soon as the CEO,"entered the office, the",union leaders approched him,and report the matter to him.,No error,D
53,3.1,Narration,Find the error. (Narration),The issue were complex,and especially the members,of the committee,have made them obscure.,No error,D
54,3.1,Narration,Find the error. (Narration),The teacher said to the students,that a vegetarian,is a person who,never eats meat.,No error,E
55,3.1,Narration,Find the error. (Narration),I advised,to him,to do his work properly.,No error,Noopt,B
56,3.1,Narration,Find the error. (Narration),The doctors said that,he was making good progress,and would not,need an operation.,No error,E
57,3.1,Narration,Find the error. (Narration),"Mother said,","“Son,",you have finished your homework?”,No error,Noopt,C
58,3.1,Narration,Find the error. (Narration),The student could not answer the teacher,when he was asked to explain,why he was so late that day.,No error,Noopt,D
59,3.1,Narration,Find the error. (Narration),Her relatives could not explain to us,why did not she come for the wedding,as she was expected.,No error,Noopt,B
60,3.1,Narration,Find the error. (Narration),He exclaimed with sorrow,that his brother died,just two,months before.,No error,B
61,3.1,Narration,Find the error. (Narration),The visitor told me that he had,come from Kolkata,to discuss some of the,important issues with me.,No error,E
62,3.1,Narration,Find the error. (Narration),Soma ordered her servant,to bring her some,hot water as she has,to make some medicine.,No error,C
63,3.1,Narration,Find the error. (Narration),The father told his son,that if he wanted to,"achieve his goal,",he must work hard.,No error,D
64,3.1,Narration,Find the error. (Narration),They proposed to me,to join the party,and work for the welfare,of the downtrodden.,No error,B
65,3.1,Narration,Find the error. (Narration),Instead of going to London,he went to America,and stays,there for a month.,No error,C
66,3.1,Narration,Find the error. (Narration),The prisoners walked slowly,for they knew that as,"soon as they cross the gate,",the jailor would ask them to jog.,No error,C
67,3.1,Narration,Find the error. (Narration),My friend being ill sent,to his boss an application,explaining why could he,not go to the office.,No error,C
68,3.1,Narration,Find the error. (Narration),When Meena said,that she was coming to see,"me the next day, I wondered",what problems she will bring.,No error,D
69,3.1,Narration,Find the error. (Narration),I often visited her,and found myself quite,puzzled to see the dreadful pictures,which she had hung on the wall.,No error,E
70,3.1,Narration,Find the error. (Narration),I suggested that Ragini should,stay here at night if she,got late but she does,not pay any attention to my suggestion.,No error,C
71,3.1,Narration,Find the error. (Narration),He asked me,why had I gone to the cinema,late at night in spite of,his clear instructions.,No error,B
72,3.1,Narration,Find the error. (Narration),He informed me,that our college would,remain closed tomorrow,on account of Rakshabandhan.,No error,C
73,3.1,Narration,Find the error. (Narration),On reaching the station,he found that,he left the papers,in the drawing room.,No error,C
