,cat_num,cat_name,Question,optA,optB,optC,optD,optE,correct
0,2.9,Non-Finites,Find the error (Non-Finites),Please forgive Sara,for interrupt you,but would you mind repeating,that last sentence ?,No error,B
1,2.9,Non-Finites,Find the error (Non-Finites),Aaron made a lot of money,by buy ticket in advance,and selling them for twice,the price on the day of the final match.,No error,B
2,2.9,Non-Finites,Find the error (Non-Finites),I didn’t mean offend,anyone but somehow,succeeded in,annoying them all.,No error,A
3,2.9,Non-Finites,Find the error (Non-Finites),Maria never thinks of,get out of,"your way, she expects",you to walk round her.,No error,B
4,2.9,Non-Finites,Find the error (Non-Finites),You don’t need to ask,his permission every time,if you want to,leave the class.,No error,E
5,2.9,Non-Finites,Find the error (Non-Finites),You may as well tell,"us the truth,",it will to be easy,to check your story.,No error,C
6,2.9,Non-Finites,Find the error (Non-Finites),After walk for three hours,we stopped to let,the others catch up,with us.,No error,A
7,2.9,Non-Finites,Find the error (Non-Finites),"I can’t help sneezing,",I caught a cold,yesterday from sit,in a draught.,No error,C
8,2.9,Non-Finites,Find the error (Non-Finites),I regret,informing you,that your application,has been refused.,No error,B
9,2.9,Non-Finites,Find the error (Non-Finites),Without realizing it,he hindered,us instead of,help us.,No error,D
10,2.9,Non-Finites,Find the error (Non-Finites),They won’t let us,to leave the customs,till our luggage,has been examined.,No error,B
11,2.9,Non-Finites,Find the error (Non-Finites),If you want go,there before dark,you should start,at once.,No error,A
12,2.9,Non-Finites,Find the error (Non-Finites),You needn’t to ask,for permission : you can,use it whenever,you like.,No error,A
13,2.9,Non-Finites,Find the error (Non-Finites),Stalin didn’t like leaving,the children alone in the house,but he had no alternative,as he had going out to work.,No error,D
14,2.9,Non-Finites,Find the error (Non-Finites),Don’t let Peter,to play with,scissors in case,he cuts himself.,No error,B
15,2.9,Non-Finites,Find the error (Non-Finites),There is nothing to do,but to wait,till somebody comes,to help you.,No error,B
16,2.9,Non-Finites,Find the error (Non-Finites),That is far too heavy,for one person to carry,let me,to help you.,No error,D
17,2.9,Non-Finites,Find the error (Non-Finites),As we seem to have missed,the train we may,as well to go back,to the house.,No error,C
18,2.9,Non-Finites,Find the error (Non-Finites),I heard the door,open and saw,a shadow to move,across the floor.,No error,C
19,2.9,Non-Finites,Find the error (Non-Finites),Katy should know,"how use the film projector,",but if she doesn’t,you had better show her.,No error,B
20,2.9,Non-Finites,Find the error (Non-Finites),Maria rushed out,of the room without,given me,a chance to explain.,No error,C
21,2.9,Non-Finites,Find the error (Non-Finites),Mitch decided to put,broken glass on the top,of his wall preventing boys,to climb over it.,No error,C
22,2.9,Non-Finites,Find the error (Non-Finites),Stuart decided,to disguise himself,by dressing,as a woman.,No error,E
23,2.9,Non-Finites,Find the error (Non-Finites),When the painter felt,the ladder began to slip,he grabbed the gutter to save,himself from fall.,No error,D
24,2.9,Non-Finites,Find the error (Non-Finites),We watched the student’s jump,from a window,and falling into a blanket,held by the people below.,No error,A
25,2.9,Non-Finites,Find the error (Non-Finites),Do you feel like,going to a film,or would you,rather to stay at home ?,No error,D
26,2.9,Non-Finites,Find the error (Non-Finites),The car began to make,an extraordinary noise,so I stopped to see,what it was.,No error,E
27,2.9,Non-Finites,Find the error (Non-Finites),We got tired of waiting,for the weather to clear,and finally decided,set out in the rain.,No error,D
28,2.9,Non-Finites,Find the error (Non-Finites),Michael keeps to ask,me the time and,I keep telling him,to buy himself a watch.,No error,A
29,2.9,Non-Finites,Find the error (Non-Finites),After discuss the matter,for an hour,the committee adjourned,without having reached any decision.,No error,A
30,2.9,Non-Finites,Find the error (Non-Finites),There are people who can’t,help to laugh,when they see someone,slip on a banana skin.,No error,B
31,2.9,Non-Finites,Find the error (Non-Finites),Before Rafel let us go,he made us to promise,not to tell anyone,what we had seen.,No error,B
32,2.9,Non-Finites,Find the error (Non-Finites),I advised Jessica,to ask the car driver,to tell him,where get off.,No error,D
33,2.9,Non-Finites,Find the error (Non-Finites),It is better,put your money in bank,than keep it under,your bed in an old stocking.,No error,B
34,2.9,Non-Finites,Find the error (Non-Finites),The bank robbers made,the cashier to show,them how,to open the safe.,No error,B
35,2.9,Non-Finites,Find the error (Non-Finites),If you can’t,remember his number,you had better,to look it up.,No error,D
36,2.9,Non-Finites,Find the error (Non-Finites),I am sorry to disappoint,you but I can’t,let you to have any more money,till the end of the month.,No error,C
37,2.9,Non-Finites,Find the error (Non-Finites),The kidnappers told the parents,not inform the police,and the parents,didn’t dare to disobey.,No error,B
38,2.9,Non-Finites,Find the error (Non-Finites),We could go,"to a concert,",unless you had preferred,a visit a museum. ,No error,D
39,2.9,Non-Finites,Find the error (Non-Finites),You can leave your dog,with us if you,do not want,taking him with you.,No error,D
40,2.9,Non-Finites,Find the error (Non-Finites),Stuart rumpled the bed clothes,so that I should,to think he,had slept.,No error,C
41,2.9,Non-Finites,Find the error (Non-Finites),Joe turned,out the light so as,not waste,electricity.,No error,C
42,2.9,Non-Finites,Find the error (Non-Finites),It is usually easier learning,a subject by reading,book than by listening,to lectures.,No error,A
43,2.9,Non-Finites,Find the error (Non-Finites),I meant to tell,you the truth,but I was,too frightened.,No error,E
44,2.9,Non-Finites,Find the error (Non-Finites),I was afraid pick up the revolver,as I don’t know,how to handle,firearms.,No error,A
45,2.9,Non-Finites,Find the error (Non-Finites),If you go on,letting your dog,chase cars he will end,by being run over.,No error,E
46,2.9,Non-Finites,Find the error (Non-Finites),I have no intention of,"to go that film,",I couldn’t bear to seeing my favourite actress,in such a dreadful part.,No error,B
47,2.9,Non-Finites,Find the error (Non-Finites),David expects me to answer,by return but,I have no intention,of repyling at all.,No error,E
48,2.9,Non-Finites,Find the error (Non-Finites),I tried to explain,"to him, but",he refused to listen,and went on grumble. ,No error,D
49,2.9,Non-Finites,Find the error (Non-Finites),Adam didn’t dare to leave the house,because he was,afraid to meet someone,who might recognize him.,No error,C
50,2.9,Non-Finites,Find the error (Non-Finites),A small piece,of bread is,certainly better than,being nothing to eat.,No error,D
51,2.9,Non-Finites,Find the error (Non-Finites),The shopkeeper was pleased,when we told him,this kind of mangoes,were very delicious.,No error,C
52,2.9,Non-Finites,Find the error (Non-Finites),It is not safe,to drive,in Kolkata in the rush hour.,No error,Noopt,D
53,2.9,Non-Finites,Find the error (Non-Finites),I need cleaning,my shoes,with soap and water.,No error,Noopt,A
54,2.9,Non-Finites,Find the error (Non-Finites),Do you mind,help me,to the task.,No error,Noopt,B
55,2.9,Non-Finites,Find the error (Non-Finites),He came,from abroad,for seeing me.,No error,Noopt,C
56,2.9,Non-Finites,Find the error (Non-Finites),He went inside,the burning house,even though I advised,him to do not go.,No error,D
57,2.9,Non-Finites,Find the error (Non-Finites),He can see through,"his sudden friendliness,",he wants to look after,his dog when he is away.,No error,A
58,2.9,Non-Finites,Find the error (Non-Finites),Rakesh does not,know to swim,so he is,afraid of water.,No error,B
59,2.9,Non-Finites,Find the error (Non-Finites),He would certainly,have been drowned,if he did not know to swim.,No error,Noopt,C
60,2.9,Non-Finites,Find the error (Non-Finites),Payal was one person,who could somehow manage,to working in that section,for such a long time.,No error,C
61,2.9,Non-Finites,Find the error (Non-Finites),Having her breakfast finish,she rushed quickly,to the station to receive,the honourable guests.,No error,A
62,2.9,Non-Finites,Find the error (Non-Finites),The book was so,advanced that even,graduates in the discipline,found it difficult to understand.,No error,E
63,2.9,Non-Finites,Find the error (Non-Finites),I can hear,the bell ringing,but nobody seems to be coming,to opening the door.,No error,D
64,2.9,Non-Finites,Find the error (Non-Finites),I can’t,afford for buying books,for this course because,they are very expensive.,No error,B
65,2.9,Non-Finites,Find the error (Non-Finites),We decided not tell to,the patient about,the disease he was,suffering from.,No error,A
66,2.9,Non-Finites,Find the error (Non-Finites),Having his work finished,he rushed quickly,to the station to receive,his parents.,No error,A
67,2.9,Non-Finites,Find the error (Non-Finites),I am looking forward,to meet,you,soon.,No error,B
68,2.9,Non-Finites,Find the error (Non-Finites),I can hear,"the conversation inside,",but nobody is coming,to opening the door.,No error,D
69,2.9,Non-Finites,Find the error (Non-Finites),They wanted money,to purchase certain things,for themselves and,for donated to their colleagues.,No error,D
70,2.9,Non-Finites,Find the error (Non-Finites),All his relatives,expect his daughter,have gone on,a month’s vacation.,No error,C
71,2.9,Non-Finites,Find the error (Non-Finites),Amita was to about ,tell her teacher,the truth when her,friend interrupted her.,No error,A
72,2.9,Non-Finites,Find the error (Non-Finites),The firemen could not,succeed in rescue the,child although they,could put out the fire.,No error,B
73,2.9,Non-Finites,Find the error (Non-Finites),He could make,them accepted his proposal,because he was quite,familiar with their practice.,No error,B
74,2.9,Non-Finites,Find the error (Non-Finites),What was his response,when you tried,to got some,information from him ?,No error,C
75,2.9,Non-Finites,Find the error (Non-Finites),Taken into consideration,the advice of his,"friends, he decided",to stay here.,No error,A
76,2.9,Non-Finites,Find the error (Non-Finites),Carry a bag,in his hand,he slipped,out unnoticed.,No error,A
77,2.9,Non-Finites,Find the error (Non-Finites),Suraj said that,he would rather,fail than copying,in the examination.,No error,C
78,2.9,Non-Finites,Find the error (Non-Finites),I have told Sushil,that it will not be possible,for me carry on,this kind of work.,No error,C
79,2.9,Non-Finites,Find the error (Non-Finites),In the absence of,clear instructions,one cannot be expected,be to functioned effectively.,No error,D
80,2.9,Non-Finites,Find the error (Non-Finites),"Being a cold morning,",I decided not,to go for,my morning walk.,No error,A
81,2.9,Non-Finites,Find the error (Non-Finites),By virtue of his,"great abilities, he",has been able,to got various positions.,No error,D
82,2.9,Non-Finites,Find the error (Non-Finites),He being the best,student in the class,Nitin was chosen,to participate in the competition.,No error,A
83,2.9,Non-Finites,Find the error (Non-Finites),He does not,fail to came,to my help,whenever I am in trouble.,No error,B
84,2.9,Non-Finites,Find the error (Non-Finites),The proper assessment of,the training needs to be allowed,for meaningful follow up,of the training activity.,No error,E
85,2.9,Non-Finites,Find the error (Non-Finites),My friend cannot afford,for buying pens,this time because,they are very expensive.,No error,B
86,2.9,Non-Finites,Find the error (Non-Finites),To arrive a decision,all the interesting parties,should be invited,and involved in discussion.,No error,B
87,2.9,Non-Finites,Find the error (Non-Finites),I heard,the conversation,but nobody came,to opening the door.,No error,D
88,2.9,Non-Finites,Find the error (Non-Finites),What was his response,when you tried,to getting some,information from him ?,No error,C
89,2.9,Non-Finites,Find the error (Non-Finites),Children visiting the,park are amused,at the monkeys’,play in the cages.,No error,D
90,2.9,Non-Finites,Find the error (Non-Finites),Being a pleasant morning,I decided,to go out,for a walk.,No error,A
91,2.9,Non-Finites,Find the error (Non-Finites),"I asked for choice,",Neha would prefer,spending her holidays in,villages than crowded cities.,No error,D
92,2.9,Non-Finites,Find the error (Non-Finites),Rani is so busy ,in her current,assignments as to take,up some new ones.,No error,E
93,2.9,Non-Finites,Find the error (Non-Finites),Having failed to,got good result,"in her first attempt,",she did not try again.,No error,B
94,2.9,Non-Finites,Find the error (Non-Finites),When I was not,able to showing,"my cricket, the checker made",me buy another.,No error,B
95,2.9,Non-Finites,Find the error (Non-Finites),The king did not mind,for putting the old people to death,because he was young himself.,No error,Noopt,B
96,2.9,Non-Finites,Find the error (Non-Finites),Jaya does not,know to swim,so she is,afraid of swimming.,No error,B
97,2.9,Non-Finites,Find the error (Non-Finites),Taken into consideration,the advice of his colleagues,he decided to stay in the institute.,No error,Noopt,A
98,2.9,Non-Finites,Find the error (Non-Finites),Before he becoming,chief pilot in the aviation services,he had undergone,rigorous training for eight years.,No error,A
