,cat_num,cat_name,Question,optA,optB,optC,optD,optE,correct
0,2.1,Noun,Find the error. (Noun),My friend went,to Delhi and spoke,"to vishal’s,",the CM’s secretary.,No error,C
1,2.1,Noun,Find the error. (Noun),Children should not,seek admissions,to the elder’s,society.,No error,B
2,2.1,Noun,Find the error. (Noun),It is very,difficult to chase,a huge score,in the second inning.,No error,D
3,2.1,Noun,Find the error. (Noun),He does not,cut paper,with blade,but with a scissors.,No error,D
4,2.1,Noun,Find the error. (Noun),I went to the house,and found that,the cart’s wheel,was broken.,Noopt,C
5,2.1,Noun,Find the error. (Noun),Selena has been,given,a hundred rupees,note today.,No error,C
6,2.1,Noun,Find the error. (Noun),They are,awaiting advices,from their,Mumbai branch.,No error,E
7,2.1,Noun,Find the error. (Noun),Thousand,of rupees,were,spent by him.,No error,A
8,2.1,Noun,Find the error. (Noun),The crews,of the boat,were,not drowned.,No error,A
9,2.1,Noun,Find the error. (Noun),Ten Kilometres,is a long distance,but five years,are not a long period.,No error,D
10,2.1,Noun,Find the error. (Noun),Sunrise,is a,great,phenomena.,No error,D
11,2.1,Noun,Find the error. (Noun),Success in money-making,is not always,a good criteria,of real success in life.,No error,C
12,2.1,Noun,Find the error. (Noun),Some teachers,find it difficult,to keep orders,in their classes.,No error,C
13,2.1,Noun,Find the error. (Noun),There have been,ten woman,doctors,in our colony.,No error,B
14,2.1,Noun,Find the error. (Noun),A five-men,delegation,waited upon,the Prime Minister.,No error,A
15,2.1,Noun,Find the error. (Noun),Stuart together with,his friends gave,Sandhya,good advices.,No error,D
16,2.1,Noun,Find the error. (Noun),I went to Mumbai,and bought,much good,for my wife.,No error,C
17,2.1,Noun,Find the error. (Noun),The great artist,was surrounded by,his usual crowd,of hanger-ons.,No error,D
18,2.1,Noun,Find the error. (Noun),Hundreds of,passer-bys,stopped at,the place of accident.,No error,B
19,2.1,Noun,Find the error. (Noun),My parents obtained,many informations,about this child,last night.,No error,B
20,2.1,Noun,Find the error. (Noun),We have,received advices,from our,Chennai branch.,No error,E
21,2.1,Noun,Find the error. (Noun),A few,dwarves are,working in,this circus.,No error,E
22,2.1,Noun,Find the error. (Noun),Doctors did,their best to save,the lifes of the,accident victims.,No error,C
23,2.1,Noun,Find the error. (Noun),The gentry,of our colony,was invited,to attend the meeting.,No error,C
24,2.1,Noun,Find the error. (Noun),Custom is,paid on goods,imported from,other countries.,No error,A
25,2.1,Noun,Find the error. (Noun),Shikha went,to her friend’s house,and gave her two,hundred-rupees note.,No error,D
26,2.1,Noun,Find the error. (Noun),You will find ,a lamp-post,at the front side,of the institute. ,No Error,C
27,2.1,Noun,Find the error. (Noun),The teacher and the guardian appreciate,Sara walking early,in the morning with a view to,achieving normal health.,No error,B
28,2.1,Noun,Find the error. (Noun),My daughter is reading,Dinkar’s and Nirala’s,poetries as a part,of his syllabus.,No error,C
29,2.1,Noun,Find the error. (Noun),The same board,is used,for chess,as well as for draughts.,No error,E
30,2.1,Noun,Find the error. (Noun),Sam is going,to Stephen Hawking’s,the scientist’s,country.,No error,B
31,2.1,Noun,Find the error. (Noun),Virat Kohli has,scored more than,five thousands,runs.,No error,C
32,2.1,Noun,Find the error. (Noun),The name of,Amitabh’s,and Ajitabh’s,father is Bachchanji.,No error,B
33,2.1,Noun,Find the error. (Noun),Stuart’s house,is at,a stone’s throw,from here.,No error,E
34,2.1,Noun,Find the error. (Noun),There was,no money in the bank,in Dhananjay’s,and Mritunjay’s Joint account.,No error,C
35,2.1,Noun,Find the error. (Noun),Linguistic,is,the study,of language.,No error,A
36,2.1,Noun,Find the error. (Noun),The machineries are,not functioning,properly,these days.,No error,A
37,2.1,Noun,Find the error. (Noun),The poetries,of Rabindranath Tagore,has been taught,in the class.,No error,A
38,2.1,Noun,Find the error. (Noun),On his way,to the field,Sachin saw a flock,of sheeps.,No error,D
39,2.1,Noun,Find the error. (Noun),Tomorrow,we shall,dine,at our uncle’s.,No error,E
40,2.1,Noun,Find the error. (Noun),The widow,who lives near his house,is passing through,many crisis.,No error,D
41,2.1,Noun,Find the error. (Noun),Hindus,and Muslims,are,brothers.,No error,D
42,2.1,Noun,Find the error. (Noun),Raghu has,four man-servants,whereas Sumit has got,only one woman-servant.,No error,B
43,2.1,Noun,Find the error. (Noun),The people,of the world,must,unite.,No error,A
44,2.1,Noun,Find the error. (Noun),Vishakha met me,on the way,and asked a one,hundred-rupees note.,No error,D
45,2.1,Noun,Find the error. (Noun),One should use,spectacle to protect,the eyes from,bright sunlight.,No error,B
46,2.1,Noun,Find the error. (Noun),Serena together with her parents,went to market,and brought,a lot of handkerchieves.,No error,D
47,2.1,Noun,Find the error. (Noun),Gulliver’s Travels,is an,interesting book,written by Jonathan Swift.,No error,E
48,2.1,Noun,Find the error. (Noun),Hundred of people,had already been killed,in the accident,near Noida.,No error,A
49,2.1,Noun,Find the error. (Noun),Fifteen thousand,rupee is a,large amount,for everybody.,No error,B
50,2.1,Noun,Find the error. (Noun),Inspite of four letter,"we have sent,",we have received,no answer from the authority.,No error,A
51,2.1,Noun,Find the error. (Noun),In spite of having received,all the necessary data,he did not take any decision,because of extraneous reasons.,No error,E
52,2.1,Noun,Find the error. (Noun),Our housing society comprises,six block and thirty flats,in an area of ,about one thousand square metres.,No error,B
53,2.1,Noun,Find the error. (Noun),One of the most,widely spread,bad habit,is the use of tobacco.,No error,C
54,2.1,Noun,Find the error. (Noun),One of the sergeant,came,running towards,the captain with a message.,No error,A
55,2.1,Noun,Find the error. (Noun),All individuals are,different so their,tastes vary from,one another.,No error,D
56,2.1,Noun,Find the error. (Noun),All the children have,assembled on the ground,and are waiting for,the Principal to come.,No error,D
57,2.1,Noun,Find the error. (Noun),Let you and I,go to the airport,to welcome,our beloved friend.,No error,A
58,2.1,Noun,Find the error. (Noun),He looks,more depressed than,her but I don’t,know the reason.,No error,C
59,2.1,Noun,Find the error. (Noun),If you are good,to people you will be,treated well,by themselves.,No error,D
60,2.1,Noun,Find the error. (Noun),The vacancy was,filled by Mr. Verma,whom the manager said,ought to be promoted.,No error,C
61,2.1,Noun,Find the error. (Noun),The pieces of glass windows,were spread for miles,but they apparently,killed no one.,No error,C
62,2.1,Noun,Find the error. (Noun),The book must be old,for it’s cover,is torn,No error,Noopt,B
63,2.1,Noun,Find the error. (Noun),The demand of the workers,union that the dismissed,employee to be reinstated has,been accepted by the management.,No error,A
64,2.1,Noun,Find the error. (Noun),The minister speech,has been reported,to the newspaper,No error,Noopt,A
65,2.1,Noun,Find the error. (Noun),I am obliged to you,and yours entire family,for showing kindness,and generosity towards us.,No error,B
66,2.1,Noun,Find the error. (Noun),A large number of,her classmate called for,the hospital when,she was there.,No error,B
67,2.1,Noun,Find the error. (Noun),A few word of,gratitude are enough,to express your,feelings sincerely.,No error,A
68,2.1,Noun,Find the error. (Noun),Some peoples feel depressed,whenever they think of future,because they do not believe,in their own capabilities.,No error,A
69,2.1,Noun,Find the error. (Noun),Gandhiji lived a noble life of fasting,and poverty,in order to work for peaceful,and independence.,No error,C
70,2.1,Noun,Find the error. (Noun),Mr. Sharma is,one of the,best teacher,in our school.,No error,C
71,2.1,Noun,Find the error. (Noun),If you had not been so secretive,you had told me all the fact earlier,I could have helped you.,No error,Noopt,B
72,2.1,Noun,Find the error. (Noun),Leaders of different,state established,nationalist organizations,at provincial level.,No error,B
73,2.1,Noun,Find the error. (Noun),A number of boys are,reading this novel,because this is one of the most,important novel of India.,No error,D
74,2.1,Noun,Find the error. (Noun),If the teacher,is good the students,will respond,positively to them.,No error,D
75,2.1,Noun,Find the error. (Noun),His company is,one of the few company,manufacturing this product,in the whole country.,No error,B
76,2.1,Noun,Find the error. (Noun),On my way,to the railway station I met,one of your friend,named Neeraj.,No error,C
77,2.1,Noun,Find the error. (Noun),I am hearing,some old song,that I like.,No error,Noopt,B
78,2.1,Noun,Find the error. (Noun),Her sister-in-laws,are a cruel lot,and they harass her.,No error,Noopt,A
79,2.1,Noun,Find the error. (Noun),Some people,behaviour teaches,us not to,behave that way.,No error,A
80,2.1,Noun,Find the error. (Noun),In today meeting,we must first discuss,and thrash out the problem,one by one.,No error,A
81,2.1,Noun,Find the error. (Noun),Growing awareness,among the people,will put some effect,on the politician’s action.,No error,E
82,2.1,Noun,Find the error. (Noun),They have invited,Pappu and I,to the function to be,held in the next month.,No error,B
83,2.1,Noun,Find the error. (Noun),If you inform me,of your’s arrival time,I shall come to,meet you at the airport.,No error,B
84,2.1,Noun,Find the error. (Noun),My uncle,forced my,friend and I,to stay back.,No error,C
85,2.1,Noun,Find the error. (Noun),Aditi was unable,to support her parent,even though both of them,had no income of their own.,No error,B
86,2.1,Noun,Find the error. (Noun),Our system of assigning,different jobs to different people,should be based on,their strengths and weaknesses.,No error,D
87,2.1,Noun,Find the error. (Noun),The sun whose,ray give life to the,earth was venerated as,God by our ancestors.,No error,B
88,2.1,Noun,Find the error. (Noun),One must use,his best efforts,if one,wishes to succeed.,No error,B
89,2.1,Noun,Find the error. (Noun),I have read,Tagore’s poems,who is a great poet.,No error,Noopt,B
90,2.1,Noun,Find the error. (Noun),He received timely support,from his elder brother,who had been working abroad,for the last six year.,No error,D
