,cat_num,cat_name,Question,optA,optB,optC,optD,correct,Direction
0,1.3,One Word Substitution,A fourteen-line poem,Sonnet,Lyric,Ballad,Ode,A,One word Substitution
1,1.3,One Word Substitution,The plants and vegetation of a region,Flora,Landscape,Ornamental,Fauna,A,One word Substitution
2,1.3,One Word Substitution,Constant effort to achieve something,Attempt,Enthusiasm,Vigour,Perseverance,D,One word Substitution
3,1.3,One Word Substitution,"Wildly unreasonable, illogical or ridiculous",Abject,Adept,Arid,Absurd,D,One word Substitution
4,1.3,One Word Substitution,A vivacious and lively experience is said to be,Scintillating,Soothing,Scenic,Synthetic,A,One word Substitution
5,1.3,One Word Substitution,To try to settle a dispute between two other parties,Medicate,Mediate,Meddle,Meditate,B,One word Substitution
6,1.3,One Word Substitution,To secure a boat by attaching it to an anchor,Moor,Moot,Morose,Moose,A,One word Substitution
7,1.3,One Word Substitution,To free a person by a verdict of not guilty,Acquaint,Acquit,Acquiesce,Acquire,B,One word Substitution
8,1.3,One Word Substitution,One who hates mankind,Philanthropist,Misogynist,Humanitarian,Misanthrope,D,One word Substitution
9,1.3,One Word Substitution,Imposed a restriction on,Constipated,Conserved,Constrained,Construed,C,One word Substitution
10,1.3,One Word Substitution,Unwelcome aspect of a situation,Flippant,Flip side,Flip-flip,Flint lock,B,One word Substitution
11,1.3,One Word Substitution,Feeling annoyed at the sight of unfair treatment,Indifferent,Indisposed,Indignant,Indigent,C,One word Substitution
12,1.3,One Word Substitution,A person who leaves one country to settle in another,Emigrant,Traveller,Tourist,Globe-trotter,A,One word Substitution
13,1.3,One Word Substitution,House or shelter of a gypsy,Wigwam,Chalet,Caravan,Igloo,C,One word Substitution
14,1.3,One Word Substitution,One who deals in flowers,A drover,A brazier,A florist,A fruiterer,C,One word Substitution
16,1.3,One Word Substitution,One who eats no animal flesh,Cannibal,Pilgrim,Vegetarian,Pedestrain,C,One word Substitution
18,1.3,One Word Substitution,A medicine that softens the bowels,Antacid,Laxative,Remedy,Herb,B,One word Substitution
19,1.3,One Word Substitution,Sentimental longing for a period in the past,Recollection,Nostalgia,Reminiscene,Wistfulness,B,One word Substitution
20,1.3,One Word Substitution,A person employed to drive a private or hired car,Chauffeur,Autoist,Cabbie,Automobilist,A,One word Substitution
21,1.3,One Word Substitution,A person who always runs after women,Philanthropist,Don Juan Casanova,Philanderer,Philatelist,C,One word Substitution
22,1.3,One Word Substitution,Relating to the countries of the west,Oriental,Hellenistic,Occidental,Platonic,C,One word Substitution
23,1.3,One Word Substitution,A partner in crime,Friend,Comrade,Accomplice,Companion,C,One word Substitution
24,1.3,One Word Substitution,Study of the interaction of people with their environment,Ecology,Psychology,Philosophy,Geography ,A,One word Substitution
25,1.3,One Word Substitution,"A list of explanations of rare, technical or obsolete words",Dictionary,Glossary,Lexicon,Catalogue,B,One word Substitution
26,1.3,One Word Substitution,Underground place for storing win or other provisions,Garage,Cellar,Attic,Hall,B,One word Substitution
27,1.3,One Word Substitution,Free somebody from blame or guilt,Excuse,Reprimand,Exonerate,Acquit,C,One word Substitution
28,1.3,One Word Substitution,One who plays for pleasure rather than as a profession,Player,Amateur,Performer,Actor,B,One word Substitution
29,1.3,One Word Substitution,One who does something for the first time,Leader,Model,Forerunner,Pioneer,D,One word Substitution
30,1.3,One Word Substitution,A government run by officials,Democracy,Anarchy,Oligarchy,Bureaucracy,D,One word Substitution
31,1.3,One Word Substitution,That which can be drunk,Edible,Palatable,Potable,Culpable,C,One word Substitution
32,1.3,One Word Substitution,One who is neither intelligent nor dull,Ordinary,Average,Fair,Mediocre,D,One word Substitution
33,1.3,One Word Substitution,Person leading a life of strict self-discipline,Hedonist,Disciplinarian,Atheist,Ascetic,D,One word Substitution
34,1.3,One Word Substitution,A person who loves everybody,Egoist,Fatalist,Humanist,Altruist,D,One word Substitution
35,1.3,One Word Substitution,A small village or a group of houses,Community,Settlement,Hamlet,Colony,C,One word Substitution
36,1.3,One Word Substitution,A word or practice that has gone out of use,Obsolete,Absolute,Outdated,Old-fashioned,A,One word Substitution
37,1.3,One Word Substitution,Favouritism granted in politics or business to relatives,Monotheism,Nepotism,Hedonism,Redtapism,B,One word Substitution
38,1.3,One Word Substitution,A person who collects coins,Ornithologist,Numismatist,Philatelist,Coin collector,B,One word Substitution
39,1.3,One Word Substitution,A supplement to a will,Furlough,Adjunct,Effusion,Codicil,D,One word Substitution
40,1.3,One Word Substitution,Estimation of a things worth,Pay,Goodness,Appraisal,Beliefs,C,One word Substitution
41,1.3,One Word Substitution,To free completely from blame,Let go,Clear,Exonerate,Release,C,One word Substitution
42,1.3,One Word Substitution,A state where no law and order exists,Monarchy,Mobocracy,Anarchy,Democracy,C,One word Substitution
43,1.3,One Word Substitution,Partner in crime,Friend,Accomplice,Neighbour,Companion,B,One word Substitution
44,1.3,One Word Substitution,could not be heard,Imperceptible,Indelible,Inaudible,Ineffable,C,One word Substitution
45,1.3,One Word Substitution,A short trip or excursion,Rambler,Jaunt,Detour,Stroller,B,One word Substitution
46,1.3,One Word Substitution,Motive or incitement to action,Remark,Contract,Proposition,Incentive,D,One word Substitution
47,1.3,One Word Substitution,Science or practice of map drawing,Chirography,Xerography,Cartography,Pictography,C,One word Substitution
48,1.3,One Word Substitution,A speakers platform,Stage,Stand,Pulpit,Podium,D,One word Substitution
49,1.3,One Word Substitution,The practice of having many wives,Bigamy,Calligraphy,Polygamy,Polyandry,C,One word Substitution
50,1.3,One Word Substitution,Take great pleasure,Revel,Satisfied,Uphold,Overhaul,A,One word Substitution
51,1.3,One Word Substitution,A strong dislike,Reciprocity,Entreaty,Animosity,Malice,C,One word Substitution
52,1.3,One Word Substitution,lives both on land as well as in water,Animate,Amphibian,Aquatic,Ambidextrous,B,One word Substitution
53,1.3,One Word Substitution,long poem based on a noble theme,Summary,Story,Narration,Epic,D,One word Substitution
54,1.3,One Word Substitution,A person who abstains completely from alcoholic drinks,Teetotaller,Derelict,Subjunctive,Incriminatory,A,One word Substitution
55,1.3,One Word Substitution,Person who files a suit,Charger,Suitor,Plaintiff,Accuser,C,One word Substitution
56,1.3,One Word Substitution,An extract from a book of writing,Excerpt,Review,Footnote,Preface,A,One word Substitution
57,1.3,One Word Substitution,One living on vegetables,Vegetarian,Herbivore,Carnivore,Barbarian,B,One word Substitution
58,1.3,One Word Substitution,A person who supports or speaks in favour of something,Advocate,Assistance,Adviser,Volunteer,A,One word Substitution
60,1.3,One Word Substitution,A word that reads the same backwards as forwards,Acrostic,Homophone,Acronym,Palindrome,D,One word Substitution
61,1.3,One Word Substitution,A person who is self-centred,Egoist,Masochist,Narcissist,Eccentric,A,One word Substitution
62,1.3,One Word Substitution,A principle or standard by which anything is or can be judged,Manifesto,Copyright,Epitome,Criterion,D,One word Substitution
63,1.3,One Word Substitution,A pole or beam used as a temporary support,Scaffold,Prop,Lean-to,Rafter,B,One word Substitution
64,1.3,One Word Substitution,One who studies the art of gardening,Agriculturist,Horticulturist,Gardener,Botanist,B,One word Substitution
65,1.3,One Word Substitution,A remedy for all diseases,Cough syrup,Panacea,Medicine,Inhaler,B,One word Substitution
66,1.3,One Word Substitution,Fear of closed spaces,Claustrophobia,Aquaphobia,Botanophobia,Kleptomania,A,One word Substitution
67,1.3,One Word Substitution,Words written on the tomb of a dead person,Epigraph,Epilogue,Epitaph,Etymology,C,One word Substitution
68,1.3,One Word Substitution,A handwriting that cannot be read,Illegible,Inedible,Illegal,Illicit,A,One word Substitution
69,1.3,One Word Substitution,The line where the land and sky seems to meet,Atmosphere,Milky way,Horizon,Distant land,C,One word Substitution
70,1.3,One Word Substitution,A list of passengers and luggage,Waybill,Wagon,Wire puller,Whist,A,One word Substitution
71,1.3,One Word Substitution,A person difficult to please,Fastidious,Callous,Sadist,Ferocious,A,One word Substitution
72,1.3,One Word Substitution,A decorative handwriting,Calligraphy,Manuscript,Inscription,Hagiography,A,One word Substitution
73,1.3,One Word Substitution,That which cannot be defeated,Invincible,Invulnerable,Infallible,Indictable,A,One word Substitution
74,1.3,One Word Substitution,Study of the nature of God,Philology,Theology,Humanism,Philosophy,B,One word Substitution
75,1.3,One Word Substitution,A person who attends to the diseases of the eye in an,Oculist,Optimist,Obstetrician,Optician,A,One word Substitution
76,1.3,One Word Substitution,The study of worms and insects,Taxidermy,Entomology,Ornithology,Paleontology,B,One word Substitution
77,1.3,One Word Substitution,A person who devotes his/her life for the welfare of others,Altruist,Hermit,Volunteer,Martyr,A,One word Substitution
78,1.3,One Word Substitution,A person who shows off his learning,Pedant,Educationist,Exhibitor,Researcher,A,One word Substitution
79,1.3,One Word Substitution,Written law of a legislative body,Statute,Stature,Static,Statue,A,One word Substitution
80,1.3,One Word Substitution,Loss of memory,Dementia,Oblivion,Nostalgia,Amnesia,D,One word Substitution
81,1.3,One Word Substitution,A raised place on which offerings to God are made,Mound,Chapel,Altar,Archive,C,One word Substitution
82,1.3,One Word Substitution,Undue favour shown by a person in power to his friends and relatives,Criticism,Despotism,Nepotism,Witticism,C,One word Substitution
83,1.3,One Word Substitution,An area controlled by a foreign ruler,Province,State,Colony,Dominion,C,One word Substitution
84,1.3,One Word Substitution,A person who lives for pleasure,Hedonist,Materialist,Atheist,Philanthropist,A,One word Substitution
85,1.3,One Word Substitution,A study of sounds is known as,Stylistics,Linguistics,Phonetics,Semantics,C,One word Substitution
86,1.3,One Word Substitution,To reduce to nothing,Lull,Null,Annul,Cull,B,One word Substitution
87,1.3,One Word Substitution,An obviously true or hackneyed statement,Syllogism,Iconic,Imagism,Truism,D,One word Substitution
88,1.3,One Word Substitution,Words inscribed on a tomb,Epitaph,Epitome,Epistle,Epilogue,A,One word Substitution
89,1.3,One Word Substitution,The act of producing beautiful handwriting using a brush or a special pen,Calligraphy,Stencilling,Graphics,Hieroglyphics,A,One word Substitution
90,1.3,One Word Substitution,A word composed of the first letters of the words in a phrase,Abridgement,Almanac,Anachronism,Acronym,D,One word Substitution
91,1.3,One Word Substitution,A person of obscure position who has gained wealth,Promiscuous,Parvenu,Sumptuary,Extravagant,B,One word Substitution
92,1.3,One Word Substitution,Science of human mind and behaviour,Physiology,Psychology,Sociology,Philology,B,One word Substitution
93,1.3,One Word Substitution,A set of three related works by the same author,Topology,Trilogy,Trichology,Ecology,B,One word Substitution
94,1.3,One Word Substitution,The study or practice of dancing or composing ballets,Calligraphy,Cartography,Choreography,Epigraphy,C,One word Substitution
95,1.3,One Word Substitution,Having juicy or fleshy and thick issues,Succulent,Translucent,Dissolvent,Dissident,A,One word Substitution
97,1.3,One Word Substitution,One who thinks or speaks too much of himself,Imposter,Enthusiast,Egotist,Optimist,C,One word Substitution
98,1.3,One Word Substitution,An exact-copy of handwriting or a picture produced by a machine,Original,Facsimile,Copy,None of these,B,One word Substitution
99,1.3,One Word Substitution,More like a woman than a man in manners and habits,Unmanly,Effeminate,Womanish,Delicate,B,One word Substitution
100,1.3,One Word Substitution,Handwriting which is difficult or impossible to read,Unintelligible,Eligible,Illegible,Illogical,C,One word Substitution
101,1.3,One Word Substitution,"To play the part of, and function as, some other person",Imitate,Pretend,Impersonate,Act,C,One word Substitution
102,1.3,One Word Substitution,Not easily pleased by anything,Fastidious,Maiden,Medieval,Precarious,A,One word Substitution
103,1.3,One Word Substitution,To die without having made a will,Intaglio,Inveterate,Intestate,Insolvent,C,One word Substitution
104,1.3,One Word Substitution,One who enjoys inflicting pain on himself,Masochist,Nihilist,Egoist,Sadist,A,One word Substitution
105,1.3,One Word Substitution,Murder of a brother,Fratricide,Patricide,Regicide,Homicide,A,One word Substitution
106,1.3,One Word Substitution,A person who readily believes others,Sensible,Credible,Credulous,Sensitive,C,One word Substitution
107,1.3,One Word Substitution,Meaningless language with an exaggerated style intended to impress,Rhetoric,Oratory,Public speaking,Verbalization,A,One word Substitution
108,1.3,One Word Substitution,has an evil reputation,is dubious,is notorious,is malicious,is magnanimous,B,One word Substitution
109,1.3,One Word Substitution,doing undue favour to their relatives,Polarism,Pluralism,Nepotism,Dualism,C,One word Substitution
110,1.3,One Word Substitution,A person who helps even a stranger in difficulty,Beneficiary,Samaritan,Altruist,Philanthropist,B,One word Substitution
111,1.3,One Word Substitution,The production of raw silk,Syrumculture,Sericulture,Seroculture,Sariculture,B,One word Substitution
112,1.3,One Word Substitution,one in three years,Thriennial,Tetraennial,Triennial,Treennial,C,One word Substitution
113,1.3,One Word Substitution,"An apartment building in which each apartment is owned separately by the people living in it, but also containing shared areas",Condominium,Multiplex,Duplex,Caravan,A,One word Substitution
114,1.3,One Word Substitution,A group of three powerful people,Trio,Tritium,Trivet,Triumvirate,D,One word Substitution
115,1.3,One Word Substitution,Operation of the body after death,Post-mortem,Obituary,Homage,Mortuary,A,One word Substitution
116,1.3,One Word Substitution,Not allowing the passage of light,Oblique,Opaque,Optique,Opulent,B,One word Substitution
117,1.3,One Word Substitution,Science regarding principles of classification,Taxidermy,Taxonomy,Toxicology,Classicology,B,One word Substitution
118,1.3,One Word Substitution,A political leader appealing to popular desires and prejudices,Dictator,Tyrant,Popularist,Demagogue,D,One word Substitution
119,1.3,One Word Substitution,Enclosed in a small closed space,Closophobia,Claustophobia,Claustrophobia,Liftophobia,C,One word Substitution
120,1.3,One Word Substitution,"One who is unaffected or indifferent to joy, pain, pleasure or grief",Tolerant,Resigned,Passive,Stoic,D,One word Substitution
121,1.3,One Word Substitution,A person who is greatly respected because of wisdom,Voracious,Vulnerable,Venerable,Verger,C,One word Substitution
122,1.3,One Word Substitution,An excessively morbid desire to steal,Stealomania,Kleptomania,Cleftomania,Keptomania,B,One word Substitution
123,1.3,One Word Substitution,Prohibited by law or treaty from being imported or exported,Contraband,Smuggled,Counterfeit,Forged,A,One word Substitution
124,1.3,One Word Substitution,Intentional destruction of racial groups,Regicide,Genocide,Homicide,Fratricide,B,One word Substitution
125,1.3,One Word Substitution,A person in a vehicle or on horseback escorting another vehicle,Navigator,Escort,Outrider,Security,C,One word Substitution
126,1.3,One Word Substitution,A person specially interested in the study of coins and medals.,Medallist,Coinist,Numismatist,Numerist,C,One word Substitution
127,1.3,One Word Substitution,One who cannot be corrected,Invulnerable,Incurable,Incorrigible,Hardened,C,One word Substitution
128,1.3,One Word Substitution,A general pardon granted by the Government to political offenders,Amnesty,Pardon,Excuse,Honesty,A,One word Substitution
129,1.3,One Word Substitution,Detailed plan of a journey,Itinerary,Travelogue,Travel,Schedule,A,One word Substitution
130,1.3,One Word Substitution,Stealing of ideas or writing of someone else,Plagiarism,Autism,Scepticism,Mesmerism,A,One word Substitution
131,1.3,One Word Substitution,One who hates women,Misanthrope,Misogynist,Misogamist,Ambivert,B,One word Substitution
132,1.3,One Word Substitution,A school boy who cuts classes frequently is a,Martinet,Defeatist,Sycophant,Truant,D,One word Substitution
133,1.3,One Word Substitution,A person who consumes human flesh,Carnivore,Cannibal,Javage,Captor,B,One word Substitution
134,1.3,One Word Substitution,One who eats human flash,Carnivore,Herbivore,Glutton,Cannibal,D,One word Substitution
135,1.3,One Word Substitution,Liable to be easily broken,Weak,Brittle,Thin,Hard,B,One word Substitution
136,1.3,One Word Substitution,One who is out to destroy the Government,Anarchist,Villain,Criminal,Enemy,A,One word Substitution
137,1.3,One Word Substitution,One who loves all mankind,Philosopher,Philosophy,Philanthropist,Philatelist,C,One word Substitution
138,1.3,One Word Substitution,A person who cannot make a mistake,Inexplicable,Inevitable,Emperacable,Infallible,D,One word Substitution
139,1.3,One Word Substitution,An office with a salary but no work,Honorary,Sinecure,Insolvent,Sinuous,B,One word Substitution
140,1.3,One Word Substitution,The study or collection of coins,Nymphomania,Numismatics,Numerology,Numeric,B,One word Substitution
