,cat_num,cat_name,Direction,Question,optA,optB,optC,optD,correct
329,3.2,Preposition,Fill in the blanks. (Preposition),"If you really want to succeed, reckon _______ your merit only.",on,at,up,with,A
330,3.2,Preposition,Fill in the blanks. (Preposition),He prefers swimming _______ any other sport. ,than,over,to,against,C
331,3.2,Preposition,Fill in the blanks. (Preposition),I can dare say that Jaya takes _______ her mother. ,to,down,after,in,C
332,3.2,Preposition,Fill in the blanks. (Preposition),Do you know how to look _______ a word in the dictionary? ,up,to,upon,on,A
333,3.2,Preposition,Fill in the blanks. (Preposition),How can I give _______ when I am not at fault. ,up,away,way,in,D
334,3.2,Preposition,Fill in the blanks. (Preposition),I hate sitting _______ him as he always smells of garlic.,besides,at,about,beside,D
335,3.2,Preposition,Fill in the blanks. (Preposition),The new education policy provides a useful break _______ for the planners to remove illiteracy. ,up,through,away,in,B
336,3.2,Preposition,Fill in the blanks. (Preposition),The pilots had been warned about the storm before they took _______. ,away,up,over,off,D
337,3.2,Preposition,Fill in the blanks. (Preposition),"_______ all intents and purposes, the manager is the master of the film. ",In,Upon,With,To,D
338,3.2,Preposition,Fill in the blanks. (Preposition),So many servants attended _______ him during his illness. ,with,on,for,to,D
339,3.2,Preposition,Fill in the blanks. (Preposition),Prominent Saddam Hussain has lived _______ his own all his life. ,with,for,by,on,C
340,3.2,Preposition,Fill in the blanks. (Preposition),There is a disturbing nexus _______ politics and sports in India.,among,with,by,between,D
341,3.2,Preposition,Fill in the blanks. (Preposition),Ritu’s marriage _______ Rakesh was tumultuous. ,to,between,with,of,A
342,3.2,Preposition,Fill in the blanks. (Preposition),He walked on and found an empty seat to sit _______. ,on,in,up,upon,A
343,3.2,Preposition,Fill in the blanks. (Preposition),"The Government agreed to pay compensation _______ damage crops, land and cattle. ",to,through,for,of,C
344,3.2,Preposition,Fill in the blanks. (Preposition),Italy has a lot to offer India in her efforts to leap _______ the 21st century. ,in,into,over,to,B
