,cat_num,cat_name,Question,optA,optB,optC,optD,optE,correct
0,2.2,Pronoun,Find the error. (Pronoun),Neither of the two children,said their prayer,before going to bed.,No error,Noopt,B
1,2.2,Pronoun,Find the error. (Pronoun),Even those which,have no previous,work experience have,applied for this job.,No error,A
2,2.2,Pronoun,Find the error. (Pronoun),These companies have been asked,to furnish their financial details,and information about,its board members.,No error,D
3,2.2,Pronoun,Find the error. (Pronoun),Road developers unable to,finish their projects,on time will not be,awarded new ones.,No error,A
4,2.2,Pronoun,Find the error. (Pronoun),The company is in debt,and has been unable,to pay their employees’ salaries,for the past six months.,No error,C
5,2.2,Pronoun,Find the error. (Pronoun),"We think education, health",experience and those sorts of things,are generally the main benefits for,modern tour and travel.,No error,E
6,2.2,Pronoun,Find the error. (Pronoun),After toiling very hard over a long,"period project, my friend found",he had hardly made,no profit at all.,No error,D
7,2.2,Pronoun,Find the error. (Pronoun),My mother does not,like me sleeping,most of the time,in a twenty-four hour.,No error,B
8,2.2,Pronoun,Find the error. (Pronoun),The idea who shook,the whole world was,published in one,of his unknown journals.,No error,A
9,2.2,Pronoun,Find the error. (Pronoun),It is said,by some persons,that one of the banks,could solve economic problem.,No error,E
10,2.2,Pronoun,Find the error. (Pronoun),He who knows,all the pros and cons,of any problem,can build a lot of power.,No error,A
11,2.2,Pronoun,Find the error. (Pronoun),Indian began,his nuclear energy,programme during,the late fifties.,No error,B
12,2.2,Pronoun,Find the error. (Pronoun),Her mother promised to,give her anything what she,wants if she,passes in the examination.,No error,B
13,2.2,Pronoun,Find the error. (Pronoun),What does matter most,is the positive,attitude and,not the actions.,No error,A
14,2.2,Pronoun,Find the error. (Pronoun),We do not know,whom we should blame,for all the lapses observed,in the procedure.,No error,E
15,2.2,Pronoun,Find the error. (Pronoun),There is no definite rule,regarding the length of the precis,with relation to that of the original passage. ,No error,Noopt,D
16,2.2,Pronoun,Find the error. (Pronoun),There is no book in Tamil language,which is as interesting,as this.,No error,Noopt,A
17,2.2,Pronoun,Find the error. (Pronoun),He is the man,who I know,has helped my son,in the final examination.,No error,E
18,2.2,Pronoun,Find the error. (Pronoun),He looks at everything,from,their,best side.,No error,C
19,2.2,Pronoun,Find the error. (Pronoun),Each of them,along with their families and their pets,is going to Goa,for the summer vacation.,No error,B
20,2.2,Pronoun,Find the error. (Pronoun),Ram will be suspended,because he opened an account,without obtaining none,of the necessary documents.,No error,C
21,2.2,Pronoun,Find the error. (Pronoun),Inspite of the many,challenges faced by themselves,the company has made,a profit this year.,No error,B
22,2.2,Pronoun,Find the error. (Pronoun),This is one,of the few companies,who have done,well for the past two years.,No error,C
23,2.2,Pronoun,Find the error. (Pronoun),Because of the pace at,which the company is growing,I believe it will easily,achieve their target.,No error,D
24,2.2,Pronoun,Find the error. (Pronoun),Out of the six companies,shortlisted for the project,five have already,made its presentations.,No error,D
25,2.2,Pronoun,Find the error. (Pronoun),Customers should avail,of the consulting services,offered by an insurance company,before buying a policy.,No error,B
26,2.2,Pronoun,Find the error. (Pronoun),When he asked,why the machines,were idle we told him it was broken.,No error,Noopt,C
27,2.2,Pronoun,Find the error. (Pronoun),A person whose wishes to,avail of this facility,should not have been,a loan defaulter in the past.,No error,A
28,2.2,Pronoun,Find the error. (Pronoun),Senior citizens prefer,banks which,branches are located,near their homes.,No error,B
29,2.2,Pronoun,Find the error. (Pronoun),Although it has received,clearance from the RBI bank,it has decided not to open,their office in Hongkong.,No error,D
30,2.2,Pronoun,Find the error. (Pronoun),A man who has been,accused of fraud in,an earlier job he will never be,welcomed in any other organization.,No error,C
31,2.2,Pronoun,Find the error. (Pronoun),He is a university professor,but of his three sons,neither has any merit.,No error,Noopt,C
32,2.2,Pronoun,Find the error. (Pronoun),SEBI has recently issued,showcause notices to some,insurance companies seeking its explanation for not,complying with certain norms.,No error,C
33,2.2,Pronoun,Find the error. (Pronoun),A current account is a deposit account,which is offered by banks mainly,to firms and companies who,need banking facilities very frequently.,No error,C
34,2.2,Pronoun,Find the error. (Pronoun),No one except he,knew which questions,were going to be,asked in this test.,No error,A
35,2.2,Pronoun,Find the error. (Pronoun),It was me who was,responsible for,making all the arrangements for the successful completion of his studies.,No error,Noopt,A
36,2.2,Pronoun,Find the error. (Pronoun),It was him,who came running,into the classroom.,No error,Noopt,A
37,2.2,Pronoun,Find the error. (Pronoun),Government departments should,share information with,one another so that,they records are up-to-date.,No error,D
38,2.2,Pronoun,Find the error. (Pronoun),Companies should hold such,conferences more often so that,it can discuss their problems,and come up with solutions.,No error,C
39,2.2,Pronoun,Find the error. (Pronoun),Today many companies,are working to design,computers who will not,harm the environment.,No error,C
40,2.2,Pronoun,Find the error. (Pronoun),It was,me who telephoned,the fire service.,No error,Noopt,B
41,2.2,Pronoun,Find the error. (Pronoun),Though she appears to be very tall,she is just an inch,taller than me.,No error,Noopt,C
42,2.2,Pronoun,Find the error. (Pronoun),He told his friends that,each of them,should be able to carry out the orders oneself.,No error,Noopt,C
43,2.2,Pronoun,Find the error. (Pronoun),My uncle forced,my friend and I,to stay back.,No error,Noopt,B
44,2.2,Pronoun,Find the error. (Pronoun),These companies have been asked,to furnish their financial details,and information about,to its board members.,No error,D
45,2.2,Pronoun,Find the error. (Pronoun),Ashok is among the,few people in the world,which did not blindly follow,the path of others.,No error,C
46,2.2,Pronoun,Find the error. (Pronoun),"In response to the growing crisis,",the agency is urgently asking for,"more contributions, to make up for",their sharp decline in purchasing power.,No error,D
