,cat_num,cat_name,Question,optA,optB,optC,optD,optE,correct
0,3.4,Subject Verb Agreement,Find the error. (Subject verb agreement),The television,which you gave,her children,work perfectly.,No error,D
1,3.4,Subject Verb Agreement,Find the error. (Subject verb agreement),Most things,costs more now,than they did,a few years ago.,No error,B
2,3.4,Subject Verb Agreement,Find the error. (Subject verb agreement),The postman together with,his helpers call,each morning,with the letters.,No error,B
3,3.4,Subject Verb Agreement,Find the error. (Subject verb agreement),A lot of money,need to be spent,on repairs,of the house.,No error,B
4,3.4,Subject Verb Agreement,Find the error. (Subject verb agreement),Most of the girls,has passed,their examination,this year.,No error,B
5,3.4,Subject Verb Agreement,Find the error. (Subject verb agreement),The people,waiting for the train,are waiting,impatiently.,No error,E
6,3.4,Subject Verb Agreement,Find the error. (Subject verb agreement),One of his,friend was,injured,in a railway accident.,No error,B
7,3.4,Subject Verb Agreement,Find the error. (Subject verb agreement),Each of the student,was given,two exercise,books yesterday.,No error,A
8,3.4,Subject Verb Agreement,Find the error. (Subject verb agreement),I met the chairman,and the director,who claims to be,Stuart’s father.,No error,B
9,3.4,Subject Verb Agreement,Find the error. (Subject verb agreement),There are plenty of,opportunities for,well qualified,students of the institute.,No error,E
10,3.4,Subject Verb Agreement,Find the error. (Subject verb agreement),The percentage,of good leaders,are not,very high in the state.,No error,C
11,3.4,Subject Verb Agreement,Find the error. (Subject verb agreement),The teacher ,with his two sons,is doing research,these days.,No error,E
12,3.4,Subject Verb Agreement,Find the error. (Subject verb agreement),It are,the books and,their authors,that have confused us.,No error,A
13,3.4,Subject Verb Agreement,Find the error. (Subject verb agreement),Either of,the two boys,are eligible,for selection for the post.,No error,C
14,3.4,Subject Verb Agreement,Find the error. (Subject verb agreement),The horse and carriage,has been standing,at the door,for two hours.,No error,E
15,3.4,Subject Verb Agreement,Find the error. (Subject verb agreement),The teacher as well as,his students,has committed,one’s life.,No error,E
16,3.4,Subject Verb Agreement,Find the error. (Subject verb agreement),The behaviour,of the students,was,not proper.,No error,E
17,3.4,Subject Verb Agreement,Find the error. (Subject verb agreement),One of my students,live next,door to,his aunt.,No error,B
18,3.4,Subject Verb Agreement,Find the error. (Subject verb agreement),All the dictionaries,which have been,placed on that table,by the window needs re-binding.,No error,D
19,3.4,Subject Verb Agreement,Find the error. (Subject verb agreement),Twenty miles,are not a great,distance in these days,of rapid travel.,No error,B
20,3.4,Subject Verb Agreement,Find the error. (Subject verb agreement),Either Adam,or Michael have,the key to,this problem.,No error,B
21,3.4,Subject Verb Agreement,Find the error. (Subject verb agreement),Neither Maria,nor her friends,was present,at that party.,No error,C
22,3.4,Subject Verb Agreement,Find the error. (Subject verb agreement),Either she,or I,will pay,the fee.,No error,C
23,3.4,Subject Verb Agreement,Find the error. (Subject verb agreement),Nothing but,trees were,seen,in the garden.,No error,B
24,3.4,Subject Verb Agreement,Find the error. (Subject verb agreement),The number of,people applying,for the job,was very large.,No error,E
25,3.4,Subject Verb Agreement,Find the error. (Subject verb agreement),He is,one of the richest and,most generous men of,the down.,No error,E
26,3.4,Subject Verb Agreement,Find the error. (Subject verb agreement),Computer and,telecommunication has,developed,information technology.,No error,B
27,3.4,Subject Verb Agreement,Find the error. (Subject verb agreement),The poet,and critic,have been,honoured in his home district.,No error,C
28,3.4,Subject Verb Agreement,Find the error. (Subject verb agreement),Bread and butter,are,essential for,one’s life.,No error,B
29,3.4,Subject Verb Agreement,Find the error. (Subject verb agreement),Every man,and woman in a family,are responsible for,the upbringing of  a child.,No error,C
30,3.4,Subject Verb Agreement,Find the error. (Subject verb agreement),The sum and substance,of the matter is,that he died,on the spot.,No error,E
31,3.4,Subject Verb Agreement,Find the error. (Subject verb agreement),Each and every,"man, woman and child",were given food,yesterday evening.,No error,C
32,3.4,Subject Verb Agreement,Find the error. (Subject verb agreement),"You,",rather than,your father,are to blame.,No error,E
33,3.4,Subject Verb Agreement,Find the error. (Subject verb agreement),Five hours,are too short,a time to judge,take to the hospital.,No error,B
34,3.4,Subject Verb Agreement,Find the error. (Subject verb agreement),Many a,passenger,have been,taken to the hospital.,No error,C
35,3.4,Subject Verb Agreement,Find the error. (Subject verb agreement),A group of,people were,sitting at,the street corner.,No error,B
36,3.4,Subject Verb Agreement,Find the error. (Subject verb agreement),The economics,of the situation,has been discussed,at some length.,No error,C
37,3.4,Subject Verb Agreement,Find the error. (Subject verb agreement),One of the arguments,she offered,seems,especially convincing.,No error,E
38,3.4,Subject Verb Agreement,Find the error. (Subject verb agreement),Three parts,of best books,that have,been written.,No error,C
39,3.4,Subject Verb Agreement,Find the error. (Subject verb agreement),It is one of,the best books,that have,been written.,No error,E
40,3.4,Subject Verb Agreement,Find the error. (Subject verb agreement),Forty kilometres,are a big,"distance for me,",I am unable to walk on foot.,No error,B
41,3.4,Subject Verb Agreement,Find the error. (Subject verb agreement),Either her parents,or her teachers,are responsible,for her success.,No error,E
42,3.4,Subject Verb Agreement,Find the error. (Subject verb agreement),The tallest,of the three boys,live next,door to her.,No error,C
43,3.4,Subject Verb Agreement,Find the error. (Subject verb agreement),If you want,"some sugar,",there is some,in that bag.,No error,E
44,3.4,Subject Verb Agreement,Find the error. (Subject verb agreement),Physics,is an important,subject in,the modern world.,No error,E
45,3.4,Subject Verb Agreement,Find the error. (Subject verb agreement),Angelica and Martina gave me,many good advices,"when I met them,",in Chennai last night.,No error,B
46,3.4,Subject Verb Agreement,Find the error. (Subject verb agreement),All the luggage,have now been,inspected by,the customs officials.,No error,B
47,3.4,Subject Verb Agreement,Find the error. (Subject verb agreement),One of the boys,in our class,have won a prize,tonight.,No error,C
48,3.4,Subject Verb Agreement,Find the error. (Subject verb agreement),Several of,my students,have been,to England.,No error,E
49,3.4,Subject Verb Agreement,Find the error. (Subject verb agreement),He along,with his team members,were given a warm,welcome in New Jersey.,No error,C
50,3.4,Subject Verb Agreement,Find the error. (Subject verb agreement),Either he,or they,have been rewarded.,No error,Noopt,D
51,3.4,Subject Verb Agreement,Find the error. (Subject verb agreement),When the ship caught fire,many a man,were drowned.,No error,Noopt,C
52,3.4,Subject Verb Agreement,Find the error. (Subject verb agreement),Neither of them,are willing to attend,the marriage ceremony of the noted film actress.,No error,Noopt,B
53,3.4,Subject Verb Agreement,Find the error. (Subject verb agreement),The number of workers reporting sick,have fallen ill,because of the incentive.,No error,Noopt,B
54,3.4,Subject Verb Agreement,Find the error. (Subject verb agreement),My neighbour along with,his children are going tonight,to see the Tajmahal at Agra.,No error,Noopt,B
55,3.4,Subject Verb Agreement,Find the error. (Subject verb agreement),"I, you and he",are to blame,today.,No error,Noopt,A
56,3.4,Subject Verb Agreement,Find the error. (Subject verb agreement),The poet,and philosopher,have to come here.,No error,Noopt,C
57,3.4,Subject Verb Agreement,Find the error. (Subject verb agreement),He as well as,his friends,is arriving here.,No error,Noopt,D
58,3.4,Subject Verb Agreement,Find the error. (Subject verb agreement),The number,of students,are increasing day by day.,No error,Noopt,C
59,3.4,Subject Verb Agreement,Find the error. (Subject verb agreement),The poor,is always,helpless.,No error,Noopt,B
60,3.4,Subject Verb Agreement,Find the error. (Subject verb agreement),This is one of the most universal,desire with which poor humanity,is affected.,No error,Noopt,B
61,3.4,Subject Verb Agreement,Find the error. (Subject verb agreement),Neither his brother nor his sister,were aware that,she was suffering from tuberculosis.,No error,Noopt,B
62,3.4,Subject Verb Agreement,Find the error. (Subject verb agreement),Different authorities,defines intelligence,in different ways.,No error,Noopt,B
63,3.4,Subject Verb Agreement,Find the error. (Subject verb agreement),Everyone of the students,has brought his,identity card.,No error,Noopt,D
64,3.4,Subject Verb Agreement,Find the error. (Subject verb agreement),Everybody among the guests,were enjoying drinking,when the theft took place.,No error,Noopt,B
65,3.4,Subject Verb Agreement,Find the error. (Subject verb agreement),From Bombay,the Rajdhani express,don’t go straight,to New Delhi.,No error,C
66,3.4,Subject Verb Agreement,Find the error. (Subject verb agreement),The number of people,applying were so large,that the college had to,stop issuing application forms.,No error,B
67,3.4,Subject Verb Agreement,Find the error. (Subject verb agreement),The proposal will be,passed with a comfortable,majority if all,the members of his group favours it.,No error,D
68,3.4,Subject Verb Agreement,Find the error. (Subject verb agreement),Motivating employees with,traditional authority and financial,incentives have become,increasingly difficult. ,No error,E
69,3.4,Subject Verb Agreement,Find the error. (Subject verb agreement),He is one of,the best novelists,that has ever lived.,Do you agree?,No error,C
70,3.4,Subject Verb Agreement,Find the error. (Subject verb agreement),The average age at which,people begin to need eye glasses,vary considerably.,No error,Noopt,C
71,3.4,Subject Verb Agreement,Find the error. (Subject verb agreement),A collection of Indian architects which was taken,from graves in the area and it was lent to Marvard University,will be returned to the Museum soon.,No error,Noopt,A
72,3.4,Subject Verb Agreement,Find the error. (Subject verb agreement),The number of marks carried by each question,are indicated,at the end of the question.,No error,Noopt,B
73,3.4,Subject Verb Agreement,Find the error. (Subject verb agreement),I was compelled to do it,as I strongly felt,the safety of my friends were at stake.,No error,Noopt,C
74,3.4,Subject Verb Agreement,Find the error. (Subject verb agreement),Neither the players nor,the trainer were,in the locker room when the thief broke in.,No error,Noopt,B
75,3.4,Subject Verb Agreement,Find the error. (Subject verb agreement),The report is candid in admitting,that the investment by the Government,in health and family planning,have been eroded considerably.,No error,D
76,3.4,Subject Verb Agreement,Find the error. (Subject verb agreement),It is I,who has done this,and I will not,hesitate to admit it.,No error,B
77,3.4,Subject Verb Agreement,Find the error. (Subject verb agreement),It has been observed,but if one person tease,and animal in zoo,the others follow it.,No error,B
78,3.4,Subject Verb Agreement,Find the error. (Subject verb agreement),"Silver, as well as cotton",have fallen considerably,in prices,in recent days.,No error,B
79,3.4,Subject Verb Agreement,Find the error. (Subject verb agreement),One of the five boys,of his group,were absent due to sickness,the other four were present.,No error,C
80,3.4,Subject Verb Agreement,Find the error. (Subject verb agreement),Sheela and her children feels,that they have been,given raw deal,by the society in general.,No error,A
81,3.4,Subject Verb Agreement,Find the error. (Subject verb agreement),None of us were,able to contradict,what the speaker was,saying publically.,No error,E
82,3.4,Subject Verb Agreement,Find the error. (Subject verb agreement),There are many,conditions in the rule,with which,he do not agree.,No error,D
83,3.4,Subject Verb Agreement,Find the error. (Subject verb agreement),The recent changes,in the monetary policy has,enabled us to aggressively,work in his area.,No error,B
84,3.4,Subject Verb Agreement,Find the error. (Subject verb agreement),This story impress on our mind,that seven children can,face any danger if,they have courage.,No error,A
85,3.4,Subject Verb Agreement,Find the error. (Subject verb agreement),He firmly believes,that a radical change,in the structure of our,various departments are necessary.,No error,D
86,3.4,Subject Verb Agreement,Find the error. (Subject verb agreement),The unskilled class of,workers are the,most exploited class under,the present labour contract system.,No error,B
87,3.4,Subject Verb Agreement,Find the error. (Subject verb agreement),The supervisor noticed that,one of the employees were,involved in,unfair activities outside the office.,No error,B
