,cat_num,cat_name,Question,optA,optB,optC,optD,correct,Direction
0,1.2,Synonym,Tirade,Trade,Praise,Applause,Rant,D,Select the synonym
1,1.2,Synonym,Proficient,Adept,Pupil,Reliable,Prominent,A,Select the synonym
2,1.2,Synonym,Admonish,Irritate,Chide,Displease,Annoy,B,Select the synonym
3,1.2,Synonym,Peril,Danger,Roughness,Insecurity,Anger,A,Select the synonym
4,1.2,Synonym,Affluent,Blossom,Flourish,Prosperous,Thrive,C,Select the synonym
5,1.2,Synonym,August,Common,Ridiculous,Dignified,Petty,C,Select the synonym
6,1.2,Synonym,Garnish,Honour,Respect,Obey,Adorn,D,Select the synonym
7,1.2,Synonym,Abandon,Excuse,Forsake,Urge,Risk,B,Select the synonym
8,1.2,Synonym,Odious,Hateful,Rotten,Infamous,Sick,A,Select the synonym
9,1.2,Synonym,Scintillating,Moving,Interesting,Burning,Glittering,D,Select the synonym
10,1.2,Synonym,Transient,Fleeting,Transparent,Feeble,Fanciful,A,Select the synonym
11,1.2,Synonym,Voracious,Hungry,Hasty,Thirsty,Greedy,D,Select the synonym
12,1.2,Synonym,Tepid,Hot,Warm,Cold,Boiling,B,Select the synonym
13,1.2,Synonym,Canny,Obstinate,Proud,Stout,Clever,D,Select the synonym
14,1.2,Synonym,Humane,Sympathetic,Spirit,Straight,Source,A,Select the synonym
15,1.2,Synonym,Honest,Authentic,Upright,Direct,Actual,B,Select the synonym
16,1.2,Synonym,Vocation,Examination,Seminar,Occupation,Holiday,C,Select the synonym
17,1.2,Synonym,Cantankerous,Noisy,Quarrelsome,Rash,Disrespectful,B,Select the synonym
18,1.2,Synonym,Credible,Charming,Serious,Believable,Worthy,C,Select the synonym
19,1.2,Synonym,Extricate,Free,Tie,Complicate,Pull,A,Select the synonym
20,1.2,Synonym,Obstreperous,Unruly,Lazy,Awkward,Sullen,A,Select the synonym
21,1.2,Synonym,Logical,Responsive,Rational,Educated,Improper,B,Select the synonym
22,1.2,Synonym,Delusion,Illumination,Illusion,Ascension,Reality,B,Select the synonym
23,1.2,Synonym,Mastery,Mystery,Weighty,Authority,Weakness,C,Select the synonym
24,1.2,Synonym,Abnormal,Unnatural,Aggressive,Unique,Informal,A,Select the synonym
25,1.2,Synonym,Venal,Corrupt,Comprehensible,Legible,Forgivable,A,Select the synonym
26,1.2,Synonym,Conjurer,Magician,Jester,Performer,Trickster,A,Select the synonym
27,1.2,Synonym,Invoice,Word,Sound,Statement,Language,C,Select the synonym
28,1.2,Synonym,Ameliorate,Improve,Degrade,Motivate,Agree,A,Select the synonym
29,1.2,Synonym,Conciliatory,Foolish,Soothing,Advisory,Cordial,B,Select the synonym
30,1.2,Synonym,Insidious,Honest,Deceitful,Angry,Insane,B,Select the synonym
31,1.2,Synonym,Mundane,Normal,Ordinary,Gullible,Mandatory,B,Select the synonym
32,1.2,Synonym,Scepticism,Doubt,Bigotry,Belief,Religion,A,Select the synonym
33,1.2,Synonym,Withstand,Accept,Submit,Endure,Relinquish,C,Select the synonym
34,1.2,Synonym,Citadel,Mansion,Fortress,Palace,Metropolis,B,Select the synonym
35,1.2,Synonym,Stern,Young,Stem,Strict,Lenient,C,Select the synonym
36,1.2,Synonym,Aberration,Intensification,Deviation,Rationally,Justification,B,Select the synonym
37,1.2,Synonym,Repeated,Disputed,Elaborated,Explained,Reiterated,D,Select the synonym
38,1.2,Synonym,Revere,Condemn,Reverse,Humiliate,Respect,D,Select the synonym
39,1.2,Synonym,Erudite,Scholarly,Unlettered,Stingy,Sloopy,A,Select the synonym
40,1.2,Synonym,Hallucination,Delusion,Habitat,Dress,Deception,A,Select the synonym
41,1.2,Synonym,Salacious,Angry,Unhappy,Satisfied,Lustful,D,Select the synonym
42,1.2,Synonym,Derive,Contain,Attain,Sustain,Obtain,D,Select the synonym
43,1.2,Synonym,Insolent,The sole of a shoe,Disrespectful,Insoluble,Depreciating,B,Select the synonym
44,1.2,Synonym,Innocuous,Irresponsible,Careless,Harmless,Insufficient,C,Select the synonym
45,1.2,Synonym,Ingenuous,Clever,Innocent,Artful,Cunning,B,Select the synonym
46,1.2,Synonym,Parsimony,Expenditure,Bankruptcy,Bribery,Miserliness,D,Select the synonym
47,1.2,Synonym,Tribulation,Palpitation,Suffering,Weakness,Stimulation,B,Select the synonym
48,1.2,Synonym,ramparts,Ropway,Staircase,Parapet,Scaffold,C,Select the synonym
49,1.2,Synonym,Garrulous,Talkative,Sedative,Vocative,Positive,B,Select the synonym
50,1.2,Synonym,Tinsel,Tinkle,Decoration,Atin,Colourful,B,Select the synonym
51,1.2,Synonym,Labyrinth,Meandering,Rotating,Pacing,Wriggling,A,Select the synonym
52,1.2,Synonym,Advocate,Determine,Predict,Pronounce,Support,D,Select the synonym
53,1.2,Synonym,Preamble,Introduction,Definition,Mediation,Conclusion,A,Select the synonym
54,1.2,Synonym,Collate,Prescribe,Assemble,Describe,Narrate,B,Select the synonym
55,1.2,Synonym,Absolve,Consume,Punish,Acquit,Withheld,C,Select the synonym
56,1.2,Synonym,Ascription,Description,Account,Attribution,Cure,C,Select the synonym
57,1.2,Synonym,Toil,Test,Spoil,Work hard,Tell,C,Select the synonym
58,1.2,Synonym,Mimic,Tease,Refresh,Greet,Copy,D,Select the synonym
59,1.2,Synonym,Kiosk,Store,Shop,Booth,Mall,A,Select the synonym
60,1.2,Synonym,Wholesome,Complete,Ripe,Sound,Desirable,C,Select the synonym
61,1.2,Synonym,Infirm,Unsteady,Timid,Nervous,Weak,D,Select the synonym
62,1.2,Synonym,Cordial,Affectionate,Generous,Friendly,Kind,C,Select the synonym
63,1.2,Synonym,Sole,Only,Principal,Important,Immediate,A,Select the synonym
64,1.2,Synonym,Systematically,Scientifically,Technically,Methodically,Symmetrically,C,Select the synonym
65,1.2,Synonym,Assault,Attack,Comfort,Construct,Attach,A,Select the synonym
66,1.2,Synonym,Protrude,Lengthen,Uphold,Bulge,Attach,C,Select the synonym
67,1.2,Synonym,Accomplish,Surrender,Achieve,Forsake,Abandon,B,Select the synonym
68,1.2,Synonym,Apex,Bottom,Outward,Top,Inward,C,Select the synonym
69,1.2,Synonym,Baffle,Strike,Puzzle,Flutter,Surpass,B,Select the synonym
70,1.2,Synonym,Gaol,Destination,Garden,Jail,Bird,C,Select the synonym
71,1.2,Synonym,Loathing,Warmith,Affectation,Hatred,Affection,C,Select the synonym
72,1.2,Synonym,Pragmatic,Intelligent,Wise,Religious,Practical,D,Select the synonym
73,1.2,Synonym,Notion,Thought,Fact,Truth,Hypothesis,A,Select the synonym
74,1.2,Synonym,Vivacious,Poisonous,Energetic,Tricky,Slow,B,Select the synonym
75,1.2,Synonym,Copious,Abundant,Enjoyable,Capable,Coptable,A,Select the synonym
76,1.2,Synonym,Prerogative,Formative,Prevention,Privilege,Protective,C,Select the synonym
77,1.2,Synonym,Aggravate,Increase,Big,Angry,Intensify,D,Select the synonym
78,1.2,Synonym,Sycophants,Advisors,Flatterers,Servants,Sadists,B,Select the synonym
79,1.2,Synonym,Flout,Ignore,Refuse,Condemnation,Disregard,D,Select the synonym
80,1.2,Synonym,Fallacy,Smart move,Unfounded fear,Famous invention,Mistaken belief,D,Select the synonym
81,1.2,Synonym,Diligent,Conceited,Great,Hard working,Proud,C,Select the synonym
82,1.2,Synonym,Garnulous,Grumpy,Important,Friendly,Talkative,D,Select the synonym
83,1.2,Synonym,Zenith,Hope,Ideal,Peak,Reality,,Select the synonym
84,1.2,Synonym,Proximity,Nearness,Affinity,Prospect,Rapport,A,Select the synonym
85,1.2,Synonym,Vociferous,Violent,Loud,Secret,1,B,Select the synonym
86,1.2,Synonym,Fictional,Genuine,Authentic,Fanciful,Real,C,Select the synonym
87,1.2,Synonym,Trivial,Crucial,Significant,Vital,Ordinary,D,Select the synonym
88,1.2,Synonym,Impudent,Vigilant,Astute,Insolent,Arrogant,C,Select the synonym
89,1.2,Synonym,Pompous,Pretentious,Supportive,Demanding,Flashy,A,Select the synonym
90,1.2,Synonym,Annexure,Retirement,Commencement,Attachment,Development,C,Select the synonym
91,1.2,Synonym,Errand,Energy,Task,Mistake,Blunder,B,Select the synonym
92,1.2,Synonym,Bequeath,Give,Disclose,Scold,Surround,A,Select the synonym
93,1.2,Synonym,Nonchalant,Imaginary,Casual,Neutral,Formal,B,Select the synonym
94,1.2,Synonym,Forbearance,Deliverance,Patience, Extravagance,Relevance,B,Select the synonym
95,1.2,Synonym,Inadvertent,Unexpected,Unintentional,Undisturbed,Ignorant,B,Select the synonym
96,1.2,Synonym,Fortitude,Courage,Protection,Safety,Similarity,A,Select the synonym
97,1.2,Synonym,Duplicity,Artlessness,Deceit,Cleverness,Repetition,B,Select the synonym
98,1.2,Synonym,Fidelity,Resourcefulness,Strength,Weakness,Faithfulness,D,Select the synonym
99,1.2,Synonym,Vanguard,Officer,Flag bearer,Pioneer,Race drive,B,Select the synonym
100,1.2,Synonym,Narcissism,Unpleasant Behaviour,Self-condemnation,Self-admiration,Rude-behaviour,C,Select the synonym
101,1.2,Synonym,Camouflage,Disguise,Cover,Demonstrate,Fabric,A,Select the synonym
102,1.2,Synonym,Yearn,Deny,Accept,Confront,Long,D,Select the synonym
103,1.2,Synonym,Pensive,Reluctant,Unhappy,thoughtful,Precise,C,Select the synonym
104,1.2,Synonym,Impeccable,Inoffensive,Flawless,Upright,Harmless,B,Select the synonym
105,1.2,Synonym,Nexus,Connection,Distance,Deficit,Difference,A,Select the synonym
106,1.2,Synonym,Mammoth,Straight,Huge,Wild,Greedy,B,Select the synonym
107,1.2,Synonym,Hyperbole,Expansion,Imitation,Decoration,Exaggeration,D,Select the synonym
108,1.2,Synonym,Eulogy,Apology,Address,Speech,Praise,D,Select the synonym
109,1.2,Synonym,Menacingly,Dangerously,Threateningly,Harmfully,Hideously,B,Select the synonym
110,1.2,Synonym,Indiscriminate,Undifferentiated,Instant,Sensible,Discreet,A,Select the synonym
111,1.2,Synonym,Literal,Verbatim,Formal,Idealistic,Outdated,A,Select the synonym
112,1.2,Synonym,Intricate,Puzzling,Illusive,Complicated,Assertive,C,Select the synonym
113,1.2,Synonym,Expeditiously,Rudely,Gently,Meekly,Quickly,D,Select the synonym
