,cat_num,cat_name,Question,optA,optB,optC,optD,optE,correct
0,2.7,Time and Tense,Find the error. (Time and Tense),What does a person do,as a social worker should,be the same as what,he does as an individual.,No error,A
1,2.7,Time and Tense,Find the error. (Time and Tense),The enmity between the,two groups had reached a level,where reconciliation has,become impossible.,No error,C
2,2.7,Time and Tense,Find the error. (Time and Tense),After looking through many,advertisements Rachel decide,to buy the cheapest,brand in the market.,No error,B
3,2.7,Time and Tense,Find the error. (Time and Tense),When your uncle inquired,about your marks,"you lied to him,",have you not?,No error,D
4,2.7,Time and Tense,Find the error. (Time and Tense),I helped him,all my life,and will,help further.,No error,A
5,2.7,Time and Tense,Find the error. (Time and Tense),Patrick finished his work,just before,you came to see him,at his residence.,No error,A
6,2.7,Time and Tense,Find the error. (Time and Tense),Adam asked me,why was I angry,at his remarks,which he had not made deliberately.,No error,B
7,2.7,Time and Tense,Find the error. (Time and Tense),He was punished,on account of,"his negligence, the company suffered",heavy losses.,No error,C
8,2.7,Time and Tense,Find the error. (Time and Tense),If I would have,spoken to my father,as you spoke to me,he would have beaten me.,No error,A
9,2.7,Time and Tense,Find the error. (Time and Tense),We are quite fond,of this office,because we are living in it,for the last ten years.,No error,C
10,2.7,Time and Tense,Find the error. (Time and Tense),Md. Rashid asked the dealer,what was the price,of that bicycle and whether,it is really made in Japan.,No error,D
11,2.7,Time and Tense,Find the error. (Time and Tense),He ought,not have,done such a,filthy thing.,No error,B
12,2.7,Time and Tense,Find the error. (Time and Tense),She said that,she did not went,to her husband ,at the cost of her prestige.,No error,B
13,2.7,Time and Tense,Find the error. (Time and Tense),We could not know,why was she,so gloomy and angry,with herself.,No error,B
14,2.7,Time and Tense,Find the error. (Time and Tense),Had you told me,about the problems,I wouldn’t have involved,myself in such types of things.,No error,E
15,2.7,Time and Tense,Find the error. (Time and Tense),When Bankesh went out,he left the radio on,so that his parents shall think,that he was still in the house.,No error,C
16,2.7,Time and Tense,Find the error. (Time and Tense),The father told his son,that he was a lazy boy,and that he has done,his work very badly.,No error,C
17,2.7,Time and Tense,Find the error. (Time and Tense),He confidently asked the crowd,if they thought that,he was right,and the crowd shouted what they do.,No error,D
18,2.7,Time and Tense,Find the error. (Time and Tense),If I would have realized,what a bad driver you were,I would not have,come with you.,No error,A
19,2.7,Time and Tense,Find the error. (Time and Tense),He could succeed,in catching the ball,before it reaches,the boundary line.,No error,C
20,2.7,Time and Tense,Find the error. (Time and Tense),I alongwith my friend,have been doing,it five time,since yesterday.,No error,B
21,2.7,Time and Tense,Find the error. (Time and Tense),If only I had been,"a doctor, I would have",served the poor,without any fees.,No error,E
22,2.7,Time and Tense,Find the error. (Time and Tense),"If he spoke clearly,",I would understand,the problems and,helped him.,No error,D
23,2.7,Time and Tense,Find the error. (Time and Tense),She spends money,as though she,would be,very rich woman.,No error,C
24,2.7,Time and Tense,Find the error. (Time and Tense),I am trying to finish,this letter for the last one hour,I wish you would,go away or stop disturbing me.,No error,A
25,2.7,Time and Tense,Find the error. (Time and Tense),The criminal dares not,go out,because he is afraid of,being recognised by police.,No error,A
26,2.7,Time and Tense,Find the error. (Time and Tense),Had you have helped,me in time,I would have,got success.,No error,A
27,2.7,Time and Tense,Find the error. (Time and Tense),The question is,so complicated that,it could not be,solved immediately.,No error,C
28,2.7,Time and Tense,Find the error. (Time and Tense),The cricketers admitted,that they were practising,hard for the,last six months.,No error,B
29,2.7,Time and Tense,Find the error. (Time and Tense),The chief idea of,very common type traveller,is to see as many objects,of interest as he possibly could.,No error,D
30,2.7,Time and Tense,Find the error. (Time and Tense),I did not like,going to night college,but I had no alternative ,as I have to work in day time. ,No error,D
31,2.7,Time and Tense,Find the error. (Time and Tense),The boy who ,you saw there,made the top score,in the last match.,No error,C
32,2.7,Time and Tense,Find the error. (Time and Tense),If it were possible,to get near when,one of the volcanic eruptions take place,we should see a grand sight.,No error,C
33,2.7,Time and Tense,Find the error. (Time and Tense),Foolishly Dhananjay threw,some water on the electric heater,when it catches fire,and he got a shock.,No error,C
34,2.7,Time and Tense,Find the error. (Time and Tense),Had the train services been normal,I would have reached,the place quite well,ahead of the scheduled time.,No error,E
35,2.7,Time and Tense,Find the error. (Time and Tense),Believe me or not,I haven’t eaten any cake,since I was a child.,No error,Noopt,D
36,2.7,Time and Tense,Find the error. (Time and Tense),Ravi told me,that this was his ideal,for a long time.,No error,Noopt,B
37,2.7,Time and Tense,Find the error. (Time and Tense),I will not go,until,I finished my work.,No error,Noopt,C
38,2.7,Time and Tense,Find the error. (Time and Tense),Sanjay is writing,at the time,I visited him.,No error,Noopt,A
39,2.7,Time and Tense,Find the error. (Time and Tense),Prashant opened the box,and had taken out the gun,in a rage.,No error,Noopt,B
40,2.7,Time and Tense,Find the error. (Time and Tense),Anshu speaks,as if he knows,all about the incident.,No error,Noopt,B
41,2.7,Time and Tense,Find the error. (Time and Tense),The teacher told the class,that the earth is moving,round the sun.,No error,Noopt,B
42,2.7,Time and Tense,Find the error. (Time and Tense),"As soon as Sujeet saw the tiger,",he run,and climbed up the tree.,No error,Noopt,B
43,2.7,Time and Tense,Find the error. (Time and Tense),The teacher said to me,as soon as,“does he writes everyday and memorise the notes ?”,No error,Noopt,B
44,2.7,Time and Tense,Find the error. (Time and Tense),Payal will write to me,as soon as,she will arrive home. ,No error,Noopt,C
45,2.7,Time and Tense,Find the error. (Time and Tense),Ashley smelt,the food to know,whether it had become sour or not.,No error,Noopt,D
46,2.7,Time and Tense,Find the error. (Time and Tense),Sainky was seeing,the boy who,was playing in the ground.,No error,Noopt,A
47,2.7,Time and Tense,Find the error. (Time and Tense),Alok carried her,"about for a year before she died,",when he was a small boy.,No error,Noopt,A
48,2.7,Time and Tense,Find the error. (Time and Tense),If Deepak had been with us,from the beginning,we would be much happier.,No error,Noopt,C
49,2.7,Time and Tense,Find the error. (Time and Tense),As Pankaj was very tired,he lied on the grass,to take a rest.,No error,Noopt,D
50,2.7,Time and Tense,Find the error. (Time and Tense),I am sure about it,nobody is living,in that house,for a hundred years.,No error,B
51,2.7,Time and Tense,Find the error. (Time and Tense),Cloud hold water that,evaporates from the land or the sea;,"later, the water in clouds",returned to the land as rain or snow.,No error,D
52,2.7,Time and Tense,Find the error. (Time and Tense),Your sister has phoned,to say she will be,at home as late as she,was going for a picture.,No error,D
53,2.7,Time and Tense,Find the error. (Time and Tense),Will the bank loan,money if,I shall pledge my land?,No error,Noopt,C
54,2.7,Time and Tense,Find the error. (Time and Tense),It is time,we did something,to stop road accidents.,No error,Noopt,D
55,2.7,Time and Tense,Find the error. (Time and Tense),The science teacher,told the class,the earth revolved,round the sun.,No error,C
56,2.7,Time and Tense,Find the error. (Time and Tense),The boy have been played,in the sun,for the last five hours,without any break.,No error,A
