,cat_num,cat_name,Question,optA,optB,optC,optD,optE,correct
0,2.5,Verb,Find the error. (Verb),We have keep,our promise and,you can expect,a lost from us in future.,No error,A
1,2.5,Verb,Find the error. (Verb),Don’t offers me,any explanation now,I am not going to,accept it today.,No error,A
2,2.5,Verb,Find the error. (Verb),The book is written,in a simple and,lucid manner with a,number of well-drawned illustrations.,No error,D
3,2.5,Verb,Find the error. (Verb),Do you feel that,yesterday Rina did not sung,the poem properly,in the classroom?,No error,B
4,2.5,Verb,Find the error. (Verb),The children were,playing with a ball,and run around when,the accident occured.,No error,C
5,2.5,Verb,Find the error. (Verb),I did spoke,to Nitin yesterday,but I forgot to,mention this point.,No error,A
6,2.5,Verb,Find the error. (Verb),She had offered,a temporary assignment but,she turned it down saying that,she would accepted only a permanent one.,No error,D
7,2.5,Verb,Find the error. (Verb),All the parties,whose Presidents were asked to resign,were involve in,anti-national activities.,No error,C
8,2.5,Verb,Find the error. (Verb),I can hear,the conversation inside,but nobody is coming,to opening the door.,No error,D
9,2.5,Verb,Find the error. (Verb),He feels that,I cannot imagine,what a space station,would be looked like.,No error,D
10,2.5,Verb,Find the error. (Verb),In a group you,may found one or two,people who tend,to be extremely vocal.,No error,B
11,2.5,Verb,Find the error. (Verb),It is reliably learnt,that he will be the,next President of,our professional association.,No error,E
12,2.5,Verb,Find the error. (Verb),Despite the alarming reports,of earth tremors nearby,the workers lied the,foundation of the building. ,No error,C
13,2.5,Verb,Find the error. (Verb),She was so excitement,that she could,barely eat,a spoonful of rice.,No error,A
14,2.5,Verb,Find the error. (Verb),The competitive,edge for survival,lays,in the effective,use of information technology.,C
15,2.5,Verb,Find the error. (Verb),The author mentioned that,there were many people,who are deprived of,the minimum basic facilities.,No error,C
16,2.5,Verb,Find the error. (Verb),The proposal will be,passed with a comfortable,majority if all,the members of his group favour it.,No error,E
17,2.5,Verb,Find the error. (Verb),Generally people have not receptive,and fail to notice the,irrelevant answers they,got for straight questions.,No error,A
18,2.5,Verb,Find the error. (Verb),He ought,not have,done such a,filthy thing.,No error,B
19,2.5,Verb,Find the error. (Verb),Prachi might have,did this,with some selfish,thought in mind. ,No error,B
20,2.5,Verb,Find the error. (Verb),No sooner did,the light went,off than some,started shouting.,No error,B
21,2.5,Verb,Find the error. (Verb),Having failed to get,good marks in,her first attempt,she did never tried again.,No error,D
22,2.5,Verb,Find the error. (Verb),The truck was,heavily loaded with,sacks of grain when,it collapsed into the valley.,No error,D
23,2.5,Verb,Find the error. (Verb),The campaign launched,by the group of citizens,was admirable most,by all the guests.,No error,C
24,2.5,Verb,Find the error. (Verb),Sunil would had,got this offer,if he had,attended the interview.,No error,A
25,2.5,Verb,Find the error. (Verb),Did I not informed,you about the details of,our visit to,different work stations?,No error,A
26,2.5,Verb,Find the error. (Verb),Had they not help,him with money,he would not have,attained this position.,No error,A
27,2.5,Verb,Find the error. (Verb),Since she was not,"well yesterday, she",could not be able to,attend the office.,No error,C
28,2.5,Verb,Find the error. (Verb),If he does not completes,this assignment no,other assignment will,be given to him.,No error,A
29,2.5,Verb,Find the error. (Verb),Alok has spend,six years in Calcutta,but still he does not know,many part of the city.,No error,A
30,2.5,Verb,Find the error. (Verb),People resort to,malpractices because,they do not have faithful,in their own abilities.,No error,C
31,2.5,Verb,Find the error. (Verb),Hardly had he,threw the ball,when it fell,on the ground.,No error,B
32,2.5,Verb,Find the error. (Verb),Your application will,not be entertained,until you submit all,the certificates in original.,No error,E
33,2.5,Verb,Find the error. (Verb),He dared to,go at the,blast site so as,to save his colleagues.,No error,E
34,2.5,Verb,Find the error. (Verb),They asked the guide,whether they could,wait and watched the,pictures after sunset.,No error,C
35,2.5,Verb,Find the error. (Verb),You should,never carry tales,or told,ill of others.,No error,C
36,2.5,Verb,Find the error. (Verb),How is that,you did not told,us even about,your address and phone number ?,No error,B
37,2.5,Verb,Find the error. (Verb),He thinks that he,knows his subject well,and can taught,this to others also.,No error,C
38,2.5,Verb,Find the error. (Verb),This time election,did not had,heat and dust usually,associated with it.,No error,B
39,2.5,Verb,Find the error. (Verb),No one of,the children,has ever sang in public.,No error,Noopt,C
40,2.5,Verb,Find the error. (Verb),After he,had drank the milk,he began to feel sleepy.,No error,Noopt,B
41,2.5,Verb,Find the error. (Verb),No sooner did he,got up from bed,than he was sent.,to the dairy.,No error,B
42,2.5,Verb,Find the error. (Verb),Foolishly Madhuri threw,some water on the electric heater,when it caught fire and,she got a shock.,No error,E
43,2.5,Verb,Find the error. (Verb),Neither of the plans,suited him and therefore,he decided not to,go out yesterday.,No error,E
