,cat_num,cat_name,Question,optA,optB,optC,optD,optE,correct
0,2.8,Voice,Find the error. (Voice),The old system will be result,into heavy losses and,hence we strongly advocate,replacement with the new system.,No error,A
1,2.8,Voice,Find the error. (Voice),His dealing with other traders,had always suspected,though he was,spotlessly clean.,No error,B
2,2.8,Voice,Find the error. (Voice),We demonstrated,to them how,we were prepared,the artistic pattern.,No error,C
3,2.8,Voice,Find the error. (Voice),Tickets were,started to sold,for the morning show.,No error,Noopt,B
4,2.8,Voice,Find the error. (Voice),All the members,contributed generously,but the targeted amount,could not collect.,No error,D
5,2.8,Voice,Find the error. (Voice),Being a very fast worker,he is always liking,by all this colleagues,and superior too.,No error,B
6,2.8,Voice,Find the error. (Voice),If you do not,submit the report,in the next two days,all of us will be delay.,No error,D
7,2.8,Voice,Find the error. (Voice),The new system will be result,into heavy losses and,hence we strongly advocate,its replacement with old system.,No error,A
8,2.8,Voice,Find the error. (Voice),His dealing with other traders,had always been suspected,through he was,spotlessly clean.,No error,E
9,2.8,Voice,Find the error. (Voice),Though ban on liquor and drugs,will be led to a loss of revenue,the gain through the ban,will out weight the loss.,No error,B
10,2.8,Voice,Find the error. (Voice),The captain frightened,that his army would,be surrounded,by the enemy forces.,No error,A
11,2.8,Voice,Find the error. (Voice),You may rest assured,that Anwar knows,more than me,in this matter.,No error,A
12,2.8,Voice,Find the error. (Voice),It has been better,to keep money in a bank,than to keep it under,your bed in a suitcase.,No error,E
13,2.8,Voice,Find the error. (Voice),River water pollution,is often indicate,by,algae distribution.,No error,B
14,2.8,Voice,Find the error. (Voice),The first year of the child’s life is,characterised,in,rapid physical growth.,No error,C
15,2.8,Voice,Find the error. (Voice),Jamshedji knew that,an industrial revolution can,only brought in the country,by setting up iron and steel industry.,No error,C
16,2.8,Voice,Find the error. (Voice),Your desire to,meet the president,without prior appointment,can not be fulfil.,No error,D
17,2.8,Voice,Find the error. (Voice),"Rivers, mountains and deep forests",are the places,mostly like by,people living in urban areas.,No error,C
18,2.8,Voice,Find the error. (Voice),For giving up,"the bad habit of smoking,",use of chewing gum or,similar other method can be helped.,No error,D
19,2.8,Voice,Find the error. (Voice),According to him,"two factors which are,",needy for success,are discipline and diligence.,No error,C
20,2.8,Voice,Find the error. (Voice),The amount of foreign,direct investment in,the country in 2008 is,doubled that received in 1997.,No error,D
21,2.8,Voice,Find the error. (Voice),The Government officials will be met,heads of Commercial Banks later this week,to get their views on liquidity,and growth in deposits.,No error,A
22,2.8,Voice,Find the error. (Voice),Though he has promoted to,the bank’s board as a director,he continues to carry out,all his current responsibilities.,No error,A
23,2.8,Voice,Find the error. (Voice),Whether or not to confront,them about their role,in the matter is a decision,which is yet to take.,No error,D
24,2.8,Voice,Find the error. (Voice),As the first President,"of India, Dr. Rajendra Prasad",was known by all types,of people in the world.,No error,C
25,2.8,Voice,Find the error. (Voice),Sediment deposit along the coast,may be the primary reason for,"the change in conditions,",but a lot more remains to be understand.,No error,D
26,2.8,Voice,Find the error. (Voice),If you have made a mistake,while filling up the form,you should be informed,the income tax department immediately.,No error,C
27,2.8,Voice,Find the error. (Voice),The court has asked the authorities,to take appropriate steps to restore natural water resources,so that the water shortage problem,in the state can solve. ,No error,D
28,2.8,Voice,Find the error. (Voice),Looking into the situation,that prevailed a few years,"ago, he was taken",that decision.,No error,C
29,2.8,Voice,Find the error. (Voice),"The website, which does not",accept advertisements and is fund,"entirely by donations, describes itself ",as the fifth most popular website on the planet.,No error,B
30,2.8,Voice,Find the error. (Voice),They could have,helped him,had they approached by him,for help well in advance.,No error,C
31,2.8,Voice,Find the error. (Voice),Everyone is,impress by,his zeal,and enthusiasm.,No error,B
32,2.8,Voice,Find the error. (Voice),The chairman welcomed,all the guests and,gave an outline of the,activities performing by the company.,No error,D
33,2.8,Voice,Find the error. (Voice),You are supposed to,have been completed,this important assignment,long back.,No error,B
34,2.8,Voice,Find the error. (Voice),Systematic training is,specifically designs to,meet defined needs to develop,skills required to perform well.,No error,B
35,2.8,Voice,Find the error. (Voice),As I was to reach early,I left in train,instead of,going by bus.,No error,B
36,2.8,Voice,Find the error. (Voice),None of the players was,eager to participate,in the competition as their,demands were not meet.,No error,D
37,2.8,Voice,Find the error. (Voice),Several recommendations,have accepted and,are being implemented,in arphased manner.,No error,B
38,2.8,Voice,Find the error. (Voice),They could have,been helped him,had they been approached by him,for help well in advance.,No error,C
39,2.8,Voice,Find the error. (Voice),Everyone is,impress by,Pintoo’s zeal,and enthusiasm.,No error,B
40,2.8,Voice,Find the error. (Voice),We could not succeed,in our efforts to find out,how some people can,be made accurate prediction.,No error,D
41,2.8,Voice,Find the error. (Voice),Even at the planning stage,Mohan was quite sure,that the scheme was,binding to fall.,No error,D
42,2.8,Voice,Find the error. (Voice),The health workers are,being tried their best,to popularise,preventive measures.,No error,B
43,2.8,Voice,Find the error. (Voice),She had offered,a temporary assignment but,she turned it down saying that,she would accept only a permanent one.,No error,A
44,2.8,Voice,Find the error. (Voice),One of the men,gave first aid to,Alok who was,injured in a road accident.,No error,E
45,2.8,Voice,Find the error. (Voice),To gild,China pottery,a paint is made with gold powder and applying,with a brush.,No error,C
46,2.8,Voice,Find the error. (Voice),You will be persecuted,for bringing seeds,into Australia.,No error,Noopt,D
47,2.8,Voice,Find the error. (Voice),"Based on the newspaper reports,",we can conclude that,many accidents caused by reckless driving.,No error,Noopt,D
48,2.8,Voice,Find the error. (Voice),I have been trying,to get in touch with,Rashmi but I feel,she is gone out. ,No error,D
49,2.8,Voice,Find the error. (Voice),He demonstrated,to them how,he was prepared,the miraculous.,No error,C
50,2.8,Voice,Find the error. (Voice),The complainants in their complaint,have been alleged that,they were forced to leave,their belongings unattended.,No error,B
51,2.8,Voice,Find the error. (Voice),If they are found,"guilty during investigation,",complaint will be,lodged against them. ,No error,E
52,2.8,Voice,Find the error. (Voice),They had been hired a taxi,to roam around the city,but their plan failed,as the taxi met with an accident.,No error,A
53,2.8,Voice,Find the error. (Voice),These goods have been,damaged and as such,should be declared,unsuitable for sale.,No error,E
54,2.8,Voice,Find the error. (Voice),The list of candidates admitted,to the test should be remain,with the invigilator,during the test.,No error,B
55,2.8,Voice,Find the error. (Voice),An investor must,be taken into account,many factors before,making any financial decision. ,No error,B
