,cat_num,cat_name,Question,optA,optB,optC,optD,correct,Direction
150,2.8,Voice,The audience loudly cheered the leader’s speech.,The leader’s speech was loudly cheered by the audience.,The leader’s speech is loudly cheered by the audience there. ,The audience loudly cheered the leader for his speech. ,The speech of the leader was loudly cheered by the audience.,A,Change the voice of sentence.
151,2.8,Voice,Someone is following us,We are followed (by someone).,We are being followed (by someone). ,We were being followed (by someone).,We had been followed (by someone).,B,Change the voice of sentence.
152,2.8,Voice,He hasn’t slept in his bed. ,His bed hasn’t been slept in. ,He had not been slept in his bed. ,His bed had been slept in. ,His bed had not been slept in.,A,Change the voice of sentence.
153,2.8,Voice,I was recommended another lawyer.,Somebody recommended another lawyer. ,Somebody recommended me to another lawyer. ,Somebody recommended me another lawyer. ,Somebody recommend me another lawyer.,C,Change the voice of sentence.
154,2.8,Voice,Many a person has been saved from the man-eaters by these hunters. ,These hunters will save many a person from the man-eaters. ,These hunters save many a person from the man-eaters. ,These hunters saved many a person from the man-eaters. ,These hunters have saved many a person from the man-eaters.,D,Change the voice of sentence.
155,2.8,Voice,The work will have been completed by the time we get there. ,The work will have been completed by the time we get.,They will have completed the world by the time we get there.,The work will have completed by the time we get there.,The work will have been completed by the time we have got there.,B,Change the voice of sentence.
156,2.8,Voice,He has written a poem which fascinates everyone.,A poem has been written by him which fascinates everyone. ,Everyone is fascinated by the poem which has been written by him.,Poem written by him fascinates everyone.,Everyone fascinates the poem which is written by him.,A,Change the voice of sentence.
157,2.8,Voice,Will those happy days be ever forgotten by me ?,Will I ever forget those happy days ?,Shall I ever forgot these happy days ? ,Would I forget these happy days ? ,Ever shall I forget those happy days ?,A,Change the voice of sentence.
158,2.8,Voice,You are requested to permit him.,Please permit him.,I request you to permit me.,He requests to permit him.,I plead you to permit him.,A,Change the voice of sentence.
159,2.8,Voice,I should have met him yesterday.,He should have met by me yesterday. ,He should be meeting me yesterday. ,He should have been meeting by me yesterday. ,He should have been met by me yesterday.,D,Change the voice of sentence.
160,2.8,Voice,One could see her lying on the flowerbeds.,Flowerbeds could be seen lying on her.,She could see one lying on flowerbeds.,She could be seen lying on flowerbeds. ,She could be lying on flowerbeds seen.,C,Change the voice of sentence.
161,2.8,Voice,We expect good news.,Good news is expected by us.,Let good news be expected.,Let us expect good news. ,Expecting good news from them.,A,Change the voice of sentence.
162,2.8,Voice,My teacher gave me a journal to read. ,I was given a journal by my teacher to be read. ,A journal to read was given to me by my teacher.,A journal was given to me to read by my teacher. ,I was given a journal by my teacher to read.,D,Change the voice of sentence.
163,2.8,Voice,It is impossible to do this.,To do this is impossible.,To do this by it is impossible. ,It is impossible to have done this. ,It can’t be done.,D,Change the voice of sentence.
164,2.8,Voice,Where were they playing the cricket match ? ,Where was the cricket match played ? ,Where has the cricket match been played ? ,Where will the cricket match be played ? ,Where was the cricket match being played ?,D,Change the voice of sentence.
165,2.8,Voice,They say he can teach almost anything in this world. ,It is said that almost anything in this world can be taught by him. ,It was said that almost anything could be taught by him. ,They say almost anything could be taught by him.,They say anything almost will be taught by him.,A,Change the voice of sentence.
166,2.8,Voice,Please enter by the left door.,Let the left door be entered by you.,You are requested to enter by the left door. ,Let it be entered by the left door. ,The left door is requested to be entered.,B,Change the voice of sentence.
167,2.8,Voice,I would advise you not to get on the wrong side of your boss.,It would be advised by me not to get on the wrong side of your boss.,It would be my advice not to get on the wrong side of your boos.,You would be advised by me not to get on the wrong side of your boss.,My advice to you would be not to get on the wrong side of your boss.,C,Change the voice of sentence.
168,2.8,Voice,They have done this to defuse the crisis.,The crisis has been defused by them. ,This has been done by them so that the crisis is defused. ,This have been done by them to defuse the crisis. ,To defuse the crisis this was done by them.,B,Change the voice of sentence.
169,2.8,Voice,We make butter from milk.,Butter is make from milk by us.,Butter is made from milk by us. ,Butter is make with milk by us. ,From milk butter is made by us.,B,Change the voice of sentence.
170,2.8,Voice,I don’t like people telling me what to do.,I don’t like being told what to do. ,People telling me what to do as not like by me. ,I do not like being told by the people.,People don’t like telling me what to do.,A,Change the voice of sentence.
171,2.8,Voice,The meeting has been called off by the chairman.,The chairman called off the meeting. ,The chairman has called off the meeting. ,The chairman is calling off the meeting.,The chairman had called off the meeting.,B,Change the voice of sentence.
172,2.8,Voice,The police arrested 100 students on the University campus.,100 students had been arrested on the University campus by the police. ,100 students has been arrested by the police on the University campus. ,100 students were arrested by the police on the University campus. ,100 students are arrested on the University campus by the police.,C,Change the voice of sentence.
173,2.8,Voice,Why do you like him so much ?,Why has he been liked so much by you ?,Why was he liked by you so much ?,Why is he liked by you so much ?,Why he is liked by you so much ?,C,Change the voice of sentence.
174,2.8,Voice,Open the door.,The door must be opened.,The door will be opened. ,The door is opened.,Let the door be opened.,D,Change the voice of sentence.
175,2.8,Voice,I did not trust anybody. ,Nobody was trusted by me.,Anybody had been trusted by me. ,Nobody would be trusted by me. ,Nobody has been trusted by me.,A,Change the voice of sentence.
176,2.8,Voice,Did he remember the date and time ?,Are the date and time remembered by him ? ,Was he remembering the date and time ? ,Were the date and time remembered by him ?,Did the date and time be remembered by him ?,C,Change the voice of sentence.
177,2.8,Voice,The boys were digging a hole in the ground.,A hole had been dug in the ground by the boys. ,"In the ground, the boys dug a hole. ",A hole in the ground has been dug by the boys. ,A hole was being dug by the boys in the ground.,D,Change the voice of sentence.
178,2.8,Voice,We must now deal with these problems.,These problems must now be dealt with by us. ,These problems must now be dealing with by us.,These problems must now deal with by us. ,These problems are to be dealt with by us.,A,Change the voice of sentence.
179,2.8,Voice,Must we cut this tree ? ,Must this tree will cut ? ,Must this tree be cut ?,Must this tree was cut ?,Must this tree is cut ?,B,Change the voice of sentence.
180,2.8,Voice,You will be well looked after.,They will look after you well.,They can look after you well.,They may look after you well. ,They shall look after you well.,A,Change the voice of sentence.
181,2.8,Voice,Didn’t they tell you to be here by ten O’clock ?,Weren’t you told to be here by ten O’clock ?,Haven’t they told you to be here by ten O’clock ?,You were expected to be here by ten O’clock ?,They expected you to be here by ten O’clock ?,A,Change the voice of sentence.
182,2.8,Voice,Don’t touch this switch.,This switch does not be touched.,This switch must not be touched.,This switch don’t be touched.,This switch need not be touched.,C,Change the voice of sentence.
183,2.8,Voice,One cannot gather grapes from thistles.,Thistles cannot be gathered from grapes.,Grapes cannot be gathered from thistles.,Grapes and thistles cannot be gathered by one.,Grapes cannot be gathered by them.,B,Change the voice of sentence.
184,2.8,Voice,The fur coats were imported from Sweden by us.,Sweden imported the fur coats.,Sweden was imported the fur coats.,We imported the fur coats from Sweden.,We had imported the fur coats from Sweden.,C,Change the voice of sentence.
185,2.8,Voice,We understand that he opposes our views. ,It is understood by us that he opposes our views. ,"That he opposes our views, is understood by us.",That our views are opposed is understood by us.,"Our views are opposed, that is understood by us.",A,Change the voice of sentence.
186,2.8,Voice,Decisions must be taken. ,Decisions should be taken.,We must take decisions. ,It is good to take decisions. ,We should take decisions.,B,Change the voice of sentence.
187,2.8,Voice,You can all buy your tickets at this counter.,All your tickets can be bought at this counter by you.,Your ticket can be bought at this counter by you. ,All tickets are bought by you at this counter. ,Your tickets can be bought by all of you at this counter.,D,Change the voice of sentence.
188,2.8,Voice,Room was cleaned.,The cleaner cleaned the room.,The room should be cleaned. ,I cleaned the room. ,Someone cleaned the room.,D,Change the voice of sentence.
189,2.8,Voice,Physically challenged people should not be laughed at by the public.,Physically challenged people should not laugh at the public.,The public will not be laughing at physically challenged people. ,The public shall not be laughing at physically challenged people. ,The public should not laugh at physically challenged people.,D,Change the voice of sentence.
190,2.8,Voice,He decided to sell the car.,It was decided that the car should be sold. ,The decision was made by him to sell the car.,The decision that the car must be sold was made by him. ,He decided that the car should be sold.,D,Change the voice of sentence.
191,2.8,Voice,Can we send the parcel tomorrow ?,Can be the parcel sent by us tomorrow ?,Can we be sent the parcel tomorrow ?,Can the parcel be sent by us tomorrow ?,Can the parcel sent by us tomorrow ?,C,Change the voice of sentence.
192,2.8,Voice,A detective arrested him as soon as he got home. ,An arrest was made by a detective as soon as he go home. ,He was arrested by a detective as soon as he got home. ,A detective was arrested by him as soon as he got home. ,An arrest was detected by him as soon as he got home.,B,Change the voice of sentence.
193,2.8,Voice,They cooked the food and sent it to the orphanage.,The cooked food was sent to the orphanage by them.,The food was cooked and sent to the orphanage by them. ,The food was sent to the orphanage by them. ,The food was cooked and sent by them.,B,Change the voice of sentence.
194,2.8,Voice,I have bought a new car. ,A new car was bought by me. ,A new car is bought by me. ,A new car has been bought by me. ,A new car had been bought by me.,C,Change the voice of sentence.
195,2.8,Voice,Teachers might have given their students some concessions. ,Their students might have given some concessions to their teachers. ,Their students might be given some concessions by their teachers. ,Their students might be giving some concessions to their students.,Students might have been given some concessions by their teachers.,D,Change the voice of sentence.
196,2.8,Voice,You should not offer meat to vegetarians.,Vegetarians should not be offered meat.,Meat should be offered to non-vegetarians. ,Vegetarians should not offer meat. ,You should offer no meat to non-vegetarians.,A,Change the voice of sentence.
197,2.8,Voice,You must write off all those bad debts.,You must be written off by all those bad debts.,All those bad debts must be written off by you. ,Write off all those bad debts.,All those bad debts could be written of.,B,Change the voice of sentence.
198,2.8,Voice,Are they receiving the chief guest at the station ?,Was the chief guest being received at the station ?,Is the chief guest being received at the station ? ,Will they be received by the chief guest at the station ?,Will the chief guest be received at the station ?,B,Change the voice of sentence.
199,2.8,Voice,The Principal will meet the students this evening.,The students will be met by the Principal this evening. ,The students could be met by the Principal this evening. ,The students would be met by the Principal this evening. ,The students will be meeting the Principal this evening.,A,Change the voice of sentence.
200,2.8,Voice,The Chief Justice of India is appointed by the President. ,The President of India appointed the Chief Justice. ,The President appoints the Chief Justice of India. ,The President appointed the Chief Justice of India. ,The appointment order of the Chief Justice of India was given by the President.,B,Change the voice of sentence.
201,2.8,Voice,A meeting was convened by the Principal. ,The Principal convened a meeting. ,The Principal was convening a meeting.,The Principal has convened a meeting.,The Principal is convening a meeting.,A,Change the voice of sentence.
202,2.8,Voice,Someone has stolen my suitcase. ,My suitcase is stolen by someone. ,Someone has been stolen my suitcase.,My suitcase has someone been stolen.,My suitcase has been stolen by someone.,D,Change the voice of sentence.
203,2.8,Voice,Navneet is interviewing Radhika and Sarad Kumar.,Radhika and Sarad Kumar are being interviewed by Navneet.,Radhika and Sarad Kumar are interviewing Navneet. ,Radhika and Sarad Kumar were interviewed by Navneet.,Radhika is being interviewed by Sarad Kumar and Navneet.,A,Change the voice of sentence.
204,2.8,Voice,The loan will be sanctioned by the bank. ,The bank sanctioned the loan. ,The bank is going to sanction the loan. ,The bank would sanction be loan. ,The bank will sanction the loan.,D,Change the voice of sentence.
205,2.8,Voice,Paint the windows. ,Windows must be painted. ,Let the windows be painted. ,Let be the windows painted. ,Windows are let to be painted.,B,Change the voice of sentence.
206,2.8,Voice,The traitors should be shot dead. ,They should have shot the traitors dead. ,They shall shoot the traitors dead. ,They should shoot the traitors dead. ,They shot the traitors dead.,C,Change the voice of sentence.
207,2.8,Voice,Sudhir is teaching the children in the slum areas.,The children in the slum areas are taught by Sudhir.,The children are taught by Sudhir in the slum area. ,In the slum areas the children are learning from Sudhir. ,The children in the slum areas are being taught by Sudhir.,D,Change the voice of sentence.
