,correct,QuestionLink,optA,optB,optC,optD,usedFor ,lang,category,source
1,a,https://i.imgur.com/L1pSNno.png,A,B,C,D,SSC,Bi,1.1,SSCMaths
2,a,https://i.imgur.com/ErAglvs.png,A,B,C,D,SSC,Bi,1.1,SSCMaths
3,c,https://i.imgur.com/r5hjZ5S.png,A,B,C,D,SSC,Bi,1.1,SSCMaths
5,b,https://i.imgur.com/mY4VQ2B.png,A,B,C,D,SSC,Bi,1.1,SSCMaths
6,b,https://i.imgur.com/tD1nJ8K.png,A,B,C,D,SSC,Bi,1.1,SSCMaths
7,a,https://i.imgur.com/jVLOZct.png,A,B,C,D,SSC,Bi,1.1,SSCMaths
8,d,https://i.imgur.com/3j5uXK3.png,A,B,C,D,SSC,Bi,1.1,SSCMaths
9,d,https://i.imgur.com/tZQ3egq.png,A,B,C,D,SSC,Bi,1.1,SSCMaths
10,b,https://i.imgur.com/ueJ9a97.png,A,B,C,D,SSC,Bi,1.1,SSCMaths
12,a,https://i.imgur.com/35NtxZU.png,A,B,C,D,SSC,Bi,1.1,SSCMaths
13,c,https://i.imgur.com/ZQctrJg.png,A,B,C,D,SSC,Bi,1.1,SSCMaths
14,c,https://i.imgur.com/UcNqZlT.png,A,B,C,D,SSC,Bi,1.1,SSCMaths
15,d,https://i.imgur.com/No3n8E0.png,A,B,C,D,SSC,Bi,1.1,SSCMaths
16,a,https://i.imgur.com/ioPtwpV.png,A,B,C,D,SSC,Bi,1.1,SSCMaths
17,d,https://i.imgur.com/nVOCVQX.png,A,B,C,D,SSC,Bi,1.1,SSCMaths
18,c,https://i.imgur.com/ZQnE0iE.png,A,B,C,D,SSC,Bi,1.1,SSCMaths
19,b,https://i.imgur.com/VqoRrFL.png,A,B,C,D,SSC,Bi,1.1,SSCMaths
