,correct,QuestionLink,optA,optB,optC,optD,usedFor ,lang,category
1,a,https://i.imgur.com/8pYCuvB.png,A,B,C,D,SSC,Bi,2.1
2,c,https://i.imgur.com/XWiCscw.png,A,B,C,D,SSC,Bi,2.1
3,a,https://i.imgur.com/sTUWEVF.png,A,B,C,D,SSC,Bi,2.1
5,c,https://i.imgur.com/N5t9XyU.png,A,B,C,D,SSC,Bi,2.1
6,a,https://i.imgur.com/JLfuYG9.png,A,B,C,D,SSC,Bi,2.1
8,d,https://i.imgur.com/Wx6jS8F.png,A,B,C,D,SSC,Bi,2.1
9,d,https://i.imgur.com/p3wkJQI.png,A,B,C,D,SSC,Bi,2.1
10,c,https://i.imgur.com/8I9r94E.png,A,B,C,D,SSC,Bi,2.1
11,b,https://i.imgur.com/t6GHRVT.png,A,B,C,D,SSC,Bi,2.1
13,b,https://i.imgur.com/ykncKDi.png,A,B,C,D,SSC,Bi,2.1
14,a,https://i.imgur.com/7Ec3IMs.png,A,B,C,D,SSC,Bi,2.1
15,a,https://i.imgur.com/YodT5Kv.png,A,B,C,D,SSC,Bi,2.1
16,d,https://i.imgur.com/m1sb7os.png,A,B,C,D,SSC,Bi,2.1
18,c,https://i.imgur.com/xUIxixg.png,A,B,C,D,SSC,Bi,2.1
19,c,https://i.imgur.com/oZ9LCjl.png,A,B,C,D,SSC,Bi,2.1
20,d,https://i.imgur.com/9OxMWcf.png,A,B,C,D,SSC,Bi,2.1
21,b,https://i.imgur.com/cffvvJL.png,A,B,C,D,SSC,Bi,2.1
23,c,https://i.imgur.com/pBYnQtV.png,A,B,C,D,SSC,Bi,2.1
24,a,https://i.imgur.com/nqy5PA0.png,A,B,C,D,SSC,Bi,2.1
25,c,https://i.imgur.com/S5EIKBf.png,A,B,C,D,SSC,Bi,2.1
