,correct,QuestionLink,optA,optB,optC,optD,usedFor ,lang,category
1,a,https://i.imgur.com/0ME3gU0.png,A,B,C,D,SSC,Bi,4.1
2,b,https://i.imgur.com/cCgunh7.png,A,B,C,D,SSC,Bi,4.1
3,d,https://i.imgur.com/Kp6MzLT.png,A,B,C,D,SSC,Bi,4.1
4,a,https://i.imgur.com/szGOqbO.png,A,B,C,D,SSC,Bi,4.1
6,b,https://i.imgur.com/0OldDtW.png,A,B,C,D,SSC,Bi,4.1
7,b,https://i.imgur.com/4frroEo.png,A,B,C,D,SSC,Bi,4.1
9,a,https://i.imgur.com/GWgy9W6.png,A,B,C,D,SSC,Bi,4.1
10,a,https://i.imgur.com/52eZIfu.png,A,B,C,D,SSC,Bi,4.1
11,d,https://i.imgur.com/McuHLfU.png,A,B,C,D,SSC,Bi,4.1
12,b,https://i.imgur.com/nPaHOiG.png,A,B,C,D,SSC,Bi,4.1
14,c,https://i.imgur.com/gfBsYNE.png,A,B,C,D,SSC,Bi,4.1
15,d,https://i.imgur.com/lWBFqw0.png,A,B,C,D,SSC,Bi,4.1
16,c,https://i.imgur.com/qse8xP3.png,A,B,C,D,SSC,Bi,4.1
17,b,https://i.imgur.com/oW5obyB.png,A,B,C,D,SSC,Bi,4.1
19,a,https://i.imgur.com/RHuR5jh.png,A,B,C,D,SSC,Bi,4.1
20,b,https://i.imgur.com/veNsRJT.png,A,B,C,D,SSC,Bi,4.1
21,b,https://i.imgur.com/dEpuCKC.png,A,B,C,D,SSC,Bi,4.1
22,d,https://i.imgur.com/rHCgbXa.png,A,B,C,D,SSC,Bi,4.1
24,b,https://i.imgur.com/6kUhF3z.png,A,B,C,D,SSC,Bi,4.1
25,a,https://i.imgur.com/vk32rqR.png,A,B,C,D,SSC,Bi,4.1
26,d,https://i.imgur.com/fDLH5z4.png,A,B,C,D,SSC,Bi,4.1
27,c,https://i.imgur.com/9TbHVHm.png,A,B,C,D,SSC,Bi,4.1
28,b,https://i.imgur.com/VA1MoZb.png,A,B,C,D,SSC,Bi,4.1
30,d,https://i.imgur.com/cmL8ABE.png,A,B,C,D,SSC,Bi,4.1
31,b,https://i.imgur.com/ElECIGq.png,A,B,C,D,SSC,Bi,4.1
32,d,https://i.imgur.com/Xij6WKQ.png,A,B,C,D,SSC,Bi,4.1
33,b,https://i.imgur.com/D8uNvLF.png,A,B,C,D,SSC,Bi,4.1
34,b,https://i.imgur.com/667nQ5j.png,A,B,C,D,SSC,Bi,4.1
35,b,https://i.imgur.com/klIet3D.png,A,B,C,D,SSC,Bi,4.1
37,d,https://i.imgur.com/oJCnhxi.png,A,B,C,D,SSC,Bi,4.1
38,c,https://i.imgur.com/FNe7jiu.png,A,B,C,D,SSC,Bi,4.1
39,c,https://i.imgur.com/FdQLtC7.png,A,B,C,D,SSC,Bi,4.1
40,d,https://i.imgur.com/CQPuQF8.png,A,B,C,D,SSC,Bi,4.1
41,a,https://i.imgur.com/wqp1aC8.png,A,B,C,D,SSC,Bi,4.1
43,b,https://i.imgur.com/MSlcyEH.png,A,B,C,D,SSC,Bi,4.1
44,c,https://i.imgur.com/IUdROa2.png,A,B,C,D,SSC,Bi,4.1
45,b,https://i.imgur.com/piiz9ge.png,A,B,C,D,SSC,Bi,4.1
46,d,https://i.imgur.com/PR3tfo3.png,A,B,C,D,SSC,Bi,4.1
48,d,https://i.imgur.com/DCsE3rf.png,A,B,C,D,SSC,Bi,4.1
49,b,https://i.imgur.com/xpUkzdA.png,A,B,C,D,SSC,Bi,4.1
50,c,https://i.imgur.com/wP64Ptt.png,A,B,C,D,SSC,Bi,4.1
51,d,https://i.imgur.com/TMAY1JH.png,A,B,C,D,SSC,Bi,4.1
53,c,https://i.imgur.com/qaGyPM6.png,A,B,C,D,SSC,Bi,4.1
54,c,https://i.imgur.com/6Kt200I.png,A,B,C,D,SSC,Bi,4.1
55,b,https://i.imgur.com/OlpZgKp.png,A,B,C,D,SSC,Bi,4.1
56,a,https://i.imgur.com/8x9tP8R.png,A,B,C,D,SSC,Bi,4.1
58,c,https://i.imgur.com/3fICKnV.png,A,B,C,D,SSC,Bi,4.1
59,a,https://i.imgur.com/1ofk39m.png,A,B,C,D,SSC,Bi,4.1
60,d,https://i.imgur.com/PEf8C8G.png,A,B,C,D,SSC,Bi,4.1
61,c,https://i.imgur.com/xXnRgNy.png,A,B,C,D,SSC,Bi,4.1
63,d,https://i.imgur.com/vHoWZoi.png,A,B,C,D,SSC,Bi,4.1
64,c,https://i.imgur.com/L9kgfO7.png,A,B,C,D,SSC,Bi,4.1
65,c,https://i.imgur.com/mDWy6oC.png,A,B,C,D,SSC,Bi,4.1
66,d,https://i.imgur.com/ls6qJlF.png,A,B,C,D,SSC,Bi,4.1
68,c,https://i.imgur.com/lTDXFAh.png,A,B,C,D,SSC,Bi,4.1
69,c,https://i.imgur.com/0qp18bN.png,A,B,C,D,SSC,Bi,4.1
70,d,https://i.imgur.com/OpSn8Zk.png,A,B,C,D,SSC,Bi,4.1
71,b,https://i.imgur.com/b2zuVzF.png,A,B,C,D,SSC,Bi,4.1
73,b,https://i.imgur.com/JtYS9Mw.png,A,B,C,D,SSC,Bi,4.1
74,c,https://i.imgur.com/gpFkQfz.png,A,B,C,D,SSC,Bi,4.1
75,c,https://i.imgur.com/VZDkaIb.png,A,B,C,D,SSC,Bi,4.1
77,c,https://i.imgur.com/OjZezYl.png,A,B,C,D,SSC,Bi,4.1
78,b,https://i.imgur.com/a17odMq.png,A,B,C,D,SSC,Bi,4.1
79,c,https://i.imgur.com/up7CL7J.png,A,B,C,D,SSC,Bi,4.1
80,a,https://i.imgur.com/IA7aQbt.png,A,B,C,D,SSC,Bi,4.1
82,c,https://i.imgur.com/FrhvFXs.png,A,B,C,D,SSC,Bi,4.1
83,a,https://i.imgur.com/nuLOKok.png,A,B,C,D,SSC,Bi,4.1
84,d,https://i.imgur.com/qNZGpF5.png,A,B,C,D,SSC,Bi,4.1
85,c,https://i.imgur.com/DlX3Fcy.png,A,B,C,D,SSC,Bi,4.1
86,c,https://i.imgur.com/Hi2YgtM.png,A,B,C,D,SSC,Bi,4.1
87,c,https://i.imgur.com/gFmbmkG.png,A,B,C,D,SSC,Bi,4.1
88,b,https://i.imgur.com/LeGzrMk.png,A,B,C,D,SSC,Bi,4.1
89,a,https://i.imgur.com/1J5dfmB.png,A,B,C,D,SSC,Bi,4.1
91,b,https://i.imgur.com/lQ93rZg.png,A,B,C,D,SSC,Bi,4.1
92,a,https://i.imgur.com/Ar3iEIf.png,A,B,C,D,SSC,Bi,4.1
94,b,https://i.imgur.com/jj5srUa.png,A,B,C,D,SSC,Bi,4.1
96,b,https://i.imgur.com/kQ45dON.png,A,B,C,D,SSC,Bi,4.1
97,c,https://i.imgur.com/r6qF5oQ.png,A,B,C,D,SSC,Bi,4.1
98,a,https://i.imgur.com/2dRmv84.png,A,B,C,D,SSC,Bi,4.1
99,a,https://i.imgur.com/PUiKJVy.png,A,B,C,D,SSC,Bi,4.1
101,d,https://i.imgur.com/NXOuhat.png,A,B,C,D,SSC,Bi,4.1
102,c,https://i.imgur.com/10DnY5H.png,A,B,C,D,SSC,Bi,4.1
103,a,https://i.imgur.com/6bHlZVR.png,A,B,C,D,SSC,Bi,4.1
104,a,https://i.imgur.com/b2M5bK5.png,A,B,C,D,SSC,Bi,4.1
105,b,https://i.imgur.com/lPxjYY2.png,A,B,C,D,SSC,Bi,4.1
106,c,https://i.imgur.com/pdjukXE.png,A,B,C,D,SSC,Bi,4.1
107,d,https://i.imgur.com/uVcu55r.png,A,B,C,D,SSC,Bi,4.1
108,b,https://i.imgur.com/0GjJrgo.png,A,B,C,D,SSC,Bi,4.1
109,d,https://i.imgur.com/o8W9EWF.png,A,B,C,D,SSC,Bi,4.1
110,b,https://i.imgur.com/5Iz8WEC.png,A,B,C,D,SSC,Bi,4.1
