,correct,QuestionLink,optA,optB,optC,optD,usedFor ,lang,category
1,a,https://i.imgur.com/i6Ascw0.png,A,B,C,D,SSC,Bi,5.1
2,b,https://i.imgur.com/uOf6AT0.png,A,B,C,D,SSC,Bi,5.1
3,b,https://i.imgur.com/RucBUdl.png,A,B,C,D,SSC,Bi,5.1
4,b,https://i.imgur.com/EnjaoMq.png,A,B,C,D,SSC,Bi,5.1
6,a,https://i.imgur.com/FVc9ScJ.png,A,B,C,D,SSC,Bi,5.1
7,b,https://i.imgur.com/EAHKBuI.png,A,B,C,D,SSC,Bi,5.1
8,a,https://i.imgur.com/CJv0FhC.png,A,B,C,D,SSC,Bi,5.1
10,b,https://i.imgur.com/vxSwIMr.png,A,B,C,D,SSC,Bi,5.1
11,c,https://i.imgur.com/aS5LEQv.png,A,B,C,D,SSC,Bi,5.1
12,c,https://i.imgur.com/pW1qKl6.png,A,B,C,D,SSC,Bi,5.1
13,c,https://i.imgur.com/BJLlQCl.png,A,B,C,D,SSC,Bi,5.1
14,c,https://i.imgur.com/UDSd1qF.png,A,B,C,D,SSC,Bi,5.1
15,c,https://i.imgur.com/p78ByOr.png,A,B,C,D,SSC,Bi,5.1
16,c,https://i.imgur.com/KnIMmHb.png,A,B,C,D,SSC,Bi,5.1
