,correct,QuestionLink,optA,optB,optC,optD,usedFor ,lang,category
1,a,https://i.imgur.com/CS2BaNk.png,A,B,C,D,SSC,Bi,6.1
2,d,https://i.imgur.com/Th8oye5.png,A,B,C,D,SSC,Bi,6.1
3,c,https://i.imgur.com/EbJjXsZ.png,A,B,C,D,SSC,Bi,6.1
4,b,https://i.imgur.com/GBdMrJN.png,A,B,C,D,SSC,Bi,6.1
6,b,https://i.imgur.com/5yyd5xa.png,A,B,C,D,SSC,Bi,6.1
7,c,https://i.imgur.com/wdjyIL8.png,A,B,C,D,SSC,Bi,6.1
8,b,https://i.imgur.com/QQnfdUT.png,A,B,C,D,SSC,Bi,6.1
10,b,https://i.imgur.com/xn2r3q9.png,A,B,C,D,SSC,Bi,6.1
11,a,https://i.imgur.com/BFX5h2g.png,A,B,C,D,SSC,Bi,6.1
12,d,https://i.imgur.com/BcpZwIX.png,A,B,C,D,SSC,Bi,6.1
13,c,https://i.imgur.com/QKOerma.png,A,B,C,D,SSC,Bi,6.1
14,b,https://i.imgur.com/9z2B26o.png,A,B,C,D,SSC,Bi,6.1
15,b,https://i.imgur.com/xGKDS8m.png,A,B,C,D,SSC,Bi,6.1
17,c,https://i.imgur.com/qtUKa8Z.png,A,B,C,D,SSC,Bi,6.1
18,d,https://i.imgur.com/gawu73P.png,A,B,C,D,SSC,Bi,6.1
19,b,https://i.imgur.com/14cKYAk.png,A,B,C,D,SSC,Bi,6.1
21,b,https://i.imgur.com/2k133s9.png,A,B,C,D,SSC,Bi,6.1
22,a,https://i.imgur.com/46QQrEe.png,A,B,C,D,SSC,Bi,6.1
23,a,https://i.imgur.com/RajnzZG.png,A,B,C,D,SSC,Bi,6.1
24,a,https://i.imgur.com/7WZxpwr.png,A,B,C,D,SSC,Bi,6.1
26,a,https://i.imgur.com/EMUucnw.png,A,B,C,D,SSC,Bi,6.1
27,d,https://i.imgur.com/SMMfaes.png,A,B,C,D,SSC,Bi,6.1
28,a,https://i.imgur.com/xcgpPSu.png,A,B,C,D,SSC,Bi,6.1
29,d,https://i.imgur.com/KtNwVoS.png,A,B,C,D,SSC,Bi,6.1
31,c,https://i.imgur.com/y7vplN6.png,A,B,C,D,SSC,Bi,6.1
32,b,https://i.imgur.com/4LgVYbv.png,A,B,C,D,SSC,Bi,6.1
33,c,https://i.imgur.com/hwvj88R.png,A,B,C,D,SSC,Bi,6.1
34,c,https://i.imgur.com/YJQDL5k.png,A,B,C,D,SSC,Bi,6.1
36,d,https://i.imgur.com/JuyXiUE.png,A,B,C,D,SSC,Bi,6.1
37,d,https://i.imgur.com/XCtezk1.png,A,B,C,D,SSC,Bi,6.1
38,c,https://i.imgur.com/JGhraJQ.png,A,B,C,D,SSC,Bi,6.1
39,c,https://i.imgur.com/mlDC4rD.png,A,B,C,D,SSC,Bi,6.1
40,a,https://i.imgur.com/n8MBfyu.png,A,B,C,D,SSC,Bi,6.1
42,d,https://i.imgur.com/zkF4OlI.png,A,B,C,D,SSC,Bi,6.1
43,a,https://i.imgur.com/mEbs8AQ.png,A,B,C,D,SSC,Bi,6.1
44,c,https://i.imgur.com/iklosz4.png,A,B,C,D,SSC,Bi,6.1
45,c,https://i.imgur.com/c5ckUiW.png,A,B,C,D,SSC,Bi,6.1
47,c,https://i.imgur.com/DG6Fgeq.png,A,B,C,D,SSC,Bi,6.1
48,a,https://i.imgur.com/4yNdBup.png,A,B,C,D,SSC,Bi,6.1
49,a,https://i.imgur.com/nqRGFib.png,A,B,C,D,SSC,Bi,6.1
50,a,https://i.imgur.com/GBSmsHF.png,A,B,C,D,SSC,Bi,6.1
52,a,https://i.imgur.com/6cJNDlU.png,A,B,C,D,SSC,Bi,6.1
53,b,https://i.imgur.com/0OV97vK.png,A,B,C,D,SSC,Bi,6.1
54,d,https://i.imgur.com/Ajo2DBx.png,A,B,C,D,SSC,Bi,6.1
55,d,https://i.imgur.com/yF1h35i.png,A,B,C,D,SSC,Bi,6.1
56,b,https://i.imgur.com/baIlZhD.png,A,B,C,D,SSC,Bi,6.1
57,b,https://i.imgur.com/0klxSxS.png,A,B,C,D,SSC,Bi,6.1
58,b,https://i.imgur.com/2ExSzR2.png,A,B,C,D,SSC,Bi,6.1
59,a,https://i.imgur.com/K1DnTuY.png,A,B,C,D,SSC,Bi,6.1
60,c,https://i.imgur.com/DSXWfKD.png,A,B,C,D,SSC,Bi,6.1
61,d,https://i.imgur.com/JdfQnlD.png,A,B,C,D,SSC,Bi,6.1
62,b,https://i.imgur.com/rDMtXhG.png,A,B,C,D,SSC,Bi,6.1
