,correct,QuestionLink,optA,optB,optC,optD,usedFor ,lang,category
1,a,https://i.imgur.com/3fjXFeM.png,A,B,C,D,SSC,Bi,7.1
2,c,https://i.imgur.com/d4qVWBp.png,A,B,C,D,SSC,Bi,7.1
3,b,https://i.imgur.com/NuR1EGu.png,A,B,C,D,SSC,Bi,7.1
4,b,https://i.imgur.com/HIgmEtD.png,A,B,C,D,SSC,Bi,7.1
5,b,https://i.imgur.com/1nlnMW8.png,A,B,C,D,SSC,Bi,7.1
6,a,https://i.imgur.com/r0Cdqwg.png,A,B,C,D,SSC,Bi,7.1
7,a,https://i.imgur.com/84URXSF.png,A,B,C,D,SSC,Bi,7.1
9,a,https://i.imgur.com/h37Fd1N.png,A,B,C,D,SSC,Bi,7.1
10,a,https://i.imgur.com/Kj1f0iY.png,A,B,C,D,SSC,Bi,7.1
11,c,https://i.imgur.com/ALkoijo.png,A,B,C,D,SSC,Bi,7.1
12,b,https://i.imgur.com/FyXjBRm.png,A,B,C,D,SSC,Bi,7.1
13,c,https://i.imgur.com/ZaE5n0u.png,A,B,C,D,SSC,Bi,7.1
15,a,https://i.imgur.com/HxWd6Sq.png,A,B,C,D,SSC,Bi,7.1
16,b,https://i.imgur.com/mqpeoim.png,A,B,C,D,SSC,Bi,7.1
17,c,https://i.imgur.com/wZTOahV.png,A,B,C,D,SSC,Bi,7.1
19,d,https://i.imgur.com/0AfKezg.png,A,B,C,D,SSC,Bi,7.1
20,a,https://i.imgur.com/X3UDKcp.png,A,B,C,D,SSC,Bi,7.1
21,d,https://i.imgur.com/czQ9PBj.png,A,B,C,D,SSC,Bi,7.1
22,b,https://i.imgur.com/usomkja.png,A,B,C,D,SSC,Bi,7.1
23,c,https://i.imgur.com/66TwPpR.png,A,B,C,D,SSC,Bi,7.1
24,a,https://i.imgur.com/Dt1GL2U.png,A,B,C,D,SSC,Bi,7.1
25,c,https://i.imgur.com/tHPMbFW.png,A,B,C,D,SSC,Bi,7.1
26,a,https://i.imgur.com/tNsR3PT.png,A,B,C,D,SSC,Bi,7.1
28,c,https://i.imgur.com/y8YwSyS.png,A,B,C,D,SSC,Bi,7.1
29,d,https://i.imgur.com/CjnS7k1.png,A,B,C,D,SSC,Bi,7.1
30,a,https://i.imgur.com/Ib0sS7w.png,A,B,C,D,SSC,Bi,7.1
31,a,https://i.imgur.com/6btmQEm.png,A,B,C,D,SSC,Bi,7.1
33,a,https://i.imgur.com/6SOhFcs.png,A,B,C,D,SSC,Bi,7.1
34,a,https://i.imgur.com/IK3u1yu.png,A,B,C,D,SSC,Bi,7.1
35,c,https://i.imgur.com/cq28SRu.png,A,B,C,D,SSC,Bi,7.1
36,b,https://i.imgur.com/33TLp5L.png,A,B,C,D,SSC,Bi,7.1
37,d,https://i.imgur.com/Xdz5jjd.png,A,B,C,D,SSC,Bi,7.1
39,d,https://i.imgur.com/oSJgjMe.png,A,B,C,D,SSC,Bi,7.1
40,b,https://i.imgur.com/ouZceTt.png,A,B,C,D,SSC,Bi,7.1
41,a,https://i.imgur.com/g7plR0W.png,A,B,C,D,SSC,Bi,7.1
42,b,https://i.imgur.com/z0kZezN.png,A,B,C,D,SSC,Bi,7.1
44,a,https://i.imgur.com/fGv1jKV.png,A,B,C,D,SSC,Bi,7.1
45,a,https://i.imgur.com/5bY1lCt.png,A,B,C,D,SSC,Bi,7.1
46,b,https://i.imgur.com/DAd7WtY.png,A,B,C,D,SSC,Bi,7.1
48,a,https://i.imgur.com/rPBJYor.png,A,B,C,D,SSC,Bi,7.1
49,b,https://i.imgur.com/xO8AVhQ.png,A,B,C,D,SSC,Bi,7.1
50,c,https://i.imgur.com/YXG61JS.png,A,B,C,D,SSC,Bi,7.1
51,c,https://i.imgur.com/vfuBToe.png,A,B,C,D,SSC,Bi,7.1
52,b,https://i.imgur.com/VsYJTtB.png,A,B,C,D,SSC,Bi,7.1
53,d,https://i.imgur.com/zhr24cJ.png,A,B,C,D,SSC,Bi,7.1
54,d,https://i.imgur.com/4e8hHHI.png,A,B,C,D,SSC,Bi,7.1
55,b,https://i.imgur.com/lH0qpMH.png,A,B,C,D,SSC,Bi,7.1
56,c,https://i.imgur.com/bsPqyqr.png,A,B,C,D,SSC,Bi,7.1
57,d,https://i.imgur.com/BkBgrws.png,A,B,C,D,SSC,Bi,7.1
58,c,https://i.imgur.com/8rw4EqY.png,A,B,C,D,SSC,Bi,7.1
59,c,https://i.imgur.com/ZLMBWca.png,A,B,C,D,SSC,Bi,7.1
60,b,https://i.imgur.com/l43Q7b0.png,A,B,C,D,SSC,Bi,7.1
62,b,https://i.imgur.com/QR2fAda.png,A,B,C,D,SSC,Bi,7.1
63,d,https://i.imgur.com/OE66x1u.png,A,B,C,D,SSC,Bi,7.1
64,c,https://i.imgur.com/xKdZq6j.png,A,B,C,D,SSC,Bi,7.1
65,c,https://i.imgur.com/vSDrzI0.png,A,B,C,D,SSC,Bi,7.1
66,b,https://i.imgur.com/b1SpYWv.png,A,B,C,D,SSC,Bi,7.1
67,a,https://i.imgur.com/ES4GbFt.png,A,B,C,D,SSC,Bi,7.1
68,c,https://i.imgur.com/fY5V08R.png,A,B,C,D,SSC,Bi,7.1
69,a,https://i.imgur.com/2jowHKs.png,A,B,C,D,SSC,Bi,7.1
71,d,https://i.imgur.com/ROKJ8P0.png,A,B,C,D,SSC,Bi,7.1
72,b,https://i.imgur.com/NJsT5ko.png,A,B,C,D,SSC,Bi,7.1
73,b,https://i.imgur.com/V21AgEl.png,A,B,C,D,SSC,Bi,7.1
75,a,https://i.imgur.com/zfzVgAh.png,A,B,C,D,SSC,Bi,7.1
76,a,https://i.imgur.com/fYWDRYD.png,A,B,C,D,SSC,Bi,7.1
77,d,https://i.imgur.com/A7O6IZP.png,A,B,C,D,SSC,Bi,7.1
78,c,https://i.imgur.com/phCSs4c.png,A,B,C,D,SSC,Bi,7.1
79,d,https://i.imgur.com/4YuWvvm.png,A,B,C,D,SSC,Bi,7.1
