,correct,QuestionLink,optA,optB,optC,optD,usedFor ,lang,category
1,d,https://i.imgur.com/QBqTXWH.png,A,B,C,D,SSC,Bi,8.1
2,c,https://i.imgur.com/A5XfzWV.png,A,B,C,D,SSC,Bi,8.1
3,c,https://i.imgur.com/4Akl684.png,A,B,C,D,SSC,Bi,8.1
4,c,https://i.imgur.com/sZNoul8.png,A,B,C,D,SSC,Bi,8.1
5,d,https://i.imgur.com/sfapQif.png,A,B,C,D,SSC,Bi,8.1
6,d,https://i.imgur.com/gz2PwGb.png,A,B,C,D,SSC,Bi,8.1
8,a,https://i.imgur.com/gmYZopH.png,A,B,C,D,SSC,Bi,8.1
9,a,https://i.imgur.com/dUDKyct.png,A,B,C,D,SSC,Bi,8.1
10,c,https://i.imgur.com/iAvPGAu.png,A,B,C,D,SSC,Bi,8.1
11,d,https://i.imgur.com/Nsa4qej.png,A,B,C,D,SSC,Bi,8.1
12,b,https://i.imgur.com/QVuL5pO.png,A,B,C,D,SSC,Bi,8.1
14,c,https://i.imgur.com/BUKgVu5.png,A,B,C,D,SSC,Bi,8.1
15,d,https://i.imgur.com/cWveHN6.png,A,B,C,D,SSC,Bi,8.1
16,a,https://i.imgur.com/0BdmtAC.png,A,B,C,D,SSC,Bi,8.1
17,c,https://i.imgur.com/7MS87zk.png,A,B,C,D,SSC,Bi,8.1
18,b,https://i.imgur.com/VRMI6N1.png,A,B,C,D,SSC,Bi,8.1
20,b,https://i.imgur.com/hqJDShW.png,A,B,C,D,SSC,Bi,8.1
21,d,https://i.imgur.com/yf4FwcX.png,A,B,C,D,SSC,Bi,8.1
22,b,https://i.imgur.com/e9Cfmbp.png,A,B,C,D,SSC,Bi,8.1
23,d,https://i.imgur.com/uWrWQBC.png,A,B,C,D,SSC,Bi,8.1
24,b,https://i.imgur.com/spWOEYj.png,A,B,C,D,SSC,Bi,8.1
25,b,https://i.imgur.com/pETzKOd.png,A,B,C,D,SSC,Bi,8.1
26,c,https://i.imgur.com/9bbuz53.png,A,B,C,D,SSC,Bi,8.1
27,c,https://i.imgur.com/r180BaX.png,A,B,C,D,SSC,Bi,8.1
28,b,https://i.imgur.com/a9CMn0W.png,A,B,C,D,SSC,Bi,8.1
29,b,https://i.imgur.com/3lxm4QX.png,A,B,C,D,SSC,Bi,8.1
30,c,https://i.imgur.com/JtdMfSO.png,A,B,C,D,SSC,Bi,8.1
31,a,https://i.imgur.com/E91QBZ7.png,A,B,C,D,SSC,Bi,8.1
32,d,https://i.imgur.com/GRBbAvg.png,A,B,C,D,SSC,Bi,8.1
33,b,https://i.imgur.com/LlIhmSV.png,A,B,C,D,SSC,Bi,8.1
35,c,https://i.imgur.com/DcBwIrr.png,A,B,C,D,SSC,Bi,8.1
36,d,https://i.imgur.com/J9N2ElI.png,A,B,C,D,SSC,Bi,8.1
37,b,https://i.imgur.com/15cJesN.png,A,B,C,D,SSC,Bi,8.1
