,correct,QuestionLink,optA,optB,optC,optD,usedFor ,lang,category
1,c,https://i.imgur.com/s9lMtkp.png,A,B,C,D,SSC,Bi,9.1
2,c,https://i.imgur.com/qRs7fPB.png,A,B,C,D,SSC,Bi,9.1
3,c,https://i.imgur.com/r2NjyHx.png,A,B,C,D,SSC,Bi,9.1
5,b,https://i.imgur.com/LnL5GYM.png,A,B,C,D,SSC,Bi,9.1
9,a,https://i.imgur.com/KW71W7I.png,A,B,C,D,SSC,Bi,9.1
10,c,https://i.imgur.com/uoeOZx1.png,A,B,C,D,SSC,Bi,9.1
11,c,https://i.imgur.com/cNDIoaQ.png,A,B,C,D,SSC,Bi,9.1
12,d,https://i.imgur.com/1yJ1R9P.png,A,B,C,D,SSC,Bi,9.1
13,c,https://i.imgur.com/DQjxmKe.png,A,B,C,D,SSC,Bi,9.1
14,a,https://i.imgur.com/zURR7e6.png,A,B,C,D,SSC,Bi,9.1
16,b,https://i.imgur.com/Yg1OrP0.png,A,B,C,D,SSC,Bi,9.1
17,a,https://i.imgur.com/rfm0RzA.png,A,B,C,D,SSC,Bi,9.1
18,c,https://i.imgur.com/SDSGo3D.png,A,B,C,D,SSC,Bi,9.1
19,d,https://i.imgur.com/GKNuw3t.png,A,B,C,D,SSC,Bi,9.1
20,c,https://i.imgur.com/GSRax6r.png,A,B,C,D,SSC,Bi,9.1
22,b,https://i.imgur.com/KqrEn7Q.png,A,B,C,D,SSC,Bi,9.1
23,c,https://i.imgur.com/owi1in9.png,A,B,C,D,SSC,Bi,9.1
24,d,https://i.imgur.com/HFigxWA.png,A,B,C,D,SSC,Bi,9.1
25,b,https://i.imgur.com/L9aNQEF.png,A,B,C,D,SSC,Bi,9.1
26,d,https://i.imgur.com/l7K1nQS.png,A,B,C,D,SSC,Bi,9.1
27,d,https://i.imgur.com/TBZf1zb.png,A,B,C,D,SSC,Bi,9.1
29,d,https://i.imgur.com/a8J4Axo.png,A,B,C,D,SSC,Bi,9.1
30,b,https://i.imgur.com/SnMTRuc.png,A,B,C,D,SSC,Bi,9.1
31,a,https://i.imgur.com/P0oRY5V.png,A,B,C,D,SSC,Bi,9.1
32,a,https://i.imgur.com/kGSJPr0.png,A,B,C,D,SSC,Bi,9.1
33,a,https://i.imgur.com/cpNAPfI.png,A,B,C,D,SSC,Bi,9.1
34,c,https://i.imgur.com/w3JLc0b.png,A,B,C,D,SSC,Bi,9.1
36,c,https://i.imgur.com/SDTkT4m.png,A,B,C,D,SSC,Bi,9.1
37,a,https://i.imgur.com/3mNozow.png,A,B,C,D,SSC,Bi,9.1
38,b,https://i.imgur.com/8T5zujJ.png,A,B,C,D,SSC,Bi,9.1
40,b,https://i.imgur.com/WrG7vI6.png,A,B,C,D,SSC,Bi,9.1
41,b,https://i.imgur.com/E0itPfQ.png,A,B,C,D,SSC,Bi,9.1
42,b,https://i.imgur.com/WV2xGGt.png,A,B,C,D,SSC,Bi,9.1
43,c,https://i.imgur.com/HMZYC0v.png,A,B,C,D,SSC,Bi,9.1
44,b,https://i.imgur.com/EHF70M0.png,A,B,C,D,SSC,Bi,9.1
46,d,https://i.imgur.com/DZpEYwW.png,A,B,C,D,SSC,Bi,9.1
47,b,https://i.imgur.com/4hMSOgS.png,A,B,C,D,SSC,Bi,9.1
48,b,https://i.imgur.com/37F8xuW.png,A,B,C,D,SSC,Bi,9.1
49,c,https://i.imgur.com/MXbFLlS.png,A,B,C,D,SSC,Bi,9.1
50,a,https://i.imgur.com/7aIb8dO.png,A,B,C,D,SSC,Bi,9.1
52,b,https://i.imgur.com/MSu2un3.png,A,B,C,D,SSC,Bi,9.1
53,b,https://i.imgur.com/U1MDLTl.png,A,B,C,D,SSC,Bi,9.1
54,a,https://i.imgur.com/Y06eF4S.png,A,B,C,D,SSC,Bi,9.1
55,b,https://i.imgur.com/oTpuJSX.png,A,B,C,D,SSC,Bi,9.1
56,b,https://i.imgur.com/Hnq49FM.png,A,B,C,D,SSC,Bi,9.1
57,b,https://i.imgur.com/WwtUSjS.png,A,B,C,D,SSC,Bi,9.1
59,d,https://i.imgur.com/GzHv7bf.png,A,B,C,D,SSC,Bi,9.1
60,c,https://i.imgur.com/kNSjngr.png,A,B,C,D,SSC,Bi,9.1
61,a,https://i.imgur.com/ELW3Pp9.png,A,B,C,D,SSC,Bi,9.1
62,b,https://i.imgur.com/vwhjgZQ.png,A,B,C,D,SSC,Bi,9.1
63,c,https://i.imgur.com/if95NBU.png,A,B,C,D,SSC,Bi,9.1
65,d,https://i.imgur.com/l9S4w4x.png,A,B,C,D,SSC,Bi,9.1
66,b,https://i.imgur.com/ALNB3Zd.png,A,B,C,D,SSC,Bi,9.1
67,c,https://i.imgur.com/IZIp7U1.png,A,B,C,D,SSC,Bi,9.1
68,d,https://i.imgur.com/1lebXaB.png,A,B,C,D,SSC,Bi,9.1
69,d,https://i.imgur.com/uXitCBg.png,A,B,C,D,SSC,Bi,9.1
71,a,https://i.imgur.com/OdurfNq.png,A,B,C,D,SSC,Bi,9.1
72,c,https://i.imgur.com/YAQUjJK.png,A,B,C,D,SSC,Bi,9.1
73,a,https://i.imgur.com/CWhoyKH.png,A,B,C,D,SSC,Bi,9.1
74,c,https://i.imgur.com/pKnbuHD.png,A,B,C,D,SSC,Bi,9.1
75,c,https://i.imgur.com/BqRtaqL.png,A,B,C,D,SSC,Bi,9.1
77,b,https://i.imgur.com/3Zm49bp.png,A,B,C,D,SSC,Bi,9.1
78,d,https://i.imgur.com/ikb2HPd.png,A,B,C,D,SSC,Bi,9.1
79,c,https://i.imgur.com/3TXAhA1.png,A,B,C,D,SSC,Bi,9.1
80,a,https://i.imgur.com/9AfCM8F.png,A,B,C,D,SSC,Bi,9.1
81,a,https://i.imgur.com/LnfaoWd.png,A,B,C,D,SSC,Bi,9.1
83,b,https://i.imgur.com/nCMUcg0.png,A,B,C,D,SSC,Bi,9.1
84,d,https://i.imgur.com/lf44dR9.png,A,B,C,D,SSC,Bi,9.1
85,c,https://i.imgur.com/oiknoZK.png,A,B,C,D,SSC,Bi,9.1
86,b,https://i.imgur.com/CKeRn5K.png,A,B,C,D,SSC,Bi,9.1
87,c,https://i.imgur.com/5NZGn0G.png,A,B,C,D,SSC,Bi,9.1
89,a,https://i.imgur.com/wKJWx5T.png,A,B,C,D,SSC,Bi,9.1
90,d,https://i.imgur.com/5lUKsFH.png,A,B,C,D,SSC,Bi,9.1
91,a,https://i.imgur.com/cGDmAlV.png,A,B,C,D,SSC,Bi,9.1
92,d,https://i.imgur.com/K4BLihW.png,A,B,C,D,SSC,Bi,9.1
93,d,https://i.imgur.com/nmTAmLO.png,A,B,C,D,SSC,Bi,9.1
95,d,https://i.imgur.com/a1km0b0.png,A,B,C,D,SSC,Bi,9.1
96,c,https://i.imgur.com/olgluLl.png,A,B,C,D,SSC,Bi,9.1
97,c,https://i.imgur.com/TECUIcl.png,A,B,C,D,SSC,Bi,9.1
98,a,https://i.imgur.com/An5G5Jx.png,A,B,C,D,SSC,Bi,9.1
99,a,https://i.imgur.com/BjyUYwJ.png,A,B,C,D,SSC,Bi,9.1
100,b,https://i.imgur.com/uO1aJjh.png,A,B,C,D,SSC,Bi,9.1
102,c,https://i.imgur.com/qcPSDcl.png,A,B,C,D,SSC,Bi,9.1
103,b,https://i.imgur.com/uPg482H.png,A,B,C,D,SSC,Bi,9.1
104,d,https://i.imgur.com/iAgHURA.png,A,B,C,D,SSC,Bi,9.1
105,c,https://i.imgur.com/jnRV2fR.png,A,B,C,D,SSC,Bi,9.1
106,a,https://i.imgur.com/bB4jdLk.png,A,B,C,D,SSC,Bi,9.1
108,c,https://i.imgur.com/14ZNPdu.png,A,B,C,D,SSC,Bi,9.1
109,d,https://i.imgur.com/9er9VYZ.png,A,B,C,D,SSC,Bi,9.1
110,d,https://i.imgur.com/goucAYY.png,A,B,C,D,SSC,Bi,9.1
111,b,https://i.imgur.com/YKfJ3Vc.png,A,B,C,D,SSC,Bi,9.1
112,d,https://i.imgur.com/gkx5odU.png,A,B,C,D,SSC,Bi,9.1
113,d,https://i.imgur.com/YWbAVk5.png,A,B,C,D,SSC,Bi,9.1
114,c,https://i.imgur.com/LJDjMbN.png,A,B,C,D,SSC,Bi,9.1
115,b,https://i.imgur.com/aICiCPi.png,A,B,C,D,SSC,Bi,9.1
116,d,https://i.imgur.com/vfwF72Y.png,A,B,C,D,SSC,Bi,9.1
117,d,https://i.imgur.com/HxKy2Qh.png,A,B,C,D,SSC,Bi,9.1
118,d,https://i.imgur.com/SwNOWxK.png,A,B,C,D,SSC,Bi,9.1
119,a,https://i.imgur.com/LqlnSHu.png,A,B,C,D,SSC,Bi,9.1
120,b,https://i.imgur.com/4SupbXn.png,A,B,C,D,SSC,Bi,9.1
121,d,https://i.imgur.com/AW5s3Im.png,A,B,C,D,SSC,Bi,9.1
123,d,https://i.imgur.com/g8LOqjY.png,A,B,C,D,SSC,Bi,9.1
124,b,https://i.imgur.com/b5dsJQp.png,A,B,C,D,SSC,Bi,9.1
125,d,https://i.imgur.com/em3ZWvT.png,A,B,C,D,SSC,Bi,9.1
126,c,https://i.imgur.com/4ZUQZPY.png,A,B,C,D,SSC,Bi,9.1
127,b,https://i.imgur.com/UKphKdo.png,A,B,C,D,SSC,Bi,9.1
128,a,https://i.imgur.com/pVlAhox.png,A,B,C,D,SSC,Bi,9.1
130,d,https://i.imgur.com/KnelGa7.png,A,B,C,D,SSC,Bi,9.1
131,b,https://i.imgur.com/rjZtwus.png,A,B,C,D,SSC,Bi,9.1
132,c,https://i.imgur.com/DNPOE66.png,A,B,C,D,SSC,Bi,9.1
133,d,https://i.imgur.com/oHYarQy.png,A,B,C,D,SSC,Bi,9.1
135,c,https://i.imgur.com/Zfl1bpC.png,A,B,C,D,SSC,Bi,9.1
136,a,https://i.imgur.com/K9xXZB4.png,A,B,C,D,SSC,Bi,9.1
137,c,https://i.imgur.com/Hn84MzS.png,A,B,C,D,SSC,Bi,9.1
138,b,https://i.imgur.com/6hPxFVO.png,A,B,C,D,SSC,Bi,9.1
139,c,https://i.imgur.com/DajVZVN.png,A,B,C,D,SSC,Bi,9.1
140,a,https://i.imgur.com/RhHgyRC.png,A,B,C,D,SSC,Bi,9.1
142,a,https://i.imgur.com/hryrmrd.png,A,B,C,D,SSC,Bi,9.1
143,b,https://i.imgur.com/cRyzFBU.png,A,B,C,D,SSC,Bi,9.1
