,correct,QuestionLink,optA,optB,optC,optD,usedFor ,lang,category
1,c,https://i.imgur.com/u6Gs4ZZ.png,A,B,C,D,SSC,Bi,10.1
2,c,https://i.imgur.com/WWn81HO.png,A,B,C,D,SSC,Bi,10.1
3,d,https://i.imgur.com/6HfbDce.png,A,B,C,D,SSC,Bi,10.1
4,a,https://i.imgur.com/7nxNhAZ.png,A,B,C,D,SSC,Bi,10.1
6,c,https://i.imgur.com/MY8fZea.png,A,B,C,D,SSC,Bi,10.1
7,d,https://i.imgur.com/EDhU3bA.png,A,B,C,D,SSC,Bi,10.1
8,b,https://i.imgur.com/UGIiaTn.png,A,B,C,D,SSC,Bi,10.1
10,a,https://i.imgur.com/soiLPoY.png,A,B,C,D,SSC,Bi,10.1
11,c,https://i.imgur.com/ygIOVIT.png,A,B,C,D,SSC,Bi,10.1
12,d,https://i.imgur.com/xMV6Tj9.png,A,B,C,D,SSC,Bi,10.1
13,c,https://i.imgur.com/WHlZVx4.png,A,B,C,D,SSC,Bi,10.1
14,a,https://i.imgur.com/VV4LSsn.png,A,B,C,D,SSC,Bi,10.1
15,c,https://i.imgur.com/rRWHW2b.png,A,B,C,D,SSC,Bi,10.1
17,d,https://i.imgur.com/h7ICTmH.png,A,B,C,D,SSC,Bi,10.1
18,b,https://i.imgur.com/L8s1kQ9.png,A,B,C,D,SSC,Bi,10.1
19,c,https://i.imgur.com/8rRvM8D.png,A,B,C,D,SSC,Bi,10.1
20,b,https://i.imgur.com/x6v02vx.png,A,B,C,D,SSC,Bi,10.1
21,d,https://i.imgur.com/xnjpiie.png,A,B,C,D,SSC,Bi,10.1
22,d,https://i.imgur.com/pkhAWEf.png,A,B,C,D,SSC,Bi,10.1
23,b,https://i.imgur.com/VLzbdSD.png,A,B,C,D,SSC,Bi,10.1
24,a,https://i.imgur.com/NomkmYr.png,A,B,C,D,SSC,Bi,10.1
25,d,https://i.imgur.com/5420CC4.png,A,B,C,D,SSC,Bi,10.1
26,a,https://i.imgur.com/6e3uQSs.png,A,B,C,D,SSC,Bi,10.1
27,a,https://i.imgur.com/7bhN27z.png,A,B,C,D,SSC,Bi,10.1
28,d,https://i.imgur.com/fUiRHqV.png,A,B,C,D,SSC,Bi,10.1
29,c,https://i.imgur.com/TizeGky.png,A,B,C,D,SSC,Bi,10.1
30,d,https://i.imgur.com/u4aJT4l.png,A,B,C,D,SSC,Bi,10.1
32,b,https://i.imgur.com/pYe6sed.png,A,B,C,D,SSC,Bi,10.1
33,d,https://i.imgur.com/xV4L7W0.png,A,B,C,D,SSC,Bi,10.1
34,d,https://i.imgur.com/DLu89W6.png,A,B,C,D,SSC,Bi,10.1
35,b,https://i.imgur.com/hBmpeQx.png,A,B,C,D,SSC,Bi,10.1
36,c,https://i.imgur.com/GmDgVuc.png,A,B,C,D,SSC,Bi,10.1
38,b,https://i.imgur.com/N7YmPNu.png,A,B,C,D,SSC,Bi,10.1
39,c,https://i.imgur.com/1OCw0ql.png,A,B,C,D,SSC,Bi,10.1
40,c,https://i.imgur.com/ZXwekA5.png,A,B,C,D,SSC,Bi,10.1
41,c,https://i.imgur.com/uewDqrV.png,A,B,C,D,SSC,Bi,10.1
43,b,https://i.imgur.com/psH2yiB.png,A,B,C,D,SSC,Bi,10.1
44,a,https://i.imgur.com/FZQXbQY.png,A,B,C,D,SSC,Bi,10.1
45,d,https://i.imgur.com/L86ah5E.png,A,B,C,D,SSC,Bi,10.1
46,a,https://i.imgur.com/YDEclon.png,A,B,C,D,SSC,Bi,10.1
47,b,https://i.imgur.com/LjD9hrS.png,A,B,C,D,SSC,Bi,10.1
49,b,https://i.imgur.com/0mP0Joj.png,A,B,C,D,SSC,Bi,10.1
50,c,https://i.imgur.com/wKoFQbA.png,A,B,C,D,SSC,Bi,10.1
51,c,https://i.imgur.com/abZawMo.png,A,B,C,D,SSC,Bi,10.1
52,c,https://i.imgur.com/FGTMKhj.png,A,B,C,D,SSC,Bi,10.1
54,a,https://i.imgur.com/P7sw3hz.png,A,B,C,D,SSC,Bi,10.1
55,b,https://i.imgur.com/vt1mpS3.png,A,B,C,D,SSC,Bi,10.1
56,d,https://i.imgur.com/eDMcPCF.png,A,B,C,D,SSC,Bi,10.1
57,b,https://i.imgur.com/Xdas7lb.png,A,B,C,D,SSC,Bi,10.1
59,c,https://i.imgur.com/pDRZX3G.png,A,B,C,D,SSC,Bi,10.1
60,c,https://i.imgur.com/0Ht6pV0.png,A,B,C,D,SSC,Bi,10.1
61,c,https://i.imgur.com/eQj2a9c.png,A,B,C,D,SSC,Bi,10.1
63,c,https://i.imgur.com/4avqtBI.png,A,B,C,D,SSC,Bi,10.1
64,a,https://i.imgur.com/CpotvPM.png,A,B,C,D,SSC,Bi,10.1
65,a,https://i.imgur.com/aQkqQOd.png,A,B,C,D,SSC,Bi,10.1
66,c,https://i.imgur.com/gqHvlyK.png,A,B,C,D,SSC,Bi,10.1
68,a,https://i.imgur.com/0RYLxOe.png,A,B,C,D,SSC,Bi,10.1
69,b,https://i.imgur.com/TR43QL3.png,A,B,C,D,SSC,Bi,10.1
70,a,https://i.imgur.com/McL1Ncw.png,A,B,C,D,SSC,Bi,10.1
71,d,https://i.imgur.com/JXQmdJr.png,A,B,C,D,SSC,Bi,10.1
73,c,https://i.imgur.com/BKwWpU1.png,A,B,C,D,SSC,Bi,10.1
74,d,https://i.imgur.com/wcK9juF.png,A,B,C,D,SSC,Bi,10.1
75,b,https://i.imgur.com/LoOrscS.png,A,B,C,D,SSC,Bi,10.1
76,a,https://i.imgur.com/KwUA8Io.png,A,B,C,D,SSC,Bi,10.1
77,b,https://i.imgur.com/3gpNdgB.png,A,B,C,D,SSC,Bi,10.1
79,a,https://i.imgur.com/HEh7Gw9.png,A,B,C,D,SSC,Bi,10.1
80,b,https://i.imgur.com/ay56yGs.png,A,B,C,D,SSC,Bi,10.1
81,a,https://i.imgur.com/HAGZa6P.png,A,B,C,D,SSC,Bi,10.1
82,d,https://i.imgur.com/M0OSw63.png,A,B,C,D,SSC,Bi,10.1
83,b,https://i.imgur.com/zGaJG1G.png,A,B,C,D,SSC,Bi,10.1
84,b,https://i.imgur.com/ASek96T.png,A,B,C,D,SSC,Bi,10.1
85,b,https://i.imgur.com/JtjpYwc.png,A,B,C,D,SSC,Bi,10.1
86,c,https://i.imgur.com/krbZm2U.png,A,B,C,D,SSC,Bi,10.1
87,b,https://i.imgur.com/vU96IfY.png,A,B,C,D,SSC,Bi,10.1
89,d,https://i.imgur.com/KhHoJGv.png,A,B,C,D,SSC,Bi,10.1
