,correct,QuestionLink,optA,optB,optC,optD,usedFor ,lang,category
1,b,https://i.imgur.com/X5sSRvN.png,A,B,C,D,SSC,Bi,11.1
2,d,https://i.imgur.com/G2O1Qld.png,A,B,C,D,SSC,Bi,11.1
4,b,https://i.imgur.com/90q9PlF.png,A,B,C,D,SSC,Bi,11.1
5,b,https://i.imgur.com/KBosfBU.png,A,B,C,D,SSC,Bi,11.1
7,b,https://i.imgur.com/wXDmvDy.png,A,B,C,D,SSC,Bi,11.1
8,c,https://i.imgur.com/p8DWZPR.png,A,B,C,D,SSC,Bi,11.1
9,d,https://i.imgur.com/N8kLQ5W.png,A,B,C,D,SSC,Bi,11.1
10,a,https://i.imgur.com/fYlAyAe.png,A,B,C,D,SSC,Bi,11.1
12,c,https://i.imgur.com/XonIsXb.png,A,B,C,D,SSC,Bi,11.1
13,d,https://i.imgur.com/gCr3Awu.png,A,B,C,D,SSC,Bi,11.1
14,b,https://i.imgur.com/AvXk7fZ.png,A,B,C,D,SSC,Bi,11.1
16,d,https://i.imgur.com/sNTz4QO.png,A,B,C,D,SSC,Bi,11.1
17,a,https://i.imgur.com/IajGi7u.png,A,B,C,D,SSC,Bi,11.1
19,b,https://i.imgur.com/15OLa3L.png,A,B,C,D,SSC,Bi,11.1
20,a,https://i.imgur.com/qqVNV3I.png,A,B,C,D,SSC,Bi,11.1
21,b,https://i.imgur.com/ba4eSYo.png,A,B,C,D,SSC,Bi,11.1
23,c,https://i.imgur.com/uoTOM4h.png,A,B,C,D,SSC,Bi,11.1
24,d,https://i.imgur.com/vYSRIYW.png,A,B,C,D,SSC,Bi,11.1
25,c,https://i.imgur.com/ya3q9hy.png,A,B,C,D,SSC,Bi,11.1
26,b,https://i.imgur.com/DbUzhdF.png,A,B,C,D,SSC,Bi,11.1
27,d,https://i.imgur.com/8PVu5yL.png,A,B,C,D,SSC,Bi,11.1
28,a,https://i.imgur.com/7VGDxsM.png,A,B,C,D,SSC,Bi,11.1
30,b,https://i.imgur.com/exMyuGW.png,A,B,C,D,SSC,Bi,11.1
31,b,https://i.imgur.com/NdRY54y.png,A,B,C,D,SSC,Bi,11.1
32,d,https://i.imgur.com/aGQ2D3V.png,A,B,C,D,SSC,Bi,11.1
34,b,https://i.imgur.com/mT6x3je.png,A,B,C,D,SSC,Bi,11.1
35,a,https://i.imgur.com/DhzwNHv.png,A,B,C,D,SSC,Bi,11.1
36,d,https://i.imgur.com/p6lqt6W.png,A,B,C,D,SSC,Bi,11.1
