,correct,QuestionLink,optA,optB,optC,optD,usedFor ,lang,category
1,c,https://imgur.com/Wogj3ww,A,B,C,D,SSC,Bi,13.1
2,a,https://imgur.com/GjftSYE,A,B,C,D,SSC,Bi,13.1
3,d,https://imgur.com/bcforeq,A,B,C,D,SSC,Bi,13.1
4,b,https://imgur.com/0cVrJis,A,B,C,D,SSC,Bi,13.1
6,a,https://imgur.com/EEVTKtd,A,B,C,D,SSC,Bi,13.1
7,d,https://imgur.com/5jw3g8a,A,B,C,D,SSC,Bi,13.1
8,c,https://imgur.com/Shb7KCE,A,B,C,D,SSC,Bi,13.1
9,b,https://imgur.com/5BOe1lM,A,B,C,D,SSC,Bi,13.1
10,b,https://imgur.com/vv4PC23,A,B,C,D,SSC,Bi,13.1
11,c,https://imgur.com/xbaCNpf,A,B,C,D,SSC,Bi,13.1
12,a,https://imgur.com/RDOyhxC,A,B,C,D,SSC,Bi,13.1
13,c,https://imgur.com/bTHgFSd,A,B,C,D,SSC,Bi,13.1
14,a,https://imgur.com/k9wo5tD,A,B,C,D,SSC,Bi,13.1
15,d,https://imgur.com/cjDdbYv,A,B,C,D,SSC,Bi,13.1
17,c,https://imgur.com/Om7w8Vx,A,B,C,D,SSC,Bi,13.1
18,a,https://imgur.com/bj2M5BI,A,B,C,D,SSC,Bi,13.1
19,a,https://imgur.com/3sX16EM,A,B,C,D,SSC,Bi,13.1
20,c,https://imgur.com/lO3wR4t,A,B,C,D,SSC,Bi,13.1
22,a,https://imgur.com/x1kqPgf,A,B,C,D,SSC,Bi,13.1
23,a,https://imgur.com/ErRbMye,A,B,C,D,SSC,Bi,13.1
24,c,https://imgur.com/hPCEX1C,A,B,C,D,SSC,Bi,13.1
25,c,https://imgur.com/10KJCX5,A,B,C,D,SSC,Bi,13.1
26,a,https://imgur.com/dEY1HN6,A,B,C,D,SSC,Bi,13.1
27,c,https://imgur.com/At8sJ8q,A,B,C,D,SSC,Bi,13.1
28,c,https://imgur.com/hACo8Mv,A,B,C,D,SSC,Bi,13.1
29,a,https://imgur.com/YWrbz5p,A,B,C,D,SSC,Bi,13.1
30,b,https://imgur.com/F2ntvDU,A,B,C,D,SSC,Bi,13.1
31,b,https://imgur.com/LUcYL0G,A,B,C,D,SSC,Bi,13.1
32,d,https://imgur.com/X29RRa5,A,B,C,D,SSC,Bi,13.1
34,a,https://imgur.com/OC3S6vB,A,B,C,D,SSC,Bi,13.1
35,d,https://imgur.com/fNyqmDq,A,B,C,D,SSC,Bi,13.1
36,b,https://imgur.com/svBDWCV,A,B,C,D,SSC,Bi,13.1
37,c,https://imgur.com/gbCN36n,A,B,C,D,SSC,Bi,13.1
38,c,https://imgur.com/qqVVz1c,A,B,C,D,SSC,Bi,13.1
40,d,https://imgur.com/ywQYZnV,A,B,C,D,SSC,Bi,13.1
41,d,https://imgur.com/NqL1aIO,A,B,C,D,SSC,Bi,13.1
42,b,https://imgur.com/LfuPxTm,A,B,C,D,SSC,Bi,13.1
43,b,https://imgur.com/pqociHM,A,B,C,D,SSC,Bi,13.1
44,a,https://imgur.com/Ksvw6Ds,A,B,C,D,SSC,Bi,13.1
45,a,https://imgur.com/9HEK7em,A,B,C,D,SSC,Bi,13.1
46,d,https://imgur.com/t3OBcqQ,A,B,C,D,SSC,Bi,13.1
47,d,https://imgur.com/NQ2xYqZ,A,B,C,D,SSC,Bi,13.1
48,c,https://imgur.com/5ilkzRI,A,B,C,D,SSC,Bi,13.1
49,a,https://imgur.com/NttX9l2,A,B,C,D,SSC,Bi,13.1
50,c,https://imgur.com/lHOdWHN,A,B,C,D,SSC,Bi,13.1
51,d,https://imgur.com/3haCeD3,A,B,C,D,SSC,Bi,13.1
