,correct,QuestionLink,optA,optB,optC,optD,usedFor ,lang,category
1,a,https://imgur.com/BcyRgqx,A,B,C,D,SSC,Bi,14.1
2,b,https://imgur.com/leKcdu0,A,B,C,D,SSC,Bi,14.1
4,a,https://imgur.com/RXiQ1jZ,A,B,C,D,SSC,Bi,14.1
5,a,https://imgur.com/7p2ghRm,A,B,C,D,SSC,Bi,14.1
7,d,https://imgur.com/P8vLg7S,A,B,C,D,SSC,Bi,14.1
8,c,https://imgur.com/oqse6rT,A,B,C,D,SSC,Bi,14.1
9,c,https://imgur.com/nixfEuZ,A,B,C,D,SSC,Bi,14.1
10,c,https://imgur.com/egmy98s,A,B,C,D,SSC,Bi,14.1
11,d,https://imgur.com/dAZahkj,A,B,C,D,SSC,Bi,14.1
12,d,https://imgur.com/UyDsuC8,A,B,C,D,SSC,Bi,14.1
13,a,https://imgur.com/mKQsyuv,A,B,C,D,SSC,Bi,14.1
14,c,https://imgur.com/Pbl8NTK,A,B,C,D,SSC,Bi,14.1
15,a,https://imgur.com/LLcxyF5,A,B,C,D,SSC,Bi,14.1
17,d,https://imgur.com/l4Y2FC6,A,B,C,D,SSC,Bi,14.1
18,a,https://imgur.com/eB5tSER,A,B,C,D,SSC,Bi,14.1
19,c,https://imgur.com/QUOsP8N,A,B,C,D,SSC,Bi,14.1
20,d,https://imgur.com/IYzXuCP,A,B,C,D,SSC,Bi,14.1
22,c,https://imgur.com/iqTXl6G,A,B,C,D,SSC,Bi,14.1
23,d,https://imgur.com/c1z5tiN,A,B,C,D,SSC,Bi,14.1
24,d,https://imgur.com/iA5GSeK,A,B,C,D,SSC,Bi,14.1
25,c,https://imgur.com/PRhsrKN,A,B,C,D,SSC,Bi,14.1
27,c,https://imgur.com/SOt7wcr,A,B,C,D,SSC,Bi,14.1
28,c,https://imgur.com/7pxKg5f,A,B,C,D,SSC,Bi,14.1
29,d,https://imgur.com/kHVihQU,A,B,C,D,SSC,Bi,14.1
30,b,https://imgur.com/BFTAl1e,A,B,C,D,SSC,Bi,14.1
31,d,https://imgur.com/T6rwuvV,A,B,C,D,SSC,Bi,14.1
32,c,https://imgur.com/sayTkiz,A,B,C,D,SSC,Bi,14.1
33,a,https://imgur.com/3byy1e0,A,B,C,D,SSC,Bi,14.1
34,b,https://imgur.com/QnJIayk,A,B,C,D,SSC,Bi,14.1
35,a,https://imgur.com/9jCeNdd,A,B,C,D,SSC,Bi,14.1
36,d,https://imgur.com/7OlZImm,A,B,C,D,SSC,Bi,14.1
38,a,https://imgur.com/6a23nh5,A,B,C,D,SSC,Bi,14.1
39,c,https://imgur.com/MBR6yDv,A,B,C,D,SSC,Bi,14.1
40,b,https://imgur.com/8YBsM3S,A,B,C,D,SSC,Bi,14.1
41,a,https://imgur.com/9rAfbP5,A,B,C,D,SSC,Bi,14.1
43,d,https://imgur.com/0BLbYel,A,B,C,D,SSC,Bi,14.1
44,b,https://imgur.com/EZJZeTK,A,B,C,D,SSC,Bi,14.1
45,b,https://imgur.com/nXFvrZ7,A,B,C,D,SSC,Bi,14.1
46,c,https://imgur.com/gSLjSNg,A,B,C,D,SSC,Bi,14.1
47,c,https://imgur.com/wqSEsbv,A,B,C,D,SSC,Bi,14.1
48,b,https://imgur.com/DsRmSU0,A,B,C,D,SSC,Bi,14.1
49,d,https://imgur.com/Bb0fA2F,A,B,C,D,SSC,Bi,14.1
50,c,https://imgur.com/mLpDXaI,A,B,C,D,SSC,Bi,14.1
52,b,https://imgur.com/bblxGnk,A,B,C,D,SSC,Bi,14.1
53,a,https://imgur.com/EIzJe66,A,B,C,D,SSC,Bi,14.1
54,d,https://imgur.com/Ny9TSVs,A,B,C,D,SSC,Bi,14.1
55,a,https://imgur.com/mAxZ2AO,A,B,C,D,SSC,Bi,14.1
57,c,https://imgur.com/3ORvpvA,A,B,C,D,SSC,Bi,14.1
58,a,https://imgur.com/v8bJgGR,A,B,C,D,SSC,Bi,14.1
59,c,https://imgur.com/wfGops2,A,B,C,D,SSC,Bi,14.1
60,d,https://imgur.com/9G8xWkk,A,B,C,D,SSC,Bi,14.1
62,b,https://imgur.com/TYFisMl,A,B,C,D,SSC,Bi,14.1
63,c,https://imgur.com/TIKZC2N,A,B,C,D,SSC,Bi,14.1
64,a,https://imgur.com/3BupMRV,A,B,C,D,SSC,Bi,14.1
65,d,https://imgur.com/gRtmUbW,A,B,C,D,SSC,Bi,14.1
89,b,https://imgur.com/EO84nE9,A,B,C,D,SSC,Bi,14.1
90,d,https://imgur.com/LHVA4G8,A,B,C,D,SSC,Bi,14.1
91,d,https://imgur.com/mUuM5Wy,A,B,C,D,SSC,Bi,14.1
92,b,https://imgur.com/7gOP6ZA,A,B,C,D,SSC,Bi,14.1
94,b,https://imgur.com/qkoTqFW,A,B,C,D,SSC,Bi,14.1
95,d,https://imgur.com/YVDQskP,A,B,C,D,SSC,Bi,14.1
96,b,https://imgur.com/tAvGdqd,A,B,C,D,SSC,Bi,14.1
97,d,https://imgur.com/6o2AEer,A,B,C,D,SSC,Bi,14.1
98,c,https://imgur.com/qSR7PjS,A,B,C,D,SSC,Bi,14.1
100,c,https://imgur.com/WaO56mn,A,B,C,D,SSC,Bi,14.1
101,d,https://imgur.com/dv6pSbR,A,B,C,D,SSC,Bi,14.1
103,c,https://imgur.com/3cBArSJ,A,B,C,D,SSC,Bi,14.1
104,c,https://imgur.com/QJUK3lE,A,B,C,D,SSC,Bi,14.1
105,c,https://imgur.com/DnY4JGj,A,B,C,D,SSC,Bi,14.1
