,correct,QuestionLink,optA,optB,optC,optD,usedFor ,lang,category
1,d,https://imgur.com/kaML89B,A,B,C,D,SSC,Bi,15.1
2,d,https://imgur.com/KC5pvto,A,B,C,D,SSC,Bi,15.1
3,d,https://imgur.com/s1c88Mk,A,B,C,D,SSC,Bi,15.1
4,d,https://imgur.com/YH8FKt4,A,B,C,D,SSC,Bi,15.1
6,a,https://imgur.com/1r8TsUi,A,B,C,D,SSC,Bi,15.1
7,b,https://imgur.com/g6gYWfQ,A,B,C,D,SSC,Bi,15.1
8,a,https://imgur.com/T2OsInx,A,B,C,D,SSC,Bi,15.1
10,a,https://imgur.com/fnjz14B,A,B,C,D,SSC,Bi,15.1
11,b,https://imgur.com/STKrNRd,A,B,C,D,SSC,Bi,15.1
12,a,https://imgur.com/Wrr022e,A,B,C,D,SSC,Bi,15.1
13,a,https://imgur.com/al0LWcC,A,B,C,D,SSC,Bi,15.1
14,d,https://imgur.com/IJHNELn,A,B,C,D,SSC,Bi,15.1
15,d,https://imgur.com/LAqpPBP,A,B,C,D,SSC,Bi,15.1
17,d,https://imgur.com/I04bTc2,A,B,C,D,SSC,Bi,15.1
18,c,https://imgur.com/9wVnAYz,A,B,C,D,SSC,Bi,15.1
19,c,https://imgur.com/frRgqVl,A,B,C,D,SSC,Bi,15.1
20,d,https://imgur.com/tmJ0y6V,A,B,C,D,SSC,Bi,15.1
22,c,https://imgur.com/1ewIuMd,A,B,C,D,SSC,Bi,15.1
23,a,https://imgur.com/0svJKve,A,B,C,D,SSC,Bi,15.1
24,d,https://imgur.com/kbb3JXO,A,B,C,D,SSC,Bi,15.1
25,d,https://imgur.com/d337O0G,A,B,C,D,SSC,Bi,15.1
26,a,https://imgur.com/TXjxBxL,A,B,C,D,SSC,Bi,15.1
28,a,https://imgur.com/gGalc9u,A,B,C,D,SSC,Bi,15.1
29,d,https://imgur.com/WHY6kkU,A,B,C,D,SSC,Bi,15.1
30,c,https://imgur.com/MEZd0Fk,A,B,C,D,SSC,Bi,15.1
31,d,https://imgur.com/KF4ZLWb,A,B,C,D,SSC,Bi,15.1
32,b,https://imgur.com/Zdgh5Ra,A,B,C,D,SSC,Bi,15.1
34,b,https://imgur.com/E1UfWTU,A,B,C,D,SSC,Bi,15.1
35,a,https://imgur.com/InQfJzo,A,B,C,D,SSC,Bi,15.1
36,a,https://imgur.com/5VyKQkj,A,B,C,D,SSC,Bi,15.1
37,b,https://imgur.com/X7E1zSS,A,B,C,D,SSC,Bi,15.1
39,a,https://imgur.com/XM5f4Dj,A,B,C,D,SSC,Bi,15.1
40,c,https://imgur.com/rUe3Gz7,A,B,C,D,SSC,Bi,15.1
41,c,https://imgur.com/iOagdaP,A,B,C,D,SSC,Bi,15.1
42,b,https://imgur.com/GHGkpbi,A,B,C,D,SSC,Bi,15.1
43,d,https://imgur.com/JnxfgIO,A,B,C,D,SSC,Bi,15.1
45,c,https://imgur.com/36fZHqM,A,B,C,D,SSC,Bi,15.1
46,b,https://imgur.com/8BaZr8a,A,B,C,D,SSC,Bi,15.1
47,d,https://imgur.com/rZYDjv0,A,B,C,D,SSC,Bi,15.1
48,a,https://imgur.com/carMxX5,A,B,C,D,SSC,Bi,15.1
49,c,https://imgur.com/pjhTjud,A,B,C,D,SSC,Bi,15.1
51,c,https://imgur.com/NA9Dhf5,A,B,C,D,SSC,Bi,15.1
52,b,https://imgur.com/S33DpP0,A,B,C,D,SSC,Bi,15.1
53,b,https://imgur.com/lNJfFtd,A,B,C,D,SSC,Bi,15.1
54,d,https://imgur.com/0ywYpik,A,B,C,D,SSC,Bi,15.1
55,d,https://imgur.com/EivZ86m,A,B,C,D,SSC,Bi,15.1
57,a,https://imgur.com/s7eTY8O,A,B,C,D,SSC,Bi,15.1
58,a,https://imgur.com/ePNQtMp,A,B,C,D,SSC,Bi,15.1
59,b,https://imgur.com/JxBiK64,A,B,C,D,SSC,Bi,15.1
60,b,https://imgur.com/qPDjHXi,A,B,C,D,SSC,Bi,15.1
61,c,https://imgur.com/hNlTSw7,A,B,C,D,SSC,Bi,15.1
63,c,https://imgur.com/Tw3hU4C,A,B,C,D,SSC,Bi,15.1
64,a,https://imgur.com/KUmIyOz,A,B,C,D,SSC,Bi,15.1
65,b,https://imgur.com/SIQyn25,A,B,C,D,SSC,Bi,15.1
66,b,https://imgur.com/RLl68Hh,A,B,C,D,SSC,Bi,15.1
68,b,https://imgur.com/yCJECh7,A,B,C,D,SSC,Bi,15.1
69,b,https://imgur.com/Qd9lfTg,A,B,C,D,SSC,Bi,15.1
70,a,https://imgur.com/XEPui0b,A,B,C,D,SSC,Bi,15.1
71,d,https://imgur.com/N1WmIPs,A,B,C,D,SSC,Bi,15.1
72,b,https://imgur.com/T6GvyTW,A,B,C,D,SSC,Bi,15.1
73,d,https://imgur.com/e3CnKcM,A,B,C,D,SSC,Bi,15.1
74,d,https://imgur.com/TH7JvNO,A,B,C,D,SSC,Bi,15.1
75,c,https://imgur.com/YifhNsA,A,B,C,D,SSC,Bi,15.1
76,b,https://imgur.com/a2BoF5Z,A,B,C,D,SSC,Bi,15.1
77,b,https://imgur.com/otc0dHD,A,B,C,D,SSC,Bi,15.1
78,c,https://imgur.com/SYWf309,A,B,C,D,SSC,Bi,15.1
80,a,https://imgur.com/ctdTDdQ,A,B,C,D,SSC,Bi,15.1
81,d,https://imgur.com/fjJmUzf,A,B,C,D,SSC,Bi,15.1
82,d,https://imgur.com/vEw4uLL,A,B,C,D,SSC,Bi,15.1
83,b,https://imgur.com/IsLflmX,A,B,C,D,SSC,Bi,15.1
84,c,https://imgur.com/fCPorZZ,A,B,C,D,SSC,Bi,15.1
86,d,https://imgur.com/XtmNC9d,A,B,C,D,SSC,Bi,15.1
87,b,https://imgur.com/nRA3r7f,A,B,C,D,SSC,Bi,15.1
88,b,https://imgur.com/boABFDX,A,B,C,D,SSC,Bi,15.1
89,c,https://imgur.com/ZS4Cb5I,A,B,C,D,SSC,Bi,15.1
90,c,https://imgur.com/NQEHPRp,A,B,C,D,SSC,Bi,15.1
92,c,https://imgur.com/0o1Oefz,A,B,C,D,SSC,Bi,15.1
93,c,https://imgur.com/LREmYGB,A,B,C,D,SSC,Bi,15.1
94,c,https://imgur.com/WomXhVI,A,B,C,D,SSC,Bi,15.1
95,b,https://imgur.com/okuy31K,A,B,C,D,SSC,Bi,15.1
97,c,https://imgur.com/Mg1jSzb,A,B,C,D,SSC,Bi,15.1
98,c,https://imgur.com/unEYLQ4,A,B,C,D,SSC,Bi,15.1
99,d,https://imgur.com/fqpS21P,A,B,C,D,SSC,Bi,15.1
