,correct,QuestionLink,optA,optB,optC,optD,usedFor ,lang,category
1,a,https://imgur.com/pptsQcR,A,B,C,D,SSC,Bi,16.1
2,b,https://imgur.com/Nfm1S1E,A,B,C,D,SSC,Bi,16.1
3,c,https://imgur.com/5O8C2Tg,A,B,C,D,SSC,Bi,16.1
5,d,https://imgur.com/WZgdPbW,A,B,C,D,SSC,Bi,16.1
6,c,https://imgur.com/lGMvqFZ,A,B,C,D,SSC,Bi,16.1
8,c,https://imgur.com/GDYmkKv,A,B,C,D,SSC,Bi,16.1
9,b,https://imgur.com/vXNMHvn,A,B,C,D,SSC,Bi,16.1
10,a,https://imgur.com/ifJZB8s,A,B,C,D,SSC,Bi,16.1
11,d,https://imgur.com/rNQHv0x,A,B,C,D,SSC,Bi,16.1
13,a,https://imgur.com/GbqHOiQ,A,B,C,D,SSC,Bi,16.1
14,c,https://imgur.com/DrjnZtv,A,B,C,D,SSC,Bi,16.1
15,c,https://imgur.com/RXkehAB,A,B,C,D,SSC,Bi,16.1
35,b,https://imgur.com/q55SM5a,A,B,C,D,SSC,Bi,16.1
36,c,https://imgur.com/9A2kM88,A,B,C,D,SSC,Bi,16.1
37,c,https://imgur.com/qogg62G,A,B,C,D,SSC,Bi,16.1
38,b,https://imgur.com/HpQlaDQ,A,B,C,D,SSC,Bi,16.1
39,a,https://imgur.com/GgtJH5D,A,B,C,D,SSC,Bi,16.1
40,b,https://imgur.com/3CukTFR,A,B,C,D,SSC,Bi,16.1
41,c,https://imgur.com/o5DxWPP,A,B,C,D,SSC,Bi,16.1
42,a,https://imgur.com/1xMIJ7F,A,B,C,D,SSC,Bi,16.1
44,d,https://imgur.com/nRCWKUK,A,B,C,D,SSC,Bi,16.1
45,a,https://imgur.com/epOs1ty,A,B,C,D,SSC,Bi,16.1
46,a,https://imgur.com/tB3nehc,A,B,C,D,SSC,Bi,16.1
47,d,https://imgur.com/FEXWVkj,A,B,C,D,SSC,Bi,16.1
48,d,https://imgur.com/ZlsHzoU,A,B,C,D,SSC,Bi,16.1
49,d,https://imgur.com/ySFXn8I,A,B,C,D,SSC,Bi,16.1
50,d,https://imgur.com/PCTmdjr,A,B,C,D,SSC,Bi,16.1
51,c,https://imgur.com/ca7x0hu,A,B,C,D,SSC,Bi,16.1
53,c,https://imgur.com/wg7aONn,A,B,C,D,SSC,Bi,16.1
54,a,https://imgur.com/0bcWKUh,A,B,C,D,SSC,Bi,16.1
55,d,https://imgur.com/O8IsIW4,A,B,C,D,SSC,Bi,16.1
57,c,https://imgur.com/WGu4TtC,A,B,C,D,SSC,Bi,16.1
58,c,https://imgur.com/MSmapZP,A,B,C,D,SSC,Bi,16.1
59,b,https://imgur.com/0IZgDpZ,A,B,C,D,SSC,Bi,16.1
