,,correct,QuestionLink,optA,optB,optC,optD,usedFor ,lang,category
0,1,c,https://imgur.com/ang976y.png,A,B,C,D,SSC,Bi,17.1
1,2,b,https://imgur.com/37B435W.png,A,B,C,D,SSC,Bi,17.1
2,3,c,https://imgur.com/fNrhi7o.png,A,B,C,D,SSC,Bi,17.1
3,4,c,https://imgur.com/fJ9PLNR.png,A,B,C,D,SSC,Bi,17.1
4,5,c,https://imgur.com/5YjFJNV.png,A,B,C,D,SSC,Bi,17.1
5,6,b,https://imgur.com/nUQ7y68.png,A,B,C,D,SSC,Bi,17.1
6,7,a,https://imgur.com/wBS0gR2.png,A,B,C,D,SSC,Bi,17.1
7,8,d,https://imgur.com/tcMqMoy.png,A,B,C,D,SSC,Bi,17.1
8,9,d,https://imgur.com/r4lXvbl.png,A,B,C,D,SSC,Bi,17.1
9,10,c,https://imgur.com/cXQpgHp.png,A,B,C,D,SSC,Bi,17.1
10,11,b,https://imgur.com/DcrEVpc.png,A,B,C,D,SSC,Bi,17.1
11,12,a,https://imgur.com/aIk7Mza.png,A,B,C,D,SSC,Bi,17.1
12,14,b,https://imgur.com/HMhFjKd.png,A,B,C,D,SSC,Bi,17.1
13,15,d,https://imgur.com/EePd8OL.png,A,B,C,D,SSC,Bi,17.1
14,16,b,https://imgur.com/XJ9jqCe.png,A,B,C,D,SSC,Bi,17.1
15,17,c,https://imgur.com/2Ez4NjJ.png,A,B,C,D,SSC,Bi,17.1
16,18,b,https://imgur.com/gmgWlR6.png,A,B,C,D,SSC,Bi,17.1
17,20,c,https://imgur.com/itwTwwW.png,A,B,C,D,SSC,Bi,17.1
18,21,c,https://imgur.com/0aNLp99.png,A,B,C,D,SSC,Bi,17.1
19,22,c,https://imgur.com/pEvr3Hh.png,A,B,C,D,SSC,Bi,17.1
20,23,c,https://imgur.com/QvyzvV7.png,A,B,C,D,SSC,Bi,17.1
21,24,d,https://imgur.com/HleD9ay.png,A,B,C,D,SSC,Bi,17.1
22,25,b,https://imgur.com/cldL0hH.png,A,B,C,D,SSC,Bi,17.1
23,26,a,https://imgur.com/diiwe8H.png,A,B,C,D,SSC,Bi,17.1
24,27,d,https://imgur.com/LUJHB8X.png,A,B,C,D,SSC,Bi,17.1
25,28,a,https://imgur.com/jU5KWWS.png,A,B,C,D,SSC,Bi,17.1
26,29,d,https://imgur.com/0L0rJua.png,A,B,C,D,SSC,Bi,17.1
27,30,b,https://imgur.com/tDvMFoD.png,A,B,C,D,SSC,Bi,17.1
28,31,b,https://imgur.com/1xlr5KX.png,A,B,C,D,SSC,Bi,17.1
29,32,d,https://imgur.com/QXJMeJu.png,A,B,C,D,SSC,Bi,17.1
30,33,c,https://imgur.com/ihbP0t1.png,A,B,C,D,SSC,Bi,17.1
31,34,b,https://imgur.com/bc3hRiT.png,A,B,C,D,SSC,Bi,17.1
32,35,a,https://imgur.com/LVDngAm.png,A,B,C,D,SSC,Bi,17.1
33,36,c,https://imgur.com/KQScbfH.png,A,B,C,D,SSC,Bi,17.1
34,37,d,https://imgur.com/tuEd6n8.png,A,B,C,D,SSC,Bi,17.1
35,39,c,https://imgur.com/RIYZeHG.png,A,B,C,D,SSC,Bi,17.1
36,40,c,https://imgur.com/7j4n9uj.png,A,B,C,D,SSC,Bi,17.1
37,41,d,https://imgur.com/hUynG9h.png,A,B,C,D,SSC,Bi,17.1
38,42,d,https://imgur.com/vsuTD94.png,A,B,C,D,SSC,Bi,17.1
39,43,a,https://imgur.com/BIutc1N.png,A,B,C,D,SSC,Bi,17.1
40,44,d,https://imgur.com/NV56pCm.png,A,B,C,D,SSC,Bi,17.1
41,45,c,https://imgur.com/VevncRV.png,A,B,C,D,SSC,Bi,17.1
42,47,c,https://imgur.com/nx9j2DC.png,A,B,C,D,SSC,Bi,17.1
43,48,c,https://imgur.com/0S6hPd5.png,A,B,C,D,SSC,Bi,17.1
44,49,a,https://imgur.com/ov8VDKT.png,A,B,C,D,SSC,Bi,17.1
45,50,d,https://imgur.com/A92rVgT.png,A,B,C,D,SSC,Bi,17.1
46,51,b,https://imgur.com/YO4X0dn.png,A,B,C,D,SSC,Bi,17.1
47,52,d,https://imgur.com/3gR5ak0.png,A,B,C,D,SSC,Bi,17.1
48,54,a,https://imgur.com/R3mgFKJ.png,A,B,C,D,SSC,Bi,17.1
49,55,a,https://imgur.com/fOmdbr8.png,A,B,C,D,SSC,Bi,17.1
50,56,d,https://imgur.com/Zce9qKl.png,A,B,C,D,SSC,Bi,17.1
51,57,c,https://imgur.com/eQmKyYc.png,A,B,C,D,SSC,Bi,17.1
52,58,c,https://imgur.com/7vJudQl.png,A,B,C,D,SSC,Bi,17.1
53,59,d,https://imgur.com/uqK6w6I.png,A,B,C,D,SSC,Bi,17.1
54,61,c,https://imgur.com/GP7QsMg.png,A,B,C,D,SSC,Bi,17.1
55,62,d,https://imgur.com/JZ6HDUM.png,A,B,C,D,SSC,Bi,17.1
56,63,d,https://imgur.com/VV7MqkU.png,A,B,C,D,SSC,Bi,17.1
57,64,c,https://imgur.com/oe2Mwfk.png,A,B,C,D,SSC,Bi,17.1
58,65,c,https://imgur.com/DYq4zhp.png,A,B,C,D,SSC,Bi,17.1
59,66,c,https://imgur.com/LFwIHK0.png,A,B,C,D,SSC,Bi,17.1
