,correct,QuestionLink,optA,optB,optC,optD,usedFor ,lang,category
1,b,https://i.imgur.com/6dd9U5O.png,A,B,C,D,SSC,Bi,18.1
2,a,https://i.imgur.com/6P6NBg4.png,A,B,C,D,SSC,Bi,18.1
3,d,https://i.imgur.com/zBwn6DA.png,A,B,C,D,SSC,Bi,18.1
5,b,https://i.imgur.com/3zBjm2t.png,A,B,C,D,SSC,Bi,18.1
6,d,https://i.imgur.com/wRfAMUZ.png,A,B,C,D,SSC,Bi,18.1
7,a,https://i.imgur.com/UN8M2Tm.png,A,B,C,D,SSC,Bi,18.1
8,c,https://i.imgur.com/TxSjQE8.png,A,B,C,D,SSC,Bi,18.1
10,a,https://i.imgur.com/dYFRcAU.png,A,B,C,D,SSC,Bi,18.1
11,a,https://i.imgur.com/xCYfU6X.png,A,B,C,D,SSC,Bi,18.1
12,a,https://i.imgur.com/UagyQC7.png,A,B,C,D,SSC,Bi,18.1
13,b,https://i.imgur.com/2NGAtVe.png,A,B,C,D,SSC,Bi,18.1
14,d,https://i.imgur.com/OweUNi2.png,A,B,C,D,SSC,Bi,18.1
15,a,https://i.imgur.com/HJHp315.png,A,B,C,D,SSC,Bi,18.1
16,a,https://i.imgur.com/PwR8wVX.png,A,B,C,D,SSC,Bi,18.1
17,a,https://i.imgur.com/kQ9H2Ao.png,A,B,C,D,SSC,Bi,18.1
18,c,https://i.imgur.com/bQ9efHP.png,A,B,C,D,SSC,Bi,18.1
19,b,https://i.imgur.com/Mlp15eb.png,A,B,C,D,SSC,Bi,18.1
20,d,https://i.imgur.com/HwGRrhd.png,A,B,C,D,SSC,Bi,18.1
22,c,https://i.imgur.com/6uVY3mS.png,A,B,C,D,SSC,Bi,18.1
23,c,https://i.imgur.com/nI1YTKe.png,A,B,C,D,SSC,Bi,18.1
24,d,https://i.imgur.com/DGpWwhm.png,A,B,C,D,SSC,Bi,18.1
25,c,https://i.imgur.com/zR4uDZj.png,A,B,C,D,SSC,Bi,18.1
26,b,https://i.imgur.com/XIk6kNl.png,A,B,C,D,SSC,Bi,18.1
28,a,https://i.imgur.com/mXlqEsB.png,A,B,C,D,SSC,Bi,18.1
29,b,https://i.imgur.com/P4gEDHi.png,A,B,C,D,SSC,Bi,18.1
30,d,https://i.imgur.com/nPL4wDo.png,A,B,C,D,SSC,Bi,18.1
31,d,https://i.imgur.com/6b34oBq.png,A,B,C,D,SSC,Bi,18.1
32,a,https://i.imgur.com/dAALRqv.png,A,B,C,D,SSC,Bi,18.1
33,d,https://i.imgur.com/Hlw3BPn.png,A,B,C,D,SSC,Bi,18.1
34,b,https://i.imgur.com/4xa5ASX.png,A,B,C,D,SSC,Bi,18.1
35,c,https://i.imgur.com/dSE45oX.png,A,B,C,D,SSC,Bi,18.1
37,c,https://i.imgur.com/X9YCi7H.png,A,B,C,D,SSC,Bi,18.1
38,c,https://i.imgur.com/vpfjvT1.png,A,B,C,D,SSC,Bi,18.1
39,c,https://i.imgur.com/plbQCUs.png,A,B,C,D,SSC,Bi,18.1
40,c,https://i.imgur.com/0JpFCwA.png,A,B,C,D,SSC,Bi,18.1
41,b,https://i.imgur.com/NZI5cYY.png,A,B,C,D,SSC,Bi,18.1
43,b,https://i.imgur.com/qvzPoaS.png,A,B,C,D,SSC,Bi,18.1
44,d,https://i.imgur.com/cGzxMne.png,A,B,C,D,SSC,Bi,18.1
45,a,https://i.imgur.com/hcPARQn.png,A,B,C,D,SSC,Bi,18.1
46,b,https://i.imgur.com/OVo7Sud.png,A,B,C,D,SSC,Bi,18.1
48,d,https://i.imgur.com/vWIjpOi.png,A,B,C,D,SSC,Bi,18.1
49,a,https://i.imgur.com/CS0aGXH.png,A,B,C,D,SSC,Bi,18.1
50,c,https://i.imgur.com/yqMOwpL.png,A,B,C,D,SSC,Bi,18.1
51,d,https://i.imgur.com/08YxXTn.png,A,B,C,D,SSC,Bi,18.1
52,a,https://i.imgur.com/mR0zaHQ.png,A,B,C,D,SSC,Bi,18.1
53,c,https://i.imgur.com/m8KBdTn.png,A,B,C,D,SSC,Bi,18.1
54,b,https://i.imgur.com/CDXSeUW.png,A,B,C,D,SSC,Bi,18.1
55,d,https://i.imgur.com/1k0jbHO.png,A,B,C,D,SSC,Bi,18.1
56,d,https://i.imgur.com/sAIZyGx.png,A,B,C,D,SSC,Bi,18.1
57,a,https://i.imgur.com/J2GM5PF.png,A,B,C,D,SSC,Bi,18.1
58,b,https://i.imgur.com/k4xsg9Z.png,A,B,C,D,SSC,Bi,18.1
60,c,https://i.imgur.com/M3rZfV3.png,A,B,C,D,SSC,Bi,18.1
61,a,https://i.imgur.com/jrjPRv1.png,A,B,C,D,SSC,Bi,18.1
62,b,https://i.imgur.com/aTj9vQs.png,A,B,C,D,SSC,Bi,18.1
63,c,https://i.imgur.com/voUuFKP.png,A,B,C,D,SSC,Bi,18.1
64,b,https://i.imgur.com/KljVcgF.png,A,B,C,D,SSC,Bi,18.1
65,c,https://i.imgur.com/LmlRnt3.png,A,B,C,D,SSC,Bi,18.1
66,a,https://i.imgur.com/w681BaX.png,A,B,C,D,SSC,Bi,18.1
67,c,https://i.imgur.com/noDEcux.png,A,B,C,D,SSC,Bi,18.1
68,a,https://i.imgur.com/XuylwUH.png,A,B,C,D,SSC,Bi,18.1
69,c,https://i.imgur.com/U5c7TpC.png,A,B,C,D,SSC,Bi,18.1
70,c,https://i.imgur.com/f7njZKr.png,A,B,C,D,SSC,Bi,18.1
71,b,https://i.imgur.com/TkX81Bv.png,A,B,C,D,SSC,Bi,18.1
72,c,https://i.imgur.com/AmjjDlC.png,A,B,C,D,SSC,Bi,18.1
73,a,https://i.imgur.com/gfHFpU5.png,A,B,C,D,SSC,Bi,18.1
74,a,https://i.imgur.com/mxy3FPa.png,A,B,C,D,SSC,Bi,18.1
75,d,https://i.imgur.com/BR0Oqx5.png,A,B,C,D,SSC,Bi,18.1
77,b,https://i.imgur.com/lU5UB3H.png,A,B,C,D,SSC,Bi,18.1
78,c,https://i.imgur.com/rqsFTgz.png,A,B,C,D,SSC,Bi,18.1
79,b,https://i.imgur.com/13rjNEa.png,A,B,C,D,SSC,Bi,18.1
80,c,https://i.imgur.com/6v8qaA7.png,A,B,C,D,SSC,Bi,18.1
82,c,https://i.imgur.com/5gpjF4n.png,A,B,C,D,SSC,Bi,18.1
83,b,https://i.imgur.com/rJGWvB9.png,A,B,C,D,SSC,Bi,18.1
84,a,https://i.imgur.com/t3zIORc.png,A,B,C,D,SSC,Bi,18.1
85,b,https://i.imgur.com/AqYGfRe.png,A,B,C,D,SSC,Bi,18.1
87,b,https://i.imgur.com/5tFyDur.png,A,B,C,D,SSC,Bi,18.1
88,b,https://i.imgur.com/8JWCDnK.png,A,B,C,D,SSC,Bi,18.1
89,b,https://i.imgur.com/aOa6o3A.png,A,B,C,D,SSC,Bi,18.1
90,c,https://i.imgur.com/uPGD2Fr.png,A,B,C,D,SSC,Bi,18.1
91,c,https://i.imgur.com/Oc5yC6f.png,A,B,C,D,SSC,Bi,18.1
93,c,https://i.imgur.com/zO16nCV.png,A,B,C,D,SSC,Bi,18.1
94,d,https://i.imgur.com/G5gSLRR.png,A,B,C,D,SSC,Bi,18.1
95,a,https://i.imgur.com/NRJx688.png,A,B,C,D,SSC,Bi,18.1
96,d,https://i.imgur.com/87ZWiMx.png,A,B,C,D,SSC,Bi,18.1
97,c,https://i.imgur.com/tHj1sdB.png,A,B,C,D,SSC,Bi,18.1
99,c,https://i.imgur.com/zHFhNad.png,A,B,C,D,SSC,Bi,18.1
100,a,https://i.imgur.com/WbqKqUC.png,A,B,C,D,SSC,Bi,18.1
101,d,https://i.imgur.com/elIyPeI.png,A,B,C,D,SSC,Bi,18.1
102,b,https://i.imgur.com/6UcfLj1.png,A,B,C,D,SSC,Bi,18.1
104,b,https://i.imgur.com/S3ziRub.png,A,B,C,D,SSC,Bi,18.1
105,d,https://i.imgur.com/rJ6b8dF.png,A,B,C,D,SSC,Bi,18.1
106,d,https://i.imgur.com/HBVJqZU.png,A,B,C,D,SSC,Bi,18.1
107,b,https://i.imgur.com/4AWwqhw.png,A,B,C,D,SSC,Bi,18.1
108,b,https://i.imgur.com/8M0wYIb.png,A,B,C,D,SSC,Bi,18.1
110,c,https://i.imgur.com/TDioL2p.png,A,B,C,D,SSC,Bi,18.1
111,b,https://i.imgur.com/R19xXut.png,A,B,C,D,SSC,Bi,18.1
